report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,32504000000.0,10060000000.0,7366000000.0,,7547000000.0,8548000000.0,1406000000.0,2544000000.0,11728000000.0,1042000000.0,533000000.0,85000000.0,420000000.0,0.53,1549000000.0,283000000.0,451000000.0,1266000000.0,9954000000.0,,27.9127,1.3833,0.53,1493000000.0,0.07062408904200344,0.016397981786857002,0.04544679399727149,0.08884720327421555,0.03205759291164165,0.0595394548882921,0.10794679399727149,0.12730218281036834,1.3189346760302108,1.3657344556068423,,,,,,,,,,,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2010-06-30,33269000000.0,11024000000.0,7687000000.0,,7865000000.0,8614000000.0,1637000000.0,3252000000.0,23932000000.0,2444000000.0,1378000000.0,169000000.0,875000000.0,1.37,3012000000.0,664000000.0,900000000.0,2348000000.0,10251000000.0,,20.9941,1.1872,1.37,3344000000.0,0.17520661157024794,0.041419940485136315,0.057579809460137056,0.10212268092929969,0.07346178123778893,0.13490836829322145,0.09811131539361524,0.1397292328263413,1.3033693579148125,1.43410953557955,,,,,,,,,,,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2010-09-30,32907000000.0,10756000000.0,6801000000.0,,8460000000.0,8648000000.0,994000000.0,3020000000.0,36124000000.0,4060000000.0,2369000000.0,260000000.0,1424000000.0,2.36,3923000000.0,1011000000.0,1348000000.0,2912000000.0,9642000000.0,,21.1355,1.3622,2.36,5408000000.0,0.2800236406619385,0.07199076184398456,0.06557967002546783,0.1123906544125789,0.12337800467985535,0.2242846094354215,0.08061122799247038,0.1497065662717307,1.1397163120567375,1.5815321276282899,,,,,,,,,,,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2010-12-31,33597000000.0,11569000000.0,5902000000.0,,7979000000.0,10491000000.0,355000000.0,3370000000.0,-22239000000.0,-1672000000.0,-792000000.0,-160000000.0,-684000000.0,-0.7799999999999998,-4649000000.0,-569000000.0,-907000000.0,-5218000000.0,10846000000.0,1.9602,21.503,1.4487,-0.7799999999999998,-2579000000.0,-0.09926055896728914,-0.02357353335119207,0.035613112100364226,0.07518323665632448,-0.04976634818584993,-0.08881806108897743,0.23463285219659158,0.11596744457934259,1.359318210302043,1.96018298881735,49545000000.0,3488000000.0,5874000000.0,1308000000.0,7666000000.0,354000000.0,3.4800000000000004,3.4800000000000004,1.4148186798852074,16.593220338983052,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2011-03-31,34594000000.0,12618000000.0,7605000000.0,,8164000000.0,10504000000.0,1554000000.0,4657000000.0,12582000000.0,1426000000.0,885000000.0,85000000.0,467000000.0,0.88,1281000000.0,402000000.0,441000000.0,879000000.0,12058000000.0,,19.7064,1.4545,0.88,1867000000.0,0.10840274375306222,0.025582470948719432,0.07033857892226991,0.11333651247814339,0.0412210209862982,0.07051725843141134,0.069861707200763,0.14838658400890162,1.4769720725134738,1.659171597633136,50399000000.0,3840000000.0,6258000000.0,921000000.0,8040000000.0,354000000.0,3.83,3.83,1.4997512437810945,17.677966101694917,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2011-06-30,35152000000.0,12950000000.0,7618000000.0,,8254000000.0,10787000000.0,1374000000.0,4691000000.0,25773000000.0,3124000000.0,1948000000.0,168000000.0,1028000000.0,1.95,3314000000.0,951000000.0,884000000.0,2363000000.0,12161000000.0,,18.1307,1.3997,1.95,4008000000.0,0.23600678458929003,0.05541647701411015,0.07558297443060567,0.12121212121212122,0.08887118798361401,0.15302473671320108,0.09168509680673573,0.15551158188802236,1.4733462563605524,1.699921239170386,52240000000.0,4410000000.0,6938000000.0,936000000.0,8704000000.0,353000000.0,4.41,4.41,1.3971737132352942,19.654390934844194,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2011-09-30,35238000000.0,12628000000.0,7511000000.0,35238000000.0,7798000000.0,11092000000.0,1310000000.0,4133000000.0,38939000000.0,4743000000.0,2990000000.0,252000000.0,1537000000.0,3.0,5362000000.0,1557000000.0,1331000000.0,3805000000.0,12402000000.0,,15.3006,1.1829,3.0,6074000000.0,0.38343164914080535,0.08485158067994779,0.0767867690490254,0.12180590153830351,0.13459901242976333,0.2348019801980198,0.09771694188345874,0.15598757030226765,1.5904077968709927,1.6812674743709226,55055000000.0,5031000000.0,7621000000.0,1829000000.0,9370000000.0,345000000.0,5.050000000000001,5.050000000000001,1.3235859124866596,22.089855072463767,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2011-12-31,34701000000.0,12284000000.0,6514000000.0,34701000000.0,7035000000.0,11095000000.0,33000000.0,3034000000.0,-24189000000.0,-3213000000.0,-2019000000.0,-157000000.0,-1060000000.0,-1.9900000000000002,-2884000000.0,-905000000.0,-874000000.0,-3789000000.0,11128000000.0,1.8858,18.3826,1.3476,-1.9900000000000002,-4087000000.0,-0.28699360341151386,-0.05818276130370883,0.0834676919260821,0.1328289718467072,-0.09259099161407452,-0.17689808952265595,0.15664144859233536,0.16896109801976106,1.5818052594171996,1.8857844642308874,53105000000.0,3804000000.0,6080000000.0,3258000000.0,7862000000.0,348000000.0,3.84,3.84,1.4154159247010938,17.471264367816094,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2012-03-31,35963000000.0,13473000000.0,7543000000.0,35963000000.0,7423000000.0,11079000000.0,919000000.0,5133000000.0,13136000000.0,1569000000.0,970000000.0,94000000.0,511000000.0,1.0,2280000000.0,428000000.0,459000000.0,1852000000.0,11998000000.0,,19.5867,1.4411,1.0,2028000000.0,0.1306749292738785,0.026972165837110363,0.07384287454323996,0.11944275274056029,0.04362817340043934,0.08078883682611605,0.14098660170523752,0.1543848964677223,1.6163276303381382,1.786159353042556,53659000000.0,3889000000.0,6223000000.0,4231000000.0,8023000000.0,357000000.0,3.9600000000000004,3.9600000000000004,1.495450579583697,17.431372549019606,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
2012-06-30,37177000000.0,14702000000.0,8400000000.0,37177000000.0,7645000000.0,11112000000.0,1911000000.0,6718000000.0,26485000000.0,3359000000.0,2086000000.0,186000000.0,1099000000.0,2.15,3850000000.0,949000000.0,918000000.0,2901000000.0,13023000000.0,,19.0088,1.403,2.15,4277000000.0,0.27285807717462396,0.05610996045942384,0.07876156314895223,0.12682650556919012,0.09035156144928316,0.16252177278885233,0.10953369831980367,0.16148763451010006,1.703466317854807,1.7502380952380951,54371000000.0,4027000000.0,6458000000.0,4769000000.0,8292000000.0,375000000.0,4.16,4.16,1.5705499276411,17.221333333333334,1.0468374,122.41,82.0,8.06211,73031.78,13.1069,5.1859,0.8237
