report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,9112322000.0,712578000.0,587285000.0,,3935391000.0,2531431000.0,197686000.0,,412830000.0,92891000.0,255167000.0,3.49,115735000.0,693214000.0,301082000.0,2531431000.0,,14.9049,4.1702,3.49,0.104901901742419,0.04530458866576489,,0.643247646803075,1.2133427552210596,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2010-09-30,9297120000.0,689476000.0,596221000.0,,4043382000.0,2539416000.0,78165000.0,,524866000.0,137893000.0,331828000.0,4.43,115832000.0,901722000.0,453920000.0,2539416000.0,,12.9695,4.3589,4.43,0.12980866017606055,0.05645468704286919,,0.6280425643681453,1.1564101230919408,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2010-12-31,9679102000.0,1197183000.0,769220000.0,,4120583000.0,2601670000.0,111160000.0,,605208000.0,183084000.0,272317000.0,5.08,116330000.0,1285023000.0,574170000.0,2601670000.0,1.5566,16.6548,5.6776,5.08,0.1468743621958349,0.06252728817198125,,0.6313839570759768,1.5563596890356466,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2011-03-31,10025986000.0,1235593000.0,695864000.0,,4462645000.0,2562688000.0,520651000.0,,348594000.0,45227000.0,-47151000.0,2.96,115869000.0,143214000.0,140373000.0,2562688000.0,,16.7997,6.6517,2.96,0.07811376437068152,0.034769049148881716,,0.5742531615219225,1.7756242599128564,,1891498000.0,459095000.0,15.96,15.96,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2011-06-30,10353088000.0,1071107000.0,755641000.0,10353088000.0,4714932000.0,2570978000.0,352421000.0,,245577000.0,45768000.0,144696000.0,2.03,118592000.0,,,2570978000.0,,13.2966,5.4761,2.03,0.05208495053587199,0.023720169286690115,,0.5452842161880596,1.4174813171863359,,1724245000.0,411972000.0,14.5,14.5,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2011-09-30,10985043000.0,1103643000.0,776117000.0,10985043000.0,5071235000.0,2587371000.0,210565000.0,,351464000.0,45559000.0,185471000.0,2.95,117075000.0,,,2587371000.0,,7.4862,3.6416,2.95,0.06930540588239353,0.03199477689800577,,0.5102053050193888,1.4220059604415314,,1550843000.0,319638000.0,13.02,13.02,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2011-12-31,,,,,,,537484000.0,,,,,,,1386500000.0,467032000.0,0.0,1.3103,13.5238,4.7808,,,,,,,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2012-03-31,,,,,,,316918000.0,,,,,,,426086000.0,181418000.0,0.0,,19.683,5.3087,,,,,,,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2012-06-30,12569734000.0,1284033000.0,1128991000.0,12569734000.0,5575023000.0,3285497000.0,317769000.0,,144227000.0,95866000.0,72617000.0,1.13,125772000.0,925410000.0,382339000.0,3285497000.0,,27.7397,4.0137,1.13,0.02587020717223947,0.011474148935848603,,0.5893243848500714,1.1373279326407384,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2012-09-30,12814001000.0,1579884000.0,991848000.0,12814001000.0,5624391000.0,3562070000.0,333886000.0,,163451000.0,150307000.0,248535000.0,1.28,126111000.0,1357470000.0,557064000.0,3562070000.0,,244.4245,4.5769,1.28,0.029061101904188383,0.01275565687875317,,0.6333254569250253,1.5928690686476155,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2012-12-31,13069030000.0,1050355000.0,1034790000.0,13069030000.0,5689354000.0,3721193000.0,229396000.0,,-115393000.0,-41951000.0,-228768000.0,-0.9100000000000001,-125563000.0,-871389000.0,-310630000.0,3721193000.0,1.0145,68.3424,4.8697,-0.9100000000000001,-0.020282267547422784,-0.008829499970541043,,0.6540624823134578,1.01504169928198,,,,,,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2013-03-31,13761297000.0,1196414000.0,971866000.0,,7088630000.0,3017280000.0,430298000.0,,100663000.0,50735000.0,59329000.0,0.0,132751000.0,360074000.0,230763000.0,3017280000.0,,213.743,6.1281,0.0,0.014200628330156884,0.007314935503535749,,0.42565065463989515,1.23104831324483,,292948000.0,254957000.0,1.4999999999999998,1.4999999999999998,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
2013-06-30,14162587000.0,1465192000.0,1012128000.0,,7465291000.0,2823428000.0,695625000.0,,437926000.0,93540000.0,251358000.0,3.0,135762000.0,935860000.0,480353000.0,2823428000.0,,41.7969,6.9454,3.0,0.05866161144957377,0.030921328144356677,,0.37820735990063886,1.4476350817287933,,586647000.0,252631000.0,3.37,3.37,0.34334546,258.06,177.37,1.76815,63003.496,12.8736,2.2643,3.252
