report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,6724803000.0,1901655000.0,824726000.0,3081660000.0,3643143000.0,1495428000.0,,306054000.0,859681000.0,426677000.0,290853000.0,,115159000.0,2.09,139129000.0,464881000.0,107798000.0,357083000.0,1495428000.0,4.1678,,,2.09,426677000.0,0.0798357352428933,0.04325078370325495,0.33832665837677,0.49632014665905144,0.0634482526848742,0.08303417428697589,0.4153668628246989,0.49632014665905144,0.4104774366529121,2.305802169447792,,,,,,,,,,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2010-06-30,6514965000.0,1735481000.0,584583000.0,2858091000.0,3656874000.0,1495483000.0,,525119000.0,1682284000.0,772484000.0,515246000.0,,211692000.0,3.7,139104000.0,694305000.0,221890000.0,472415000.0,1495483000.0,,,,3.7,772484000.0,0.14089793632485012,0.07908653384937601,0.3062776558535895,0.4591876282482625,0.11857070605905021,0.14992827554457117,0.280817626512527,0.4591876282482625,0.40895119711535044,2.9687503741983603,,,,,,,,,,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2010-09-30,6500689000.0,1770659000.0,505918000.0,2762975000.0,3737714000.0,1495538000.0,,184434000.0,2482008000.0,1089664000.0,713770000.0,,311734000.0,5.13,139081000.0,949893000.0,312995000.0,636898000.0,1495538000.0,,,,5.13,1089664000.0,0.19096431669196734,0.1097991305229338,0.28757763875056,0.4390251763894395,0.16762284736279492,0.20821928697490585,0.25660594164080053,0.4390251763894395,0.4001210365480077,3.499893263335165,,,,,,,,,,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2010-12-31,6726984000.0,1863498000.0,626288000.0,2865272000.0,3861712000.0,1495593000.0,,464393000.0,-1700999000.0,-863451000.0,-564412000.0,,-258026000.0,-4.05,-278244000.0,-826761000.0,-208421000.0,-1035182000.0,1495593000.0,2.9754,,,-4.05,-863451000.0,-0.14615590183835564,-0.08390268209349093,0.3318120704362554,0.5076140550347178,-0.12835633323938336,-0.1611726418413736,0.6085729621240225,0.5076140550347178,0.3872875553640458,2.9754649618067086,3322974000.0,955457000.0,1425374000.0,431214000.0,1425374000.0,,6.87,6.87,1.0492635617038055,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2011-03-31,6611903000.0,1704137000.0,392522000.0,2619358000.0,3992545000.0,1495650000.0,,493221000.0,806389000.0,319265000.0,250612000.0,,46237000.0,1.8,139053000.0,406479000.0,61743000.0,344736000.0,1495650000.0,2.9754,,,1.8,319265000.0,0.062769987564323,0.03790315738146794,0.31078300919283375,0.3959193391774937,0.04828640105579286,0.0581730423208359,0.4275058315527618,0.3959193391774937,0.3746106806560728,4.341506972857572,3269682000.0,915216000.0,1317962000.0,418867000.0,1317962000.0,,6.58,6.58,1.1348202755466394,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2011-06-30,6730623000.0,1769208000.0,370059000.0,2591026000.0,4139597000.0,1495707000.0,,279876000.0,1695885000.0,686861000.0,517198000.0,,123677000.0,3.72,139052000.0,723639000.0,100521000.0,623118000.0,1495707000.0,,,,3.72,686861000.0,0.12493921509750829,0.07684251517281536,0.30497233008134395,0.4050162599468714,0.10205013711212171,0.12188534992965774,0.36742939527149543,0.4050162599468714,0.36131705574238265,4.780880886561332,3283283000.0,917168000.0,1232339000.0,569570000.0,1232339000.0,,6.6000000000000005,6.6000000000000005,1.213713921250565,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2011-09-30,6839235000.0,1930272000.0,372961000.0,2578620000.0,4260615000.0,1495765000.0,,348003000.0,2574062000.0,1037138000.0,774052000.0,,201672000.0,5.57,139048000.0,1079143000.0,643305000.0,435838000.0,1495765000.0,,,,5.57,1037138000.0,0.18167611952734522,0.1131781551591662,0.30071225945606594,0.40291881081341474,0.15164532290526644,0.1801719135984768,0.16931915392869326,0.40291881081341474,0.35106786226871,5.175533098634978,3375337000.0,977450000.0,1179813000.0,368510000.0,1179813000.0,,7.040000000000001,7.040000000000001,1.2677983714368295,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2011-12-31,6964157000.0,1992683000.0,427291000.0,2631094000.0,4333063000.0,1495823000.0,,333765000.0,-1753917000.0,-787850000.0,-579320000.0,,-154857000.0,-4.17,-278115000.0,-789156000.0,-30813000.0,-819969000.0,1495823000.0,4.6635,,,-4.17,-787850000.0,-0.13369757144080296,-0.08318594770336166,0.3303006926781598,0.44919457420162984,-0.11312927034815556,-0.13516304830803005,0.46750729937619623,0.44919457420162984,0.34521145896101674,4.663526730027078,3322419000.0,962542000.0,1255414000.0,583723000.0,1255414000.0,,6.92,6.92,1.191497784794498,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2012-03-31,7025538000.0,2131924000.0,409694000.0,2622989000.0,4402549000.0,1495883000.0,,123521000.0,768642000.0,265410000.0,185169000.0,,66266000.0,1.33,139040000.0,349842000.0,110234000.0,239608000.0,1495883000.0,4.6635,,,1.33,265410000.0,0.04205949780456731,0.026356558031569968,0.24090408798894675,0.3452972905461841,0.037777889750222685,0.04499670420884737,0.31172899737459053,0.3452972905461841,0.3397765703459519,5.203698370002978,3284672000.0,897099000.0,1201559000.0,478595000.0,1201559000.0,,6.450000000000001,6.450000000000001,1.244951766829594,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
2012-06-30,7082897000.0,2044620000.0,392458000.0,2600905000.0,4481992000.0,1495943000.0,,376359000.0,1506830000.0,522594000.0,386630000.0,,111563000.0,2.78,139039000.0,613345000.0,384693000.0,228652000.0,1495943000.0,,,,2.78,522594000.0,0.08626298306645795,0.05458642134708439,0.25658501622611707,0.3468168273793328,0.07378252147391103,0.08742048884773755,0.15174372689686294,0.3468168273793328,0.3337674409057401,5.20978040962345,3095617000.0,766531000.0,1037292000.0,84129000.0,1037292000.0,,5.51,5.51,1.442161898481816,,1.0659171,17.32,8.395,1.27317,1443.9507,2.0628,1.3493
