report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-27,11980500000.0,1625300000.0,1477100000.0,4815300000.0,7151400000.0,1436600000.0,,656600000.0,,256600000.0,107500000.0,104600000.0,24400000.0,11700000.0,0.56,187200000.0,86000000.0,47000000.0,1436600000.0,,2.4836,10.3892,0.56,154500000.0,0.014626506697989206,0.008730854304912149,,,,0.008972914319101874,0.01251746623195156,,0.20088374304332018,1.1003317310947127,,,,,,,,,,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2010-06-26,12107400000.0,1923500000.0,1567800000.0,4787100000.0,7306100000.0,1433300000.0,,798600000.0,,665100000.0,402600000.0,341800000.0,49800000.0,63900000.0,1.83,187200000.0,395600000.0,92000000.0,1433300000.0,,2.5124,10.1189,1.83,494600000.0,0.0467828253103571,0.02823066884715133,,,,0.03325239109965806,0.04606723573700712,,0.19617853574410424,1.2268784283709657,,,,,,,,,,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2010-09-25,12138700000.0,1857800000.0,1216400000.0,4485800000.0,7605500000.0,1447200000.0,,763500000.0,,1082700000.0,703500000.0,597900000.0,73700000.0,124600000.0,3.2,187100000.0,725900000.0,133800000.0,1447200000.0,,2.6774,10.5792,3.2,837300000.0,0.07861416080468082,0.049255686358506266,,,,0.05795513522864887,0.07771162194704342,,0.19028334757741108,1.5272936534034858,,,,,,,,,,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2010-12-25,12697600000.0,2220900000.0,1333900000.0,4855000000.0,7798800000.0,1959600000.0,1100000.0,1217600000.0,,-562200000.0,-349100000.0,-336600000.0,-37700000.0,-61500000.0,-1.81,-374200000.0,-457800000.0,-70500000.0,1960700000.0,1.6649,2.8931,13.304,-1.81,-419600000.0,-0.04316048622865056,-0.026508946572580645,,,,-0.027493384576612902,-0.035770275116553105,,0.25141047340616507,1.6649673888597347,,707700000.0,864500000.0,1442200000.0,1066800000.0,110200000.0,3.7800000000000002,3.7800000000000002,1.8379265091863517,7.844827586206897,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2011-03-26,12869300000.0,2069900000.0,1310900000.0,4816300000.0,8009400000.0,2003200000.0,2000000.0,1081700000.0,,263200000.0,126000000.0,82900000.0,,16100000.0,0.44,188700000.0,45000000.0,51000000.0,2005200000.0,,2.5694,12.2996,0.44,177000000.0,0.010350338352435888,0.006441686805032131,,,,0.009790742309216508,0.012581630819004253,,0.2503558318975204,1.5789915325348998,,686000000.0,883000000.0,1448800000.0,1089300000.0,,3.66,3.66,1.8408152024235749,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2011-06-25,13104100000.0,2364700000.0,1847800000.0,4917400000.0,8143800000.0,1951100000.0,50400000.0,1184200000.0,,672900000.0,424000000.0,305700000.0,,59300000.0,1.62,188800000.0,271800000.0,107100000.0,2001500000.0,,2.4874,12.3486,1.62,531100000.0,0.0375377587858248,0.02332857655237674,,,,0.03235628543738219,0.04179275132327285,,0.24576978805962818,1.2797380668903562,,649900000.0,904400000.0,1456600000.0,1125800000.0,,3.45,3.45,1.7778468644519452,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2011-09-24,12429900000.0,1997500000.0,1285500000.0,4491100000.0,7897000000.0,1901300000.0,46400000.0,987200000.0,,1076800000.0,679000000.0,503100000.0,,90400000.0,2.68,187800000.0,603400000.0,161300000.0,1947700000.0,,2.1835,12.1611,2.68,840300000.0,0.06370773711536026,0.04047498370863804,,,,0.05462634454018134,0.06897112151716152,,0.24663796378371533,1.5538700894593542,,555100000.0,879900000.0,1450700000.0,1128800000.0,,2.93,2.93,1.7254606661941885,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2011-12-31,12423800000.0,2118000000.0,1277200000.0,4733600000.0,7647900000.0,1914900000.0,46900000.0,1078900000.0,,-546300000.0,-335800000.0,-215400000.0,118700000.0,-66400000.0,-1.1100000000000003,-378900000.0,-52100000.0,-102300000.0,1961800000.0,1.6586,2.2493,11.693,-1.1100000000000003,-438100000.0,-0.02816459420233005,-0.017337690561663902,,,,-0.027028767365862297,-0.03494385880932808,,0.25651486028844517,1.6583150642029438,,676300000.0,893200000.0,1466600000.0,1110300000.0,,3.63,3.63,1.766909844186256,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2012-03-31,12436200000.0,1874200000.0,1060000000.0,4588300000.0,7807300000.0,1950400000.0,48200000.0,836300000.0,,252600000.0,121800000.0,79500000.0,,17300000.0,0.44,181700000.0,50400000.0,53400000.0,1998600000.0,,2.3475,12.2684,0.44,175200000.0,0.010182777656808372,0.006392627973175085,,,,0.009793988517392773,0.01242109342334717,,0.25599118773455615,1.7681132075471697,,672900000.0,889000000.0,1456000000.0,1108500000.0,,3.63,3.63,1.80297699594046,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
2012-06-30,16236700000.0,1833600000.0,2286100000.0,8354800000.0,7810800000.0,4097900000.0,802500000.0,516000000.0,,671900000.0,400700000.0,184600000.0,,43200000.0,1.01,181600000.0,397400000.0,111800000.0,4900400000.0,,2.0873,13.4687,1.01,512500000.0,0.02363394274594152,0.01136930533913911,,,,0.02467866007255169,0.03152338095537793,,0.627387719567778,0.8020646515900441,,551800000.0,865700000.0,1455000000.0,1089900000.0,,3.0199999999999996,3.0199999999999996,4.496192311221213,,0.49307147,63.5,41.83,2.84259,8409.208,0.9025,0.7548
