report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,operating_cash_flow,depreciation,total_debt,bf_current_ratio,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio
2019-03-31,29672000000.0,3025000000.0,2072000000.0,29672000000.0,14070000000.0,10828000000.0,217000000.0,2046000000.0,-3393000000.0,-3585000000.0,131000000.0,89000000.0,483000000.0,390000000.0,10828000000.0,0.6907,-3003000000.0,-0.2547974413646055,-0.12082097600431384,-1.752199413489736,-1.6583577712609971,-0.11435022917228363,-0.13627600610490803,-1.467741935483871,0.7695806680881307,1.459942084942085
2020-03-31,28732000000.0,2770000000.0,2569000000.0,28732000000.0,13117000000.0,10353000000.0,239000000.0,1980000000.0,285000000.0,113000000.0,106000000.0,45000000.0,395000000.0,416000000.0,10353000000.0,0.6569,701000000.0,0.00861477471982923,0.00393289711819574,0.05707070707070707,0.14393939393939395,0.00991925379367952,0.012143161482743928,0.35404040404040404,0.7892810856140886,1.0782405605293888
