report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,40588171000.0,2757831000.0,,,933479000.0,,199186000.0,34623000.0,56388000.0,,,2199695000.0,1117000.0,2198578000.0,0.0,,28.6827,18.8372,,,0.0049074889331672525,,,,,,,,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2011-09-30,38633762000.0,2719340000.0,,,821769000.0,,-44216000.0,52365000.0,67923000.0,,,892114000.0,4801000.0,887313000.0,0.0,,52.0923,10.7542,,,-0.0011444911836439849,,,,,,,,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2011-12-31,40377645000.0,2692995000.0,,,843261000.0,,1921000.0,72758000.0,89245000.0,,,-208577000.0,18214000.0,-226791000.0,0.0,2.4872,4731.2598,12.5601,,,4.7575830635986816e-05,,,,,,,,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2012-03-31,43520412000.0,3505019000.0,,,611213000.0,,190436000.0,18005000.0,17072000.0,,,364494000.0,6485000.0,358009000.0,0.0,,312.7989,16.8682,,,0.004375785780704466,,,,,347327000.0,3217109000.0,177751000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2012-06-30,42610275000.0,2714408000.0,,,738958000.0,,336697000.0,34889000.0,28165000.0,,,2736392000.0,17439000.0,2718953000.0,0.0,,64.509,14.9206,,,0.007901779559038284,,,,,484838000.0,3737484000.0,178017000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2012-09-30,43648620000.0,3007920000.0,,,1278354000.0,,464108000.0,52757000.0,37777000.0,,,4619285000.0,28627000.0,4590658000.0,0.0,,20.041,17.0379,,,0.010632821839499164,,,,,993162000.0,7440829000.0,178409000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2012-12-31,44426353000.0,3020899000.0,,,1230464000.0,,-430405000.0,-36487000.0,-39609000.0,,,-1518420000.0,-15585000.0,-1534005000.0,0.0,2.6654,18.6484,18.3989,,,-0.009688056095894255,,,,,560836000.0,6133615000.0,69164000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2013-03-31,45542791000.0,3765878000.0,,,1500672000.0,,193439000.0,23023000.0,9356000.0,,,,,,0.0,,23.6004,22.0539,,,0.0042474120657207855,,,,,563839000.0,,74182000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2013-06-30,44807645000.0,3903067000.0,,,1167413000.0,,208573000.0,47637000.0,17881000.0,,,,4535000.0,,0.0,,31.46,20.7078,,,0.004654852983235339,,,,,435715000.0,,86930000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2013-09-30,48160051000.0,4651764000.0,,,1112316000.0,,413313000.0,72693000.0,25525000.0,,,,7967000.0,,0.0,,27.8331,19.8472,,,0.008582071476626965,,,,,384920000.0,,106866000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2013-12-31,51427201000.0,4842383000.0,,,1306383000.0,,-124099000.0,-43737000.0,-14836000.0,,,2577753000.0,1894000.0,2575859000.0,0.0,2.0347,24.3985,22.1166,,,-0.002413100413534075,,,,,691226000.0,,99616000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2014-03-31,56402666000.0,6854459000.0,,,1324925000.0,,210041000.0,34731000.0,21702000.0,,,,1888000.0,,0.0,,22.3458,17.3009,,,0.003723955176161354,,,,,707828000.0,,111324000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2014-06-30,65634317000.0,13869570000.0,,,2504205000.0,,388256000.0,100728000.0,27878000.0,,,,4715000.0,,0.0,,22.3871,19.5513,,,0.005915442069733125,,,,,887511000.0,,164415000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2014-09-30,66332985000.0,14219030000.0,,,1472760000.0,,478194000.0,197346000.0,57145000.0,,,,6373000.0,,0.0,,23.6345,15.9276,,,0.0072089926301371786,,,,,952392000.0,,289068000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2014-12-31,65872745000.0,14168684000.0,,,918080000.0,,-598880000.0,-15613000.0,-43056000.0,,,,-813000.0,,0.0,2.3105,39.408,16.9564,,,-0.009091468709858682,,,,,477611000.0,,317192000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2015-03-31,67286990000.0,15129445000.0,,,1306975000.0,,270507000.0,111963000.0,16138000.0,,,,3783000.0,,0.0,,34.5841,16.9414,,,0.004020197663768286,,,,,538077000.0,,394424000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2015-06-30,71693697000.0,19577562000.0,,,1824686000.0,,646813000.0,251390000.0,46685000.0,,,,5214000.0,,0.0,,25.5826,17.0446,,,0.009021894909394894,,,,,796634000.0,,545086000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2015-09-30,69056926000.0,19556186000.0,,,1756918000.0,,456225000.0,402944000.0,39295000.0,,,1732542000.0,9977000.0,1722565000.0,0.0,,30.1204,14.4649,,,0.006606506058494408,,,,,774665000.0,,750684000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2015-12-31,71057759000.0,21590174000.0,,,1047740000.0,,-885063000.0,-193071000.0,-35482000.0,,,-1347138000.0,150445000.0,-1497583000.0,0.0,2.0788,26.4689,12.3874,,,-0.012455543384079984,,,,,488482000.0,,573226000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2016-03-31,34428583000.0,19520258000.0,,,1280893000.0,,-329939000.0,171394000.0,1890000.0,,,-738790000.0,1470000.0,-740260000.0,0.0,,,12.7001,,,-0.009583287235492672,,,,,-111964000.0,,632657000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2016-06-30,37506871000.0,21822918000.0,,,1512475000.0,,-230356000.0,352707000.0,7935000.0,,,-1190919000.0,3784000.0,-1194703000.0,0.0,,,7.6888,,,-0.00614170134320189,,,,,-989133000.0,-1709981000.0,733974000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2016-09-30,37984599000.0,21162334000.0,,,2196800000.0,,129997000.0,607812000.0,18761000.0,,,-555820000.0,8177000.0,-563997000.0,0.0,,70.5634,6.2189,,,0.0034223607309899467,,,,,-1315361000.0,-3996543000.0,938842000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2016-12-31,39002897000.0,21884814000.0,,,2508902000.0,,739605000.0,-341960000.0,-4025000.0,,,923347000.0,49232000.0,874115000.0,0.0,3.2061,41.2613,6.2659,,,0.018962822171901744,,,,,309307000.0,-1624845000.0,789953000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2017-03-31,41635712000.0,23347914000.0,,,2758398000.0,,267684000.0,186854000.0,40542000.0,,,-1118369000.0,21384000.0,-1139753000.0,0.0,,16.2108,5.4302,,,0.006429192324127903,,,,,906930000.0,-2024338000.0,805413000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2017-06-30,42868081000.0,23325722000.0,,,2131687000.0,,681671000.0,385444000.0,59080000.0,,,-1863476000.0,48239000.0,-1911715000.0,0.0,,12.4203,4.8034,,,0.015901598207766755,,,,,1818957000.0,-2741350000.0,838150000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2017-09-30,44305639000.0,24440205000.0,,,2436566000.0,,843575000.0,597403000.0,77500000.0,,,-2218670000.0,70849000.0,-2289519000.0,0.0,,16.1474,5.0911,,,0.01903990144459941,,,,,2532535000.0,-4466872000.0,827741000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2017-12-31,45834719000.0,25171919000.0,,,1876687000.0,,-774625000.0,-360803000.0,47204000.0,,,1570486000.0,-43402000.0,1527084000.0,0.0,2.4317,17.2955,4.6169,,,-0.016900398145781148,,,,,1018305000.0,-3813903000.0,808898000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2018-03-31,47579153000.0,25810215000.0,,,1880834000.0,472606000.0,178443000.0,219590000.0,17641000.0,,,-2157500000.0,8670000.0,-2166170000.0,0.0,,17.7953,4.7776,,,0.003750445074127318,0.37757243877563973,-4.583458525706402,,,929064000.0,-4840320000.0,841634000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2018-06-30,48572664000.0,24285474000.0,,,2065172000.0,1444226000.0,867165000.0,423440000.0,78601000.0,,,-4538307000.0,45188000.0,-4583495000.0,0.0,,17.8899,6.3294,,,0.017852942963968374,0.6004358043685684,-3.173668802528136,,,1114558000.0,-7512100000.0,879630000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2018-09-30,50343948000.0,24204037000.0,9006767000.0,,2264875000.0,2573892000.0,1515704000.0,634521000.0,-50804000.0,2.0,528466390.0,-5240047000.0,69954000.0,-5310001000.0,0.0,,13.4841,6.021,2.0,0.16828502391590677,0.030106975321045542,0.5888763009481361,-2.0630240118855028,0.0,,1786687000.0,-10532582000.0,916748000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
2018-12-31,50743375000.0,25360766000.0,8649610000.0,,1751287000.0,-2094888000.0,-1430249000.0,-401522000.0,-239536000.0,0.0,5240649.0,4329379000.0,-21148000.0,4308231000.0,0.0,1.871,14.4733,6.2297,0.0,-0.1653541604765995,-0.028185925748927816,0.6827329193732553,-2.056544789029294,0.0,2395836000.0,1131063000.0,-7751435000.0,876029000.0,,,1.969013,153.87,82.67,7.89632,80801.26,34.0867,3.677,3.4604
