report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2010-09-30,6554559000.0,4545877000.0,743604000.0,1408865000.0,5145694000.0,,,2831985000.0,2554057000.0,748726000.0,670945000.0,1321000.0,119854000.0,1.44,467137000.0,976711000.0,0.0,1.44,748726000.0,0.13038960342375586,0.10236310329955074,0.26269773932218426,0.29315164070339855,0.11422980554450726,0.14550534874401783,0.29315164070339855,0.0,6.113303586317449,,,,,,,,,
2011-09-30,9763107000.0,4102544000.0,1171958000.0,4158017000.0,5605090000.0,1277316000.0,269125000.0,1794927000.0,3558173000.0,1038022000.0,907972000.0,31460000.0,110582000.0,1.94,467052000.0,1338473000.0,1546441000.0,1.94,1038022000.0,0.16199061924072583,0.09300031229812394,0.25517927318317574,0.29172892942529777,0.1063208669125515,0.14514682240767746,0.29172892942529777,0.2758994057187307,3.500589611573111,,,,,,,,,
2011-12-31,10005910000.0,4353225000.0,1539972000.0,4493183000.0,5512727000.0,1275585000.0,526684000.0,1859464000.0,4842070000.0,1442753000.0,1318150000.0,42737000.0,102066000.0,2.85,462748000.0,1808685000.0,1802269000.0,2.85,1442753000.0,0.2391103350483345,0.13173714334828115,0.2722286129692466,0.2979620286365129,0.1441900836605566,0.19723223361981332,0.2979620286365129,0.32692875957761014,2.8268208772627035,,,,,,,,,
2012-03-31,10347539000.0,4034872000.0,1087914000.0,4269820000.0,6077719000.0,1273850000.0,150528000.0,1861065000.0,1273288000.0,482256000.0,401537000.0,11385000.0,72465000.0,0.9,448598000.0,310518000.0,1424378000.0,0.9,482256000.0,0.06606705574904007,0.03880507239450849,0.31535442099509303,0.37874856277605695,0.04660586444757541,0.06428282652170453,0.37874856277605695,0.23436062114750617,3.7088152188500194,12227588000.0,3298604000.0,3711757000.0,3711757000.0,86903000.0,7.13,7.13,0.3837476429626185,42.711494424818476
2012-06-30,10381207000.0,4078814000.0,1392928000.0,4423179000.0,5958028000.0,1272112000.0,390434000.0,1862479000.0,2640052000.0,923610000.0,768910000.0,22859000.0,145776000.0,1.72,447092000.0,947409000.0,1662546000.0,1.72,923610000.0,0.12905444553130666,0.07406749523441734,0.2912480511747496,0.34984538183338815,0.08896942330501646,0.12119953168882029,0.34984538183338815,0.2790429987908751,2.9282303177192217,12313583000.0,3396569000.0,3886641000.0,3886641000.0,108441000.0,7.41,7.41,0.4277590855445615,35.84106564860154
2012-09-30,11608827000.0,5385669000.0,1351309000.0,5880117000.0,5728710000.0,2769313000.0,324895000.0,2715534000.0,4059303000.0,1425194000.0,1193065000.0,40652000.0,198123000.0,2.69,443432000.0,1528162000.0,3094208000.0,2.69,1425194000.0,0.20826067299618936,0.1027722266857797,0.29390883114662786,0.351093278821512,0.12276813152612231,0.16153317983914164,0.351093278821512,0.540122994531055,3.985519966195741,12814713000.0,3681662000.0,4273813000.0,4273813000.0,117633000.0,8.16,8.16,0.723992369343254,36.331752144381255
2012-12-31,11734306000.0,5533665000.0,1690235000.0,6039839000.0,5694467000.0,2771333000.0,308459000.0,2090387000.0,-2465930000.0,-1084618000.0,-907332000.0,-11691000.0,-191053000.0,-2.0100000000000007,-898326000.0,-767536000.0,3079792000.0,-2.0100000000000007,-1084618000.0,-0.15933572009461114,-0.07732302191539918,0.36794718422664063,0.4398413580271946,-0.09243137174026313,-0.12361362936744857,0.4398413580271946,0.5408393796996277,3.2739027413347848,5506713000.0,1456180000.0,1746442000.0,1746442000.0,63205000.0,3.3,3.3,1.7634665222206063,27.63138992168341
2013-03-31,11452600000.0,5301900000.0,1574200000.0,5898200000.0,5554400000.0,2764100000.0,362000000.0,1495600000.0,1464600000.0,463800000.0,,17900000.0,63500000.0,0.89,432200000.0,367300000.0,3126100000.0,0.89,463800000.0,,,,0.31667349446947973,0.04049735431255785,0.0534301019526525,0.31667349446947973,0.562815065533631,3.36799644263753,5698025000.0,,1727986000.0,1727986000.0,69720000.0,3.2899999999999996,3.2899999999999996,1.8091003052108061,24.7846528973035
2013-12-31,13378200000.0,7550500000.0,1945500000.0,7788300000.0,5589900000.0,4196500000.0,544800000.0,3234400000.0,6493900000.0,1808900000.0,1449900000.0,91600000.0,215500000.0,3.37,430300000.0,2225900000.0,4741300000.0,3.37,1808900000.0,0.25937852197713734,0.10837780867381262,0.22327106977317174,0.2785537196445895,0.13521250990417247,0.17509098652625057,0.2785537196445895,0.8481904864129949,3.88100745309689,9551873000.0,,2613276000.0,2613276000.0,138461000.0,4.9399999999999995,4.9399999999999995,1.8143127629840858,18.873733397852103
2019-03-31,37639000000.0,10981000000.0,3955000000.0,29474000000.0,8165000000.0,19781000000.0,500000000.0,5433000000.0,4025000000.0,1710000000.0,,192000000.0,269000000.0,2.14,720500000.0,1476000000.0,20281000000.0,2.14,1710000000.0,,,,0.4248447204968944,0.04543160020191822,0.0601139000210926,0.4248447204968944,2.4838946723821187,2.7764854614412138,9517570000.0,,2898082000.0,2898082000.0,289809000.0,4.39,4.39,6.998076658976523,9.999972395612282
