report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2015-10-31,81270000000.0,31173000000.0,22151000000.0,,33535000000.0,,691000000.0,9842000000.0,52107000000.0,1523000000.0,2461000000.0,,-991000000.0,1.0,1834000000.0,,3947000000.0,691000000.0,1.3624,,,1.0,5470000000.0,0.07338601461159983,0.0302817767934047,0.04722973880668624,0.02922831865200453,0.018740002460932693,0.044498334599427335,0.10497629876983898,0.020605337706873415,1.4072953816983431,,,,,,,,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2016-01-31,77352000000.0,27756000000.0,20351000000.0,,31249000000.0,,910000000.0,8505000000.0,12724000000.0,384000000.0,267000000.0,,52000000.0,0.0,1778000000.0,,989000000.0,910000000.0,1.3624,,,0.0,1373000000.0,0.008544273416749336,0.0034517530251318646,0.020983967305878655,0.030179188934297392,0.004964318957493019,0.011940669796946423,0.10790631876768311,0.029120931869819833,1.3638641835782026,,,,,,,,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2016-04-30,78064000000.0,31147000000.0,20597000000.0,,31634000000.0,,965000000.0,9010000000.0,25435000000.0,876000000.0,587000000.0,,95000000.0,0.0,1765000000.0,,1949000000.0,965000000.0,,,,0.0,2825000000.0,0.01855598406777518,0.007519471203115392,0.023078435227049342,0.034440731275801065,0.011221561795449888,0.026871989938341667,0.11106742677413013,0.030505152683821205,1.512210516094577,,,,,,,,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2016-07-31,78821000000.0,28470000000.0,19484000000.0,,32426000000.0,,911000000.0,10743000000.0,37645000000.0,3373000000.0,2859000000.0,,230000000.0,1.0,1748000000.0,2746000000.0,2903000000.0,911000000.0,,8.2537,0.91,1.0,6276000000.0,0.08816998704743108,0.03627205947653544,0.07594634081551335,0.08960021251162173,0.04279316425825605,0.10117887032426433,0.1667153672466463,0.028094738789859987,1.4611989324574008,127911000000.0,6174000000.0,6156000000.0,15944000000.0,2.0,2.0,0.05713748118414451,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2016-10-31,79679000000.0,28917000000.0,22531000000.0,,31448000000.0,,3532000000.0,12987000000.0,-25681000000.0,-483000000.0,,,541000000.0,0.0,-3552000000.0,2212000000.0,-2066000000.0,3532000000.0,1.2835,11.8395,1.236,0.0,-2549000000.0,,,,0.018807678828706046,-0.006061823065048507,-0.013807890222984563,0.09925625949145282,0.11231238870516408,1.283431716301984,50123000000.0,,4150000000.0,7925000000.0,1.0,1.0,0.4456782334384858,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2017-01-31,76662000000.0,25525000000.0,21686000000.0,,31501000000.0,,3520000000.0,9858000000.0,11407000000.0,463000000.0,267000000.0,,78000000.0,0.0,1700000000.0,-1464000000.0,840000000.0,3520000000.0,,11.945,1.3179,0.0,1303000000.0,0.008475921399320657,0.0034828206934335135,0.02340668010870518,0.040589111948803366,0.006039498056403433,0.013220639045144342,0.11422810554922416,0.1117424843655757,1.1770266531402749,48806000000.0,,4229000000.0,7855000000.0,1.0,1.0,0.4481222151495863,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2017-04-30,67470000000.0,20273000000.0,17578000000.0,,29011000000.0,,2010000000.0,8101000000.0,15001000000.0,638000000.0,-345000000.0,,671000000.0,0.0,1664000000.0,-828000000.0,1632000000.0,2010000000.0,,13.9295,1.1521,0.0,2270000000.0,-0.011892040949984488,-0.005113383726100489,-0.022998466768882075,0.042530497966802215,0.009456054542759745,0.02056671287192547,0.1513232451169922,0.06928406466512702,1.153316645807259,38372000000.0,,3991000000.0,7300000000.0,1.0,1.0,0.27534246575342464,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2017-07-31,70931000000.0,23143000000.0,18279000000.0,,29012000000.0,,2069000000.0,7757000000.0,23210000000.0,785000000.0,-180000000.0,,484000000.0,0.0,1683000000.0,63000000.0,2369000000.0,2069000000.0,,233.1189,1.0755,0.0,3154000000.0,-0.006204329243071832,-0.002537677461194682,-0.007755277897457992,0.03382162860835847,0.011067093372432365,0.025256587625880764,0.13588970271434728,0.07131531779953122,1.2660977077520652,23937000000.0,,1403000000.0,4178000000.0,0.0,0.0,0.4952130205840115,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2017-10-31,61406000000.0,21444000000.0,18924000000.0,,23466000000.0,,3850000000.0,9579000000.0,-20747000000.0,-1261000000.0,,,-1397000000.0,0.0,-3373000000.0,3118000000.0,-1790000000.0,3850000000.0,1.1332,65.5317,0.7808,0.0,-3051000000.0,,,,0.06077987178869234,-0.02053545256163893,-0.046163420705813446,0.14705740589000818,0.16406716099889201,1.1331642358909322,28871000000.0,,625000000.0,3676000000.0,0.0,0.0,1.0473340587595212,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
2018-01-31,61619000000.0,20499000000.0,19343000000.0,,23951000000.0,,3915000000.0,7673000000.0,7674000000.0,261000000.0,1436000000.0,,-2139000000.0,0.0,1619000000.0,142000000.0,635000000.0,3915000000.0,,17.2096,0.8784,0.0,896000000.0,0.059955742975241116,0.02330450023531703,0.18712535835287986,0.03401094605160281,0.004235706519093137,0.009366252781167013,0.11675788376335679,0.16345872823681684,1.0597632218373572,25138000000.0,,423000000.0,3269000000.0,0.0,0.0,1.197613949219945,1.288068,26.44,11.965,20.0143,29350.014,1.3047,0.8211
