report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,30014000000.0,8498000000.0,4692000000.0,18330000000.0,11335000000.0,9259000000.0,358000000.0,1082000000.0,1383047000.0,5508000000.0,236000000.0,112000000.0,0.16,678000000.0,83000000.0,279000000.0,595000000.0,9617000000.0,,,,0.16,0.020820467578297308,0.007862997267941627,0.042846768336964415,0.10802469135802469,0.8484340538156153,1.8111679454390452,,,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2010-09-30,30847000000.0,8897000000.0,6244000000.0,18442000000.0,12056000000.0,7860000000.0,1636000000.0,975000000.0,1387197000.0,5428000000.0,256000000.0,98000000.0,0.17,366000000.0,100000000.0,284000000.0,266000000.0,9496000000.0,,,,0.17,0.021234240212342402,0.008299024216293319,0.04716285924834193,0.04900515843773029,0.787657597876576,1.4248878923766817,,,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2010-12-31,30600000000.0,8639000000.0,6417000000.0,18092000000.0,12006000000.0,7237000000.0,1370000000.0,1211000000.0,1397578000.0,21633000000.0,606000000.0,256000000.0,0.43,2726000000.0,355000000.0,1097000000.0,2371000000.0,8607000000.0,,,,0.43,0.050474762618690654,0.01980392156862745,0.028012758285952018,0.10960107243563075,0.7168915542228885,1.3462677263518779,,,,,,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2011-09-30,30541000000.0,8481000000.0,6652000000.0,17272000000.0,12754000000.0,7099000000.0,2096000000.0,785000000.0,1387053000.0,5583000000.0,320000000.0,81000000.0,0.22,366000000.0,80000000.0,301000000.0,286000000.0,9195000000.0,,,,0.22,0.0250901677904971,0.010477718476801677,0.057316854737596276,0.05122693892172667,0.7209502901050651,1.2749549007817198,38152000000.0,1418000000.0,3518000000.0,0.98,0.98,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2011-12-31,30116000000.0,7912000000.0,6381000000.0,17742000000.0,11876000000.0,7088000000.0,1545000000.0,902000000.0,1337341000.0,22626000000.0,1295000000.0,386000000.0,0.9,1961000000.0,338000000.0,1251000000.0,1623000000.0,8633000000.0,,,,0.9,0.10904344897271809,0.04300039845929074,0.057235039335278,0.07173163617077698,0.7269282586729539,1.2399310452907069,55270000000.0,2477000000.0,4546000000.0,1.72,1.72,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2012-03-31,31151000000.0,8882000000.0,5795000000.0,18411000000.0,12259000000.0,8483000000.0,1145000000.0,1514000000.0,1347748000.0,5503000000.0,269000000.0,77000000.0,0.19,-15000000.0,91000000.0,313000000.0,-106000000.0,9628000000.0,,,,0.19,0.02194306223998695,0.008635356810375269,0.048882427766672724,-0.019262220606941667,0.7853821682029529,1.5327006039689388,55345000000.0,2490000000.0,4174000000.0,1.74,1.74,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2012-06-30,29841000000.0,8012000000.0,5382000000.0,17346000000.0,12010000000.0,8061000000.0,1099000000.0,814000000.0,1307203000.0,5541000000.0,309000000.0,66000000.0,0.22,228000000.0,82000000.0,313000000.0,146000000.0,9160000000.0,,,,0.22,0.025728559533721898,0.010354880868603599,0.05576610720086627,0.026349034470312217,0.7626977518734388,1.4886659234485322,39253000000.0,2193000000.0,1949000000.0,1.53,1.53,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2012-09-30,30239000000.0,8386000000.0,6213000000.0,17524000000.0,12226000000.0,7458000000.0,1893000000.0,882000000.0,1272547000.0,5423000000.0,282000000.0,63000000.0,0.21,594000000.0,110000000.0,339000000.0,484000000.0,9351000000.0,,,,0.21,0.02306559790610175,0.009325705215119547,0.05200073759911488,0.08924949290060852,0.7648454114182889,1.3497505230967326,39093000000.0,2155000000.0,2147000000.0,1.52,1.52,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2012-12-31,30015000000.0,8273000000.0,5910000000.0,18002000000.0,11521000000.0,7447000000.0,1042000000.0,1246000000.0,1223772000.0,5923000000.0,335000000.0,71000000.0,0.26,1773000000.0,105000000.0,336000000.0,1668000000.0,8489000000.0,,,,0.26,0.029077337036715563,0.011161086123604865,0.056559176093196016,0.2816140469356745,0.7368284003124729,1.3998307952622673,22390000000.0,1195000000.0,2192000000.0,0.88,0.88,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
2019-03-31,14799000000.0,4313000000.0,2929000000.0,9522000000.0,5027000000.0,4268000000.0,555000000.0,723000000.0,226411000.0,2206000000.0,133000000.0,-8000000.0,0.55,226000000.0,,118000000.0,,4823000000.0,1.4497,,,0.55,0.026457131489954246,0.008987093722548821,0.06029011786038078,,0.959419136662025,1.4725162171389552,19093000000.0,1059000000.0,,1.24,1.24,1.8597996,6.8,1.22,2.82677,176.9346,0.4612,0.0252
