report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,137230000000.0,119592000000.0,17638000000.0,15683000000.0,2684000000.0,,-196000000.0,384000000.0,-161000000.0,-0.21,1194000000.0,1725000000.0,18367000000.0,,-0.21,,-0.011112371017122123,-0.0014282591270130438,,,1.0413312166912347,,,,,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2010-06-30,135340000000.0,117877000000.0,17463000000.0,15415000000.0,2964000000.0,,-473000000.0,708000000.0,-249000000.0,-0.49,1197000000.0,2800000000.0,18379000000.0,,-0.49,,-0.027085838630246807,-0.003494901728978868,,,1.0524537593769685,,,,,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2010-09-30,133498000000.0,116335000000.0,17163000000.0,14335000000.0,3661000000.0,,-628000000.0,998000000.0,-399000000.0,-0.66,1217000000.0,3334000000.0,17996000000.0,,-0.66,,-0.036590339684204394,-0.004704190324948688,,,1.0485346384664687,,,,,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2011-03-31,131756000000.0,115137000000.0,16619000000.0,12197000000.0,3182000000.0,,69000000.0,237000000.0,-12000000.0,0.01,1259000000.0,1332000000.0,15379000000.0,,0.01,,0.00415187436067152,0.000523695315583351,,,0.9253866056922799,-1228000000.0,2327000000.0,-1.35,-1.35,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2011-06-30,130908000000.0,114020000000.0,16888000000.0,11646000000.0,2722000000.0,,178000000.0,459000000.0,-72000000.0,0.06,1259000000.0,2842000000.0,14368000000.0,69.5545,0.06,,0.010540028422548555,0.0013597335533351667,,,0.8507816200852677,-854000000.0,2402000000.0,-1.08,-1.08,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2011-09-30,129762000000.0,112499000000.0,17263000000.0,10140000000.0,2943000000.0,,333000000.0,665000000.0,-45000000.0,0.14,1260000000.0,4616000000.0,13083000000.0,9.9348,0.14,,0.01928981057753577,0.0025662366486336524,,,0.7578636389966982,-48000000.0,2359000000.0,-0.45,-0.45,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2011-12-31,127050000000.0,110551000000.0,16499000000.0,8110000000.0,3067000000.0,,-795000000.0,-519000000.0,101000000.0,-0.55,-2520000000.0,-4037000000.0,11177000000.0,9.9348,-0.55,,-0.04818473846899812,-0.006257378984651712,,,0.6774349960603673,-215000000.0,842000000.0,-0.34,-0.34,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2012-03-31,128282000000.0,110748000000.0,17534000000.0,7196000000.0,2908000000.0,,199000000.0,170000000.0,82000000.0,0.11,1283000000.0,755000000.0,10104000000.0,,0.11,,0.011349378350633056,0.0015512698585927877,,,0.5762518535416904,-85000000.0,775000000.0,-0.24000000000000005,-0.24000000000000005,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2012-06-30,122345000000.0,107890000000.0,14455000000.0,6230000000.0,3306000000.0,,554000000.0,326000000.0,208000000.0,0.32,1350000000.0,1037000000.0,9536000000.0,60.1183,0.32,,0.038325838810100314,0.0045281785115860885,,,0.6597025250778278,291000000.0,642000000.0,0.019999999999999962,0.019999999999999962,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2012-09-30,121798000000.0,106897000000.0,14901000000.0,6224000000.0,1936000000.0,,855000000.0,473000000.0,344000000.0,0.53,1375000000.0,2215000000.0,8160000000.0,32.8166,0.53,,0.05737869941614657,0.007019819701472931,,,0.5476142540769076,813000000.0,450000000.0,0.41,0.41,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2012-12-31,121347000000.0,105848000000.0,15499000000.0,5861000000.0,1574000000.0,,-488000000.0,-366000000.0,-152000000.0,-0.25,-2621000000.0,-1566000000.0,7435000000.0,8.9953,-0.25,,-0.03148590231627847,-0.004021525048002835,,,0.4797083682818246,1120000000.0,603000000.0,0.71,0.71,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2013-03-31,119718000000.0,103978000000.0,15740000000.0,5847000000.0,1830000000.0,,335000000.0,113000000.0,114000000.0,0.0,1423000000.0,1130000000.0,7677000000.0,9.0225,0.0,,0.021283354510800507,0.002798242536627742,,,0.4877382465057179,1256000000.0,546000000.0,0.6,0.6,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2013-06-30,118707000000.0,103378000000.0,15329000000.0,4856000000.0,3877000000.0,,602000000.0,212000000.0,236000000.0,0.0,1421000000.0,2167000000.0,8733000000.0,11.7862,0.0,,0.039271968164916175,0.005071310032264314,,,0.5697044817013504,1304000000.0,432000000.0,0.27999999999999997,0.27999999999999997,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2013-09-30,116864000000.0,101375000000.0,15489000000.0,4838000000.0,1773000000.0,,895000000.0,299000000.0,360000000.0,0.0,1415000000.0,3146000000.0,6611000000.0,11.0003,0.0,,0.05778294273355285,0.0076584748083242055,,,0.4268190328620311,1344000000.0,258000000.0,-0.25000000000000006,-0.25000000000000006,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2013-12-31,117396000000.0,101628000000.0,15768000000.0,4830000000.0,2182000000.0,,-710000000.0,-240000000.0,-258000000.0,0.77,-2849000000.0,-2644000000.0,7012000000.0,12.4917,0.77,,-0.04502790461694571,-0.006047906231898872,,,0.44469812278031456,1122000000.0,384000000.0,0.77,0.77,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2014-03-31,117933000000.0,101801000000.0,16132000000.0,4226000000.0,,,319000000.0,82000000.0,128000000.0,0.0,1390000000.0,421000000.0,4226000000.0,14.2947,0.0,,0.019774361517480785,0.0027049256781392825,,,0.26196379866104635,1106000000.0,353000000.0,0.77,0.77,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
2014-06-30,118719000000.0,101690000000.0,17029000000.0,3824000000.0,,,619000000.0,159000000.0,253000000.0,0.0,1390000000.0,743000000.0,3824000000.0,13.3137,0.0,,0.036349756298079745,0.005213992705464163,,,0.22455810675905807,1123000000.0,300000000.0,0.77,0.77,1.0866354,31.53,17.74,15.31148,21769.006,10.0969,1.2479,1.92217
