report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,26114000000.0,5466000000.0,3964000000.0,26114000000.0,9898000000.0,5961000000.0,,947000000.0,10461000000.0,1874000000.0,,330000000.0,569000000.0,1.36,685000000.0,1680000000.0,152000000.0,412000000.0,1528000000.0,5961000000.0,,1.36,2286000000.0,,,,0.17914157346334003,0.07176227311020908,0.11816634087899615,0.14606634164993787,0.2185259535417264,0.6022428773489594,1.3789101917255298,,,,,,,,,
2011-12-31,26197000000.0,5543000000.0,3933000000.0,26197000000.0,9908000000.0,5958000000.0,,660000000.0,14245000000.0,2529000000.0,,436000000.0,755000000.0,1.92,681000000.0,1749000000.0,265000000.0,548000000.0,1484000000.0,5958000000.0,1.4094,1.92,3077000000.0,,,,0.17753597753597752,0.0965377715005535,0.15939745367452415,0.10417690417690417,0.21600561600561602,0.6013322567622124,1.409356725146199,,,,,,,,,
2012-03-31,26393000000.0,5783000000.0,4150000000.0,26393000000.0,10004000000.0,5902000000.0,,794000000.0,3924000000.0,642000000.0,,110000000.0,203000000.0,0.54,667000000.0,646000000.0,39000000.0,131000000.0,607000000.0,5902000000.0,1.4094,0.54,773000000.0,,,,0.1636085626911315,0.024324631531087788,0.04036212749905696,0.15468909276248727,0.19699286442405708,0.5899640143942423,1.3934939759036145,,,,,,,,,
2012-06-30,26781000000.0,6382000000.0,4374000000.0,26781000000.0,10118000000.0,5900000000.0,,1888000000.0,7400000000.0,1411000000.0,,214000000.0,428000000.0,1.19,664000000.0,1258000000.0,93000000.0,263000000.0,1165000000.0,5900000000.0,,1.19,1674000000.0,,,,0.19067567567567567,0.05268660617602031,0.08808840054938194,0.15743243243243243,0.2262162162162162,0.5831191935165052,1.4590763603109282,36030000000.0,6456000000.0,4784000000.0,7810000000.0,1090000000.0,5.01,5.01,0.7554417413572343,5.922935779816513
2012-09-30,26392000000.0,5788000000.0,3663000000.0,26392000000.0,10289000000.0,5907000000.0,,947000000.0,10818000000.0,2182000000.0,,309000000.0,647000000.0,1.78,662000000.0,1480000000.0,152000000.0,390000000.0,1328000000.0,5907000000.0,,1.78,2572000000.0,,,,0.20170086892216676,0.08267656865716884,0.13472462336379354,0.12275836568681826,0.23775189498983176,0.574108270968996,1.58012558012558,36387000000.0,6764000000.0,4584000000.0,8096000000.0,1069000000.0,5.43,5.43,0.7296195652173914,6.327408793264733
2012-12-31,26466000000.0,5720000000.0,3941000000.0,26466000000.0,10213000000.0,5904000000.0,,708000000.0,-8053000000.0,-1252000000.0,,-231000000.0,-386000000.0,-1.1199999999999997,-1334000000.0,-1569000000.0,-30000000.0,-309000000.0,-1599000000.0,5904000000.0,1.4514,-1.1199999999999997,-1561000000.0,,,,0.15547001117595927,-0.04730597748054107,-0.0776819507352485,0.1985595430274432,0.19384080466906742,0.578086752178596,1.4514082720121797,14089000000.0,2983000000.0,1501000000.0,3458000000.0,402000000.0,2.39,2.39,1.7073452862926548,7.420398009950249
2013-03-31,26111000000.0,5259000000.0,4440000000.0,26111000000.0,9394000000.0,5901000000.0,,409000000.0,4040000000.0,800000000.0,,95000000.0,234000000.0,0.69,638000000.0,587000000.0,34000000.0,116000000.0,553000000.0,5901000000.0,1.4514,0.69,916000000.0,,,,0.19801980198019803,0.030638428248630844,0.05230467473030402,0.1368811881188119,0.22673267326732674,0.6281669150521609,1.1844594594594595,14205000000.0,3141000000.0,1447000000.0,3601000000.0,387000000.0,2.54,2.54,1.6387114690363789,8.116279069767442
2013-12-31,26387000000.0,5370000000.0,4207000000.0,26387000000.0,9966000000.0,5940000000.0,,397000000.0,15284000000.0,3259000000.0,,376000000.0,978000000.0,3.01,624000000.0,1873000000.0,270000000.0,457000000.0,1603000000.0,5940000000.0,1.2764,3.01,3716000000.0,,,,0.2132295210677833,0.1235077879258726,0.20489123601156797,0.10488092122481026,0.24313007066213033,0.5960264900662252,1.2764440218683146,22089000000.0,4989000000.0,1885000000.0,5643000000.0,549000000.0,4.359999999999999,4.359999999999999,1.0526315789473684,9.087431693989071
2019-03-31,24075000000.0,6732000000.0,4492000000.0,24075000000.0,4349000000.0,9358000000.0,,500000000.0,4167000000.0,1228000000.0,1583000000.0,117000000.0,-496000000.0,4.21,376000000.0,438000000.0,27000000.0,53000000.0,411000000.0,9358000000.0,1.4277,4.21,1281000000.0,0.36399172223499654,0.06575285565939772,0.3798896088312935,0.29469642428605713,0.05100726895119419,0.0895892609615525,0.09863210943124551,0.3074154067674586,2.151759025063233,1.4986642920747997,15438000000.0,4035000000.0,968000000.0,4352000000.0,357000000.0,6.79,6.79,2.1502757352941178,11.302521008403362
2020-03-31,49045000000.0,10406000000.0,8531000000.0,49045000000.0,13449000000.0,18005000000.0,532000000.0,589000000.0,6669000000.0,917000000.0,516000000.0,241000000.0,137000000.0,0.84,616000000.0,356000000.0,51000000.0,113000000.0,305000000.0,18537000000.0,1.3154,0.84,1030000000.0,0.03836716484496989,0.010520950147823428,0.07737291947818263,0.13750187434397962,0.018697114894484657,0.028668792596761083,0.045733993102414154,0.15444594391962813,1.3783180905643542,1.2197866604149572,30160000000.0,6204000000.0,2872000000.0,6943000000.0,829000000.0,8.75,8.75,2.6698833357338327,7.4837153196622435
2021-03-31,54773000000.0,15487000000.0,8701000000.0,54773000000.0,19171000000.0,17768000000.0,19000000.0,5499000000.0,7412000000.0,1528000000.0,911000000.0,259000000.0,226000000.0,1.44,631000000.0,1723000000.0,62000000.0,99000000.0,1661000000.0,17787000000.0,1.6609,1.44,1627000000.0,0.04751969120025038,0.016632282328884668,0.1229087965461414,0.20615218564490015,0.027896956529677032,0.041344228583797826,0.22409606044252564,0.2195089044792229,0.9278076261019248,1.779910355131594,33532000000.0,6932000000.0,3980000000.0,7654000000.0,993000000.0,9.5,9.5,2.3238829370263914,6.98086606243706
