report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,1519300000.0,640300000.0,292300000.0,794700000.0,724600000.0,324200000.0,,,,421400000.0,,13300000.0,7600000.0,0.1,129600000.0,,6300000.0,,324200000.0,,16.1663,1.3044,0.1,,0.018354954457631797,0.008754031461857435,0.03156146179401993,,,,,,0.4474192658018217,2.1905576462538487,,,,,,,,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2010-12-31,1515000000.0,608000000.0,287600000.0,786300000.0,728700000.0,324200000.0,,,,863700000.0,,23700000.0,13500000.0,0.18,129000000.0,,13600000.0,,324200000.0,,17.8386,1.3025,0.18,,0.03252367229312474,0.015643564356435644,0.02744008336227857,,,,,,0.4449018800603815,2.114047287899861,,,,,,,,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2011-03-31,1853400000.0,705600000.0,855100000.0,1161100000.0,692300000.0,124200000.0,440000000.0,,,1390800000.0,,53400000.0,32000000.0,0.42,128800000.0,,20600000.0,,564200000.0,,17.9381,1.3278,0.42,,0.07713419037989311,0.028811913240530916,0.038395168248490076,,,,,,0.8149646107178968,0.8251666471757689,,,,,,,,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2011-06-30,1904000000.0,751400000.0,782700000.0,1106700000.0,797300000.0,124300000.0,400000000.0,,,-509000000.0,,,44800000.0,0.6200000000000001,-259100000.0,,-11300000.0,,524300000.0,0.96,17.5083,1.3703,0.6200000000000001,,,,,,,,,,0.6575943810359964,0.9600102210297687,2166900000.0,,,,,1.32,1.32,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2011-09-30,1927200000.0,685300000.0,293600000.0,1134700000.0,792500000.0,614300000.0,,,,476400000.0,,,9500000.0,0.13,126700000.0,23300000.0,4100000.0,19200000.0,614300000.0,,14.4316,1.1237,0.13,,,,,,,,0.04030226700251889,,0.7751419558359621,2.3341280653950953,2221900000.0,,,,,1.35,1.35,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2011-12-31,1896900000.0,634900000.0,300800000.0,1113100000.0,783800000.0,594300000.0,,,,956200000.0,,,13300000.0,0.19,126900000.0,88100000.0,13600000.0,74500000.0,594300000.0,,16.5676,1.2422,0.19,,,,,,,,0.07791257059192637,,0.7582291400867568,2.1107047872340425,2314400000.0,,,,,1.36,1.36,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2012-03-31,2014300000.0,749600000.0,438300000.0,1213500000.0,800800000.0,564300000.0,,,,1503200000.0,,,24000000.0,0.32,127400000.0,103900000.0,22800000.0,81100000.0,564300000.0,,19.1842,1.3164,0.32,,,,,,,,0.05395156998403406,,0.7046703296703297,1.7102441250285192,2426800000.0,,,,,1.2600000000000002,1.2600000000000002,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2012-06-30,1987600000.0,777400000.0,410300000.0,1137100000.0,850500000.0,524400000.0,,,,-632300000.0,,,29100000.0,0.32999999999999996,-253500000.0,75300000.0,-6700000.0,68600000.0,524400000.0,1.8947,21.5939,1.1587,0.32999999999999996,,,,,,,,-0.10849280404871106,,0.61657848324515,1.894711186936388,2303500000.0,,,243400000.0,,0.97,0.97,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2012-09-30,1830500000.0,620900000.0,313600000.0,1041000000.0,789500000.0,524400000.0,,,,495800000.0,,18300000.0,10300000.0,0.14,127100000.0,-15600000.0,6400000.0,-22000000.0,524400000.0,,22.4855,1.2119,0.14,,0.02317922735908803,0.009997268505872712,0.03691004437273094,,,,-0.04437273093989512,,0.6642178594046865,1.9799107142857142,2322900000.0,,,202200000.0,,0.98,0.98,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
2012-12-31,1856200000.0,653600000.0,344400000.0,1072800000.0,783400000.0,524400000.0,,,,989000000.0,,34100000.0,19200000.0,0.27,126300000.0,73500000.0,16500000.0,57000000.0,524400000.0,,20.8384,1.197,0.27,,0.043528210365075315,0.018370865208490465,0.034479271991911024,,,,0.057633973710819006,,0.6693898391626245,1.8977932636469221,2355700000.0,,,184700000.0,,1.06,1.06,,1.0004623,271.91,163.71,1.56494,20358.643,19.0731,10.7185,2.8353
