report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,7253826000.0,5252447000.0,3256636000.0,,3416197000.0,17745000.0,,1608989000.0,4918855000.0,,,136635000.0,3172000.0,79416000.0,0.76,180769000.0,-252562000.0,47998000.0,,-300560000.0,17745000.0,,0.3942,13.4946,0.76,,0.03999622972562765,0.018836266544027938,0.027777806013797927,,,,,-0.0611036511545878,,0.005194372572776102,1.6128443584115633,,,,,,,,,,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2010-06-30,7267885000.0,5201409000.0,3182098000.0,,3528714000.0,17749000.0,,1437118000.0,10070976000.0,,,294010000.0,5476000.0,160140000.0,1.63,180729000.0,-227384000.0,123411000.0,,-350795000.0,17749000.0,,0.3622,12.56,1.63,,0.08331930556004255,0.04045330931901096,0.029193794126805585,,,,,-0.034832274448871686,,0.0050298777401625635,1.6345847928002217,,,,,,,,,,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2010-09-30,7692410000.0,5564114000.0,3598178000.0,,3519178000.0,17754000.0,,1977145000.0,15582464000.0,,,240374000.0,7659000.0,215107000.0,1.33,180878000.0,210416000.0,211347000.0,,-931000.0,17754000.0,,0.4204,22.7554,1.33,,0.06830401872255396,0.031248204398881495,0.015425930071136375,,,,,-5.9746648540307876e-05,,0.0050449281053700605,1.5463698571888327,,,,,,,,,,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2010-12-31,7614923000.0,5562825000.0,3523383000.0,,3496999000.0,17759000.0,,2134997000.0,-9722946000.0,,,-313523000.0,-5691000.0,-336149000.0,-1.7399999999999998,-361388000.0,820444000.0,-117346000.0,,703098000.0,17759000.0,1.5788,0.5682,33.1379,-1.7399999999999998,,-0.08965487264937737,-0.04117218256835952,0.03224567944736091,,,,,-0.07231326801568166,,0.005078354326095031,1.5788306295398484,20849349000.0,357496000.0,,,50812000.0,,10616000.0,1.9800000000000002,1.9800000000000002,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2011-03-31,7550208000.0,5450396000.0,3533936000.0,,3415566000.0,17763000.0,,2191665000.0,5057776000.0,,,139711000.0,2549000.0,79865000.0,0.78,179022000.0,370533000.0,55632000.0,,314901000.0,17763000.0,,0.6206,36.1212,0.78,,0.04090420152911699,0.01850425842572814,0.02762301058805293,,,,,0.06226076441503143,,0.00520060218423535,1.5423018413463063,20988270000.0,360572000.0,,,666273000.0,,9993000.0,2.0,2.0,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2011-06-30,7669039000.0,5592494000.0,3541369000.0,,3486139000.0,17768000.0,,1945965000.0,11091652000.0,,,305210000.0,6107000.0,169598000.0,1.72,177140000.0,427910000.0,157961000.0,,269949000.0,17768000.0,,0.5153,30.5644,1.72,,0.08754957848783425,0.03979768521192812,0.027517091232216805,,,,,0.024338033685153485,,0.005096756038700695,1.5791898556744581,22008946000.0,371772000.0,,,1287017000.0,,10624000.0,2.0900000000000003,2.0900000000000003,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2011-09-30,8189819000.0,6049361000.0,3795912000.0,8189819000.0,3295757000.0,513386000.0,,2386289000.0,17129265000.0,,753207000.0,440572000.0,8134000.0,238946000.0,2.51,175819000.0,711179000.0,237404000.0,,473775000.0,513386000.0,,0.3613,14.5073,2.51,753207000.0,0.13367854486844752,0.053795083871816946,0.025720426416428258,,0.0439719392513339,0.09196869918614807,0.19773660374525187,0.02765880497499455,0.0439719392513339,0.155771799923356,1.5936515388133339,23555747000.0,571970000.0,,,1761723000.0,,11099000.0,3.27,3.27,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2011-12-31,8270276000.0,5880623000.0,3840111000.0,8270276000.0,3395525000.0,513500000.0,,2161411000.0,-9897294000.0,,248609000.0,-291765000.0,-1189000.0,-184680000.0,-1.6099999999999999,-357417000.0,-619853000.0,-112830000.0,,-732683000.0,513500000.0,1.5316,0.3772,14.8521,-1.6099999999999999,248609000.0,-0.08592632950721905,-0.03527875006831695,0.029479269788287587,,-0.02511888603086864,0.030060544533217513,0.06359872346684915,0.07402861832739333,-0.02511888603086864,0.15122845509899058,1.53136797347785,23381399000.0,593728000.0,,,325942000.0,,15601000.0,3.4,3.4,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2012-03-31,8521177000.0,6164929000.0,3904097000.0,8521177000.0,3542112000.0,513615000.0,,1922286000.0,6290108000.0,,240800000.0,154882000.0,6881000.0,63625000.0,0.91,170406000.0,-47078000.0,54319000.0,,-101397000.0,513615000.0,,0.4212,17.0215,0.91,240800000.0,0.04372589009043192,0.01817612754669924,0.024623106630283612,,0.03828233155933094,0.028259006942350805,0.05937283254025727,-0.01612007297807923,0.03828233155933094,0.14500247310079412,1.5790921690726434,24613731000.0,608899000.0,,,-90356000.0,,19933000.0,3.5300000000000002,3.5300000000000002,,,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
2012-06-30,8392136000.0,6171173000.0,3743941000.0,8392136000.0,3554557000.0,513730000.0,,1803569000.0,13418357000.0,,528981000.0,316072000.0,13491000.0,159285000.0,1.86,169924000.0,81663000.0,120425000.0,,-38762000.0,513730000.0,,0.3235,13.7516,1.86,528981000.0,0.08892022268879075,0.03766287867594138,0.023555193828871897,,0.03942218857345948,0.06303293940898956,0.13002548738572278,-0.0028887292237045115,0.03942218857345948,0.1445271520473578,1.648309361712698,26940436000.0,619761000.0,1771597000.0,,-399067000.0,1771597000.0,27317000.0,3.67,3.67,0.2899812993587142,64.8532781784237,1.3419878,57.5,29.2,2.72393,6909.074,1.9691,0.4456
