report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-07-31,4413680000.0,1646581000.0,740784000.0,,2175667000.0,746698000.0,,214713000.0,,2903451000.0,,,27040000.0,0.8,128670000.0,57600000.0,129103000.0,71070000.0,746698000.0,,11.8701,0.2753,0.8,,,,0.024477768007794862,0.34320417600671427,2.2227545411347975,,,,,,,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2010-10-30,4712091000.0,1993109000.0,1130320000.0,,2116565000.0,697704000.0,,167119000.0,,4276488000.0,,,33075000.0,1.02,158911000.0,73750000.0,194520000.0,85161000.0,697704000.0,,11.2623,0.2737,1.02,,,,0.019913770364841432,0.32963977009919376,1.7633139287989241,,,,,,,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2011-01-29,4374166000.0,1701926000.0,831212000.0,,2086720000.0,697246000.0,,343291000.0,,6253535000.0,,,84450000.0,2.67,512922000.0,98184000.0,263395000.0,414738000.0,697246000.0,2.0475,13.7415,0.3947,2.67,,,,0.06632056908612488,0.33413491028983283,2.0475233755046847,,,,,,,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2011-04-30,4336878000.0,1715971000.0,988725000.0,,1904863000.0,696783000.0,,147266000.0,,1498756000.0,,,42710000.0,1.31,59186000.0,16961000.0,64485000.0,42225000.0,696783000.0,,12.3157,0.4075,1.31,,,,0.028173365110798557,0.36579166060761326,1.735539204531088,14932230000.0,,613194000.0,,5.800000000000001,5.800000000000001,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2011-07-30,4177338000.0,1601154000.0,822382000.0,,1930956000.0,696314000.0,,179525000.0,,2973809000.0,,,49720000.0,1.66,125030000.0,48700000.0,129054000.0,76330000.0,696314000.0,,14.0905,0.4862,1.66,,,,0.02566741845222743,0.36060583462285,1.946971115612939,15002588000.0,,618454000.0,,6.66,6.66,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2011-10-29,4717130000.0,1971141000.0,1299049000.0,4717130000.0,2033957000.0,634812000.0,142000000.0,106383000.0,,4390347000.0,322413000.0,,-138640000.0,5.8,135553000.0,80304000.0,194272000.0,55249000.0,776812000.0,,6.1378,0.4163,5.8,0.158515150516948,0.06834939889297094,0.07343679212599824,0.012584198925506343,0.3819215450474125,1.5173723239077201,15116447000.0,,588542000.0,,11.44,11.44,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2012-01-28,4306137000.0,1591729000.0,870364000.0,4306137000.0,2052019000.0,614785000.0,,224272000.0,,-2463147000.0,141496000.0,,-16308000.0,-0.25,181371000.0,-30314000.0,-128344000.0,151057000.0,614785000.0,1.8287,4.8854,0.3539,-0.25,0.06895452722416313,0.03285914962761287,-0.05744521134954592,-0.06132683108235115,0.29960005243616167,1.8288084065976993,6399765000.0,,324861000.0,,8.52,8.52,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2012-04-28,4516034000.0,1826916000.0,1021607000.0,4516034000.0,2123760000.0,614785000.0,,250685000.0,,1583228000.0,94983000.0,,52970000.0,1.89,98462000.0,47499000.0,64488000.0,50963000.0,614785000.0,,6.6315,0.4927,1.89,0.04472398011074698,0.02103239258163247,0.05999325428807474,0.032189299330229126,0.28947950804234,1.7882767052300934,6484237000.0,,333599000.0,,9.1,9.1,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2012-07-28,4261462000.0,1602549000.0,875594000.0,4261462000.0,2021477000.0,614785000.0,24000000.0,162533000.0,,3111194000.0,126005000.0,,70300000.0,2.53,152821000.0,86740000.0,129197000.0,66081000.0,638785000.0,,6.5889,0.4994,2.53,0.06233313562311122,0.029568490813716045,0.040500528093072946,0.021239755540798808,0.31599914320073885,1.8302420985068422,6621622000.0,684897000.0,323350000.0,,9.969999999999999,9.969999999999999,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
2012-10-27,4559367000.0,1944586000.0,1137511000.0,4559367000.0,2069414000.0,614785000.0,27000000.0,124794000.0,,4597539000.0,174519000.0,,94531000.0,3.55,219873000.0,111910000.0,195489000.0,107963000.0,641785000.0,,11.4842,0.5491,3.55,0.08433256951001587,0.0382770239816185,0.037959221226834615,0.023482780678967596,0.3101288577346051,1.7095096223245314,6828814000.0,537003000.0,376064000.0,,7.72,7.72,1.2028599,741.98,343.12,0.08523,8831.766,15.4892,5.5538,1.3456
