report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,5079369000.0,3592507000.0,1369489000.0,8074000.0,310926000.0,-50754000.0,-50677000.0,,146000.0,-0.35,158522000.0,101779000.0,148464000.0,0.0,,,5.2743,-0.35,97710000.0,-0.03700431328765693,-0.009977026673982536,-0.16298733460694828,-0.16323498195712163,-0.009992186037281402,-0.03706053863886457,0.31425483877192645,0.0,,,,,,,,,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2010-09-30,5477358000.0,3684689000.0,1672005000.0,10107000.0,471827000.0,-79190000.0,-74443000.0,,,-0.51,160841000.0,157489000.0,225246000.0,0.0,,,6.4874,-0.51,146056000.0,-0.04452319221533428,-0.013591041520382636,-0.15777604927229683,-0.16783694023445034,-0.014457700227007254,-0.047362298557719625,0.30955413742748933,0.0,,,,,,,,,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2010-12-31,5529540000.0,3800453000.0,1606343000.0,9486000.0,646596000.0,-107109000.0,-102899000.0,,,-0.68,165857000.0,214180000.0,308289000.0,0.0,0.0466,,8.0721,-0.68,201180000.0,-0.06405792536214246,-0.01860896204747592,-0.15913955545657565,-0.1656505762485385,-0.01937032736900357,-0.06667878529056372,0.31113709333184864,0.0,,,,,,,,,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2011-03-31,5501877000.0,3741191000.0,1633588000.0,11692000.0,169056000.0,-28295000.0,-27875000.0,,,-0.17,182531000.0,47953000.0,85158000.0,0.0,,,8.5897,-0.17,56863000.0,-0.01706366599166987,-0.0050664527760253455,-0.164886191557827,-0.16737057543062653,-0.005142790360453351,-0.017320768761768572,0.3363560003785728,0.0,1598405000.0,-255894000.0,-265348000.0,501809000.0,,-1.71,-1.71,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2011-06-30,5961777000.0,3943820000.0,1826873000.0,21634000.0,347852000.0,-56991000.0,-13224000.0,,,-0.1,,115075000.0,177305000.0,0.0,,,8.66,-0.1,120314000.0,-0.007238598413792311,-0.00221813060099363,-0.03801616779549923,-0.16383691914952336,-0.009559398145888381,-0.031195928781037323,0.3458769821648287,0.0,1635331000.0,-218441000.0,-271585000.0,524413000.0,,-1.46,-1.46,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2011-09-30,6804903000.0,4265344000.0,2326092000.0,13482000.0,534299000.0,-81471000.0,-26475000.0,,,-0.17,,182921000.0,276008000.0,0.0,,,8.7442,-0.17,194537000.0,-0.011381751022745447,-0.003890577132399977,-0.049550906889213715,-0.15248203721137416,-0.011972396961426195,-0.035024839946141424,0.3640976307273643,0.0,1697803000.0,-170473000.0,-273866000.0,572894000.0,,-1.12,-1.12,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2011-12-31,6721354000.0,4166095000.0,2314050000.0,12503000.0,-342522000.0,55826000.0,87597000.0,4602000.0,-5647000.0,0.49000000000000005,,-101713000.0,-164197000.0,0.0,0.0572,276.7595,8.8733,0.49000000000000005,-108371000.0,0.03785441109742659,0.013032641934943466,-0.2557412370592254,-0.1629851513187474,0.008305766963025605,0.024124802834856636,0.31639135588370965,0.0,708685000.0,20023000.0,-110931000.0,263343000.0,,0.050000000000000044,0.050000000000000044,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2012-03-31,6942515000.0,4152907000.0,2533179000.0,3558000.0,175925000.0,-18444000.0,83156000.0,,,0.37,,70014000.0,95165000.0,0.0,,46.776,9.3381,0.37,76721000.0,0.03282673668145836,0.011977791909704192,0.4726786983089385,-0.1048401307375302,-0.002656674130340374,-0.007280969880138751,0.4361006110558477,0.0,715554000.0,131054000.0,-101080000.0,283201000.0,,0.5900000000000001,0.5900000000000001,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2012-06-30,6972621000.0,3614381000.0,3110106000.0,184112000.0,356623000.0,-41973000.0,233508000.0,,,0.99,,148104000.0,180656000.0,0.0,,24.3469,9.505,0.99,138683000.0,0.07508039918896654,0.03348927182475571,0.654775491204998,-0.11769571788695625,-0.006019687575160044,-0.013495681497672427,0.3888784514739655,0.0,724325000.0,377786000.0,-86062000.0,301570000.0,,1.6800000000000002,1.6800000000000002,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
2012-09-30,6910902000.0,3621902000.0,3051630000.0,82377000.0,542944000.0,-52757000.0,224477000.0,,,0.92,,245416000.0,269957000.0,0.0,,22.6302,8.7706,0.92,217200000.0,0.07355970415810567,0.03248157765802496,0.41344411209995874,-0.09716840042435315,-0.007633880497798985,-0.017288137814872706,0.40004125655684564,0.0,732970000.0,628738000.0,-57348000.0,324233000.0,,2.77,2.77,0.0,,0.7086165,45.56,32.94,3.97364,11381.732,30.134,3.7174,6.647
