report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,roi,roic,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-30,220635000.0,72431000.0,119779000.0,66525000.0,4233000.0,,910000.0,-1160000.0,3114000.0,,,,-197000.0,3262000.0,66525000.0,,,,,4172000.0,-0.009684502291720586,-0.005257552065628754,,0.004124458948036349,0.004884489866025421,0.5553978577213033,,,,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2013-12-31,292860000.0,52023000.0,212295000.0,42821000.0,56478000.0,,1413000.0,-1661000.0,4295000.0,,-0.13,,1005000.0,5107000.0,42821000.0,2.1918,,,-0.13,6520000.0,-0.007824018464871994,-0.005671651983883084,,0.004824830977258759,0.005538656924693081,0.20170517440354224,,,,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2014-03-31,401851000.0,170048000.0,197419000.0,159382000.0,10092000.0,,,-3093000.0,1281000.0,,,,-380000.0,2416000.0,159382000.0,2.1918,,,,,-0.015667185022718178,-0.007696882675419496,,,,0.8073285752637791,,,,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2014-06-30,469152000.0,93087000.0,336332000.0,78963000.0,6697000.0,,,-3654000.0,2938000.0,,,,3911000.0,6152000.0,78963000.0,,0.4909,0.2302,,,-0.010864265071417528,-0.007788520564763659,,,,0.23477694658848994,,-9568000.0,11628000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2014-09-30,708662000.0,172998000.0,474279000.0,,17025000.0,,,-5748000.0,4849000.0,,,,7445000.0,10565000.0,0.0,,0.638,0.2964,,,-0.012119448678942142,-0.008111059997572891,,,,0.0,,-14156000.0,13363000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2014-12-31,811573000.0,242364000.0,534730000.0,,15923000.0,,,8458000.0,-2161000.0,,,,2319000.0,-2402000.0,0.0,1.3303,0.8528,0.3471,,,0.015817328371327585,0.010421736553581747,,,,0.0,,-4037000.0,6907000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2015-03-31,1066207000.0,190207000.0,818634000.0,,35774000.0,,,-522000.0,1710000.0,,,,9725000.0,8240000.0,0.0,,2.9146,0.5248,,,-0.000637647593430031,-0.0004895859809586694,,,,0.0,,-1466000.0,7336000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2015-06-30,1203456000.0,322981000.0,823032000.0,,22549000.0,,,2049000.0,3903000.0,,0.0,71862249.0,22460000.0,18591000.0,0.0,,2.9301,0.4468,0.0,,0.002489575131951127,0.0017025965220165923,,,,0.0,,4237000.0,8301000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2015-09-30,1478825000.0,610738000.0,811282000.0,,4718000.0,,,5453000.0,7244000.0,,0.0,73040846.0,41651000.0,31067000.0,0.0,,4.5559,0.4344,0.0,,0.006721460601862237,0.003687386945717039,,,,0.0,,15438000.0,10696000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2015-12-31,1644871000.0,541450000.0,1021132000.0,,3143000.0,,,3619000.0,-2221000.0,,0.0,-68111022.0,-12484000.0,-12427000.0,0.0,14.8724,,0.7574,0.0,,0.003544105953001179,0.0022001725363265568,,,,0.0,,10599000.0,10636000.0,,,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2016-03-31,1850892000.0,442871000.0,1323251000.0,,22906000.0,,,4386000.0,4197000.0,,0.0,107148380.0,20148000.0,16010000.0,0.0,,,1.0905,0.0,,0.0033145639035980323,0.002369668246445498,,,,0.0,,15507000.0,13123000.0,0.0,0.0,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2016-06-30,2532912000.0,714977000.0,1738121000.0,,37945000.0,,,10872000.0,8476000.0,,0.0,121575247.0,59541000.0,35809000.0,0.0,,,1.5839,0.0,,0.006255030576122146,0.004292292823438003,,,,0.0,,24330000.0,17696000.0,0.0,0.0,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2016-09-30,2670647000.0,876346000.0,1721519000.0,,8396000.0,,,20299000.0,15776000.0,,0.0,127395989.0,89423000.0,59778000.0,0.0,,,1.7521,0.0,,0.01179133079565198,0.007600779885922775,,,,0.0,,39176000.0,26228000.0,0.0,0.0,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2016-12-31,2888092000.0,1079297000.0,1738451000.0,,15491000.0,,,-7433000.0,-4585000.0,,0.0,-225652723.0,-44333000.0,-25008000.0,0.0,3.3094,4.0468,1.4422,0.0,,-0.004275645387761864,-0.002573671475839412,,,,0.0,,28124000.0,23864000.0,0.0,0.0,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2017-03-31,3196393000.0,1091928000.0,2020843000.0,,117484000.0,,,6191000.0,9815000.0,,0.04,,32830000.0,27933000.0,0.0,,3.1352,1.7596,0.04,,0.0030635729742488653,0.0019368707164607105,,,,0.0,,29929000.0,29482000.0,0.04,0.04,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2017-06-30,3665891000.0,1506895000.0,2075300000.0,,11509000.0,,,15861000.0,21287000.0,,0.11,151912432.0,86377000.0,56056000.0,0.0,,5.1877,2.1659,0.11,,0.007642750445718691,0.004326642554293076,,,,0.0,,34918000.0,42293000.0,0.15,0.15,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2017-09-30,3838500000.0,1289360000.0,2463906000.0,,4924000.0,,,27879000.0,33285000.0,,0.18,162480918.0,128242000.0,89031000.0,0.0,,5.9203,1.9949,0.18,,0.011314960879189385,0.007262993356779992,,,,0.0,,42498000.0,59802000.0,0.32999999999999996,0.32999999999999996,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2017-12-31,4164383000.0,1604402000.0,2473172000.0,,2727000.0,,,-12516000.0,-17379000.0,,-0.09999999999999995,-146162051.0,-66978000.0,-47861000.0,0.0,1.2761,7.6993,1.7249,-0.09999999999999995,,-0.005060707463937001,-0.003005487247450583,,,,0.0,,37415000.0,47008000.0,0.23000000000000004,0.23000000000000004,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2018-03-31,4257007000.0,1706011000.0,2453114000.0,,6550000.0,,,10421000.0,16494000.0,,0.06,,40890000.0,38576000.0,0.0,,,1.5281,0.06,,0.004248070004084605,0.002447964027308388,,,,0.0,,41645000.0,53687000.0,0.25,0.25,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2018-06-30,4218265000.0,1694961000.0,2427088000.0,,9226000.0,212212000.0,,21724000.0,33648000.0,,0.12,187387211.0,102313000.0,76301000.0,0.0,,44.2352,1.5263,0.12,,0.008950643734384579,0.00514998465008718,0.10236932878442312,,,0.0,,47508000.0,66048000.0,0.26,0.26,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2018-09-30,4152561000.0,1645410000.0,2411977000.0,,4463000.0,317240000.0,,44436000.0,49974000.0,,0.0,187622109.0,145464000.0,119024000.0,0.0,,17.7481,1.6403,0.0,,0.01842306124809648,0.010700866284685523,0.14007060900264784,,,0.0,,64065000.0,82737000.0,0.08000000000000004,0.08000000000000004,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2018-12-31,4142834000.0,1670427000.0,2379505000.0,,19161000.0,-106901000.0,,-21691000.0,-33933000.0,,0.12,-187482558.0,-79973000.0,-75512000.0,0.0,0.6742,2.756,2.4546,0.12,,-0.009115761471398464,-0.005235787868883957,0.20290736288715727,,,0.0,,54890000.0,66183000.0,0.3,0.3,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2019-03-31,4185005000.0,1717797000.0,2374963000.0,,5048000.0,105368000.0,,10773000.0,16269000.0,,0.06,188497308.0,26427000.0,36449000.0,0.0,,3.1451,2.9643,0.06,,0.004536070667206184,0.002574190472890713,0.10224166729936983,,,0.0,527919000.0,55242000.0,65958000.0,0.3,0.3,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2019-06-30,4171987000.0,1719615000.0,2355310000.0,,6883000.0,200271000.0,,17459000.0,32322000.0,,0.09,189699284.0,96214000.0,72734000.0,0.0,,3.2729,2.7373,0.09,,0.007412612352514106,0.0041848164915183105,0.08717687533392253,,,0.0,515978000.0,50977000.0,64632000.0,0.27,0.27,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2019-09-30,4247697000.0,1756310000.0,2382284000.0,,8724000.0,307864000.0,,32194000.0,48507000.0,,0.17,190489654.0,140123000.0,109348000.0,0.0,,3.9465,2.6267,0.17,,0.013513921933740897,0.007579165839747986,0.10457214874100253,,,0.0,506602000.0,38735000.0,63165000.0,0.44,0.44,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2019-12-31,4346581000.0,1837697000.0,2408948000.0,,2355000.0,-198222000.0,,12848000.0,-32076000.0,,0.07,-377059926.0,-61587000.0,-72095000.0,0.0,0.329,79.0798,2.9008,0.07,,0.005333448459659569,0.0029558864772104786,-0.0648162161616773,,,0.0,415281000.0,73274000.0,65022000.0,0.39,0.39,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
2020-03-31,4340808000.0,1637508000.0,2602289000.0,,2612000.0,107428000.0,,14097000.0,15626000.0,,0.07,202842340.0,34858000.0,36747000.0,0.0,,10.7322,2.3822,0.07,,0.005417153897972132,0.0032475520686471274,0.13122277246155564,,,0.0,417341000.0,76598000.0,64379000.0,0.4,0.4,1.0681611,20.1,15.71,9.5611,11766.481,164.9191,1.5316,4.1688
