report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-30,5093788000.0,1165219000.0,494919000.0,5093788000.0,1574029000.0,2202688000.0,,36701000.0,2351383000.0,278956000.0,152544000.0,34074000.0,92487000.0,1.94,78672000.0,201252000.0,166812000.0,34440000.0,2202688000.0,1.94,278956000.0,0.0969130810169317,0.02994706493477938,0.06487416129146124,0.11863486297213172,0.05476395955230175,0.07386203414235168,0.01464669941051713,0.11863486297213172,1.3993948014934923,2.3543630371838624,,,,,,,,
2011-12-31,5158640000.0,1202651000.0,908594000.0,5158640000.0,1649140000.0,1760065000.0,406861000.0,45790000.0,3505134000.0,409568000.0,224849000.0,,136428000.0,2.87,78340000.0,341051000.0,263398000.0,77653000.0,2166926000.0,2.87,409568000.0,0.13634318493275283,0.043586875610626054,0.0641484747801368,0.1168480292051602,0.07939456911123863,0.10732728417170982,0.022154074566050827,0.1168480292051602,1.3139733436821617,1.3236396014061287,,,,,,,,
2012-03-31,5320585000.0,1274206000.0,930049000.0,5320585000.0,1750258000.0,1761902000.0,388452000.0,44663000.0,4746283000.0,556221000.0,313374000.0,,178792000.0,4.0,78324000.0,506406000.0,356514000.0,149892000.0,2150354000.0,4.0,556221000.0,0.17904446087376832,0.058898410607104296,0.06602514009383764,0.1171908628288705,0.10454132393336447,0.1425983922522927,0.031580923429976676,0.1171908628288705,1.2285925846360937,1.3700417934969018,,,,,,,,
2012-06-30,5373406000.0,1331795000.0,898483000.0,5373406000.0,1836070000.0,1751155000.0,346341000.0,54895000.0,1257256000.0,151690000.0,90798000.0,,53505000.0,1.15,78799000.0,147623000.0,82143000.0,65480000.0,2097496000.0,1.15,151690000.0,0.04945236292733937,0.016897662302085493,0.07221918209179355,0.1206516413522783,0.02822976711605265,0.03856297313938548,0.05208167628549794,0.1206516413522783,1.1423834603255867,1.4822706717878913,11860056000.0,781565000.0,1396435000.0,327465000.0,1396435000.0,9.96,9.96,1.5020362566105834
2012-09-30,5408978000.0,1341810000.0,866422000.0,5408978000.0,1906592000.0,1752515000.0,329427000.0,47867000.0,2486866000.0,296876000.0,171818000.0,,102952000.0,2.18,78860000.0,263949000.0,162199000.0,101750000.0,2081942000.0,2.18,296876000.0,0.09011786475554287,0.03176533533691577,0.0690901721282932,0.11937756195951048,0.05488578433855712,0.07443236036097474,0.04091495078544642,0.11937756195951048,1.0919703848542321,1.548679511831417,11995539000.0,800839000.0,1414355000.0,394775000.0,1414355000.0,10.200000000000001,10.200000000000001,1.4720080884926345
2012-12-31,5539061000.0,1388957000.0,1094755000.0,5539061000.0,1837746000.0,1706926000.0,284305000.0,66606000.0,3694574000.0,444155000.0,254733000.0,,151649000.0,3.23,78883000.0,405058000.0,244052000.0,161006000.0,1991231000.0,3.23,444155000.0,0.13861164709377682,0.0459884807190244,0.06894786787326496,0.12021819024331357,0.08018597375981236,0.11599834629458469,0.04357904321310116,0.12021819024331357,1.083518070505935,1.268737754109367,12184979000.0,830723000.0,1448942000.0,478128000.0,1448942000.0,10.559999999999999,10.559999999999999,1.3742654985499765
2013-03-31,5618225000.0,1463830000.0,861714000.0,5618225000.0,1536983000.0,2304245000.0,0.0,86386000.0,-2481199000.0,-296304000.0,-176475000.0,,-105563000.0,-2.210000000000001,-158235000.0,-266362000.0,-162929000.0,-429291000.0,2304245000.0,-2.210000000000001,-296304000.0,-0.11481909689306909,-0.031411166338122805,0.07112488760474271,0.11941968378997413,-0.05273978881230282,-0.07713783196415314,0.17301756126775805,0.11941968378997413,1.4992000562140244,1.6987422741187912,4957497000.0,340874000.0,596417000.0,-101055000.0,596417000.0,4.349999999999999,4.349999999999999,3.8634797465531667
2013-12-31,5755259000.0,1402373000.0,1353093000.0,5755259000.0,1768586000.0,1704744000.0,443209000.0,62225000.0,3804707000.0,480302000.0,262427000.0,,154929000.0,3.51,74812000.0,553862000.0,257476000.0,296386000.0,2147953000.0,3.51,480302000.0,0.14838238004824192,0.04559777414013861,0.0689742994664241,0.12623889303433877,0.08345445443897485,0.12263429522851681,0.07789982250932857,0.12623889303433877,1.2145029984405622,1.0364202608394248,7504948000.0,512503000.0,925029000.0,129851000.0,925029000.0,6.709999999999999,6.709999999999999,2.322038552304847
