report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-03-31,9688000000.0,6016000000.0,3888000000.0,7043000000.0,2162000000.0,1996000000.0,89000000.0,1412000000.0,,464000000.0,342000000.0,35000000.0,77000000.0,1.04,328470000.0,293000000.0,2085000000.0,1.482,,,1.04,464000000.0,0.15818686401480112,0.035301403798513625,,,0.04789430222956235,0.10925359076995526,,0.9643848288621647,1.5473251028806585,,,,,,,,,,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2012-06-30,9437000000.0,5850000000.0,3696000000.0,6774000000.0,2185000000.0,1995000000.0,69000000.0,1523000000.0,,932000000.0,672000000.0,68000000.0,175000000.0,2.05,327300000.0,754000000.0,2064000000.0,,,,2.05,932000000.0,0.30755148741418764,0.07120907067924129,,,0.0987601992158525,0.21934572840668393,,0.9446224256292907,1.5827922077922079,,,,,,,,,,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2012-09-30,9639000000.0,5897000000.0,3670000000.0,6769000000.0,2406000000.0,1998000000.0,92000000.0,1634000000.0,,1299000000.0,941000000.0,100000000.0,227000000.0,2.89,325280000.0,1168000000.0,2090000000.0,,8.2127,0.6459,2.89,1299000000.0,0.3911055694098088,0.09762423487913684,,,0.1347650171179583,0.288923487544484,,0.8686616791354946,1.6068119891008175,,,,,,,,,,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2012-12-31,10176000000.0,5227000000.0,3659000000.0,7346000000.0,2345000000.0,2324000000.0,140000000.0,1105000000.0,,-1219000000.0,-878000000.0,-67000000.0,-267000000.0,-2.6500000000000004,-657760000.0,-737000000.0,2464000000.0,1.4285,11.278,0.7827,-2.6500000000000004,-1219000000.0,-0.3744136460554371,-0.0862814465408805,,,-0.11979166666666667,-0.2534830526096902,,1.0507462686567164,1.4285323858977863,,1077000000.0,1476000000.0,1476000000.0,136000000.0,3.3299999999999996,3.3299999999999996,1.6693766937669376,10.852941176470589,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2013-03-31,10273000000.0,5387000000.0,3674000000.0,7376000000.0,2398000000.0,2375000000.0,103000000.0,830000000.0,,397000000.0,276000000.0,36000000.0,37000000.0,0.0,315360000.0,149000000.0,2478000000.0,,13.7282,0.8983,0.0,397000000.0,0.11509591326105087,0.026866543366105326,,,0.038644991725883385,0.08141919606234618,,1.0333611342785656,1.4662493195427326,,1011000000.0,1409000000.0,1409000000.0,137000000.0,2.2899999999999996,2.2899999999999996,1.758694109297374,10.284671532846716,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2013-06-30,10551000000.0,5633000000.0,3809000000.0,7509000000.0,2521000000.0,2367000000.0,59000000.0,1001000000.0,,483000000.0,367000000.0,36000000.0,73000000.0,1.0,312690000.0,,2426000000.0,,15.501,1.0351,1.0,483000000.0,0.14557715192383974,0.03478343284996683,,,0.04577765140744953,0.0976349302607641,,0.9623165410551369,1.4788658440535574,,706000000.0,960000000.0,960000000.0,105000000.0,1.2399999999999998,1.2399999999999998,2.527083333333333,9.142857142857142,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2013-09-30,10811000000.0,5787000000.0,3857000000.0,7588000000.0,2746000000.0,2359000000.0,59000000.0,1053000000.0,,1267000000.0,914000000.0,106000000.0,182000000.0,2.0,312870000.0,1070000000.0,2418000000.0,,17.259,1.1292,2.0,1267000000.0,0.3328477785870357,0.08454352048839145,,,0.1171954490796411,0.24535243996901626,,0.8805535324107793,1.5003889032927145,,679000000.0,928000000.0,928000000.0,111000000.0,0.34999999999999964,0.34999999999999964,2.605603448275862,8.36036036036036,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2013-12-31,11047000000.0,5752000000.0,3894000000.0,7613000000.0,2911000000.0,2351000000.0,61000000.0,1389000000.0,,-463000000.0,-345000000.0,-35000000.0,-36000000.0,0.8900000000000001,-629120000.0,531000000.0,2412000000.0,1.4771,15.2666,1.2294,0.8900000000000001,-463000000.0,-0.11851597389213328,-0.031230198243867115,,,-0.04191183126640717,-0.08698102573736614,,0.8285812435589145,1.4771443246019518,,1212000000.0,1684000000.0,1684000000.0,143000000.0,3.89,3.89,1.4323040380047507,11.776223776223777,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2014-03-31,11182000000.0,5880000000.0,3930000000.0,7688000000.0,2961000000.0,2418000000.0,31000000.0,978000000.0,,459000000.0,320000000.0,35000000.0,75000000.0,1.0,306890000.0,136000000.0,2449000000.0,,16.5328,1.3914,1.0,459000000.0,0.10807159743329955,0.02861742085494545,,,0.041048113038812374,0.08484288354898337,,0.8270854441067207,1.4961832061068703,,1256000000.0,1746000000.0,1746000000.0,142000000.0,4.890000000000001,4.890000000000001,1.4026345933562427,12.295774647887324,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
2014-06-30,11452000000.0,6082000000.0,3998000000.0,7768000000.0,3125000000.0,2420000000.0,32000000.0,1166000000.0,,947000000.0,702000000.0,68000000.0,137000000.0,2.0,305300000.0,763000000.0,2452000000.0,,16.4232,1.4156,2.0,947000000.0,0.22464,0.06129933636046105,,,0.0826929793922459,0.16980455441993902,,0.78464,1.5212606303151577,,1591000000.0,2210000000.0,2210000000.0,174000000.0,5.890000000000001,5.890000000000001,1.109502262443439,12.701149425287356,1.541653,88.93,47.19,2.39148,14715.807,89.1867,1.7858,0.7214
