report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,13226000000.0,1123000000.0,1079000000.0,5983000000.0,6924000000.0,2084000000.0,31000000.0,340000000.0,3498000000.0,,725000000.0,508000000.0,92000000.0,126000000.0,1.93,,675000000.0,116000000.0,,559000000.0,2115000000.0,,1.93,725000000.0,0.07336799537839399,0.03840919401179495,0.1452258433390509,,0.20726129216695255,0.054816270981400274,0.08020798760924881,0.15980560320182963,0.20726129216695255,0.3054592720970537,1.0407784986098239,,,,,,,,,,,
2011-12-31,13072000000.0,1154000000.0,1149000000.0,6139000000.0,6581000000.0,2036000000.0,39000000.0,396000000.0,4552000000.0,,850000000.0,619000000.0,123000000.0,122000000.0,2.36,263000000.0,1000000000.0,170000000.0,,830000000.0,2075000000.0,,2.36,850000000.0,0.09405865370004558,0.0473531211750306,0.1359841827768014,,0.18673110720562391,0.06502447980416157,0.0981977818853974,0.18233743409490333,0.18673110720562391,0.3153016258927215,1.0043516100957355,,,,,,,,,,,
2012-03-31,13295000000.0,1149000000.0,1214000000.0,6247000000.0,6686000000.0,2074000000.0,66000000.0,369000000.0,952000000.0,,165000000.0,87000000.0,29000000.0,45000000.0,0.34,,200000000.0,43000000.0,,157000000.0,2140000000.0,,0.34,165000000.0,0.013012264433143883,0.006543813463708161,0.09138655462184873,,0.17331932773109243,0.01241068070703272,0.018694765465669613,0.16491596638655462,0.17331932773109243,0.32007179180376905,0.9464579901153213,,,,,,,,,,,
2012-06-30,12977000000.0,1151000000.0,1481000000.0,6331000000.0,6311000000.0,2007000000.0,270000000.0,380000000.0,1938000000.0,,359000000.0,212000000.0,59000000.0,79000000.0,0.83,,428000000.0,84000000.0,,344000000.0,2277000000.0,,0.83,359000000.0,0.033592140706702585,0.016336595515142174,0.10939112487100103,,0.18524251805985553,0.02766432919781151,0.041802515137401026,0.17750257997936017,0.18524251805985553,0.3607986056092537,0.7771775827143822,10940000000.0,1426000000.0,2099000000.0,,1890000000.0,2099000000.0,303000000.0,5.459999999999999,5.459999999999999,1.0848022868032396,6.927392739273928
2012-09-30,12959000000.0,1049000000.0,1744000000.0,6218000000.0,6419000000.0,1616000000.0,866000000.0,310000000.0,2840000000.0,,512000000.0,320000000.0,88000000.0,91000000.0,1.26,,357000000.0,125000000.0,,232000000.0,2482000000.0,,1.26,512000000.0,0.04985200186945007,0.024693263369087122,0.11267605633802817,,0.18028169014084508,0.0395092213905394,0.057521626783507473,0.08169014084507042,0.18028169014084508,0.3866645894999221,0.6014908256880734,10282000000.0,1238000000.0,1886000000.0,,1563000000.0,1886000000.0,299000000.0,4.79,4.79,1.3160127253446448,6.3076923076923075
2012-12-31,12556000000.0,1008000000.0,1416000000.0,5913000000.0,6345000000.0,2055000000.0,454000000.0,337000000.0,-1981000000.0,,-427000000.0,-271000000.0,-36000000.0,-110000000.0,-1.0399999999999998,250000000.0,-350000000.0,-61000000.0,,-411000000.0,2509000000.0,,-1.0399999999999998,-427000000.0,-0.04271079590228526,-0.02158330678560051,0.13679959616355375,,0.21554770318021202,-0.0340076457470532,-0.048226790151344026,0.20747097425542654,0.21554770318021202,0.3954294720252167,0.711864406779661,3749000000.0,348000000.0,609000000.0,,322000000.0,609000000.0,140000000.0,1.3899999999999997,1.3899999999999997,4.119868637110017,4.35
2022-12-31,4571613.0,2856868.0,7430897.0,7799782.0,-3228169.0,,,792337.0,,142001.0,-9551017.0,-11114179.0,,,,,-5284498.0,,199225.0,,0.0,0.3845,,-9351792.0,3.4428739635378447,-2.431128575406536,,,,-2.089200682559963,2.958648385508937,,,-0.0,0.3844580270726401,,249885821.0,434448983.0,,,434648208.0,,,,0.0,
2023-03-31,1980849.0,,4977185.0,5303394.0,-3322545.0,,,452164.0,138037.0,-84384.0,-2880002.0,,107983.0,,,,-1388704.0,,49551.0,,0.0,0.3845,,-2830451.0,,,,-0.6113143577446627,-20.863985742952977,-1.4539230400701921,0.866806017676209,,-20.505016770865783,-0.0,,,,72568981.0,,,72817757.0,,,,0.0,
2023-06-30,1945808.0,1253076.0,6422263.0,6705194.0,-4759386.0,,,1142027.0,,-163629.0,-4831787.0,,-447481.0,,,,-2668841.0,,99102.0,,0.0,,,-4732685.0,,,,,,-2.4831776824846026,1.0152122563708847,,,-0.0,0.19511440126323074,,,-444262806.0,,,-443914928.0,,,,-0.0,
2023-09-30,4587263.0,279532.0,7218252.0,7356488.0,-2769225.0,,,168786.0,,-225249.0,-6525749.0,,-899489.0,,,,-2793551.0,,446072.0,,0.0,,,-6079677.0,,,,,,-1.422580087516238,2.356525381650101,,,-0.0,0.03872571919074036,,,-23788555.0,-331261.0,,-22994605.0,,,,-0.0,
