report_date,total_assets,current_assets,current_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,26756100000.0,5705200000.0,4712300000.0,9046100000.0,,872700000.0,3530900000.0,153400000.0,,138000000.0,21000000.0,-0.04,676300000.0,,,,,0.0,1.1875,,,-0.04,153400000.0,,,,0.04344501401908862,0.005733272038899541,0.016957583931196868,,0.04344501401908862,0.0,1.2107039025528934,,,,,,,,,,,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2010-06-30,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2010-09-30,26488600000.0,5678700000.0,4641000000.0,9527000000.0,,1072000000.0,10159400000.0,1199600000.0,,399400000.0,291300000.0,0.64,693300000.0,1574000000.0,163100000.0,423500000.0,1410900000.0,0.0,,,,0.64,1623100000.0,,,,0.11807783924247495,0.045287406657958516,0.1259158182009027,0.13887631159320432,0.15976337185266845,0.0,1.2235940530058178,,,,,,,,,,,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2010-12-31,26142600000.0,5334700000.0,4025500000.0,9820600000.0,,480000000.0,369500000.0,463300000.0,,-8600000.0,150400000.0,0.44000000000000006,-675100000.0,161100000.0,121200000.0,138800000.0,39900000.0,0.0,1.34,,,0.44000000000000006,602100000.0,,,,1.2538565629228688,0.017722032238568466,0.04717634360426043,0.10798376184032477,1.6294993234100135,0.0,1.3252266799155386,,,,,,,,,,,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2011-03-31,26372000000.0,5637000000.0,4195000000.0,9780000000.0,,972000000.0,3510000000.0,437000000.0,,110000000.0,122000000.0,0.29,693000000.0,894000000.0,41000000.0,139000000.0,853000000.0,0.0,1.34,,,0.29,576000000.0,,,,0.1245014245014245,0.016570605187319884,0.04468302658486708,0.243019943019943,0.1641025641025641,0.0,1.3437425506555423,,,,,,,,,,,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2011-06-30,26229000000.0,5695000000.0,3931000000.0,9948000000.0,,1346000000.0,7096000000.0,1171000000.0,,220000000.0,352000000.0,0.87,689000000.0,1594000000.0,95000000.0,278000000.0,1499000000.0,0.0,,,,0.87,1449000000.0,,,,0.16502254791431792,0.04464524000152503,0.11771210293526337,0.2112457722660654,0.20419954904171364,0.0,1.448740778427881,21134900000.0,,3270900000.0,3802800000.0,4250200000.0,720800000.0,2.24,2.24,0.0,4.537874583795783,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2013-06-30,25693000000.0,4770000000.0,3825000000.0,9601000000.0,,282000000.0,7739000000.0,1638000000.0,,188000000.0,490000000.0,1.0,631000000.0,1051000000.0,83000000.0,230000000.0,968000000.0,0.0,,,,1.0,1868000000.0,,,,0.21165525261661713,0.06375277312886779,0.1706072284137069,0.1250807597880863,0.24137485463238145,0.0,1.2470588235294118,18714500000.0,,3709300000.0,3359900000.0,4495100000.0,509400000.0,2.5999999999999996,2.5999999999999996,0.0,7.281703965449548,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2013-09-30,25895000000.0,4892000000.0,3753000000.0,9671000000.0,,226000000.0,11373000000.0,2466000000.0,,281000000.0,744000000.0,2.0,627000000.0,1320000000.0,140000000.0,343000000.0,1180000000.0,0.0,,,,2.0,2809000000.0,,,,0.21682933262991294,0.09523073952500483,0.25498914279805607,0.10375450628681966,0.24698848149125122,0.0,1.3034905409006128,29718000000.0,,5712000000.0,4500000000.0,6702000000.0,799000000.0,4.16,4.16,0.0,7.148936170212766,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2014-03-31,26115000000.0,5077000000.0,4072000000.0,8467000000.0,,311000000.0,3856000000.0,818000000.0,,106000000.0,242000000.0,0.0,600000000.0,501000000.0,36000000.0,112000000.0,465000000.0,0.0,1.2764,,,0.0,930000000.0,,,,0.2121369294605809,0.031322994447635456,0.09661036967048542,0.12059128630705394,0.2411825726141079,0.0,1.2468074656188606,30064000000.0,,6093000000.0,4112000000.0,7056000000.0,795000000.0,3.8699999999999997,3.8699999999999997,0.0,7.664150943396226,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
2014-06-30,26316000000.0,5392000000.0,3321000000.0,9001000000.0,,261000000.0,6758000000.0,1521000000.0,907000000.0,187000000.0,451000000.0,1.0,590000000.0,624000000.0,69000000.0,142000000.0,555000000.0,0.0,,,,1.0,1663000000.0,0.10076658149094544,0.03446572427420581,0.13421130511985796,0.2250665877478544,0.057797537619699045,0.16898122430841017,0.08212488902042024,0.24607872151524118,0.0,1.6236073471845829,29726000000.0,,6443000000.0,3168000000.0,7270000000.0,762000000.0,4.0,4.0,0.0,8.455380577427821,0.065840036,20.86,9.95,10.31889,7443.441,0.457,0.2592
