report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2017-09-30,198527000000.0,54801000000.0,27278000000.0,,102946000000.0,,5176000000.0,13148000000.0,42418000000.0,,2723000000.0,728000000.0,1239000000.0,2.0,1348800000.0,4469000000.0,2518000000.0,5176000000.0,,,,2.0,,0.026450760592932217,0.013716018476076302,0.06419444575416097,,,,,0.05027878693684067,2.008981596891268,,,,,,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2017-12-31,192164000000.0,49893000000.0,26128000000.0,,100330000000.0,,1948000000.0,13438000000.0,62484000000.0,,1460000000.0,1082000000.0,-476000000.0,0.0,1598100000.0,8695000000.0,3969000000.0,1948000000.0,1.9096,,,0.0,,0.01455197847104555,0.007597676984242626,0.023365981691312977,,,,,0.019415927439449816,1.9095606246172687,,,,,,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2018-03-31,192441000000.0,49733000000.0,26617000000.0,,101260000000.0,,,10281000000.0,21510000000.0,,1104000000.0,350000000.0,389000000.0,0.0,2334300000.0,-2137000000.0,1484000000.0,0.0,1.9096,,,0.0,,0.01090262690104681,0.005736823234134099,0.051324965132496514,,,,,0.0,1.8684675207574106,,,,,,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2018-06-30,187367000000.0,47897000000.0,28110000000.0,,98262000000.0,,,9244000000.0,45755000000.0,,2872000000.0,710000000.0,954000000.0,1.0,2329000000.0,-47000000.0,2980000000.0,0.0,,,84.2373,1.0,,0.02922798233294661,0.015328206140889271,0.0627690962736313,,,,,0.0,1.7039131981501245,172167000000.0,8159000000.0,2870000000.0,3.0,3.0,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2018-09-30,184453000000.0,45405000000.0,27680000000.0,,98090000000.0,,,6939000000.0,65878000000.0,,3369000000.0,1072000000.0,1274000000.0,1.0,2323100000.0,-370000000.0,4450000000.0,0.0,,,83.1373,1.0,,0.034346008767458455,0.018264815427236205,0.051139986034791585,,,,,0.0,1.6403540462427746,195627000000.0,8805000000.0,3214000000.0,2.0,2.0,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2018-12-31,188030000000.0,49603000000.0,24715000000.0,,94571000000.0,,,13482000000.0,-47166000000.0,,-3501000000.0,-628000000.0,-1128000000.0,-1.0,-4670900000.0,7285000000.0,-2996000000.0,0.0,1.7276,5.3707,31.5592,-1.0,,-0.03701980522570344,-0.018619369249587833,0.07422719755756266,,,,,0.0,2.0069997976937084,85977000000.0,3844000000.0,1504000000.0,1.0,1.0,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2019-03-31,189785000000.0,49248000000.0,28580000000.0,189785000000.0,92444000000.0,34966000000.0,,11543000000.0,19649000000.0,780000000.0,520000000.0,454000000.0,209000000.0,0.23,2259200000.0,26000000.0,1519000000.0,34966000000.0,,5.4537,37.3425,0.23,2299000000.0,0.005625027043399247,0.002739942566588508,0.026464451117105197,0.039696676675657794,0.004109913849882762,0.006121968448316459,0.11700340984274009,0.378239799229804,1.7231630510846745,84116000000.0,3260000000.0,1608000000.0,1.23,1.23,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2019-06-30,70843000000.0,10623000000.0,6457000000.0,28267000000.0,42006000000.0,,1621000000.0,1661000000.0,10882000000.0,,-50000000.0,316000000.0,64000000.0,-0.07,749600000.0,-51000000.0,2163000000.0,1621000000.0,,2.578,60.8507,-0.07,,-0.0011903061467409418,-0.0007057860339059611,-0.004594743613306377,,,,,0.03858972527734133,1.64519126529348,49243000000.0,338000000.0,1214000000.0,0.16,0.16,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2019-09-30,70119000000.0,10688000000.0,6616000000.0,28207000000.0,41344000000.0,,1975000000.0,2107000000.0,16308000000.0,,322000000.0,493000000.0,142000000.0,0.43,748200000.0,831000000.0,2662000000.0,1975000000.0,,2.4425,66.1199,0.43,,0.007788312693498452,0.004592193271438554,0.019744910473387296,,,,,0.04776993034055728,1.6154776299879081,-327000000.0,-2709000000.0,635000000.0,-0.41,-0.41,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
2019-12-31,69396000000.0,9999000000.0,8346000000.0,27840000000.0,40987000000.0,,3830000000.0,1540000000.0,-25327000000.0,,-294000000.0,-595000000.0,-275000000.0,0.08000000000000007,-3010700000.0,603000000.0,-4278000000.0,3830000000.0,1.1981,3.0718,95.2127,0.08000000000000007,,-0.007173006075096982,-0.004236555421061733,0.011608165199194536,,,,,0.09344426281503891,1.198058950395399,21512000000.0,498000000.0,668000000.0,0.6700000000000002,0.6700000000000002,1.0257212,52.66,9.41,4.39724,18597.863,1.2101,1.6773
