report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2009-12-31,41749700000.0,15487500000.0,8017800000.0,41749700000.0,15869500000.0,8067800000.0,450500000.0,6632800000.0,23643200000.0,,7952300000.0,2747500000.0,,3384800000.0,,1662200000.0,,8518300000.0,1.8178,8.6527,4.0692,,,0.5011058949557327,0.19047562018409714,0.33634617987412874,,,,,,0.536771794952582,1.9316396018858042,,,,,,,,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2010-03-31,111593800000.0,28244900000.0,16455300000.0,,57878100000.0,15281100000.0,3822400000.0,8236000000.0,11422200000.0,,298800000.0,285600000.0,0.09,1366100000.0,,1687400000.0,,19103500000.0,,9.8908,3.4796,0.09,,0.005162574445256496,0.002677568108622522,0.026159583968062193,,,,,,0.3300643939590277,1.7164621732815566,,,,,,,,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2010-06-30,106170500000.0,26253600000.0,15420600000.0,,55231700000.0,13835300000.0,4147300000.0,8665600000.0,22768500000.0,,1051200000.0,746200000.0,0.33,4691000000.0,,3635100000.0,,17982600000.0,,9.9415,2.8024,0.33,,0.019032548337277324,0.009901055377906292,0.046169049344489094,,,,,,0.3255847638222253,1.7025018481771137,,,,,,,,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2010-09-30,107840100000.0,27756000000.0,17323300000.0,,55592800000.0,14031900000.0,4116000000.0,9874400000.0,33893300000.0,,1392700000.0,872200000.0,0.44,7282900000.0,,5515000000.0,,18147900000.0,,14.3461,2.5721,0.44,,0.025051805269747162,0.012914490991755387,0.0410907170443716,,,,,,0.32644335237656674,1.602235139956013,91727200000.0,10695000000.0,,,,,,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2010-12-31,105781000000.0,29064000000.0,15641000000.0,,54376000000.0,15482000000.0,2400000000.0,10900000000.0,-22097000000.0,,-1881700000.0,-1233000000.0,-0.5800000000000001,-2518000000.0,,-3456500000.0,,17882000000.0,1.8582,128.8109,2.4145,-0.5800000000000001,,-0.0346053405914374,-0.017788638791465385,0.08515635606643436,,,,,,0.3288583198469913,1.8581932101528036,45987000000.0,861000000.0,,,,0.2799999999999999,0.2799999999999999,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2011-03-31,105865000000.0,31024000000.0,15662000000.0,,54384000000.0,15644000000.0,2202000000.0,11695000000.0,11580000000.0,,1043000000.0,658000000.0,0.34,1721000000.0,,1831000000.0,,17846000000.0,,63.4172,2.2071,0.34,,0.01917843483377464,0.00985217021678553,0.09006908462867012,,,,,,0.32814798470138273,1.9808453581918017,46144800000.0,1605200000.0,,,,0.5299999999999999,0.5299999999999999,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2011-06-30,106195000000.0,32368000000.0,15763000000.0,,55496000000.0,15783000000.0,2523000000.0,12342000000.0,,,3067000000.0,276000000.0,0.98,4573000000.0,,3663000000.0,,18306000000.0,,37.8478,2.32,0.98,,0.055265244341934555,0.02888083243090541,,,,,,,0.3298616116476863,2.0534162278754042,,3621000000.0,,,,1.18,1.18,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2011-09-30,106534000000.0,34109000000.0,16593000000.0,106534000000.0,55140000000.0,15692000000.0,2455000000.0,14253000000.0,,5753000000.0,4760000000.0,904000000.0,1.53,9150000000.0,,5566000000.0,,18147000000.0,,23.8273,2.1055,1.53,11319000000.0,0.08632571635836053,0.04468057146075431,,,0.054001539414646964,0.07849959747294882,,,0.32910772578890096,2.055625866329175,,6988300000.0,,,,2.27,2.27,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2011-12-31,105128000000.0,33181000000.0,16245000000.0,105128000000.0,54517000000.0,15525000000.0,1990000000.0,13531000000.0,,1581000000.0,-2598000000.0,-896000000.0,-0.8300000000000001,-3061000000.0,,-3633000000.0,,17515000000.0,2.0425,18.6151,2.4295,-0.8300000000000001,-2052000000.0,-0.047654859951941596,-0.024712731146792483,,,0.015038809831824063,0.021948578409595736,,,0.32127593227800505,2.0425361649738383,,6272000000.0,,,,2.02,2.02,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
2012-03-31,105509000000.0,34344000000.0,16582000000.0,105509000000.0,54860000000.0,15228000000.0,2930000000.0,14656000000.0,,2507000000.0,1738000000.0,740000000.0,0.56,2154000000.0,,1790000000.0,,18158000000.0,,16.8211,2.4312,0.56,4297000000.0,0.03168064163324827,0.01647252840989868,,,0.023761006170089756,0.034333999835656964,,,0.33098796937659497,2.0711615004221446,,6967000000.0,,,,2.24,2.24,,0.31789085,125.14,73.31,9.10985,282742.78,15.4894,4.9663,4.3492
