report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_ps_ttm
2020-03-31,9524000000.0,5514000000.0,5355000000.0,13713000000.0,-4284000000.0,,67000000.0,1207000000.0,2966000000.0,329000000.0,,5000000.0,125000000.0,,,159000000.0,67000000.0,1.0528,,,,329000000.0,,,,0.11092380310182064,0.03454430911381772,-0.07801754801991938,0.11092380310182064,-0.015639589169000934,1.0296918767507002,,,,,,,,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2020-06-30,10441000000.0,6392000000.0,5762000000.0,14017000000.0,-4242000000.0,6260000000.0,33000000.0,1912000000.0,5995000000.0,745000000.0,389000000.0,,234000000.0,0.9,,823000000.0,6293000000.0,,,,0.9,745000000.0,-0.0917020273455917,0.03725696772339814,0.06488740617180984,0.12427022518765637,0.07135331864763912,0.3632374451487079,0.12427022518765637,-1.4834983498349834,1.1093370357514751,,,,,,,,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2020-09-30,10473000000.0,6271000000.0,6291000000.0,13856000000.0,-4024000000.0,5512000000.0,538000000.0,1733000000.0,9263000000.0,1199000000.0,655000000.0,,337000000.0,1.51,,1171000000.0,6050000000.0,,,,1.51,1199000000.0,-0.16277335984095428,0.0625417740857443,0.07071143258123717,0.1294397063586311,0.11448486584550749,0.5918065153010859,0.1294397063586311,-1.503479125248509,0.9968208551899539,,,,,,,,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2020-12-31,10710000000.0,6493000000.0,6673000000.0,13911000000.0,-3832000000.0,5262000000.0,701000000.0,1782000000.0,-5468000000.0,-634000000.0,-138000000.0,,-241000000.0,-0.33000000000000007,434600000.0,-673000000.0,5963000000.0,0.973,32.2983,2.294,-0.33000000000000007,-634000000.0,0.0360125260960334,-0.01288515406162465,0.025237746891002194,0.11594732991953183,-0.05919701213818861,-0.2975129047395589,0.11594732991953183,-1.556106471816284,0.9730256256556271,12756000000.0,,1639000000.0,1639000000.0,,,3.6381940207443564,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2021-03-31,10505000000.0,6346000000.0,6395000000.0,13791000000.0,-3910000000.0,5457000000.0,341000000.0,1725000000.0,3408000000.0,509000000.0,308000000.0,,123000000.0,0.71,,585000000.0,5798000000.0,,28.0442,2.229,0.71,509000000.0,-0.07877237851662404,0.02931937172774869,0.0903755868544601,0.14935446009389672,0.04845311756306521,0.2695974576271186,0.14935446009389672,-1.4828644501278772,0.9923377638780297,13198000000.0,1214000000.0,1819000000.0,1819000000.0,2.79,2.79,3.187465640461792,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2021-06-30,10857000000.0,6681000000.0,6716000000.0,14111000000.0,-3856000000.0,5457000000.0,343000000.0,1923000000.0,7109000000.0,1070000000.0,634000000.0,,276000000.0,1.47,432700000.0,1118000000.0,5800000000.0,,30.4875,2.53,1.47,1070000000.0,-0.16441908713692946,0.05839550520401584,0.08918272612181742,0.15051343367562245,0.09855392834116239,0.5504115226337448,0.15051343367562245,-1.504149377593361,0.9947885646217987,14312000000.0,1459000000.0,2144000000.0,2144000000.0,3.36,3.36,2.705223880597015,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2021-09-30,10472000000.0,6375000000.0,6363000000.0,13705000000.0,-3854000000.0,5458000000.0,38000000.0,1553000000.0,10729000000.0,1612000000.0,965000000.0,,404000000.0,2.23,432000000.0,1473000000.0,5496000000.0,,28.8777,2.4691,2.23,1612000000.0,-0.25038920601971976,0.09215049656226126,0.08994314474787958,0.15024699412806414,0.15393430099312452,0.9817295980511571,0.15024699412806414,-1.4260508562532435,1.0018859028760019,15778000000.0,1769000000.0,2557000000.0,2557000000.0,4.08,4.08,2.1493938208838483,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2021-12-31,12279000000.0,8261000000.0,6247000000.0,15263000000.0,-3625000000.0,7249000000.0,24000000.0,1565000000.0,-6948000000.0,-1083000000.0,-661000000.0,,-262000000.0,-1.52,-433300000.0,-1426000000.0,7273000000.0,1.3224,29.6827,2.5867,-1.52,-1083000000.0,0.1823448275862069,-0.05383174525612835,0.09513529073114566,0.15587219343696027,-0.08819936476911801,-0.296875,0.15587219343696027,-2.006344827586207,1.3223947494797503,14298000000.0,1246000000.0,2108000000.0,2108000000.0,2.8899999999999997,2.8899999999999997,3.450189753320683,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2022-03-31,11795000000.0,7844000000.0,6242000000.0,14736000000.0,-5029000000.0,6694000000.0,51000000.0,1235000000.0,3414000000.0,526000000.0,311000000.0,,136000000.0,0.73,427700000.0,504000000.0,6745000000.0,,26.0449,2.2742,0.73,526000000.0,-0.0618413203420163,0.026367104705383636,0.09109548916227299,0.1540714704159344,0.04459516744383213,0.30652680652680653,0.1540714704159344,-1.3412209186717041,1.256648510092919,14304000000.0,1249000000.0,2125000000.0,2125000000.0,2.9099999999999997,2.9099999999999997,3.1741176470588237,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
2022-06-30,9913000000.0,6150000000.0,6338000000.0,14665000000.0,-4997000000.0,6602000000.0,81000000.0,1218000000.0,6902000000.0,1013000000.0,632000000.0,,239000000.0,1.48,425900000.0,857000000.0,6683000000.0,,24.0184,2.1204,1.48,1013000000.0,-0.1264758855313188,0.06375466559063855,0.09156766154737757,0.14676905244856564,0.10218904468879249,0.6008303677342823,0.14676905244856564,-1.3374024414648789,0.9703376459450931,14097000000.0,1247000000.0,2068000000.0,2068000000.0,2.92,2.92,3.231624758220503,0.99812824,105.95,78.245,3.57054,30526.24,22.0565,2.1153
