report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2012-09-30,12460.0,12460.0,16283.0,12460.0,-3823.0,,,0.0,,-54004.0,-53937.0,,0.0,-0.02,,-53280.0,,0.0,,0.0,,,,-0.02,-54004.0,14.108553492021972,-4.328812199036918,,,,-4.334189406099519,14.12607899555323,,,-0.0,0.7652152551741079,,,,,,,,,,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2019-04-30,457361000.0,311251000.0,302721000.0,384626000.0,-485177000.0,,92993000.0,,66804000.0,-25775000.0,-25977000.0,1000.0,600000.0,,,1415000.0,15541000.0,,-14126000.0,0.0,1.1776,,,,-25775000.0,0.0535412849331275,-0.05679758440269284,,,,-0.05635592015934896,0.053124942031464804,,,-0.0,1.0281777610406941,,,,,,,,,,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2019-07-31,1171586000.0,1005432000.0,341781000.0,443489000.0,728097000.0,,732808000.0,,143329000.0,-76415000.0,-77866000.0,165000.0,1200000.0,,,-4799000.0,37159000.0,,-41958000.0,0.0,,,,,-76415000.0,-0.10694454173001675,-0.066462043759485,,,,-0.0652235516641544,-0.1049516753948993,,,0.0,2.941743397087609,,,,,,,,,,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2019-10-31,1256054000.0,1053220000.0,415604000.0,539012000.0,717042000.0,,743605000.0,,231093000.0,-114933000.0,-113371000.0,297000.0,1700000.0,,,33836000.0,66848000.0,,-33012000.0,0.0,,,,,-114933000.0,-0.15810928787992892,-0.0902596544416084,,,,-0.09150323154896206,-0.16028768189311085,,,0.0,2.5341912012396417,-217267937.0,-217177004.0,,,-217177004.0,,,,-0.0,,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2020-01-31,1404906000.0,1171636000.0,493096000.0,662299000.0,742107000.0,,,,-101440000.0,71058000.0,75435000.0,-21000.0,-1503000.0,,,69491000.0,-39350000.0,,30141000.0,0.0,2.3761,,,,71058000.0,0.10164976209630147,0.05369398379678071,,,,0.05057847286580027,0.09575169079391516,,,0.0,2.376080925418174,-141779000.0,-146065000.0,339786000.0,-58955000.0,-146065000.0,442000.0,,,-0.0,-330.46380090497735,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2020-04-30,1519396000.0,1248462000.0,555644000.0,766243000.0,752153000.0,,1004991000.0,,131183000.0,-22576000.0,-19222000.0,143000.0,1000000.0,,,98577000.0,9694000.0,,88883000.0,0.0,,25.6046,,,-22576000.0,-0.025555970660224716,-0.01265107977117223,,,,-0.014858535891893884,-0.03001516978593451,,,0.0,2.2468738976754903,-135024000.0,-142866000.0,404165000.0,44054000.0,-142866000.0,584000.0,,,-0.0,-244.6335616438356,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2020-07-31,1616952000.0,1315981000.0,603292000.0,824937000.0,790965000.0,,1064734000.0,,275763000.0,-52567000.0,-49096000.0,317000.0,1500000.0,,,153602000.0,30334000.0,,123268000.0,0.0,,37.3703,,,-52567000.0,-0.06207101452023794,-0.0303633008277302,,,,-0.03250993226762452,-0.06645932500173839,,,0.0,2.1813334173169876,-106254000.0,-119018000.0,536599000.0,209280000.0,-119018000.0,736000.0,,,-0.0,-161.70923913043478,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2020-10-31,1749509000.0,1340796000.0,702039000.0,934724000.0,813485000.0,,1059926000.0,,446696000.0,-76726000.0,-73627000.0,510000.0,1900000.0,,,242103000.0,40245000.0,,201858000.0,0.0,,35.8642,,,-76726000.0,-0.09050812246077064,-0.04208437910293688,,,,-0.043855733237153964,-0.09431765797771317,,,0.0,1.9098597086486648,-66510000.0,-80811000.0,752202000.0,444150000.0,-80811000.0,949000.0,,,-0.0,-85.15384615384616,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2021-01-31,2732533000.0,2292274000.0,863553000.0,1860659000.0,870574000.0,738029000.0,,874438000.0,-208749000.0,59340000.0,,589000.0,360000.0,-0.43,,-137716000.0,-27474000.0,,-165190000.0,738029000.0,2.6545,54.4051,,-0.43,59340000.0,,,,-0.23872361448152984,0.06786072883383384,0.021716114681872095,0.03688915164276083,-0.18890990556220108,0.06786072883383384,0.8477498753695838,2.6544682260382397,,-92529000.0,644893000.0,248819000.0,-92529000.0,1559000.0,,,-7.976191248149229,-59.351507376523415,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
2021-04-30,2881171000.0,2038003000.0,982765000.0,2027774000.0,849264000.0,738400000.0,1684997000.0,,224338000.0,-31347000.0,-85049000.0,6230000.0,50100000.0,-0.38,224153000.0,147533000.0,25796000.0,,121737000.0,738400000.0,,47.1072,,-0.38,-31347000.0,-0.10014436029314795,-0.029518900474841653,,,,-0.01087995124204707,-0.01974410202662528,,,0.8694587313250062,2.0737439774513744,,-101300000.0,738048000.0,281673000.0,-101300000.0,7646000.0,,,-7.28923988153998,-13.248757520272038,1.0427744,566.9,298.0,3.94378,101222.42,24.9828,21.0354
