report_date,total_assets,total_liabilities,total_equity,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,interest_expense_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,3993674000.0,2163407000.0,1770576000.0,38838000.0,366739000.0,43762000.0,91972000.0,,0.35,131415000.0,93309000.0,0.0,,44.8744,6.6577,0.35,0.02471625053090068,0.0109578298078411,0.11932736905537726,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2010-12-31,3973648000.0,2212988000.0,1701435000.0,22460000.0,486806000.0,12014000.0,125287000.0,,-0.1,141208000.0,123933000.0,0.0,0.6644,260.0068,7.3843,-0.1,0.007061098425740625,0.003023418279626177,0.024679235670883266,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2011-12-31,,,,,125322000.0,8139000.0,,,0.1,,,0.0,0.7951,65.7043,6.8503,0.1,,,0.06494470244649782,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2012-06-30,,,,,,,,,,,,0.0,,68.3555,8.7336,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2012-09-30,,,,,,,,,,,,0.0,,63.324,8.9847,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2012-12-31,,,,,,,,,,,,0.0,0.6828,179.7084,8.9854,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2013-06-30,,,,,,,,0.0,,,,0.0,,106.9163,9.9144,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2013-09-30,,,,,,,,0.0,,,,0.0,,69.2899,9.418,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2013-12-31,,,,,,,,,,,,0.0,0.924,28.864,8.8413,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2014-03-31,,,,,,,,,,,,0.0,,31.1812,9.4976,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2014-06-30,,,,,,,,,,,,0.0,,35.4899,10.1031,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2014-09-30,,,,,,,,1546000.0,,,,0.0,,38.126,9.5187,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2014-12-31,,,,,,,,,,,,0.0,0.971,45.0537,11.0541,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2015-03-31,,,,,,,,,,,,0.0,,46.5126,11.7498,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2015-06-30,,,,,,,,,,,,0.0,,39.5397,10.0911,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2015-09-30,,,,,,,,,,,,0.0,,40.0264,10.4535,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2015-12-31,,,,,,,,,,,,0.0,0.7371,56.0693,11.2572,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2016-03-31,,,,,,,,,,,,0.0,,60.2572,13.0193,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2016-06-30,,,,,,,,,,,,0.0,,61.6829,13.8455,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2016-09-30,,,2600284000.0,,,,,,,,,0.0,,79.1485,13.4724,,,,,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2016-12-31,,,2624502000.0,,,,,,,,,0.0,0.7381,61.2099,11.716,,,,,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2017-03-31,11135972000.0,4371469000.0,6764503000.0,36855000.0,196131000.0,-33223000.0,,,,32723000.0,,0.0,,203.1622,17.0608,,-0.00491137338545049,-0.0029833947139953298,-0.16939188603535393,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2017-06-30,,,,,,,,,,,,0.0,,174.365,13.8396,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2017-09-30,,,,,,,,,,,,0.0,,86.022,12.0163,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2017-12-31,,,,,,,,,,,,0.0,0.8214,79.6063,12.0182,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2018-03-31,,,,,,,,,,,,0.0,,43.8255,9.1816,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2018-06-30,,,,,,,,,,,,0.0,,46.1789,9.6103,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2018-09-30,,,,,,,,,,,,0.0,,46.9369,9.9227,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2018-12-31,,,,,,,,,,,,0.0,1.0389,39.9154,8.8697,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2019-01-01,,,,,,,,,,,,0.0,1.0389,39.9154,8.8697,,,,,,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2019-06-30,10947189000.0,4594341000.0,6300841000.0,,562130000.0,142174000.0,74925000.0,,,289323000.0,190783000.0,0.0,,38.4479,9.9341,,0.022564289433743844,0.01298726093063708,0.2529201430274136,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2019-09-30,11172950000.0,4833103000.0,6262739000.0,,844406000.0,199139000.0,113178000.0,,,469356000.0,282639000.0,0.0,,41.8831,10.3122,,0.03179742920789131,0.017823314344018366,0.23583323661840394,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2019-12-31,11132253000.0,4842292000.0,6213348000.0,,-273398000.0,-101883000.0,-36839000.0,,,-137408000.0,-99139000.0,0.0,0.6976,44.1587,9.329,,-0.01639743983436949,-0.009152055742894093,0.3726545183212752,0.0,,,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2020-03-31,11568311000.0,5293076000.0,6199422000.0,,283658000.0,-25332000.0,37436000.0,,,125678000.0,89295000.0,0.0,,52.1044,5.7008,,-0.004086187389727623,-0.002189775153866455,-0.08930472611384131,0.0,1416796000.0,214098000.0,188700000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2020-06-30,11386309000.0,5189107000.0,6121983000.0,,514771000.0,-6286000.0,77811000.0,,,217419000.0,174353000.0,0.0,,85.5415,7.1692,,-0.0010267914824330614,-0.0005520665212932479,-0.012211255101783123,0.0,1369437000.0,65638000.0,191586000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2020-09-30,10986639000.0,4873516000.0,6039594000.0,,757715000.0,6402000.0,118605000.0,,,374589000.0,259161000.0,0.0,,138.1319,6.1647,,0.0010600050268279623,0.0005827077780566013,0.008449087057798777,0.0,1282746000.0,-127099000.0,197013000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2021-03-31,10625988000.0,4582944000.0,5969631000.0,,274703000.0,80656000.0,36936000.0,,,139362000.0,77259000.0,0.0,,63.8237,9.5622,,0.013511052860721207,0.007590447118893792,0.2936116460322603,0.0,1830847000.0,55440000.0,270788000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2021-06-30,10640166000.0,4600135000.0,,,561862000.0,176146000.0,72748000.0,,,325287000.0,151476000.0,0.0,,47.8609,10.2356,,,0.0165548169079317,0.31350402767939456,,2109051000.0,256918000.0,306100000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2021-12-31,10792563000.0,4682631000.0,6037371000.0,,1166161000.0,361411000.0,145170000.0,,,659388000.0,303331000.0,0.0,0.4882,35.6916,11.0627,,0.05986231424240783,0.03348704103001298,0.309915183237992,0.0,2760441000.0,624615000.0,373459000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2022-03-31,10840164000.0,4634472000.0,6132327000.0,,303433000.0,195228000.0,36738000.0,,,142892000.0,77842000.0,0.0,,25.6852,10.2317,,0.03183587567981942,0.018009690628296767,0.6433973892094795,0.0,2306159000.0,813441000.0,291592000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2022-06-30,10901815000.0,4695680000.0,6125033000.0,,605516000.0,300024000.0,73437000.0,,,327757000.0,157192000.0,0.0,,21.0654,8.4499,,0.04898324629434649,0.027520555063537584,0.49548484267963194,0.0,2636972000.0,1032809000.0,328093000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2022-09-30,10898837000.0,4700097000.0,6115883000.0,,909505000.0,387602000.0,109798000.0,,,528242000.0,237462000.0,0.0,,20.2314,7.6379,,0.06337629415082009,0.035563611053179345,0.4261680804393599,0.0,2984615000.0,1244265000.0,365143000.0,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
2025-09-30,13058979000.0,5998923000.0,6797034000.0,,1149330000.0,324981000.0,,,,623744000.0,299108000.0,0.0,,32.2869,8.7292,,0.047812178076496306,0.02488563615884519,0.28275691054788443,0.0,2967784000.0,1207835000.0,,0.90070045,79.895,63.44,1.03533,14027.1045,26.5937,1.8429,9.0292
