report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-03-31,5132234000.0,571760000.0,618057000.0,,2542658000.0,1017800000.0,,13900000.0,668117000.0,288090000.0,171797000.0,6508000.0,109837000.0,0.49,349397997.0,417579000.0,139419000.0,1017800000.0,,24.7682,6.2002,0.49,427509000.0,0.06756590937514995,0.03347411672967367,0.25713610041355034,0.4311969310764432,0.05613344987777252,0.08091374761336884,0.6398714596395542,0.4002897755026433,0.9250926694463456,,,,,,,,,,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2010-06-30,5590351000.0,911296000.0,664283000.0,,2656306000.0,1178000000.0,,13948000.0,1258060000.0,494407000.0,293866000.0,12688000.0,187881000.0,0.84,349364654.0,809053000.0,283828000.0,1178000000.0,,23.4682,5.6078,0.84,778235000.0,0.11062957355063761,0.052566645636383115,0.23358663338791472,0.3929915902262213,0.08843934844162737,0.12894302124034962,0.6185992718948222,0.4434730034867971,1.3718490462649202,,,,,,,,,,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2010-09-30,5992724000.0,961196000.0,646142000.0,,2871106000.0,1289400000.0,,14197000.0,1940232000.0,764543000.0,454607000.0,19277000.0,291116000.0,1.3,349308957.0,1215062000.0,435515000.0,1289400000.0,,18.8979,4.5125,1.3,1200058000.0,0.15833863326536882,0.07585982601568168,0.23430548511724372,0.39404720672579363,0.1275785435805153,0.18376202317698856,0.618512631479122,0.44909522671750884,1.4875925106245995,,,,,,,,,,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2011-03-31,6340748000.0,557145000.0,695191000.0,,3085293000.0,1202900000.0,,17387000.0,676335000.0,232651000.0,136609000.0,7436000.0,88980000.0,0.39,349697327.0,396479000.0,164667000.0,1202900000.0,,26.2841,5.7099,0.39,397318000.0,0.04427748029117494,0.021544619026020274,0.2019842237944214,0.3439878166884754,0.036691412432728755,0.054253854712229606,0.5874573990699875,0.3898819334176689,0.801427233666719,4542744000.0,1056879000.0,1779691000.0,2803120000.0,45909000.0,3.02,3.02,0.4291289705756443,38.765623298263954,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2011-06-30,6742101000.0,686142000.0,767349000.0,,3306431000.0,1215400000.0,,13279000.0,765166000.0,282542000.0,167454000.0,6170000.0,108987000.0,0.48,349970819.0,,,1215400000.0,,24.2846,5.3391,0.48,282542000.0,0.05064494011821205,0.02483706488526351,0.21884662935885807,0.3692558216125651,0.04190711471097808,0.062483980493742465,0.3692558216125651,0.36758668183307014,0.8941720129953906,4639793000.0,1052536000.0,1774143000.0,2658153000.0,45571000.0,3.0100000000000002,3.0100000000000002,0.4572347791869016,38.931403743608875,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2011-09-30,7214107000.0,836120000.0,766250000.0,7214107000.0,3608553000.0,1271000000.0,,13293000.0,2208756000.0,810911000.0,479236000.0,19263000.0,312733000.0,1.37,349891885.0,1300211000.0,,1271000000.0,,18.4456,4.0284,1.37,810911000.0,0.13280558717025912,0.06643039810748579,0.21697100087107857,0.367134712933434,0.11240628951026094,0.16618550920545386,0.367134712933434,0.3522187425264365,1.091184339314845,5590489000.0,1237906000.0,2090647000.0,2690829000.0,52146000.0,3.54,3.54,0.4723451397320305,40.092183484831054,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2011-12-31,7902897000.0,978278000.0,884913000.0,7902897000.0,3969304000.0,1342100000.0,,15627000.0,-697351000.0,-251303000.0,-145530000.0,-8794000.0,-97479000.0,-0.42000000000000015,-699638618.0,43127000.0,,1342100000.0,1.1051,17.8594,3.8573,-0.42000000000000015,-251303000.0,-0.03666385844974333,-0.018414766129433296,0.2086897416078847,0.36036802126905965,-0.031798845410739886,-0.047313855244300755,0.36036802126905965,0.3381197308142687,1.105507547069599,2952906000.0,637769000.0,1074801000.0,1239468000.0,24075000.0,1.82,1.82,1.0828032672081893,44.64386292834891,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2012-03-31,8554161000.0,1228407000.0,960644000.0,8554161000.0,4151759000.0,1669380000.0,,206167000.0,656469000.0,185960000.0,,7338000.0,70718000.0,0.31,349990725.0,444663000.0,,1669380000.0,,17.7223,3.6811,0.31,185960000.0,,,,0.2832730867718049,0.021739127893431045,0.031945638130269696,0.2832730867718049,0.40208981301660335,1.2787328084076932,2933040000.0,,1028110000.0,1028110000.0,23977000.0,1.7400000000000002,1.7400000000000002,1.6237367596852477,42.87900905033991,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2012-09-30,7072951000.0,846747000.0,761165000.0,7072951000.0,3253279000.0,1695342000.0,,18560000.0,1942045000.0,-821883000.0,,26305000.0,-320362000.0,-1.51,348272192.0,1192477000.0,,1695342000.0,,,4.5762,-1.51,-821883000.0,,,,-0.42320492058628917,-0.11620086156400632,-0.1660832381384632,-0.42320492058628917,0.5211179244079589,1.1124355428849197,4109919000.0,,-76315000.0,-76315000.0,44112000.0,-0.24999999999999978,-0.24999999999999978,-22.215056017820874,-1.7300281102647805,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
2012-12-31,6737527000.0,808912000.0,767771000.0,6737527000.0,3035872000.0,1668273000.0,,53583000.0,2715043000.0,-1115576000.0,-707064000.0,35657000.0,-443139000.0,-2.03,348610503.0,1653942000.0,,1668273000.0,1.0534,,4.2877,-2.03,-1115576000.0,-0.23290309999894593,-0.10494414345204109,-0.26042460469318535,-0.41088704672449017,-0.16557647932245764,-0.23714745187488906,-0.41088704672449017,0.5495202037503557,1.0535849882321682,4616206000.0,,-2002802000.0,-2002802000.0,60506000.0,-3.6499999999999995,-3.6499999999999995,-0.8329695097168867,-33.10088255710178,0.68245,7.69,4.575,18.87495,7842.1997,1.2253,1.3917
