report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,9043600000.0,1154100000.0,894100000.0,9043600000.0,2779100000.0,2503600000.0,171100000.0,1631800000.0,209700000.0,100600000.0,80300000.0,57700000.0,0.83,110471000.0,479200000.0,,,,2503600000.0,,29.4948,1.1645,0.83,209700000.0,0.03619876938577237,0.011123888716882658,0.06164971197450668,0.12850839563672017,0.023187668627537707,0.039695610199329885,0.12850839563672017,0.9008671872188838,1.2907952130634157,,,,,,,,,,,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2010-09-30,9225800000.0,1167600000.0,691900000.0,9225800000.0,2887800000.0,2703800000.0,137000000.0,2583500000.0,456300000.0,254300000.0,122200000.0,121800000.0,2.17,110495000.0,695600000.0,,,,2703800000.0,,12.8905,1.282,2.17,456300000.0,0.08806011496641042,0.02756400528951419,0.09843235920263209,0.17662086317011805,0.04945912549589195,0.08160454968166536,0.17662086317011805,0.9362836761548584,1.6875270992918052,,,,,,,,,,,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2010-12-31,9282900000.0,1092700000.0,866700000.0,9282900000.0,2893600000.0,2703400000.0,159300000.0,3416100000.0,556100000.0,306300000.0,163000000.0,145200000.0,2.6,110521000.0,984900000.0,,,,2703400000.0,1.2607,13.3077,1.292,2.6,556100000.0,0.10585429914293613,0.032996154219047925,0.08966365153244929,0.16278797459090777,0.059905848387896025,0.09935679828479542,0.16278797459090777,0.9342687309925353,1.2607592015691704,,,,,,,,,,,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2011-03-31,9400500000.0,977000000.0,778900000.0,9400500000.0,2920500000.0,2703600000.0,126100000.0,945000000.0,127800000.0,79700000.0,40600000.0,22600000.0,0.66,110632000.0,261300000.0,,,,2703600000.0,,12.7818,1.3606,0.66,127800000.0,0.02728984762883068,0.00847827243231743,0.08433862433862434,0.13523809523809524,0.013595021541407373,0.022723635781725076,0.13523809523809524,0.9257318952234207,1.254333033765567,8576400000.0,740900000.0,1349900000.0,,1349900000.0,406100000.0,6.26,6.26,2.002815023335062,3.3240581137650826,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2011-06-30,9301200000.0,877800000.0,760100000.0,9301200000.0,2927200000.0,2703500000.0,77100000.0,1764500000.0,199800000.0,135000000.0,81000000.0,12000000.0,1.13,110654000.0,466800000.0,,161000000.0,,2703500000.0,,13.2446,1.4212,1.13,360800000.0,0.04611915823995627,0.014514256225003226,0.0765089260413715,0.11323321054122981,0.021481099213004774,0.035484042836592254,0.20447718900538397,0.9235788466794206,1.1548480463096962,8709100000.0,775300000.0,1340000000.0,,1501000000.0,406800000.0,6.5600000000000005,6.5600000000000005,1.8011325782811458,3.2940019665683384,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2011-09-30,9481300000.0,947100000.0,774400000.0,9481300000.0,3001600000.0,2703600000.0,45700000.0,2786100000.0,384900000.0,260900000.0,119700000.0,46100000.0,2.23,110668000.0,612700000.0,,242300000.0,,2703600000.0,,13.7193,1.3715,2.23,627200000.0,0.0869203091684435,0.02751732357377153,0.09364344424105381,0.1381501022935286,0.040595698902049296,0.06746476898268247,0.22511754782671117,0.9007196162046909,1.2230113636363635,8911700000.0,781900000.0,1268600000.0,,1671900000.0,404300000.0,6.62,6.62,1.6170823613852503,3.1377689834281473,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2011-12-31,9687900000.0,866500000.0,855000000.0,9687900000.0,3013000000.0,2703100000.0,11400000.0,-1830300000.0,-234100000.0,-153700000.0,-83000000.0,-25600000.0,-1.2799999999999994,-221276000.0,-638100000.0,,-79500000.0,,2703100000.0,1.0187,15.0044,1.5518,-1.2799999999999994,-313600000.0,-0.051012280119482244,-0.015865151374394863,0.08397530459487516,0.12790252963994975,-0.02416416354421495,-0.04095449694721926,0.1713380320166093,0.8971457019581812,1.0134502923976607,3665300000.0,321900000.0,478400000.0,,802200000.0,158300000.0,2.74,2.74,3.3696085764148593,3.0221099178774478,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2012-03-31,9628200000.0,780600000.0,773300000.0,9628200000.0,2997500000.0,2728200000.0,30900000.0,765700000.0,95600000.0,38900000.0,38900000.0,27700000.0,0.32,110741000.0,215000000.0,,83000000.0,,2728200000.0,,17.1081,1.6016,0.32,178600000.0,0.012977481234361968,0.004040215201179868,0.05080318662661617,0.1248530756170824,0.009929166407012734,0.01669664844473165,0.23325062034739455,0.9101584653878232,1.009440062071641,3486000000.0,281100000.0,446200000.0,,853000000.0,156600000.0,2.4000000000000004,2.4000000000000004,3.198358733880422,2.8492975734355044,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2012-06-30,9934200000.0,920400000.0,957300000.0,9934200000.0,3014400000.0,2752800000.0,30800000.0,1456000000.0,204400000.0,108700000.0,77500000.0,44500000.0,0.91,110755000.0,339200000.0,,,,2752800000.0,,17.3613,1.7235,0.91,204400000.0,0.03606024416135881,0.010941998349137323,0.0746565934065934,0.14038461538461539,0.02057538604014415,0.03544180885004855,0.14038461538461539,0.9132165605095541,0.9614540896270761,3177500000.0,254800000.0,450800000.0,,696600000.0,153100000.0,2.1800000000000006,2.1800000000000006,3.9517657192075797,2.944480731548008,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
2012-09-30,10250900000.0,1028600000.0,945500000.0,10250900000.0,3116000000.0,2828100000.0,41100000.0,2343600000.0,418100000.0,263400000.0,115800000.0,83800000.0,2.27,110763000.0,600300000.0,,,,2828100000.0,,14.7801,1.6001,2.27,418100000.0,0.08453145057766367,0.025695304802505144,0.11239119303635432,0.17840075098139616,0.040786662634500384,0.07033865513702663,0.17840075098139616,0.9076059050064185,1.0878900052882072,2735000000.0,257300000.0,484000000.0,,487500000.0,149200000.0,2.2200000000000006,2.2200000000000006,5.801230769230769,3.2439678284182305,0.60825837,73.41,57.09,2.16711,18732.723,23.1268,2.2786,4.4348
