report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,6402800000.0,575700000.0,639000000.0,6402800000.0,,1994400000.0,7400000.0,,1811100000.0,,338800000.0,131300000.0,117500000.0,70400000.0,0.61,214500000.0,260500000.0,212700000.0,129400000.0,47800000.0,1994400000.0,,,0.61,468200000.0,,0.020506653339164117,0.07249737728452321,,0.1870686323228977,0.0529143499718873,0.1698756518251103,0.02639279995582795,0.25851692341670807,,0.9009389671361502,,,,,,,,,,,,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2010-09-30,6411800000.0,570200000.0,645900000.0,6411800000.0,,1991000000.0,16200000.0,,2712900000.0,,498500000.0,182300000.0,174900000.0,135900000.0,0.85,214600000.0,460900000.0,295200000.0,195300000.0,165700000.0,1991000000.0,,,0.85,693800000.0,,0.028431953585576594,0.06719746396844704,,0.18375170481772274,0.07774727845534796,0.25037669512807637,0.06107855062847875,0.2557410888716871,,0.8827991949218145,,,,,,,,,,,,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2010-12-31,6438500000.0,546300000.0,578900000.0,6438500000.0,,2066100000.0,3700000.0,,3487900000.0,,626800000.0,239000000.0,231300000.0,170000000.0,1.11,214800000.0,552900000.0,393600000.0,261900000.0,159300000.0,2066100000.0,,,1.11,888700000.0,,0.03712044730915586,0.06852260672611027,,0.17970698701224233,0.0973518676710414,0.30337350563864285,0.04567218096849107,0.25479514894349037,,0.943686301606495,,,,,,,,,,,,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2011-06-30,7098000000.0,710200000.0,787000000.0,7098000000.0,2215800000.0,,61800000.0,,1681800000.0,,302000000.0,129200000.0,103800000.0,72500000.0,0.6,215100000.0,386800000.0,200200000.0,161000000.0,186600000.0,0.0,,,0.6,463000000.0,0.05830851159851972,0.018202310510002817,0.07682245213461768,,0.17956950885955525,0.04254719639335024,0.13629388934019315,0.11095255083838744,0.27530027351647046,0.0,0.9024142312579415,9693700000.0,681800000.0,1766100000.0,,559400000.0,2513700000.0,627500000.0,3.17,3.17,0.0,2.8145019920318726,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2011-09-30,7295900000.0,883600000.0,1064600000.0,7295900000.0,2261900000.0,,165800000.0,,2593200000.0,,491400000.0,219400000.0,154500000.0,123700000.0,1.02,215100000.0,671600000.0,298300000.0,243400000.0,373300000.0,0.0,,,1.02,734800000.0,0.0969980989433662,0.030071684096547376,0.08460589233379608,,0.1894956038870893,0.06735289683246755,0.21725098368628146,0.14395341662810426,0.2833564707697054,0.0,0.8299830922412174,10475800000.0,769900000.0,1918700000.0,,884900000.0,2780300000.0,664500000.0,3.58,3.58,0.0,2.8874341610233256,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2011-12-31,7322200000.0,797900000.0,1019700000.0,7322200000.0,2266600000.0,2687300000.0,44000000.0,,3343400000.0,,621700000.0,272600000.0,205100000.0,153900000.0,1.27,215100000.0,754100000.0,454100000.0,324600000.0,300000000.0,2687300000.0,,,1.27,946300000.0,0.12026824318362304,0.0372292480402065,0.08153376802057785,,0.18594843572411318,0.08490617573953184,0.12549708310623953,0.08972901836453909,0.28303523359454447,1.1856084002470662,0.7824850446209669,11106300000.0,860200000.0,2041900000.0,,1019200000.0,3032800000.0,694700000.0,4.0,4.0,0.8860788710102875,2.9392543543975815,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2012-03-31,7286800000.0,751800000.0,1088900000.0,7286800000.0,2274100000.0,,59000000.0,,730000000.0,,125200000.0,50500000.0,50400000.0,26600000.0,0.23,215300000.0,223900000.0,117400000.0,83000000.0,106500000.0,0.0,,,0.23,208200000.0,0.022206587221318325,0.0069303397925015095,0.06917808219178082,,0.1715068493150685,0.017181753307350278,0.055054746932852554,0.14589041095890412,0.2852054794520548,0.0,0.690421526310956,8348400000.0,671700000.0,1540300000.0,,966400000.0,2352300000.0,513800000.0,3.1199999999999997,3.1199999999999997,0.0,2.997859089139743,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2012-06-30,7450600000.0,887600000.0,891600000.0,7450600000.0,2294300000.0,,117400000.0,,1518400000.0,,286800000.0,123600000.0,100400000.0,67500000.0,0.57,215300000.0,305400000.0,240900000.0,167200000.0,64500000.0,0.0,,,0.57,454000000.0,0.053872640892647,0.016589267978417845,0.08140147523709168,,0.18888303477344573,0.038493544144095775,0.12500544828487992,0.04247892518440464,0.29899894625922024,0.0,0.9955136832660386,8185000000.0,666100000.0,1525100000.0,,844300000.0,2343300000.0,510400000.0,3.09,3.09,0.0,2.988048589341693,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2012-09-30,7581200000.0,1009800000.0,865600000.0,7581200000.0,2296200000.0,,234600000.0,,2308200000.0,,447000000.0,167600000.0,140800000.0,113200000.0,0.78,215300000.0,607600000.0,355200000.0,246900000.0,252400000.0,0.0,,,0.78,693900000.0,0.0729901576517725,0.02210731810267504,0.0726106923143575,,0.19365739537301793,0.05896164195641851,0.194669453880324,0.10934927649250498,0.300623862750195,0.0,1.1665896487985212,7900000000.0,614300000.0,1480700000.0,,723400000.0,2302400000.0,496700000.0,2.85,2.85,0.0,2.981075095631166,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2012-12-31,7356500000.0,856800000.0,602200000.0,7356500000.0,2291800000.0,2972700000.0,200500000.0,,-1560000000.0,,-302500000.0,-129000000.0,-108100000.0,,-0.5900000000000001,-430900000.0,-380200000.0,-208400000.0,-166500000.0,-588600000.0,2972700000.0,,,-0.5900000000000001,-469000000.0,-0.0562876341740117,-0.01753551281179909,0.08269230769230769,,0.19391025641025642,-0.04112009787262965,-0.057460347611359104,0.3773076923076923,0.3006410256410256,1.2971027140239113,1.422783128528728,2996600000.0,212700000.0,556500000.0,,-165200000.0,887100000.0,183500000.0,0.9899999999999999,0.9899999999999999,3.3510314507947245,3.0326975476839237,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2013-03-31,7353800000.0,873200000.0,614500000.0,7353800000.0,2293500000.0,,212900000.0,,661100000.0,,104100000.0,41500000.0,42400000.0,,0.19,215600000.0,157900000.0,103000000.0,82000000.0,54900000.0,0.0,,,0.19,186100000.0,0.018094615216917374,0.0056433408577878106,0.06277416427166843,,0.15746483134170322,0.014155946585438822,0.04538914323086985,0.08304341249432763,0.28150052942066256,0.0,1.420992676973149,2927700000.0,203700000.0,535400000.0,,-216800000.0,865000000.0,175500000.0,0.95,0.95,0.0,3.050712250712251,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2013-06-30,7354300000.0,812000000.0,698000000.0,7354300000.0,2300500000.0,2889400000.0,153300000.0,,1397000000.0,,223600000.0,92900000.0,85100000.0,51400000.0,0.43,215300000.0,287800000.0,249600000.0,165900000.0,38200000.0,2889400000.0,,,0.43,389500000.0,0.04038252553792654,0.012632065594278177,0.06649964209019327,,0.1600572655690766,0.030403981344247582,0.04308368176650802,0.027344309234073015,0.2788117394416607,1.255987828732884,1.163323782234957,2806300000.0,173000000.0,472200000.0,,-243100000.0,800500000.0,160200000.0,0.8099999999999999,0.8099999999999999,3.6094940662086197,2.947565543071161,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2013-09-30,7394100000.0,811000000.0,727700000.0,7394100000.0,2323900000.0,2837800000.0,152800000.0,,2162900000.0,,364100000.0,155700000.0,126600000.0,89000000.0,0.72,215400000.0,506100000.0,370900000.0,,135200000.0,2837800000.0,,,0.72,364100000.0,0.06699944059555059,0.021057329492433156,0.07198668454389939,,0.1683388043830043,0.049241963186865204,0.07053877598465622,0.06250866891673217,0.1683388043830043,1.2211368819656612,1.1144702487288718,2661000000.0,161100000.0,389300000.0,,-360300000.0,470700000.0,146000000.0,0.7499999999999999,0.7499999999999999,6.028893137879754,2.6664383561643836,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2013-12-31,7448000000.0,857700000.0,765400000.0,7448000000.0,2333700000.0,2837800000.0,185200000.0,,-1369700000.0,,-228100000.0,-92400000.0,-87200000.0,-31500000.0,-0.4199999999999998,-430800000.0,-293200000.0,-191100000.0,81600000.0,-484300000.0,2837800000.0,,,-0.4199999999999998,-146500000.0,-0.03959377812058105,-0.012406015037593985,0.06746002774330145,,0.16653281740527123,-0.030625671321160043,-0.044107125592187955,0.3535810761480616,0.10695772796962838,1.2160089128851181,1.1205905408936503,2851300000.0,197700000.0,463700000.0,,-256000000.0,793200000.0,166900000.0,0.92,0.92,3.5776601109430155,2.7783103654883163,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2014-03-31,7430700000.0,783500000.0,741800000.0,7430700000.0,2333600000.0,2837800000.0,137000000.0,,684100000.0,,113100000.0,50100000.0,41100000.0,26700000.0,0.23,215700000.0,186900000.0,136300000.0,84900000.0,50600000.0,2837800000.0,,,0.23,198000000.0,0.02146897497428865,0.006742298841293552,0.07323490717731326,,0.1653267066218389,0.01522063870160281,0.021870286576168928,0.07396579447449203,0.2894313696827949,1.2160610215975318,1.0562146131032624,2874300000.0,206300000.0,472700000.0,,-260300000.0,805100000.0,165600000.0,0.9600000000000002,0.9600000000000002,3.5247795304931064,2.8544685990338166,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2014-06-30,7620800000.0,889500000.0,861200000.0,7620800000.0,2346400000.0,2863100000.0,167000000.0,,1410400000.0,,246300000.0,108500000.0,83300000.0,61100000.0,0.5,215800000.0,261000000.0,320300000.0,169100000.0,-59300000.0,2863100000.0,,,0.5,415400000.0,0.046241050119331745,0.014237350409405837,0.07692853091321611,,0.17463131026659104,0.032319441528448456,0.04727900950187158,-0.04204480998298355,0.2945263754963131,1.2202096829185134,1.032861124013005,2887700000.0,221900000.0,495400000.0,,-357800000.0,831000000.0,163800000.0,1.0300000000000002,1.0300000000000002,3.445367027677497,3.0244200244200243,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2014-09-30,8653600000.0,815200000.0,1018300000.0,8653600000.0,2602800000.0,3354800000.0,72700000.0,,1870900000.0,,393300000.0,119600000.0,123200000.0,98000000.0,0.54,220800000.0,506200000.0,491800000.0,230000000.0,14400000.0,3354800000.0,,,0.54,623300000.0,0.04595051483018288,0.013820837570490893,0.06392645250948742,,0.21021968036773744,0.045449292779883514,0.06601651671814153,0.00769683040248009,0.33315516596290556,1.28891962501921,0.8005499361681233,2595700000.0,185800000.0,524600000.0,,-478600000.0,1090200000.0,160400000.0,0.8500000000000002,0.8500000000000002,3.0772335351311684,3.270573566084788,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2014-12-31,8726200000.0,755600000.0,1097900000.0,8726200000.0,2574700000.0,3354000000.0,25400000.0,,-1399000000.0,,-247300000.0,-147800000.0,-76500000.0,-46900000.0,-0.6900000000000001,-428600000.0,-289300000.0,-234100000.0,-168700000.0,-523400000.0,3354000000.0,,,-0.6900000000000001,-416000000.0,-0.057404746184021437,-0.01693749856753226,0.1056468906361687,,0.17676912080057183,-0.028339941784511012,-0.04171234840690202,0.3741243745532523,0.29735525375268046,1.3026760399269819,0.6882229711266964,2566400000.0,130400000.0,505400000.0,,-517700000.0,820700000.0,171100000.0,0.58,0.58,4.086755208967954,2.9538281706604326,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2015-03-31,8777500000.0,728700000.0,1379100000.0,8777500000.0,2587300000.0,3103200000.0,32800000.0,,693000000.0,,146200000.0,58000000.0,47900000.0,39900000.0,0.25,233500000.0,147000000.0,160000000.0,85500000.0,-13000000.0,3103200000.0,,,0.25,231700000.0,0.022417191666988752,0.006607804044431786,0.0836940836940837,,0.21096681096681097,0.01665622329820564,0.025691942711536773,-0.01875901875901876,0.33434343434343433,1.199397054844819,0.5283880791820753,2575300000.0,138300000.0,538500000.0,,-581300000.0,854400000.0,177900000.0,0.6,0.6,3.6320224719101124,3.026981450252951,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2015-06-30,8838400000.0,779200000.0,1061800000.0,8838400000.0,2553300000.0,3518500000.0,56000000.0,,1373600000.0,,289500000.0,69800000.0,94300000.0,80400000.0,0.3,233500000.0,296800000.0,343200000.0,172500000.0,-46400000.0,3518500000.0,,,0.3,462000000.0,0.027337171503544432,0.00789735698769008,0.05081537565521258,,0.21076004659289457,0.03275479724837074,0.047679436081557364,-0.0337798485730926,0.3363424577751893,1.378020600791133,0.7338481823318892,2538500000.0,99600000.0,581700000.0,,-568400000.0,901000000.0,188900000.0,0.39999999999999997,0.39999999999999997,3.9051054384017756,3.0794070937003704,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2015-09-30,8816900000.0,687800000.0,1083900000.0,8816900000.0,2561600000.0,3517700000.0,55400000.0,,2067400000.0,,436100000.0,123000000.0,140400000.0,122100000.0,0.53,234400000.0,479400000.0,523200000.0,260300000.0,-43800000.0,3517700000.0,,,0.53,696400000.0,0.04801686445971268,0.013950481461738252,0.0594950178968753,,0.21094127890103512,0.04946182898751262,0.07173523267481453,-0.021186030763277547,0.3368482151494631,1.373243285446596,0.6345603837992435,2735000000.0,103000000.0,624500000.0,,-626600000.0,974100000.0,206100000.0,0.38999999999999996,0.38999999999999996,3.6112308797864694,3.030082484230956,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2015-12-31,8961100000.0,570300000.0,1198700000.0,8961100000.0,2559000000.0,3516900000.0,23800000.0,,-1390500000.0,,-309700000.0,-77300000.0,-96200000.0,-87100000.0,-0.3400000000000001,-466900000.0,-313600000.0,-286700000.0,-169300000.0,-600300000.0,3516900000.0,,,-0.3400000000000001,-479000000.0,-0.030207112153184838,-0.008626173126067112,0.05559151384394103,,0.22272563825961883,-0.0345604892256531,-0.05097187247979723,0.43171521035598703,0.3444804027328299,1.3743259085580304,0.47576541253024107,2743500000.0,173500000.0,562100000.0,,-703500000.0,911100000.0,186400000.0,0.74,0.74,3.860059269015476,3.015557939914163,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2016-03-31,8981100000.0,547200000.0,1200600000.0,8981100000.0,2582300000.0,3489700000.0,46100000.0,,659500000.0,,148100000.0,73800000.0,45900000.0,35700000.0,0.31,235200000.0,231600000.0,168000000.0,89800000.0,63600000.0,3489700000.0,,,0.31,237900000.0,0.02857917360492584,0.00821725623810001,0.11190295678544351,,0.22456406368460954,0.016490184943937825,0.02439064558629776,0.09643669446550417,0.3607278241091736,1.3513921697711342,0.45577211394302847,2710000000.0,189300000.0,564000000.0,,-626900000.0,917300000.0,184400000.0,0.7999999999999998,0.7999999999999998,3.804317017333479,3.058568329718004,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2016-06-30,9079700000.0,519100000.0,1338700000.0,9079700000.0,2510300000.0,3490000000.0,29200000.0,,1311800000.0,,214800000.0,79100000.0,89700000.0,60000000.0,0.34,235400000.0,458200000.0,384800000.0,180000000.0,73400000.0,3490000000.0,,,0.34,394800000.0,0.03151017806636657,0.00871174157736489,0.06029882604055496,,0.1637444732428724,0.023657169289734242,0.035798210089495526,0.055953651471260864,0.30096051227321235,1.3902720790343783,0.3877642488981848,2648200000.0,198600000.0,489300000.0,,-507100000.0,850100000.0,179800000.0,0.8399999999999999,0.8399999999999999,4.105399364780614,2.721357063403782,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
2016-09-30,9223700000.0,507300000.0,1347500000.0,9223700000.0,2594200000.0,3490300000.0,24400000.0,,2038500000.0,,336700000.0,148500000.0,133600000.0,77200000.0,,,651100000.0,573300000.0,272000000.0,77800000.0,3490300000.0,,,,608700000.0,0.05724308071852594,0.01609982978631135,0.0728476821192053,,0.16517046848172676,0.0365037891518588,0.05533733256635714,0.03816531763551631,0.2986019131714496,1.3454244082954283,0.37647495361781075,2619300000.0,224100000.0,389900000.0,,-385500000.0,762400000.0,173000000.0,,,4.5780430220356765,2.253757225433526,1.8899467,9.78,0.92,15.1347,1133.7009,5.0822,1.4791
