report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,317282000000.0,299442000000.0,17840000000.0,6597000000.0,,6319000000.0,535000000.0,319000000.0,120000000.0,216000000.0,-0.42,393700000.0,488000000.0,,,6597000000.0,19.6828,0.4753,-0.42,535000000.0,0.017881165919282512,0.0010054147414602782,0.050482671308751385,0.08466529514163633,0.0016861971369318146,0.021893031059459018,,0.08466529514163633,0.36978699551569505,,,,,,,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2010-06-30,314150000000.0,295259000000.0,18891000000.0,6600000000.0,,9655000000.0,528000000.0,395000000.0,252000000.0,133000000.0,-0.24,,1200000000.0,,,6600000000.0,13.4262,0.4375,-0.24,528000000.0,0.02090942776983749,0.0012573611332166164,0.04091144484722942,0.05468669083376489,0.0016807257679452492,0.020713192891608802,,0.05468669083376489,0.3493727171669049,,,,,,,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2010-09-30,313926000000.0,293017000000.0,20909000000.0,6603000000.0,,16328000000.0,1450000000.0,1061000000.0,380000000.0,389000000.0,1.21,,2245000000.0,,,6603000000.0,6.303,0.4252,1.21,1450000000.0,0.05074369888564733,0.0033797773997693726,0.06498040176384126,0.08880450759431652,0.004618922930881801,0.0527042744984007,,0.08880450759431652,0.3157970252044574,,,,,,,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2011-03-31,322538000000.0,301539000000.0,20999000000.0,6210000000.0,,6308000000.0,,511000000.0,128000000.0,59000000.0,1.01,,474000000.0,,,6210000000.0,6.4376,0.5274,1.01,,0.024334492118672318,0.0015843094457087226,0.08100824350031706,,,,,,0.29572836801752467,38610000000.0,2286000000.0,,880000000.0,1.56,1.56,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2011-06-30,317469000000.0,295794000000.0,21675000000.0,6214000000.0,,11701000000.0,,535000000.0,256000000.0,-211000000.0,1.06,,964000000.0,,,6214000000.0,6.4551,0.4773,1.06,,0.024682814302191464,0.0016852039096730705,0.045722587813007434,,,,,,0.2866897347174164,43992000000.0,2502000000.0,,1016000000.0,3.04,3.04,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2011-09-30,305598000000.0,282817000000.0,22781000000.0,6217000000.0,,16221000000.0,,535000000.0,384000000.0,-312000000.0,1.05,,1624000000.0,,,6217000000.0,5.927,0.3203,1.05,,0.023484482682937537,0.0017506659074993946,0.032981936995253064,,,,,,0.2729028576445283,50558000000.0,2642000000.0,,1148000000.0,4.33,4.33,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2011-12-31,304064000000.0,281154000000.0,22910000000.0,6216000000.0,,-12371000000.0,,-919000000.0,-260000000.0,118000000.0,-1.82,,-788000000.0,,,6216000000.0,10.4472,0.3362,-1.82,,-0.04011348756001746,-0.0030223900231530205,0.07428663810524613,,,,,,0.27132256656481885,21859000000.0,662000000.0,,508000000.0,1.3000000000000003,1.3000000000000003,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2012-03-31,310548000000.0,289274000000.0,21274000000.0,6220000000.0,,7661000000.0,,96000000.0,124000000.0,-95000000.0,0.18,,1140000000.0,,,6220000000.0,31.7236,0.4186,0.18,,0.004512550531164802,0.0003091309556010665,0.01253100117478136,,,,,,0.2923756698317195,23212000000.0,247000000.0,,504000000.0,0.47000000000000003,0.47000000000000003,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2012-06-30,303977000000.0,282016000000.0,21961000000.0,7125000000.0,,12235000000.0,,-5000000.0,239000000.0,-244000000.0,-0.06,,1236000000.0,,,7125000000.0,44.4688,0.3419,-0.06,,-0.00022767633532170666,-1.6448612888475115e-05,-0.0004086636697997548,,,,,,0.324438777833432,23746000000.0,-293000000.0,,487000000.0,-0.6500000000000001,-0.6500000000000001,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
2012-09-30,308918000000.0,285548000000.0,23370000000.0,6806000000.0,320000000.0,18677000000.0,,396000000.0,348000000.0,-136000000.0,0.78,,2212000000.0,,,7126000000.0,67.1362,0.3481,0.78,,0.016944801026957636,0.0012818935769362745,0.02120254858917385,,,,,,0.30492083868207104,26202000000.0,-432000000.0,,451000000.0,-0.9200000000000002,-0.9200000000000002,0.5682333,144.5,107.485,1.65278,36695.324,9.566,2.0232,1.2954
