report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,5636300000.0,1630600000.0,714300000.0,2645400000.0,2999800000.0,725000000.0,527500000.0,1912000000.0,564700000.0,479200000.0,354200000.0,23500000.0,171600000.0,2.6,136041000.0,235700000.0,63000000.0,155100000.0,172700000.0,725000000.0,,1.8792,12.6475,2.6,634300000.0,0.1180745383025535,0.06284264499760481,0.18525104602510462,0.29534518828451883,0.2506276150627615,0.08502031474548906,0.12865120274914088,0.09032426778242678,0.33174686192468616,0.24168277885192346,2.2827943441131175,,,,,,,,,,,,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2010-09-30,7078900000.0,2022900000.0,690000000.0,3627600000.0,3436900000.0,1713000000.0,969400000.0,3258000000.0,1041200000.0,868400000.0,626600000.0,40800000.0,278000000.0,4.6,136098000.0,631000000.0,150100000.0,239500000.0,480900000.0,1713000000.0,,2.1227,11.6425,4.6,1107900000.0,0.1823154586982455,0.08851657743434714,0.19232658072437078,0.3195825659914058,0.2665438919582566,0.12267442681772592,0.1686246334880289,0.14760589318600367,0.34005524861878456,0.49841426867235006,2.9317391304347824,,,,,,,,,,,,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2010-12-31,7778200000.0,2583700000.0,1028700000.0,3939500000.0,3845900000.0,,1566700000.0,4682200000.0,1523500000.0,1265000000.0,1019900000.0,69700000.0,292000000.0,7.49,136138000.0,1320000000.0,266900000.0,322300000.0,1053100000.0,0.0,2.5112,2.3568,10.361,7.49,1587300000.0,0.2651915026391742,0.13112288190069682,0.21782495408141472,0.32538123104523514,0.2701721413010978,0.1626340284384562,0.328921708832783,0.22491563794797317,0.3390073042586818,0.0,2.5116166034801206,,,,,,,,,,,,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2011-03-31,8952300000.0,3713900000.0,1107200000.0,4678400000.0,4273000000.0,2412500000.0,2267700000.0,1183200000.0,598700000.0,541200000.0,423400000.0,38200000.0,142000000.0,3.11,136191000.0,106900000.0,65700000.0,79800000.0,41200000.0,2412500000.0,,2.699,9.7599,3.11,621000000.0,0.09908729230049146,0.04729510851959832,0.35784313725490197,0.506000676132522,0.45740365111561865,0.060453738145504504,0.08095131254206865,0.03482082488167681,0.5248478701825557,0.5645916218113738,3.3543171965317917,11035400000.0,2424100000.0,3153800000.0,3728100000.0,1747900000.0,3950500000.0,172200000.0,17.8,17.8,0.6106821921275788,18.314750290360045,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2011-06-30,13671700000.0,1688300000.0,1191000000.0,7151700000.0,5546200000.0,3898800000.0,238100000.0,2989000000.0,1329500000.0,1158100000.0,831100000.0,119200000.0,293900000.0,6.02,137987000.0,725000000.0,244500000.0,185200000.0,480500000.0,3898800000.0,,2.4799,8.9139,6.02,1343300000.0,0.14985034798600844,0.06078980668095409,0.2780528604884577,0.4447975911676146,0.3874539979926397,0.08470782711732996,0.12261514028586554,0.16075610572097693,0.4494145199063232,0.7029677977714471,1.4175482787573468,12112400000.0,2901000000.0,3832700000.0,4492900000.0,2055700000.0,4659500000.0,267900000.0,21.22,21.22,0.8367421397145617,14.306457633445316,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2011-09-30,13945300000.0,1904800000.0,1299400000.0,7093500000.0,5723400000.0,3883500000.0,545100000.0,5131800000.0,2194900000.0,1980700000.0,1420600000.0,169200000.0,312300000.0,10.12,140321000.0,1545700000.0,478900000.0,302900000.0,1066800000.0,3883500000.0,,1.2078,4.1096,10.12,2283600000.0,0.2482091064751721,0.1018694470538461,0.276822947114073,0.427705678319498,0.38596593787754785,0.1420335166686984,0.20617472858049943,0.20788027592657546,0.44499006196656143,0.6785302442604046,1.4659073418500848,13986200000.0,3695000000.0,4945000000.0,5646600000.0,2641600000.0,5835200000.0,396300000.0,26.739999999999995,26.739999999999995,0.6655298875788319,12.477920767095634,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2011-12-31,14541700000.0,1790700000.0,1493300000.0,7502000000.0,5785000000.0,3608700000.0,521600000.0,-2509700000.0,-1434500000.0,-1331400000.0,-1056000000.0,-110100000.0,-328100000.0,-7.77,-273487000.0,-88800000.0,91600000.0,-141000000.0,-180400000.0,3608700000.0,1.2723,1.4347,5.8164,-7.77,-1472400000.0,-0.1825410544511668,-0.07261874471347916,0.4207674224010838,0.5715822608279874,0.5305016535840937,-0.09155738324955129,-0.14173328933221202,0.07188110132685181,0.5866836673706021,0.6238029386343993,1.1991562311658743,6794300000.0,1619100000.0,2348600000.0,2688600000.0,1408100000.0,2775500000.0,216500000.0,11.479999999999999,11.479999999999999,1.3001981624932444,10.848036951501154,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2012-03-31,14893300000.0,1587300000.0,1384600000.0,7459400000.0,6140000000.0,3583800000.0,122300000.0,1264700000.0,303500000.0,231100000.0,375800000.0,47300000.0,-210800000.0,2.63,142709000.0,-129000000.0,241100000.0,117300000.0,-370100000.0,3583800000.0,,1.5316,6.4259,2.63,348400000.0,0.061205211726384365,0.025232822812942732,0.2971455681189215,0.23997786036214122,0.18273108247015102,0.015517044577091712,0.023766428762417986,-0.2926385704119554,0.27548035107140034,0.5836807817589577,1.1463960710674563,6875800000.0,1571500000.0,2038500000.0,2393400000.0,996800000.0,2502900000.0,225600000.0,11.0,11.0,1.4318590435095289,9.03590425531915,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2012-06-30,15194300000.0,1742600000.0,1534300000.0,7586800000.0,6295000000.0,3614100000.0,159200000.0,2890700000.0,752800000.0,596400000.0,633800000.0,94400000.0,-167900000.0,4.44,142762000.0,-32800000.0,517000000.0,249400000.0,-549800000.0,3614100000.0,,1.0764,4.9138,4.44,845800000.0,0.10068308181096108,0.04171301080010267,0.21925485176600823,0.2604213512298059,0.2063168090773861,0.03925156144080346,0.06018710074577913,-0.19019614626215103,0.29259348946621927,0.5741223193010325,1.135762236850681,6777500000.0,1374200000.0,1476800000.0,1816700000.0,-33500000.0,2005400000.0,200800000.0,9.42,9.42,1.8021841029221104,7.354581673306773,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
2012-09-30,15296800000.0,1665400000.0,1714300000.0,7607600000.0,6336800000.0,3514300000.0,36300000.0,4336800000.0,933600000.0,661300000.0,719000000.0,141200000.0,-235200000.0,5.04,142780000.0,275500000.0,793600000.0,382300000.0,-518100000.0,3514300000.0,,0.9326,6.1257,5.04,1043600000.0,0.11346420906451206,0.04700329480675697,0.16579044456742298,0.21527393469839512,0.15248570374469655,0.04323126405522724,0.06712955913552801,-0.11946596568898728,0.24063825862387014,0.5545859108698397,0.9714752377063525,5982500000.0,672600000.0,157400000.0,555400000.0,-1618400000.0,765400000.0,172800000.0,4.340000000000001,4.340000000000001,4.591455448131696,0.9108796296296297,2.0089042,16.7,5.63,24.03462,5995.058,1.237,0.3171
