report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,roi,roic,fcf_margin,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-05-31,62153678000.0,56115411000.0,6038267000.0,18311127000.0,,,,,154529000.0,818345000.0,96956000.0,0.12,2443807000.0,17461000.0,,2426346000.0,18311127000.0,6.6085,0.12,,0.025591614282707273,0.002486240637279744,,,,,3.032513633464701,,,,,,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2010-08-31,60057553000.0,53946256000.0,6111297000.0,17708753000.0,,,,,415146000.0,1207482000.0,268482000.0,0.58,2706762000.0,29538000.0,,2677224000.0,17708753000.0,10.2826,0.58,,0.06793091548324358,0.006912469444101394,,,,,2.8977078024517544,,,,,,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2010-11-30,60784968000.0,54328122000.0,6456846000.0,17705728000.0,,,,,764788000.0,1582988000.0,504071000.0,1.22,3872586000.0,54676000.0,,3817910000.0,17705728000.0,13.0166,1.22,,0.11844606484342356,0.012581860699507154,,,,,2.7421635888481775,,,,,,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2011-02-28,63506609000.0,56607444000.0,6899165000.0,18990170000.0,,,,,464892000.0,382728000.0,255111000.0,0.84,1279083000.0,15586000.0,,1263497000.0,18990170000.0,8.8952,0.84,,0.06738380659108748,0.007320371963176305,,,,,2.7525316469456813,1799355000.0,10184977000.0,3991543000.0,2.76,2.76,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2011-05-31,63437533000.0,55914233000.0,7523300000.0,17938507000.0,,,,,1065311000.0,762707000.0,581151000.0,1.93,2255942000.0,49868000.0,,2206074000.0,17938507000.0,7.7615,1.93,,0.1416015578270174,0.01679307106724973,,,,,2.3843934177820905,2710137000.0,9964705000.0,3935905000.0,4.57,4.57,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2011-08-31,65725667000.0,57719751000.0,8005916000.0,,,3957525000.0,,,1714129000.0,1124760000.0,979414000.0,3.11,2812015000.0,70053000.0,66274000.0,2741962000.0,0.0,6.6526,3.11,,0.21410779228760332,0.026080054843718815,,,,,0.0,4009120000.0,10029443000.0,3853183000.0,7.1,7.1,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2011-11-30,68783937000.0,60541726000.0,8242211000.0,18287178000.0,,2849843000.0,,,-1017624000.0,-785643000.0,-531140000.0,-1.8200000000000003,-2737425000.0,-23947000.0,,-2761372000.0,18287178000.0,5.8797,-1.8200000000000003,,-0.12346492949525316,-0.014794500640462031,,,,,2.2187223792256714,2226708000.0,3450161000.0,1484552000.0,4.06,4.06,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2012-02-29,70486018000.0,61657066000.0,8828952000.0,18753958000.0,,6315152000.0,,,631006000.0,353260000.0,383240000.0,1.18,1010672000.0,26371000.0,,984301000.0,18753958000.0,6.6472,1.18,,0.07147009067440847,0.008952215175497642,,,,,2.124143159912977,2392822000.0,3170965000.0,1455084000.0,4.3999999999999995,4.3999999999999995,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2012-05-31,72083405000.0,63184547000.0,8898858000.0,19023907000.0,,5112069000.0,,,1167597000.0,693799000.0,713816000.0,2.18,1502772000.0,55995000.0,,1446777000.0,19023907000.0,7.5392,2.18,,0.13120750999735023,0.016197861352415303,,,,,2.137791950382847,2495108000.0,2411668000.0,1386176000.0,4.65,4.65,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2012-08-31,73908664000.0,64762751000.0,9145913000.0,19246113000.0,,6237610000.0,,,1794283000.0,1019109000.0,1098844000.0,3.39,2159204000.0,104685000.0,,2054519000.0,19246113000.0,8.6447,3.39,,0.19618413164437493,0.02427703198639878,,,,,2.104340266521232,2575262000.0,1724225000.0,1280525000.0,4.93,4.93,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2012-11-30,75283000000.0,65505000000.0,9778000000.0,19729000000.0,,3926000000.0,,,-1247886000.0,-735168000.0,-787900000.0,-2.29,-1631648000.0,-43051000.0,,-1674699000.0,19729000000.0,8.9568,-2.29,,-0.12762180404990794,-0.01657593347767756,,,,,2.017692779709552,2345000000.0,2810898000.0,1331000000.0,4.460000000000001,4.460000000000001,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2013-03-31,76139000000.0,65840000000.0,10299000000.0,,,8067000000.0,,,673000000.0,298000000.0,407000000.0,1.0,,59000000.0,,,0.0,9.0938,1.0,,0.06534615011166132,0.008839096914853097,,,,,0.0,2386994000.0,,1275740000.0,4.280000000000001,4.280000000000001,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2013-06-30,74944000000.0,64496000000.0,10448000000.0,,,5744000000.0,,,1275000000.0,595000000.0,786000000.0,2.0,,117000000.0,,,0.0,9.6273,2.0,,0.12203292496171517,0.017012702818104186,,,,,0.0,2494397000.0,,1176941000.0,4.1,4.1,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
2013-09-30,75544000000.0,64942000000.0,10602000000.0,,124000000.0,5623000000.0,,,1868000000.0,873000000.0,1139000000.0,3.0,,177000000.0,,,124000000.0,10.0717,3.0,,0.1761931710997925,0.024727311235836068,,,,,0.011695906432748537,2568114000.0,,1030832000.0,3.71,3.71,0.22543196,207.42,139.895,5.1592,50343.258,8.9277,2.4278,1.4093
