report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,10952000000.0,1721000000.0,934000000.0,,6359000000.0,256000000.0,691000000.0,879000000.0,283000000.0,169000000.0,,47000000.0,0.39,429000000.0,126000000.0,12000000.0,34000000.0,114000000.0,256000000.0,2.1341,,,0.39,317000000.0,0.02657650573989621,0.015430971512052593,0.19226393629124006,0.32195676905574516,0.025840029218407598,0.04278155706727135,0.1296928327645051,0.36063708759954494,0.04025790218587828,1.842612419700214,,,,,,,,,,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2010-06-30,11074000000.0,1815000000.0,608000000.0,,6486000000.0,,713000000.0,1832000000.0,654000000.0,276000000.0,,88000000.0,0.64,430000000.0,90000000.0,20000000.0,67000000.0,70000000.0,0.0,,,,0.64,721000000.0,0.0425531914893617,0.02492324363373668,0.15065502183406113,0.3569868995633188,0.059057251219071696,0.10083256244218317,0.03820960698689956,0.3935589519650655,0.0,2.9851973684210527,,,,,,,,,,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2010-09-30,11398000000.0,2137000000.0,792000000.0,,6683000000.0,,1016000000.0,2758000000.0,966000000.0,462000000.0,,171000000.0,1.07,431000000.0,445000000.0,29000000.0,100000000.0,416000000.0,0.0,,,,1.07,1066000000.0,0.06913062995660632,0.040533426917002985,0.16751269035532995,0.350253807106599,0.08475171082646078,0.14454586263654048,0.15083393763596809,0.38651196519216824,0.0,2.698232323232323,,,,,,,,,,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2010-12-31,11019000000.0,1735000000.0,785000000.0,4786000000.0,6225000000.0,,466000000.0,-1696000000.0,-543000000.0,-254000000.0,,-18000000.0,-0.5800000000000001,-861000000.0,7000000.0,-12000000.0,-69000000.0,-5000000.0,0.0,2.2102,,,-0.5800000000000001,-612000000.0,-0.040803212851405625,-0.023051093565659316,0.14976415094339623,0.32016509433962265,-0.04927851892186224,-0.0872289156626506,0.00294811320754717,0.3608490566037736,0.0,2.210191082802548,3773000000.0,653000000.0,1360000000.0,595000000.0,1492000000.0,,1.52,1.52,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2011-03-31,11108000000.0,1629000000.0,654000000.0,4697000000.0,6408000000.0,,453000000.0,951000000.0,507000000.0,305000000.0,,146000000.0,0.74,414000000.0,217000000.0,11000000.0,30000000.0,206000000.0,0.0,2.2102,,,0.74,537000000.0,0.04759675405742821,0.027457688152682753,0.3207150368033649,0.5331230283911672,0.04564277997839395,0.07911985018726592,0.21661409043112514,0.5646687697160884,0.0,2.4908256880733943,3845000000.0,789000000.0,1584000000.0,687000000.0,1712000000.0,,1.8699999999999999,1.8699999999999999,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2011-06-30,11836000000.0,2321000000.0,614000000.0,5322000000.0,6513000000.0,,1095000000.0,2018000000.0,952000000.0,559000000.0,,290000000.0,1.36,412000000.0,431000000.0,27000000.0,60000000.0,404000000.0,0.0,,,,1.36,1012000000.0,0.08582834331337326,0.04722879351132139,0.2770069375619425,0.4717542120911794,0.08043257857384252,0.14616920006141562,0.2001982160555005,0.5014866204162537,0.0,3.7801302931596092,4031000000.0,1072000000.0,1882000000.0,1021000000.0,2003000000.0,,2.59,2.59,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2013-03-31,14421000000.0,4013000000.0,1101000000.0,8146000000.0,6240000000.0,,2360000000.0,1156000000.0,414000000.0,231000000.0,,146000000.0,0.0,367000000.0,131000000.0,26000000.0,32000000.0,105000000.0,0.0,2.8858,,,0.0,446000000.0,0.03701923076923077,0.016018306636155607,0.19982698961937717,0.35813148788927335,0.028708133971291867,0.06634615384615385,0.09083044982698962,0.38581314878892736,0.0,3.644868301544051,2429000000.0,841000000.0,1330000000.0,710000000.0,1383000000.0,,1.52,1.52,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2013-06-30,14687000000.0,2265000000.0,1002000000.0,8383000000.0,6269000000.0,,375000000.0,2623000000.0,978000000.0,531000000.0,,327000000.0,1.0,365000000.0,,54000000.0,110000000.0,,0.0,,,,1.0,1088000000.0,0.08470250438666455,0.036154422278205214,0.20243995425085778,0.372855508959207,0.06658950091918023,0.15600574254267027,,0.4147922226458254,0.0,2.2604790419161676,6748000000.0,1626000000.0,2851000000.0,,3083000000.0,,3.1,3.1,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2013-09-30,14867000000.0,2364000000.0,1135000000.0,8610000000.0,6220000000.0,,439000000.0,3998000000.0,1477000000.0,786000000.0,,490000000.0,2.0,363000000.0,,76000000.0,190000000.0,,0.0,,,,2.0,1667000000.0,0.12636655948553055,0.05286876975852559,0.1965982991495748,0.36943471735867933,0.09934754826124975,0.23745980707395498,,0.4169584792396198,0.0,2.082819383259912,9795000000.0,2107000000.0,3821000000.0,,4213000000.0,,4.36,4.36,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
2014-03-31,15311000000.0,2740000000.0,1253000000.0,9093000000.0,6180000000.0,,757000000.0,1411000000.0,434000000.0,230000000.0,,118000000.0,0.0,352000000.0,,28000000.0,83000000.0,,0.0,1.8624,,,0.0,517000000.0,0.0372168284789644,0.015021879694337404,0.1630049610205528,0.30758327427356486,0.02834563385801058,0.07022653721682848,,0.3664068036853296,0.0,2.186751795690343,9188000000.0,1778000000.0,3303000000.0,,3718000000.0,,3.0,3.0,0.0,,1.721488,30.0,7.52,29.89608,67751.69,93.1935,1.9886,1.8166
