report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm
2011-09-30,27213000000.0,21922500000.0,5290500000.0,,,,155800000.0,98100000.0,76900000.0,0.45,127000000.0,24400000.0,,102600000.0,0.0,23.4544,0.45,,0.029449012380682354,0.005725204865321722,,,0.0,,,,,
2011-12-31,27567900000.0,22342900000.0,5225000000.0,,,,198800000.0,128500000.0,96800000.0,0.57,184600000.0,20500000.0,,164100000.0,0.0,24.2738,0.57,,0.03804784688995215,0.007211285589399265,,,0.0,,,,,
2012-03-31,27807900000.0,22627300000.0,5180600000.0,,,,58600000.0,27000000.0,28800000.0,0.17,167300000.0,100000.0,,167200000.0,0.0,23.9187,0.17,,0.011311431108365827,0.002107314827800733,,,0.0,,,,,
2012-06-30,28154100000.0,23007500000.0,5146600000.0,,,,123400000.0,53800000.0,59400000.0,0.36,271600000.0,6800000.0,,264800000.0,0.0,19.7703,0.36,,0.023976994520654413,0.004383020590251509,,,0.0,536600000.0,698700000.0,307400000.0,1.5499999999999998,1.5499999999999998
2012-09-30,28576000000.0,23468600000.0,5107400000.0,,,,184100000.0,79300000.0,88600000.0,0.54,430900000.0,14200000.0,,416700000.0,0.0,18.6471,0.54,,0.03604573755726984,0.006442469204927212,,,0.0,564900000.0,1012800000.0,288600000.0,1.6400000000000001,1.6400000000000001
2012-12-31,30324400000.0,25285600000.0,5038800000.0,659000000.0,,,-120800000.0,-53900000.0,-59400000.0,-0.3500000000000001,-356200000.0,-1200000.0,,-357400000.0,659000000.0,17.0431,-0.3500000000000001,,-0.02397396205445741,-0.003983590771787736,,,0.13078510756529332,245300000.0,491300000.0,106200000.0,0.7199999999999999,0.7199999999999999
2013-12-31,33213700000.0,28645300000.0,4568400000.0,639100000.0,,,232400000.0,115800000.0,106700000.0,0.74,379400000.0,14000000.0,,365400000.0,639100000.0,20.6762,0.74,,0.050871202171438576,0.006997112637255109,,,0.1398958059714561,419100000.0,689500000.0,195000000.0,1.2899999999999998,1.2899999999999998
2019-03-31,48091900000.0,41470700000.0,6621200000.0,901600000.0,614500000.0,144600000.0,114600000.0,107700000.0,30000000.0,0.3,-21500000.0,1900000.0,9500000.0,-23400000.0,901600000.0,14.0173,0.3,154100000.0,0.0173080408385187,0.002382937667257896,0.0030067433393149365,0.019221566438028394,0.13616867033166194,410300000.0,401300000.0,248900000.0,1.2299999999999998,1.2299999999999998
2020-12-31,63091800000.0,55489000000.0,7602800000.0,1009600000.0,4243300000.0,348600000.0,219600000.0,239200000.0,129000000.0,0.49,842900000.0,37100000.0,,805800000.0,1009600000.0,8.7188,0.49,348600000.0,0.02888409533329826,0.0034806424923682633,0.005525282207830494,0.04047652222377038,0.1327931814594623,445800000.0,790400000.0,408800000.0,1.1799999999999997,1.1799999999999997
