report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,eps,roe,roa,net_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm
2010-06-30,38347800000.0,6914000000.0,9568900000.0,28001500000.0,10346300000.0,,450000000.0,1406000000.0,17167300000.0,1053600000.0,121600000.0,510900000.0,2.42,754800000.0,144500000.0,610300000.0,450000000.0,2.42,0.10183350569768902,0.027474848622346,0.06137249305365433,0.03555014475194119,0.04349380938113142,0.7225490913271118,,,,,,
2010-09-30,39150600000.0,7074400000.0,9006300000.0,29154000000.0,9996600000.0,,235400000.0,1795500000.0,25706100000.0,1551200000.0,185500000.0,780500000.0,3.61,846600000.0,217100000.0,629500000.0,235400000.0,3.61,0.1551727587379709,0.039621359570479124,0.06034365384091714,0.024488351013961667,0.023548006322149533,0.7854945982256865,,,,,,
2010-12-31,37739400000.0,6994200000.0,8736900000.0,27848600000.0,9890800000.0,,0.0,1867600000.0,34246000000.0,1766800000.0,254600000.0,877400000.0,4.18,1412100000.0,288700000.0,1123400000.0,0.0,4.18,0.17863064666154407,0.04681579463372497,0.05159142673596916,0.03280383110436255,0.0,0.8005356591010542,,,,,,
2011-09-30,38694200000.0,6885900000.0,8655100000.0,28165500000.0,10528700000.0,3977100000.0,449900000.0,1957800000.0,25207500000.0,1613100000.0,187300000.0,857800000.0,4.19,2013800000.0,227200000.0,1786600000.0,4427000000.0,4.19,0.15320979798075735,0.04168841841929798,0.06399285926807498,0.07087573142913815,0.42046976359854493,0.7955887280331827,102326900000.0,5984700000.0,4149800000.0,749000000.0,14.399999999999999,14.399999999999999
2011-12-31,38593100000.0,5890000000.0,8522200000.0,28472900000.0,10120200000.0,3977700000.0,425900000.0,679700000.0,33779800000.0,1985700000.0,246900000.0,1092100000.0,5.22,2507800000.0,372000000.0,2135800000.0,4403600000.0,5.22,0.19621153732139682,0.05145220259580081,0.05878365176821651,0.06322713574384692,0.4351297405189621,0.6911360916195348,118939400000.0,6916800000.0,5675300000.0,874300000.0,17.2,17.2
2012-03-31,39336100000.0,6343700000.0,8967900000.0,29037100000.0,10299000000.0,3978300000.0,150000000.0,809100000.0,8915800000.0,511000000.0,59300000.0,273300000.0,1.43,1019700000.0,68000000.0,951700000.0,4128300000.0,1.43,0.04961646761821536,0.012990611677314223,0.057313981919737994,0.10674308530922631,0.40084474220798133,0.7073785390113627,102149100000.0,5876600000.0,5997500000.0,748100000.0,15.02,15.02
2012-06-30,39452700000.0,6474700000.0,8435100000.0,29196900000.0,10255800000.0,4706300000.0,0.0,922100000.0,17750900000.0,968600000.0,123700000.0,511400000.0,2.76,1110000000.0,150800000.0,959200000.0,4706300000.0,2.76,0.09444411942510579,0.02455091793464072,0.05456624734520503,0.054036696730869985,0.45889155404746584,0.7675901886166139,85654000000.0,5078400000.0,5833300000.0,617200000.0,13.6,13.6
2012-09-30,39838400000.0,6236000000.0,8276500000.0,28941600000.0,10896800000.0,4615600000.0,70000000.0,638200000.0,26667400000.0,1467800000.0,192200000.0,786500000.0,4.23,1277200000.0,252500000.0,1024700000.0,4685600000.0,4.23,0.13470009544086337,0.0368438491505683,0.055040986372874745,0.03842519330718405,0.42999779751853756,0.7534585875672084,87113900000.0,4933100000.0,5071400000.0,622100000.0,13.64,13.64
2012-12-31,41494500000.0,8244400000.0,8487600000.0,31088700000.0,10405800000.0,6481300000.0,0.0,2579200000.0,-16738200000.0,-1289500000.0,-106400000.0,-683700000.0,-3.6100000000000003,-1584900000.0,-133100000.0,-1718000000.0,6481300000.0,-3.6100000000000003,-0.12392127467373965,-0.031076407716685343,0.07703934712215173,0.10263947138879928,0.6228545618789522,0.9713464347990008,36595900000.0,1657900000.0,1217600000.0,268800000.0,4.81,4.81
