report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,11419100000.0,823400000.0,875600000.0,10596500000.0,822600000.0,7296600000.0,34300000.0,3076800000.0,841700000.0,188200000.0,417100000.0,109900000.0,0.37,919100000.0,509200000.0,606400000.0,409900000.0,7296600000.0,0.37,1448100000.0,0.2287867736445417,0.016481158760322617,0.06116744669786792,0.2735634425377015,0.07370983702743648,0.1036678490491674,0.13322282891315654,0.4706513260530421,8.870167760758571,0.940383736866149,,,,,,,,,,
2011-12-31,14392100000.0,1518400000.0,1459500000.0,12894000000.0,1498100000.0,8936700000.0,227000000.0,4285700000.0,968000000.0,172300000.0,558300000.0,101100000.0,0.33,1228800000.0,702000000.0,847500000.0,526800000.0,8936700000.0,0.33,1815500000.0,0.1150123489753688,0.011971845665330286,0.04020346734489115,0.2258674195580652,0.06725912132350387,0.09276651205581324,0.12292040973469912,0.4236180787269291,5.965356117749149,1.0403562863994518,,,,,,,,,,
2012-03-31,13966400000.0,1132800000.0,1280100000.0,12540300000.0,1426100000.0,8788000000.0,64200000.0,1545200000.0,252700000.0,64600000.0,156500000.0,40000000.0,0.11,438800000.0,226100000.0,312100000.0,212700000.0,8788000000.0,0.11,564800000.0,0.04529836617348012,0.004625386642227059,0.04180688584002071,0.1635387004918457,0.018093424218123495,0.02474030996367766,0.13765208387263786,0.3655190266632151,6.162260711030082,0.8849308647761893,,,,,,,,,,
2012-06-30,13927200000.0,1111900000.0,1301700000.0,12589800000.0,1337400000.0,8794300000.0,37500000.0,3083000000.0,491500000.0,118800000.0,310000000.0,73800000.0,0.2,836800000.0,502100000.0,632100000.0,334700000.0,8794300000.0,0.2,1123600000.0,0.08882907133243607,0.00853007065311046,0.03853389555627636,0.15942264028543626,0.03529065425929117,0.048511108698441524,0.10856308790139474,0.3644502108336036,6.5756692089128155,0.8541906737343474,11990700000.0,543900000.0,2553900000.0,1484100000.0,4952000000.0,1441900000.0,1.01,1.01,1.7759087237479807,1.771204660517373
2012-09-30,14028400000.0,1213500000.0,2442400000.0,12783800000.0,1244600000.0,7848300000.0,114800000.0,4635400000.0,739200000.0,172500000.0,465400000.0,107100000.0,0.29,1243600000.0,809400000.0,958500000.0,434200000.0,7848300000.0,0.29,1697700000.0,0.13859874658524826,0.012296484274756922,0.03721361694783622,0.15946843853820597,0.05269310826608879,0.08129419657095097,0.09367044915217673,0.3662467101005307,6.305881407681182,0.49684736324926304,13549300000.0,528200000.0,2451400000.0,1508400000.0,5201600000.0,1490200000.0,0.9299999999999999,0.9299999999999999,1.5088242079360197,1.6450140920681788
2012-12-31,13982000000.0,1300100000.0,2168400000.0,12877200000.0,1104800000.0,8114900000.0,132000000.0,-3107300000.0,-595900000.0,-187900000.0,-306800000.0,-120700000.0,-0.31999999999999995,-741600000.0,-436400000.0,-605100000.0,-1178000000.0,8114900000.0,-0.31999999999999995,-1201000000.0,-0.1700760318609703,-0.013438706908882849,0.060470504939980046,0.19177420912045828,-0.042619081676441135,-0.06463333947959261,0.3791072635406945,0.3865091880410646,7.345130340333092,0.5995665006456373,6156300000.0,168000000.0,887500000.0,-196400000.0,2185100000.0,625100000.0,0.27999999999999997,0.27999999999999997,3.7137430781199945,1.4197728363461846
2013-09-30,13486700000.0,1084600000.0,1435700000.0,12631900000.0,854800000.0,8760800000.0,73400000.0,4510100000.0,683700000.0,122600000.0,479700000.0,47900000.0,0.2,1160700000.0,666000000.0,1000300000.0,494700000.0,8760800000.0,0.2,1684000000.0,0.14342536265793168,0.009090437245582686,0.027183432739850556,0.15159309106228244,0.05069438780428125,0.07110320728815675,0.1096871466264606,0.3733841821689098,10.248947122133833,0.7554503029880895,9121200000.0,226000000.0,1318500000.0,85600000.0,3304300000.0,948300000.0,0.37000000000000005,0.37000000000000005,2.6513331114002967,1.390382790256248
2013-12-31,13444600000.0,1184800000.0,1445600000.0,12604400000.0,840200000.0,8622200000.0,48200000.0,5988100000.0,1009000000.0,241000000.0,627700000.0,105300000.0,0.4,1519400000.0,841000000.0,1341500000.0,678400000.0,8622200000.0,0.4,2350500000.0,0.2868364675077362,0.017925412433244574,0.040246488869591354,0.1685008600390775,0.07504871844457998,0.10663256679066621,0.11329136119971277,0.39252851488786095,10.26208045703404,0.819590481460985,12026300000.0,348200000.0,1836000000.0,429300000.0,4531200000.0,1266000000.0,0.5700000000000001,0.5700000000000001,1.9028513418079096,1.4502369668246446
2014-03-31,13239800000.0,1143400000.0,1427600000.0,12517100000.0,722700000.0,8617600000.0,70000000.0,1464900000.0,167800000.0,16000000.0,141900000.0,10800000.0,0.02,319800000.0,153000000.0,338900000.0,166800000.0,8617600000.0,0.02,506700000.0,0.022139200221392003,0.001208477469448179,0.010922247252372175,0.11454706805925319,0.012673907460837778,0.01796516171857435,0.11386442760597994,0.3458939176735613,11.924173239241732,0.8009246287475483,8855800000.0,191700000.0,1264600000.0,161900000.0,3340200000.0,942500000.0,0.3000000000000001,0.3000000000000001,2.5799652715406265,1.3417506631299734
2014-06-30,12985700000.0,1031000000.0,1405300000.0,12395500000.0,590200000.0,8593100000.0,54800000.0,2930900000.0,335000000.0,30000000.0,284400000.0,20800000.0,0.05,681600000.0,358800000.0,682900000.0,322800000.0,8593100000.0,0.05,1017900000.0,0.05083022704168079,0.0023102335646133826,0.010235763758572452,0.11429936197072571,0.02579760813818277,0.036479261267736,0.11013681804223958,0.3472994643283633,14.559640799728905,0.7336511776844802,14894000000.0,409600000.0,2195500000.0,1662700000.0,5559100000.0,1533700000.0,0.6700000000000002,0.6700000000000002,1.5457717975931355,1.4315055095520637
