report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,282428000000.0,255040000000.0,26709000000.0,32399000000.0,31196000000.0,,669000000.0,641000000.0,161000000.0,0.34,1919000000.0,2876000000.0,63595000000.0,21.1359,0.34,,0.025047736717960237,0.0023687453085388136,,,2.3810326107304656,,,,,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2010-06-30,283243000000.0,254303000000.0,28169000000.0,29137000000.0,33797000000.0,,1435000000.0,1279000000.0,360000000.0,0.79,1920000000.0,3960000000.0,62934000000.0,16.2283,0.79,,0.05094252547126273,0.005066321144741441,,,2.2341581170790588,,,,,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2010-09-30,290654000000.0,260711000000.0,29151000000.0,30353000000.0,34341000000.0,,2343000000.0,1932000000.0,620000000.0,1.24,1920000000.0,2806000000.0,64694000000.0,14.0744,1.24,,0.08037460121436657,0.008061131104337116,,,2.219272066138383,,,,,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2010-12-31,307786000000.0,277464000000.0,29519000000.0,31537000000.0,32557000000.0,,-1130000000.0,-1273000000.0,-206000000.0,-0.6400000000000001,-3838000000.0,-4401000000.0,64094000000.0,15.6194,-0.6400000000000001,,-0.038280429553846675,-0.003671382064161463,,,2.171279514888716,3317000000.0,2579000000.0,1.73,1.73,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2011-03-31,311462000000.0,280127000000.0,30507000000.0,31775000000.0,31021000000.0,,1046000000.0,648000000.0,366000000.0,0.52,1928000000.0,6228000000.0,62796000000.0,13.7761,0.52,,0.03428721277083948,0.0033583551123411524,,,2.0584128232864587,3694000000.0,2586000000.0,1.91,1.91,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2011-06-30,320874000000.0,287533000000.0,32452000000.0,32830000000.0,29654000000.0,,2249000000.0,1279000000.0,824000000.0,1.12,1929000000.0,8809000000.0,62484000000.0,11.8976,1.12,,0.06930235424627142,0.007008981718680853,,,1.9254283249106372,4508000000.0,2586000000.0,2.24,2.24,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2011-09-30,330141000000.0,295931000000.0,33230000000.0,30624000000.0,32029000000.0,,3522000000.0,1913000000.0,1314000000.0,1.77,1926000000.0,8755000000.0,62653000000.0,10.0575,1.77,,0.10598856455010533,0.01066816905504012,,,1.8854348480288896,5687000000.0,2567000000.0,2.77,2.77,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2011-12-31,340122000000.0,305151000000.0,33978000000.0,31953000000.0,30468000000.0,,-1945000000.0,-1324000000.0,-663000000.0,-0.9500000000000002,-3860000000.0,-13972000000.0,62421000000.0,10.8033,-0.9500000000000002,,-0.057242921890635116,-0.0057185362899195,,,1.8371004767790924,4872000000.0,2516000000.0,2.46,2.46,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2012-03-31,340762000000.0,303848000000.0,35900000000.0,30395000000.0,27454000000.0,,1338000000.0,598000000.0,527000000.0,0.67,1910000000.0,3091000000.0,57849000000.0,11.7072,0.67,,0.037270194986072425,0.003926494151343166,,,1.6113927576601672,5164000000.0,2466000000.0,2.61,2.61,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
2012-06-30,353136000000.0,314262000000.0,37792000000.0,28821000000.0,30684000000.0,,2753000000.0,1168000000.0,1091000000.0,1.38,1904000000.0,3628000000.0,59505000000.0,11.43,1.38,,0.0728461049957663,0.007795863350097413,,,1.5745395850973751,5668000000.0,2355000000.0,2.8699999999999997,2.8699999999999997,1.0553968,61.19,35.18,10.85896,80667.89,10.6563,1.2723,2.0972
