report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-04-03,25260000000.0,15896000000.0,7873000000.0,,9944000000.0,3372000000.0,532000000.0,3188000000.0,5044000000.0,1786000000.0,76000000.0,69000000.0,-5000000.0,0.03,2341300000.0,485000000.0,173000000.0,3904000000.0,,67.0984,1.1463,0.03,249000000.0,0.006938857602574417,0.0027315914489311165,0.013679619349722442,0.3540840602696273,0.01506740681998414,0.0030087094220110845,0.005488157134604275,0.04936558287073751,0.3925985518905873,2.019052457767052,,,,,,,,,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2010-07-03,24812000000.0,16014000000.0,7887000000.0,,10116000000.0,2907000000.0,531000000.0,2893000000.0,10458000000.0,3788000000.0,439000000.0,231000000.0,174000000.0,0.1,2352900000.0,727000000.0,341000000.0,3438000000.0,,39.6457,1.2007,0.1,780000000.0,0.022835112692763938,0.009310011284862163,0.02208835341365462,0.36221074775291645,0.0419774335436986,0.017693051749153636,0.03238896266784713,0.07458405048766495,0.3398576512455516,2.0304298212248004,,,,,,,,,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2010-10-02,25925000000.0,17373000000.0,8709000000.0,,10441000000.0,2864000000.0,532000000.0,3848000000.0,13619000000.0,4865000000.0,411000000.0,340000000.0,278000000.0,0.14,2360000000.0,915000000.0,426000000.0,3396000000.0,,41.1507,1.9452,0.14,837000000.0,0.03256393065798295,0.013114754098360656,0.024965122255672222,0.357221528746604,0.030178427197297894,0.015853423336547733,0.0297029702970297,0.06145825684705191,0.325256201513265,1.994832931450224,,,,,,,,,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2010-12-31,25577000000.0,17154000000.0,8710000000.0,,10885000000.0,2194000000.0,605000000.0,4208000000.0,-9839000000.0,-3541000000.0,-137000000.0,-7000000.0,-41000000.0,1.6,-6716100000.0,-593000000.0,-368000000.0,2799000000.0,1.9695,33.6676,2.7979,1.6,-505000000.0,-0.0006430868167202572,-0.0002736833874183837,0.0007114544160991971,0.3598942982010367,0.013924179286512857,-0.005356374868045509,-0.010011692487576732,0.051326354304299215,0.2571428571428571,1.9694603903559127,19282000000.0,633000000.0,789000000.0,6898000000.0,1361000000.0,1.87,1.87,2.056576047024247,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2011-04-02,16560000000.0,10861000000.0,4904000000.0,,6310000000.0,2093000000.0,605000000.0,2764000000.0,1884000000.0,942000000.0,170000000.0,497000000.0,-186000000.0,1.44,344200000.0,231000000.0,91000000.0,2698000000.0,,14.1764,1.9506,1.44,261000000.0,0.07876386687797148,0.03001207729468599,0.2638004246284501,0.5,0.09023354564755838,0.010265700483091788,0.018872113676731795,0.13853503184713375,0.42757527733755946,2.2147226753670473,16122000000.0,1061000000.0,883000000.0,6054000000.0,1373000000.0,3.2800000000000002,3.2800000000000002,1.9650400582665695,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2011-07-02,15597000000.0,10269000000.0,4131000000.0,,6739000000.0,1548000000.0,606000000.0,2203000000.0,3939000000.0,1981000000.0,340000000.0,846000000.0,-169000000.0,2.44,346300000.0,333000000.0,181000000.0,2154000000.0,,12.5487,1.9963,2.44,521000000.0,0.12553791363703815,0.054241200230813615,0.21477532368621477,0.5029195227215029,0.08631632394008631,0.021799063922549208,0.038232317553131674,0.13226707286113226,0.3196319928772815,2.485838779956427,9603000000.0,1676000000.0,784000000.0,4247000000.0,1114000000.0,5.619999999999999,5.619999999999999,1.933572710951526,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2011-10-01,14771000000.0,9715000000.0,4169000000.0,14771000000.0,6098000000.0,1538000000.0,605000000.0,1785000000.0,5969000000.0,3001000000.0,580000000.0,974000000.0,-91000000.0,2.84,343400000.0,803000000.0,273000000.0,2143000000.0,,10.4449,1.6349,2.84,853000000.0,0.1597244998360118,0.06594001760205809,0.1631764114592059,0.5027642821243089,0.09716870497570783,0.03926612957822761,0.07037980827569469,0.14290500921427374,0.351426697277796,2.330295034780523,1953000000.0,2310000000.0,953000000.0,2383000000.0,1130000000.0,8.32,8.32,1.8964601769911504,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2011-12-31,13929000000.0,8768000000.0,3815000000.0,13929000000.0,5214000000.0,1130000000.0,405000000.0,1881000000.0,-3589000000.0,-1778000000.0,-232000000.0,-1159000000.0,443000000.0,-3.3099999999999996,-694200000.0,-519000000.0,-179000000.0,1535000000.0,2.2983,13.1058,1.8501,-3.3099999999999996,-411000000.0,-0.2222861526658995,-0.08320769617345107,0.3229311786012817,0.49540261911395933,0.06464196154917805,-0.016655897767248188,-0.03437546303156023,0.1145165784341042,0.2943996931338703,2.2982961992136306,8203000000.0,1158000000.0,858000000.0,4146000000.0,1224000000.0,3.4099999999999997,3.4099999999999997,1.2540849673202614,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2012-03-31,12443000000.0,7377000000.0,3583000000.0,12443000000.0,4085000000.0,1126000000.0,404000000.0,1720000000.0,1956000000.0,973000000.0,232000000.0,157000000.0,85000000.0,0.49,317700000.0,69000000.0,53000000.0,1530000000.0,,18.145,1.7829,0.49,285000000.0,0.03843329253365973,0.012617535963995822,0.08026584867075665,0.49744376278118607,0.11860940695296524,0.018645021297114844,0.041317898486197685,0.14570552147239263,0.37454100367197063,2.0588891989952556,8275000000.0,818000000.0,920000000.0,4177000000.0,1248000000.0,2.46,2.46,1.2259615384615385,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
2012-06-30,12193000000.0,7223000000.0,2990000000.0,12193000000.0,3848000000.0,1861000000.0,4000000.0,1772000000.0,4104000000.0,2033000000.0,510000000.0,339000000.0,148000000.0,1.1,308100000.0,322000000.0,106000000.0,1865000000.0,,20.8243,1.597,1.1,616000000.0,0.0880977130977131,0.027802837693758714,0.08260233918128655,0.49537037037037035,0.12426900584795321,0.041827277946362665,0.0892700857692981,0.15009746588693956,0.4846673596673597,2.4157190635451506,8440000000.0,311000000.0,1090000000.0,4229000000.0,1343000000.0,1.12,1.12,1.3886820551005212,0.99503,492.22,359.36,1.08817,78177.75,36.2942,26.4912,6.6922
