report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,221193000.0,,-184920000.0,192845000.0,-106023000.0,-0.9,204639226.0,,,,0.0,,,4.5372,-0.9,,,,-0.836011989529506,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2010-09-30,,,,,,29892000.0,,-398318000.0,289878000.0,-249259000.0,-1.96,203239935.0,,,,0.0,,,2.9503,-1.96,,,,-13.325237521744949,,,,,,,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2010-12-31,32279011000.0,29432713000.0,2832139000.0,2210532000.0,1129732000.0,893798000.0,,52529000.0,384032000.0,-147757000.0,0.26,203021134.0,-1256650000.0,4713000.0,-1261363000.0,2210532000.0,34.2338,45.213,2.6804,0.26,,0.01854746536098687,0.0016273422999236254,0.05877054994528965,,,,-1.411239452314729,,0.7805167754831243,,,,,,,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2011-03-31,32173062000.0,30400254000.0,1759090000.0,2204255000.0,987492000.0,-1400268000.0,,-1136760000.0,90229000.0,-419037000.0,-5.68,199972759.0,-545641000.0,1307000.0,-546948000.0,2204255000.0,,7.7727,1.7567,-5.68,,-0.6462204890028367,-0.03533266432644801,0.8118160237897317,,,,0.3906023704033799,,1.2530655054602096,-255385000.0,-1667469000.0,,956984000.0,-8.28,-8.28,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2011-06-30,31668000000.0,29763000000.0,1881000000.0,2203000000.0,1361000000.0,-1510000000.0,,-1138000000.0,150000000.0,-772000000.0,-5.7,199602865.0,-681000000.0,2000000.0,-683000000.0,2203000000.0,,7.7727,1.7567,-5.7,,-0.6049973418394471,-0.03593532903877732,0.7536423841059603,,,,0.452317880794702,,1.1711855396065922,-1986578000.0,-2620549000.0,,914139000.0,-13.079999999999998,-13.079999999999998,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2011-09-30,29370000000.0,26995000000.0,2352000000.0,,1239000000.0,-390000000.0,,-693000000.0,225000000.0,-472000000.0,-3.5,198262715.0,-1200000000.0,3000000.0,-1203000000.0,0.0,,,3.0182,-3.5,,-0.29464285714285715,-0.02359550561797753,1.7769230769230768,,,,3.0846153846153848,,0.0,-2406470000.0,-2915231000.0,-3694311000.0,849261000.0,-14.620000000000001,-14.620000000000001,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2011-12-31,26873000000.0,25150000000.0,1700000000.0,,633000000.0,1743268000.0,,1648760000.0,,743037000.0,8.189999999999998,-400818371.0,-549359000.0,-1307000.0,-550666000.0,0.0,53.661,,,8.189999999999998,,0.9698588235294118,0.061353775164663414,0.9457868784375093,,,,-0.3158814364744836,,0.0,-1557000000.0,-1319000000.0,-2983614000.0,,-6.690000000000003,-6.690000000000003,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2012-03-31,26126000000.0,24245000000.0,1858000000.0,,855000000.0,383000000.0,,10000000.0,,11000000.0,0.05,194594974.0,-233000000.0,1000000.0,-234000000.0,0.0,,,4.5043,0.05,,0.005382131324004306,0.0003827604684988134,0.02610966057441253,,,,-0.6109660574412533,,0.0,226268000.0,-172240000.0,-2670666000.0,,-0.9600000000000033,-0.9600000000000033,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2012-09-30,,,,,,281000000.0,,7000000.0,,-64000000.0,0.04,194977642.0,,,,0.0,,,3.7052,0.04,,,,0.02491103202846975,,,,,,,2017268000.0,972760000.0,,,4.779999999999997,4.779999999999997,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
2012-12-31,,,,,,2435000000.0,,1234000000.0,,364000000.0,6.33,194904830.0,,,,0.0,,1.2324,0.6246,6.33,,,,0.506776180698152,,,,,,,4842268000.0,2899760000.0,,,14.609999999999998,14.609999999999998,1.39573,8.26,4.105,0.22819,288.79306,2.3815,3.6099
