report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_ps_ttm
2010-06-30,3714912000.0,1725073000.0,326838000.0,,2746534000.0,95844000.0,915169000.0,788784000.0,27253000.0,-5114000.0,2646000.0,8965000.0,-0.05,,25554000.0,,95844000.0,,,,-0.05,27253000.0,-0.0018619831394768825,-0.0013766140355410841,-0.006483397229152721,0.034550650114606785,0.007336109172976372,0.00958809841618532,,0.034550650114606785,0.034896345721553056,5.278067421780821,,,,,,,,,,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2010-09-30,3612198000.0,1631578000.0,318037000.0,,2651693000.0,95844000.0,902214000.0,1210436000.0,63187000.0,12395000.0,3967000.0,23785000.0,0.11,,34042000.0,,95844000.0,,,,0.11,63187000.0,0.004674372184110302,0.003431428731204657,0.010240111827473737,0.05220185123377031,0.017492673435952292,0.02299768847516885,,0.05220185123377031,0.03614445563645565,5.130151523250439,,,,,,,,,,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2010-12-31,3439554000.0,1543985000.0,356873000.0,,2430933000.0,95844000.0,742099000.0,1636815000.0,49795000.0,99359000.0,5404000.0,32079000.0,0.93,,39829000.0,,95844000.0,,,,0.93,49795000.0,0.0408727842355178,0.028887175488449955,0.060702645075955436,0.030421886407443723,0.014477167679297956,0.019706923088187046,,0.030421886407443723,0.03942683735010385,4.3264270482776785,,,,,,,,,,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2011-03-31,3536629000.0,1567335000.0,404619000.0,,2477940000.0,95844000.0,848595000.0,460213000.0,37336000.0,18070000.0,,16041000.0,0.19,,8294000.0,,95844000.0,,,,0.19,37336000.0,0.007292347675892072,0.005109385236619391,0.03926442755854354,0.08112765176124968,0.01055694561120208,0.014506267814237713,,0.08112765176124968,0.03867890263686772,3.8736070229030273,4096248000.0,124710000.0,177571000.0,,177571000.0,,1.1800000000000002,1.1800000000000002,0.5397502970642729,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2011-06-30,3509301000.0,1149091000.0,405492000.0,,2471635000.0,95844000.0,622866000.0,945617000.0,95567000.0,60494000.0,,25559000.0,0.63,,19349000.0,,95844000.0,,,,0.63,95567000.0,0.02447529671654593,0.017238190739409357,0.06397304616985523,0.10106311540507415,0.027232488749183954,0.037222115546027834,,0.10106311540507415,0.038777570312768676,2.8338191628934726,4253081000.0,190318000.0,245885000.0,,245885000.0,,1.86,1.86,0.3897919759237042,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2011-09-30,3548327000.0,1124141000.0,493278000.0,3548327000.0,2306498000.0,95844000.0,679311000.0,1462501000.0,142307000.0,125467000.0,,-6444000.0,1.32,269566000.0,27346000.0,242220000.0,95844000.0,,,,1.32,142307000.0,0.05439718569016752,0.035359480679204594,0.08578934305002185,0.0973038650913743,0.04010537923928657,0.059236778110693646,0.16562039957579516,0.0973038650913743,0.0415539055312426,2.2789197977611004,4505146000.0,303390000.0,325005000.0,,325005000.0,,3.0700000000000003,3.0700000000000003,0.2949000784603314,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2011-12-31,3409865000.0,1159133000.0,534185000.0,3409865000.0,1905049000.0,95844000.0,704153000.0,-808887000.0,-77448000.0,-29798000.0,,-39203000.0,-0.29000000000000004,102820000.0,-15035000.0,87785000.0,95844000.0,,,,-0.29000000000000004,-77448000.0,-0.01564159242098235,-0.008738762385021108,0.03683827283662613,0.09574637742972751,-0.02271292265236307,-0.03870671745065828,-0.10852566551322991,0.09574637742972751,0.050310516947333114,2.16990930108483,2059444000.0,174233000.0,197762000.0,,197762000.0,,1.8500000000000003,1.8500000000000003,0.48464315692600196,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2012-03-31,3352478000.0,1077649000.0,524787000.0,3352478000.0,1855868000.0,80000000.0,624096000.0,640600000.0,62765000.0,34478000.0,,27120000.0,0.38,59050000.0,9633000.0,49417000.0,80000000.0,,,,0.38,62765000.0,0.01857782988876364,0.010284332962065672,0.05382141742116765,0.09797845769591008,0.018721972224724517,0.032422148617571034,0.07714174211676553,0.09797845769591008,0.043106514040869286,2.053497895336584,2239831000.0,190641000.0,223191000.0,,223191000.0,,2.04,2.04,0.35843739218875315,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2012-06-30,3546348000.0,1279221000.0,609543000.0,3546348000.0,1942916000.0,80000000.0,807196000.0,1321212000.0,160241000.0,77810000.0,,55754000.0,0.85,205527000.0,20353000.0,185174000.0,80000000.0,,,,0.85,160241000.0,0.040048051485499114,0.021940881154359358,0.0588928953112748,0.12128333681498503,0.04518479291936381,0.07921287883431641,0.14015464588574733,0.12128333681498503,0.041175223221178885,2.098655878256333,2615426000.0,207957000.0,287865000.0,564596000.0,287865000.0,,2.26,2.26,0.277908047174891,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
2012-09-30,3582575000.0,988227000.0,625069000.0,3582575000.0,1948394000.0,80000000.0,501779000.0,2035682000.0,238274000.0,118527000.0,,83360000.0,1.28,323607000.0,32363000.0,291244000.0,80000000.0,,,,1.28,238274000.0,0.06083317850496357,0.033084303887566904,0.058224712897201034,0.11704873354482674,0.06650914495858426,0.1174692885110092,0.14306949710219966,0.11704873354482674,0.04105945717344644,1.5809886588520627,3188607000.0,201017000.0,383832000.0,613620000.0,383832000.0,,2.2199999999999998,2.2199999999999998,0.20842451906042228,,1.2539889,39.2,26.39,10.79327,7314.327,11.9233,2.0975
