report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,265701000000.0,22362000000.0,36706000000.0,,102466000000.0,60024000000.0,9437000000.0,2617000000.0,30649000000.0,6010000000.0,2475000000.0,767000000.0,2876000000.0,0.0,,7253000000.0,,4826000000.0,,69461000000.0,,10.7333,1.2441,0.0,10836000000.0,0.024154353639255947,0.009314981878126164,0.08075304251362198,0.19609122646742144,0.022619410540419493,0.03495669673756885,,0.35355150249600314,0.6778931548025686,0.6092192012205089,,,,,,,,,,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2010-06-30,267556000000.0,21392000000.0,36182000000.0,267556000000.0,103483000000.0,60277000000.0,9721000000.0,1377000000.0,61338000000.0,12121000000.0,6498000000.0,1519000000.0,5048000000.0,1.1,5936.0,15810000000.0,,9638000000.0,,69998000000.0,,9.5204,1.1642,1.1,21759000000.0,0.06279292250901114,0.024286504507467596,0.10593759170497898,0.19760996445922593,0.045302665610190015,0.0698693228653282,,0.3547393133131175,0.6764202815921456,0.5912332098833675,,,,,,,,,,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2010-09-30,269252000000.0,21977000000.0,32674000000.0,269252000000.0,113293000000.0,62540000000.0,6426000000.0,3246000000.0,92919000000.0,17585000000.0,18837000000.0,2248000000.0,-1512000000.0,3.17,5937.0,25350000000.0,,14529000000.0,,68966000000.0,,6.9692,1.367,3.17,32114000000.0,0.16626799537482456,0.06996048311618855,0.20272495399218673,0.18925085289338026,0.06531056408123245,0.09648357557102805,,0.3456128455967025,0.6087401692955434,0.6726143110730244,,,,,,,,,,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2010-12-31,268488000000.0,19951000000.0,33951000000.0,268488000000.0,111950000000.0,58971000000.0,7196000000.0,1437000000.0,-60626000000.0,-16143000000.0,-7946000000.0,-1540000000.0,-7574000000.0,-0.9199999999999995,,-13420000000.0,,-9614000000.0,,66167000000.0,0.5983,8.7412,1.3971,-0.9199999999999995,-25757000000.0,-0.0709781152300134,-0.029595363666160127,0.13106587932570185,0.26627189654603634,-0.06012559220523822,-0.09063143888567626,,0.4248507241117672,0.5910406431442609,0.5876410120467733,124280000000.0,19864000000.0,19573000000.0,38952000000.0,2994000000.0,3.3500000000000005,3.3500000000000005,1.698680427192442,6.537408149632599,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2011-03-31,268085000000.0,19737000000.0,33254000000.0,,112843000000.0,58126000000.0,6902000000.0,1391000000.0,31247000000.0,5808000000.0,3408000000.0,846000000.0,1802000000.0,0.57,5945000000.0,7732000000.0,,4584000000.0,,65028000000.0,,8.6915,1.4476,0.57,10392000000.0,0.030201253068422498,0.01271238599697857,0.10906647038115659,0.18587384388901335,0.021664770501893055,0.0326528776472837,,0.33257592728901975,0.5762696844288082,0.5935225837493234,124878000000.0,20797000000.0,19371000000.0,38508000000.0,3073000000.0,3.9200000000000004,3.9200000000000004,1.6886880648177003,6.3036121054344285,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2011-06-30,272014000000.0,22239000000.0,33537000000.0,,114109000000.0,58663000000.0,7910000000.0,3831000000.0,62742000000.0,11973000000.0,6999000000.0,1694000000.0,3695000000.0,1.0,5948000000.0,16757000000.0,,9186000000.0,,66573000000.0,,9.115,1.48,1.0,21159000000.0,0.06133609093060144,0.02573029329372753,0.11155207038347519,0.1908291096872908,0.04401611681751674,0.06626559369500006,,0.3372382136367983,0.5834158567685284,0.6631183469004384,126282000000.0,21298000000.0,19223000000.0,37908000000.0,3248000000.0,3.8200000000000003,3.8200000000000003,1.7561728395061729,5.918411330049261,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2011-09-30,277653000000.0,28605000000.0,34031000000.0,,113882000000.0,62326000000.0,8900000000.0,10762000000.0,94220000000.0,18208000000.0,10622000000.0,2583000000.0,5594000000.0,1.0,5950000000.0,27150000000.0,,13804000000.0,,71226000000.0,,14.4317,1.3458,1.0,32012000000.0,0.09327198328093993,0.038256384768037804,0.11273614943748674,0.19324984079813204,0.06557825775338282,0.09836419819780885,,0.33975801316068777,0.6254368556927346,0.8405571390790749,127583000000.0,13083000000.0,19846000000.0,37806000000.0,3583000000.0,1.6500000000000004,1.6500000000000004,1.883986668782733,5.538933854312029,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2011-12-31,270344000000.0,23027000000.0,30794000000.0,,105797000000.0,61300000000.0,3453000000.0,3185000000.0,-61486000000.0,-26771000000.0,-17085000000.0,-1588000000.0,-8559000000.0,-2.57,,-16991000000.0,,-9197000000.0,,64753000000.0,0.744,45.6547,1.4209,-2.57,-35968000000.0,-0.16148851101638043,-0.06319725978752996,0.277868132583027,0.4353999284389942,-0.0990256857929157,-0.15696863090002933,,0.5849786943369222,0.6120494910063612,0.7477755406897447,126723000000.0,3944000000.0,9218000000.0,27595000000.0,3535000000.0,0.0,0.0,2.346548287733285,2.6076379066478075,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2012-03-31,269356000000.0,20765000000.0,32520000000.0,,105187000000.0,58934000000.0,6775000000.0,2442000000.0,31822000000.0,6101000000.0,3584000000.0,859000000.0,1865000000.0,0.0,5940000000.0,7796000000.0,,4560000000.0,,65709000000.0,,44.8468,1.4515,0.0,10661000000.0,0.03407265156340612,0.01330581089710272,0.11262648482182139,0.19172270756080698,0.022650321507595897,0.03570007489935399,,0.3350197976242851,0.6246874613783072,0.638530135301353,127298000000.0,4120000000.0,9511000000.0,27864000000.0,3548000000.0,-0.57,-0.57,2.358204134366925,2.6806651634723786,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2012-06-30,266294000000.0,19156000000.0,29702000000.0,,103579000000.0,61132000000.0,3402000000.0,2151000000.0,63397000000.0,12918000000.0,7486000000.0,1800000000.0,3931000000.0,1.0,5907000000.0,17459000000.0,,9059000000.0,,64534000000.0,,47.4252,1.6497,1.0,21977000000.0,0.0722733372594831,0.02811178622124419,0.11808129722226604,0.2037635850276827,0.04851029313465568,0.07684117230672226,,0.34665678186664983,0.6230413500806148,0.6449397346980001,127953000000.0,4607000000.0,10456000000.0,28682000000.0,3654000000.0,-0.5699999999999998,-0.5699999999999998,2.2499825674639147,2.8615216201423097,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
2012-09-30,266849000000.0,18958000000.0,30798000000.0,,101274000000.0,60314000000.0,3433000000.0,2217000000.0,94856000000.0,18955000000.0,11121000000.0,2624000000.0,5672000000.0,1.0,5869000000.0,28944000000.0,,13571000000.0,,63747000000.0,,48.4895,1.6916,1.0,32526000000.0,0.10981100776112329,0.04167525454470506,0.11724087037193219,0.199829214809817,0.07103268140408996,0.11486416880275843,,0.3428987096230075,0.6294507968481545,0.6155594519124619,128589000000.0,5106000000.0,11203000000.0,29196000000.0,3695000000.0,-0.5699999999999998,-0.5699999999999998,2.183415536374846,3.031935047361299,0.3136572,29.79,22.95,48.3111,198326.44,9.0341,1.5932,1.5784
