report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,19465300000.0,1266000000.0,2254900000.0,,7566600000.0,,81400000.0,1957700000.0,381300000.0,65000000.0,134500000.0,51000000.0,0.17,383300000.0,299100000.0,208400000.0,90700000.0,0.0,,24.7707,1.3676,0.17,381300000.0,0.008590384056247192,0.0033392755313301106,0.03320222710323339,0.194769372222506,0.019588704001479555,0.05039251447149314,0.04632987689635797,0.194769372222506,0.0,0.5614439664730143,,,,,,,,,,,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2010-06-30,19571400000.0,1288700000.0,2466000000.0,,7683600000.0,,56000000.0,4024100000.0,782100000.0,224700000.0,265000000.0,161400000.0,0.59,383996000.0,594800000.0,385400000.0,209400000.0,0.0,,29.8107,1.4021,0.59,782100000.0,0.029244104326097142,0.011481038658450597,0.05583857260008449,0.19435401704729008,0.03996137220638278,0.1017882242698735,0.052036480206754304,0.19435401704729008,0.0,0.5225871857258718,,,,,,,,,,,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2010-09-30,19458000000.0,1330200000.0,2835300000.0,,7783900000.0,,120500000.0,6085800000.0,1149700000.0,358900000.0,387000000.0,256600000.0,0.93,384690000.0,963700000.0,571400000.0,392300000.0,0.0,,29.6013,1.4444,0.93,1149700000.0,0.04610799213761739,0.018444855586391203,0.05897334779322357,0.18891517959840942,0.05908623702333231,0.1477023086113645,0.06446153340563278,0.18891517959840942,0.0,0.4691567029943921,,,,,,,,,,,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2010-12-31,19461900000.0,1246100000.0,2676500000.0,,7846500000.0,,88300000.0,-3961000000.0,-774000000.0,-142100000.0,-279100000.0,-99500000.0,-0.3699999999999999,-766886000.0,-423900000.0,-370500000.0,-794400000.0,0.0,0.4654,22.6527,1.4153,-0.3699999999999999,-774000000.0,-0.018109985343783854,-0.007301445388168678,0.03587477909618783,0.1954052007068922,-0.03977001217763939,-0.09864270693939974,0.20055541529916687,0.1954052007068922,0.0,0.46557070801419764,8106600000.0,506500000.0,1539100000.0,-102000000.0,1539100000.0,507400000.0,1.3200000000000003,1.3200000000000003,0.0,3.0333070555774535,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2011-03-31,19396700000.0,1210300000.0,2370800000.0,,7795300000.0,,67900000.0,1964900000.0,376200000.0,158200000.0,115700000.0,101900000.0,0.41,384000000.0,433700000.0,297200000.0,136500000.0,0.0,,19.0535,1.4083,0.41,376200000.0,0.020294279886598335,0.008156026540597112,0.08051300320627004,0.19146012519721106,0.01939505173560451,0.048259848883301475,0.06946918418240114,0.19146012519721106,0.0,0.5105027838704235,8113800000.0,599700000.0,1534000000.0,-56200000.0,1534000000.0,488600000.0,1.5600000000000003,1.5600000000000003,0.0,3.1395824805566925,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2011-06-30,19682000000.0,1479600000.0,2204000000.0,,7664700000.0,,320500000.0,4051500000.0,777400000.0,204700000.0,227100000.0,147000000.0,0.54,382073000.0,795600000.0,481700000.0,313900000.0,0.0,,24.0491,1.4384,0.54,777400000.0,0.026706850887836444,0.010400365816482064,0.05052449709983957,0.19187955078366037,0.03949801849405548,0.10142601797852492,0.07747747747747748,0.19187955078366037,0.0,0.6713248638838476,8141200000.0,579700000.0,1529300000.0,48300000.0,1529300000.0,450700000.0,1.5100000000000002,1.5100000000000002,0.0,3.393166185932993,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2011-09-30,19456200000.0,1254400000.0,1857500000.0,19456200000.0,7612400000.0,7021600000.0,72600000.0,6167700000.0,1185900000.0,398200000.0,335400000.0,249400000.0,1.05,379614000.0,1286800000.0,696100000.0,590700000.0,7021600000.0,,19.3576,1.2903,1.05,1185900000.0,0.05230938994272503,0.020466483691573892,0.06456215444979489,0.1922758889051024,0.06095229284238443,0.08103731037310373,0.09577314071696094,0.1922758889051024,0.9223897850874888,0.6753162853297443,8223100000.0,619000000.0,1565500000.0,246700000.0,1565500000.0,399100000.0,1.6300000000000003,1.6300000000000003,4.485212392206963,3.9225757955399647,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2011-12-31,19551500000.0,1265700000.0,1897500000.0,19551500000.0,7681300000.0,6887000000.0,66300000.0,-3991200000.0,-786800000.0,-171900000.0,-238000000.0,-180900000.0,-0.43999999999999995,-768087000.0,-749400000.0,-538500000.0,-1287900000.0,6887000000.0,0.667,17.2958,1.2438,-0.43999999999999995,-786800000.0,-0.022379024383893352,-0.008792164284070276,0.04306975345760673,0.19713369412707957,-0.040242436641689895,-0.05400767419671478,0.3226849067949489,0.19713369412707957,0.8965930246182287,0.6670355731225296,8192900000.0,589200000.0,1552700000.0,-246800000.0,1552700000.0,440200000.0,1.5599999999999998,1.5599999999999998,4.435499452566497,3.5272603362108135,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2012-03-31,19455900000.0,1179200000.0,1715800000.0,19455900000.0,7751700000.0,6870300000.0,73500000.0,1982400000.0,326900000.0,142900000.0,104300000.0,80300000.0,0.38,372490000.0,334200000.0,274200000.0,60000000.0,6870300000.0,,19.9571,1.395,0.38,326900000.0,0.018434665944244488,0.007344815711429438,0.07208434221146086,0.1649011299435028,0.01680210116211535,0.0223567227465463,0.03026634382566586,0.1649011299435028,0.886295909284415,0.6872595873644947,8210400000.0,573900000.0,1503400000.0,-323300000.0,1503400000.0,428800000.0,1.5300000000000002,1.5300000000000002,4.569841692164427,3.506063432835821,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
2012-06-30,19590300000.0,1234300000.0,1752300000.0,19590300000.0,7680400000.0,7079400000.0,69300000.0,4043000000.0,713900000.0,292100000.0,203100000.0,109400000.0,0.79,370681000.0,695000000.0,462500000.0,232500000.0,7079400000.0,,14.3037,1.1825,0.79,713900000.0,0.03803187333993021,0.014910440370999934,0.07224833044768736,0.1765767994063814,0.03644150421382011,0.048367864063198686,0.057506801879792235,0.1765767994063814,0.9217488672464976,0.70438851794784,8201900000.0,661300000.0,1439900000.0,-404700000.0,1439900000.0,404800000.0,1.7800000000000002,1.7800000000000002,4.916591429960414,3.557065217391304,0.5219327,258.75,201.42,1.10659,68974.68,32.2462,5.4818,4.1571
