report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-08-31,8279899000.0,5211476000.0,2501763000.0,,1037534000.0,2213898000.0,,63231000.0,,-21997000.0,0.34,189087000.0,603000.0,9726000.0,188484000.0,0.0,,23.8006,0.7519,0.34,,0.02527457636874476,0.007636687355727407,0.028560936411704603,,,,0.08513671361553242,,0.0,,,,,,,,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2010-11-30,8787851000.0,5593468000.0,2608949000.0,,1394135000.0,3074022000.0,,95261000.0,,-25734000.0,0.51,274228000.0,,13520000.0,,0.0,33.3665,28.5751,0.8855,0.51,,0.03651317062924572,0.010840079104663928,0.03098904301921066,,,,,,0.0,,,,,,,,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2011-02-28,8580484000.0,5347498000.0,2640377000.0,,1206586000.0,558045000.0,,27406000.0,,-2405000.0,0.14,9675000.0,,3767000.0,,0.0,,28.2164,1.1922,0.14,,0.010379578370815986,0.0031939923202467368,0.04911073479737297,,,,,,0.0,,,,,,,,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2011-05-31,8699229000.0,5439981000.0,2651845000.0,,1131454000.0,1322538000.0,,41191000.0,,-1452000.0,0.22,4609000.0,,7651000.0,,0.0,,33.2333,1.1409,0.22,,0.015532959128455849,0.004735017321649999,0.03114541888399426,,,,,,0.0,7168503000.0,227089000.0,,,,1.2100000000000002,1.2100000000000002,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2011-08-31,8724018000.0,5443731000.0,2670491000.0,,927331000.0,820193000.0,24079000.0,20730000.0,,579000.0,0.11,,,,,0.0,,28.1134,0.8796,0.11,24079000.0,0.00776261743626921,0.002376198673592833,0.02527453904142074,0.029357724340490592,0.0027600814211983515,0.009016693933812171,,0.029357724340490592,0.0,5774798000.0,184588000.0,,,,0.98,0.98,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2011-11-30,9154671000.0,5851146000.0,2696468000.0,,1163604000.0,394609000.0,73895000.0,2872000.0,,-11292000.0,0.010000000000000009,-273419000.0,,10082000.0,,0.0,27.648,35.8608,1.0681,0.010000000000000009,83977000.0,0.0010650970083828178,0.0003137196301210606,0.007278090464231683,0.18726131436434545,0.00807183567820187,0.027404367491103178,,0.2128106556109972,0.0,3095385000.0,92199000.0,,,,0.48000000000000004,0.48000000000000004,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2012-02-29,8867494000.0,5544241000.0,2722796000.0,,922906000.0,724856000.0,6453000.0,14968000.0,,-1524000.0,0.08,-132444000.0,,7630000.0,,0.0,,53.6184,1.311,0.08,14083000.0,0.0054972902854271855,0.001687962799862058,0.02064961868288322,0.008902457867493682,0.0007277140531473718,0.0023699902600121344,,0.01942868652532365,0.0,3262196000.0,79761000.0,,,,0.42000000000000004,0.42000000000000004,,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2012-05-31,9351209000.0,5571301000.0,3177378000.0,,829382000.0,1655011000.0,58556000.0,467671000.0,,-403845000.0,2.16,-213807000.0,,12491000.0,,0.0,,9.6101,1.4541,2.16,71047000.0,0.14718771263601624,0.050011822000770166,0.282578786485407,0.03538103372122602,0.006261864107625014,0.018429031736230315,,0.04292841558152786,0.0,3594669000.0,506241000.0,162983000.0,,193186000.0,2.3600000000000003,2.3600000000000003,0.0,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2012-08-31,9718500000.0,5860123000.0,3271722000.0,,845158000.0,2754769000.0,117191000.0,554780000.0,,-416621000.0,2.56,-490507000.0,,20368000.0,,0.0,,10.143,1.6006,2.56,137559000.0,0.16956819680889756,0.05708494109173226,0.20138893678562522,0.042541135028018685,0.01205854812985543,0.03581936362563812,,0.04993485842188583,0.0,5529245000.0,1040291000.0,256095000.0,,306666000.0,4.8100000000000005,4.8100000000000005,0.0,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
2012-11-30,10362206000.0,6360998000.0,3414764000.0,,1310743000.0,-1029930000.0,39914000.0,-358295000.0,,386772000.0,-1.6900000000000008,412110000.0,,-12408000.0,,0.0,29.8271,10.3408,1.7107,-1.6900000000000008,27506000.0,-0.10492525984226142,-0.03457709680737866,0.34788286582583283,-0.0387540900837921,0.0038518825045554973,0.011688655497129524,,-0.02670666938529803,0.0,4104706000.0,679124000.0,222114000.0,,250195000.0,3.11,3.11,0.0,1.488703,144.24,92.17,3.57781,23029.182,11.0814,1.5002,0.6736
