report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,29949000000.0,8780000000.0,7165000000.0,15922000000.0,13855000000.0,,,1370000000.0,9220000000.0,,538000000.0,,398000000.0,1.65,327000000.0,825000000.0,788000000.0,542000000.0,37000000.0,0.0,,15.361,0.638,1.65,,0.03883074702273547,0.017963871915589836,0.058351409978308025,,,,0.004013015184381779,,0.0,1.2254012561060712,,,,,,,,,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2010-06-30,29500000000.0,8296000000.0,6330000000.0,14970000000.0,14365000000.0,,,1363000000.0,16970000000.0,,913000000.0,,699000000.0,2.79,327193000.0,1806000000.0,1689000000.0,1100000000.0,117000000.0,0.0,,10.256,0.4992,2.79,,0.06355725722241559,0.03094915254237288,0.05380082498526812,,,,0.006894519740718916,,0.0,1.3105845181674565,,,,,,,,,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2010-09-30,33485000000.0,8839000000.0,6567000000.0,17657000000.0,15730000000.0,,43000000.0,2353000000.0,25923000000.0,,2067000000.0,,899000000.0,6.31,327342000.0,3052000000.0,3151000000.0,1684000000.0,-99000000.0,43000000.0,,8.0086,0.5594,6.31,,0.13140495867768595,0.06172913244736449,0.07973614165027196,,,,-0.003819002430274274,,0.002733630006357279,1.345972285670778,,,,,,,,,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2010-12-31,35396000000.0,8780000000.0,7613000000.0,18587000000.0,16689000000.0,,46000000.0,1608000000.0,-17500000000.0,,-1393000000.0,,-823000000.0,-4.28,-653258000.0,-1153000000.0,-136000000.0,-1009000000.0,-1289000000.0,46000000.0,1.1533,12.1629,0.7356,-4.28,,-0.08346815267541495,-0.03935472934794892,0.0796,,,,0.07365714285714285,,0.00275630654922404,1.1532904242742676,34613000000.0,2125000000.0,,-1234000000.0,,,6.47,6.47,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2011-03-31,36637000000.0,9436000000.0,7351000000.0,18520000000.0,17949000000.0,,35000000.0,1968000000.0,10515000000.0,,929000000.0,,511000000.0,2.74,339159000.0,1135000000.0,1082000000.0,558000000.0,53000000.0,35000000.0,,11.5063,0.803,2.74,,0.05175775809237283,0.02535687965717717,0.08834997622444127,,,,0.005040418449833571,,0.0019499693576243802,1.2836348796082167,35908000000.0,2516000000.0,,-1218000000.0,,,7.5600000000000005,7.5600000000000005,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2011-06-30,36991000000.0,8886000000.0,6796000000.0,18087000000.0,18776000000.0,,35000000.0,2194000000.0,20321000000.0,,1536000000.0,,903000000.0,4.52,339714000.0,2824000000.0,2457000000.0,1146000000.0,367000000.0,35000000.0,,9.2466,0.6661,4.52,,0.0818065615679591,0.04152361385201806,0.07558683135672457,,,,0.018060134835884062,,0.001864081806561568,1.307533843437316,39259000000.0,3139000000.0,,-968000000.0,,,9.29,9.29,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2011-09-30,37339000000.0,7479000000.0,6606000000.0,18425000000.0,18833000000.0,5548000000.0,44000000.0,827000000.0,29047000000.0,2659000000.0,1834000000.0,,849000000.0,5.4,339838000.0,3846000000.0,4891000000.0,1732000000.0,-1045000000.0,5592000000.0,,9.4245,0.4721,5.4,4391000000.0,0.09738225455317794,0.04911754465840006,0.063139050504355,0.0915412951423555,0.0712124052599159,0.10886386898669397,-0.03597617654146728,0.15116879540055772,0.2969256093028195,1.1321525885558583,42383000000.0,2906000000.0,,-1914000000.0,,,8.38,8.38,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2011-12-31,39136000000.0,8339000000.0,8100000000.0,20544000000.0,18516000000.0,6005000000.0,52000000.0,351000000.0,-22012000000.0,-198000000.0,-2596000000.0,,-1478000000.0,-7.65,-678813000.0,-2821000000.0,-1424000000.0,-1030000000.0,-4245000000.0,6057000000.0,1.0295,11.6586,0.5157,-7.65,-1228000000.0,-0.14020306761719595,-0.06633278822567457,0.11793567145193531,0.0089950935853171,-0.005059280457890433,-0.008057624221706751,0.19284935489732874,0.05578775213519898,0.32712248865845756,1.029506172839506,37871000000.0,1703000000.0,,-4870000000.0,,,5.01,5.01,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2012-03-31,40647000000.0,8212000000.0,8191000000.0,21490000000.0,19063000000.0,6940000000.0,38000000.0,396000000.0,9747000000.0,898000000.0,545000000.0,,338000000.0,1.6,340336000.0,988000000.0,1878000000.0,681000000.0,-890000000.0,6978000000.0,,15.423,0.652,1.6,1579000000.0,0.028589414048156115,0.013408123600757743,0.05591464040217503,0.09213091207551041,0.02209265136418432,0.03448408279251949,-0.09131014671180876,0.16199856366061352,0.36604941509730893,1.0025637895250885,37103000000.0,1319000000.0,,-5813000000.0,,,3.8700000000000006,3.8700000000000006,,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
2012-06-30,40614000000.0,7925000000.0,7084000000.0,20655000000.0,19887000000.0,7546000000.0,299000000.0,409000000.0,19056000000.0,1954000000.0,1094000000.0,,859000000.0,3.21,340418000.0,2228000000.0,3856000000.0,1450000000.0,-1628000000.0,7845000000.0,,11.7701,0.6016,3.21,3404000000.0,0.05501081108261679,0.026936524351208944,0.05740973971452561,0.10253988245172124,0.04811148864923426,0.07046011827491706,-0.08543240973971453,0.17863140218303947,0.39447880524966056,1.1187182382834557,35838000000.0,877000000.0,5313000000.0,-7808000000.0,8146000000.0,,2.560000000000001,2.560000000000001,0.9630493493739258,-0.1752785,161.5,124.335,2.87084,46072.105,20.688,3.654,3.6861
