report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,43153000000.0,7321000000.0,11820000000.0,,715000000.0,,3436000000.0,,1923000000.0,574000000.0,780000000.0,14000000.0,0.68,2514000000.0,,0.0,,13.4846,0.2984,0.68,1923000000.0,0.8027972027972028,0.013301508585729845,,,0.044562371098185526,2.6895104895104893,,0.0,0.6193739424703891,,,,,,,,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2011-03-31,43881000000.0,7993000000.0,12260000000.0,,758000000.0,,2881000000.0,,-92000000.0,-318000000.0,221000000.0,-71000000.0,,788000000.0,,0.0,,15.6012,0.2537,,-92000000.0,-0.41952506596306066,-0.007246872222602037,,,-0.0020965793851553064,-0.12137203166226913,,0.0,0.6519575856443719,,,,,,,,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2011-06-30,43878000000.0,8063000000.0,12802000000.0,,785000000.0,,2855000000.0,,389000000.0,-120000000.0,454000000.0,-75000000.0,-0.14,1774000000.0,,0.0,,29.6122,0.2306,-0.14,389000000.0,-0.15286624203821655,-0.002734855736359907,,,0.008865490678700032,0.49554140127388535,,0.0,0.6298234650835807,,,,,,,,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2011-09-30,43036000000.0,7329000000.0,12012000000.0,43036000000.0,1222000000.0,12557000000.0,2307000000.0,26716000000.0,1249000000.0,429000000.0,,-77000000.0,0.51,1676000000.0,,12557000000.0,,14.1821,0.1841,0.51,1249000000.0,0.35106382978723405,0.00996839855005112,0.016057793082796826,0.046751010630333885,0.029022213960405243,0.09064518470135714,0.046751010630333885,10.275777414075286,0.6101398601398601,,565000000.0,3469000000.0,3469000000.0,,,3.619775151340444,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2011-12-31,43499000000.0,7729000000.0,12701000000.0,43499000000.0,-1396000000.0,11847000000.0,2657000000.0,8399000000.0,429000000.0,863000000.0,,138000000.0,0.64,-1404000000.0,1523000000.0,11847000000.0,0.6085,7.9755,0.194,0.64,1952000000.0,-0.6181948424068768,0.01983953654106991,0.10275032741993094,0.051077509227288966,0.009862295684958274,0.041048703473351836,0.23240862007381832,-8.486389684813753,0.6085347610424376,,854000000.0,1975000000.0,3498000000.0,,,3.3867924528301887,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2012-03-31,44189000000.0,8299000000.0,13646000000.0,44189000000.0,-1011000000.0,11521000000.0,2911000000.0,8413000000.0,382000000.0,124000000.0,,3000000.0,0.15,831000000.0,,11521000000.0,,6.5622,0.2377,0.15,382000000.0,-0.12265084075173097,0.00280612822195569,0.014739094258885059,0.04540591941043623,0.008644685328928014,0.036346336822074214,0.04540591941043623,-11.395647873392681,0.6081635644144804,,1296000000.0,2449000000.0,3972000000.0,1.16,1.16,2.9005538771399797,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2012-06-30,44720000000.0,8457000000.0,14693000000.0,44720000000.0,-1135000000.0,11221000000.0,2539000000.0,18145000000.0,516000000.0,-44000000.0,,7000000.0,-0.05,1463000000.0,,11221000000.0,,10.1672,0.2601,-0.05,516000000.0,0.038766519823788544,-0.0009838998211091235,-0.002424910443648388,0.02843758611187655,0.011538461538461539,0.0511600237953599,0.02843758611187655,-9.886343612334802,0.5755802082624379,61673000000.0,1372000000.0,2576000000.0,4099000000.0,1.25,1.25,2.737496950475726,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2012-09-30,44352000000.0,8163000000.0,13224000000.0,44352000000.0,-48000000.0,11111000000.0,2274000000.0,28068000000.0,1824000000.0,1003000000.0,,11000000.0,1.18,1926000000.0,,11111000000.0,,5.6399,0.2209,1.18,1824000000.0,-20.895833333333332,0.02261453823953824,0.03573464443494371,0.06498503634031637,0.04112554112554113,0.1648739040043388,0.06498503634031637,-231.47916666666666,0.6172867513611615,63025000000.0,1946000000.0,3151000000.0,4674000000.0,1.92,1.92,2.3771929824561404,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2012-12-31,44550000000.0,8272000000.0,13270000000.0,44550000000.0,-2131000000.0,11082000000.0,2416000000.0,-17956000000.0,-547000000.0,-74000000.0,,-5000000.0,-0.09000000000000008,-1744000000.0,1565000000.0,11082000000.0,0.6234,10.0048,0.2753,-0.09000000000000008,1018000000.0,0.034725480994838104,-0.0016610549943883277,0.004121185119180218,0.030463354867453777,-0.012278338945005612,-0.06111049044799464,-0.056694141234127866,-5.20037541060535,0.6233609645817634,36670000000.0,1009000000.0,2175000000.0,3740000000.0,1.19,1.19,2.9631016042780747,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2013-03-31,45068000000.0,8641000000.0,14068000000.0,,-1943000000.0,,2636000000.0,8500000000.0,222000000.0,7000000.0,,-4000000.0,0.0,1004000000.0,,0.0,,15.6018,0.3786,0.0,222000000.0,-0.003602676273803397,0.00015532084849560664,0.0008235294117647059,0.02611764705882353,0.004925889766574954,-0.11425630468347915,0.02611764705882353,-0.0,0.6142308785897072,36757000000.0,892000000.0,2015000000.0,3580000000.0,1.04,1.04,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2013-06-30,45772000000.0,8895000000.0,14775000000.0,,-1184000000.0,,2965000000.0,18207000000.0,1136000000.0,692000000.0,,-3000000.0,0.0,2212000000.0,,0.0,,9.5186,0.4522,0.0,1136000000.0,-0.5844594594594594,0.015118413003582977,0.038007359806667765,0.062393584884934364,0.024818666433627547,-0.9594594594594594,0.062393584884934364,-0.0,0.6020304568527919,36819000000.0,1628000000.0,2635000000.0,4200000000.0,1.09,1.09,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2013-09-30,45997000000.0,8951000000.0,14134000000.0,,137000000.0,,3018000000.0,28697000000.0,2699000000.0,2061000000.0,,-9000000.0,2.0,3373000000.0,,0.0,,9.7641,0.5411,2.0,2699000000.0,15.043795620437956,0.044807270039350394,0.07181935393943618,0.09405164302888804,0.05867773985259908,19.7007299270073,0.09405164302888804,0.0,0.6332955992641857,37448000000.0,2686000000.0,3510000000.0,5075000000.0,1.9100000000000001,1.9100000000000001,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2013-12-31,52252000000.0,9651000000.0,14152000000.0,52252000000.0,11643000000.0,9795000000.0,2844000000.0,-17631000000.0,-657000000.0,7780000000.0,,-7997000000.0,10.29,-2085000000.0,1658000000.0,9795000000.0,0.682,2.2298,0.6222,10.29,1001000000.0,0.6682126599673623,0.14889382224603842,-0.44126822074754696,0.037263910158244005,-0.012573681390186022,-0.030646515533165407,-0.05677499858204299,0.8412780211285751,0.6819530808366309,37773000000.0,10540000000.0,3400000000.0,5058000000.0,12.29,12.29,1.9365361803084222,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2014-03-31,52167000000.0,9746000000.0,15010000000.0,,11641000000.0,,2699000000.0,8916000000.0,620000000.0,213000000.0,,122000000.0,0.0,951000000.0,,0.0,,2.7344,0.7694,0.0,620000000.0,0.018297397130830683,0.004083041002932888,0.02388963660834455,0.06953790937640197,0.011884908083654418,0.05326002920711279,0.06953790937640197,0.0,0.6493004663557628,38189000000.0,10746000000.0,3798000000.0,5456000000.0,12.29,12.29,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2014-06-30,52191000000.0,10517000000.0,15209000000.0,,12203000000.0,,3362000000.0,19537000000.0,2199000000.0,1014000000.0,,619000000.0,1.0,3007000000.0,,0.0,,3.0051,0.8347,1.0,2199000000.0,0.08309432106858969,0.01942863712134276,0.05190152019245534,0.11255566361263245,0.042133701212852794,0.18020158977300663,0.11255566361263245,0.0,0.6914984548622526,39519000000.0,11068000000.0,4861000000.0,6519000000.0,13.29,13.29,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2014-09-30,51940000000.0,10995000000.0,14813000000.0,,12296000000.0,,2510000000.0,30715000000.0,3034000000.0,1371000000.0,,841000000.0,1.0,4365000000.0,,0.0,,3.0716,0.7604,1.0,3034000000.0,0.11149967469095641,0.02639584135541009,0.04463617125183135,0.0987790981605079,0.05841355410088564,0.24674690956408588,0.0987790981605079,0.0,0.7422534260446905,41537000000.0,10378000000.0,5196000000.0,6854000000.0,12.29,12.29,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2014-12-31,54121000000.0,12465000000.0,16879000000.0,,8813000000.0,,2088000000.0,-18806000000.0,-3647000000.0,-1939000000.0,,-1169000000.0,-2.0,-3376000000.0,1771000000.0,0.0,0.5436,62.4721,1.02,-2.0,-1876000000.0,-0.2200158856235107,-0.035827128101845865,0.10310539189620334,0.1939274699563969,-0.06738604238650431,-0.41382049245432884,0.09975539721365521,0.0,0.7384916168019432,40362000000.0,659000000.0,2206000000.0,3977000000.0,0.0,0.0,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2015-03-31,53752000000.0,12266000000.0,17319000000.0,,9046000000.0,,2122000000.0,9388000000.0,1398000000.0,746000000.0,,440000000.0,0.0,1636000000.0,,0.0,,30.7892,0.8988,0.0,1398000000.0,0.08246738890117179,0.01387855335615419,0.07946314443971027,0.14891350660417554,0.02600833457359726,0.15454344461640504,0.14891350660417554,0.0,0.7082395057451354,40834000000.0,1192000000.0,2984000000.0,4755000000.0,0.0,0.0,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
2015-06-30,52781000000.0,11441000000.0,17082000000.0,,9563000000.0,,2293000000.0,20095000000.0,3872000000.0,2231000000.0,,1321000000.0,2.0,4381000000.0,,0.0,,17.4174,0.7985,2.0,3872000000.0,0.23329499111157587,0.04226899831378716,0.11102264244837023,0.19268474744961434,0.07335973172164226,0.4048938617588623,0.19268474744961434,0.0,0.6697693478515396,41392000000.0,2409000000.0,4657000000.0,6428000000.0,1.0,1.0,0.0,1.393556,76.39,34.735,18.86088,41663.207,8.3227,2.1836,0.6575
