report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,32883000000.0,13065000000.0,6754000000.0,13344000000.0,19428000000.0,,179000000.0,,5598000000.0,,672000000.0,45000000.0,214000000.0,0.56,1215000000.0,989000000.0,449000000.0,620000000.0,540000000.0,179000000.0,,26.3932,3.3626,0.56,,0.034589252625077206,0.02043609159748198,0.12004287245444802,,,,0.09646302250803858,,0.009213506279596459,1.9344092389694996,,,,,,,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2010-06-30,33017000000.0,12230000000.0,6776000000.0,13133000000.0,19778000000.0,,327000000.0,,11534000000.0,,1490000000.0,98000000.0,391000000.0,1.23,1211000000.0,2286000000.0,1083000000.0,1258000000.0,1203000000.0,327000000.0,,21.4884,2.8814,1.23,,0.07533623217716655,0.04512826725626193,0.12918328420322525,,,,0.10430032946072482,,0.016533522095257356,1.8048996458087367,,,,,,,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2010-09-30,49854000000.0,16446000000.0,10061000000.0,18738000000.0,30898000000.0,,446000000.0,,18379000000.0,,3224000000.0,146000000.0,600000000.0,2.63,1227000000.0,3096000000.0,1907000000.0,1951000000.0,1189000000.0,446000000.0,,20.9155,3.3032,2.63,,0.10434332319243964,0.06466883299233762,0.17541759616954133,,,,0.0646934000761739,,0.014434591235678685,1.6346287645363284,,,,,,,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2010-12-31,51767000000.0,18098000000.0,10865000000.0,20323000000.0,31226000000.0,,381000000.0,,-8064000000.0,,-1119000000.0,-82000000.0,-315000000.0,-1.04,-2390000000.0,-877000000.0,-525000000.0,-1070000000.0,-1402000000.0,381000000.0,1.6657,26.6993,3.9598,-1.04,,-0.03583552168065074,-0.02161608746885081,0.13876488095238096,,,,0.17385912698412698,,0.012201370652661244,1.665715600552232,27447000000.0,4267000000.0,1530000000.0,207000000.0,3.38,3.38,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2011-03-31,52372000000.0,18211000000.0,10399000000.0,20746000000.0,31414000000.0,,450000000.0,,8716000000.0,,944000000.0,73000000.0,295000000.0,0.69,1375000000.0,836000000.0,770000000.0,788000000.0,66000000.0,450000000.0,,27.8801,4.0447,0.69,,0.030050296046348762,0.01802489880088597,0.10830656264341441,,,,0.007572280862781092,,0.014324823327178965,1.7512260794307144,30565000000.0,4539000000.0,1056000000.0,235000000.0,3.51,3.51,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2011-06-30,54019000000.0,19942000000.0,12376000000.0,21957000000.0,31848000000.0,,1244000000.0,,18337000000.0,,2283000000.0,142000000.0,669000000.0,1.67,1370000000.0,2086000000.0,1720000000.0,1593000000.0,366000000.0,1244000000.0,,23.0405,3.3955,1.67,,0.07168425018839487,0.042262907495510836,0.12450237225282217,,,,0.019959644434749412,,0.03906053755337855,1.611344537815126,37368000000.0,5332000000.0,219000000.0,279000000.0,3.9499999999999997,3.9499999999999997,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2011-09-30,55581000000.0,21260000000.0,11307000000.0,23958000000.0,31500000000.0,,348000000.0,,28566000000.0,,3584000000.0,212000000.0,1079000000.0,2.62,1365000000.0,3744000000.0,2763000000.0,2420000000.0,981000000.0,348000000.0,,17.2695,2.2408,2.62,,0.11377777777777778,0.06448246703010022,0.12546383812924455,,,,0.034341524889729046,,0.011047619047619047,1.8802511718404529,47555000000.0,5692000000.0,11000000.0,345000000.0,3.94,3.94,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2011-12-31,55201000000.0,20539000000.0,10538000000.0,23809000000.0,31263000000.0,,336000000.0,,-16079000000.0,,-1814000000.0,-129000000.0,-498000000.0,-1.3100000000000005,-2749000000.0,-497000000.0,-1237000000.0,-1520000000.0,-1734000000.0,336000000.0,1.949,18.7081,2.5267,-1.3100000000000005,,-0.05802386207337747,-0.03286172351950146,0.11281796131600223,,,,0.10784252752036819,,0.010747529027924384,1.9490415638641108,39540000000.0,4997000000.0,-321000000.0,298000000.0,3.67,3.67,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2012-03-31,56366000000.0,21292000000.0,10802000000.0,23878000000.0,32347000000.0,,432000000.0,,10611000000.0,,1301000000.0,80000000.0,411000000.0,0.97,1344000000.0,732000000.0,961000000.0,853000000.0,-229000000.0,432000000.0,,17.3987,2.4051,0.97,,0.04022011314805082,0.023081290139445765,0.12260861370276128,,,,-0.021581377815474506,,0.01335517976937583,1.9711164599148305,41435000000.0,5354000000.0,-616000000.0,305000000.0,3.9499999999999993,3.9499999999999993,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
2012-06-30,57013000000.0,21040000000.0,11526000000.0,24046000000.0,32810000000.0,,498000000.0,,20366000000.0,,2703000000.0,158000000.0,845000000.0,2.02,1341000000.0,1490000000.0,2081000000.0,1706000000.0,-591000000.0,498000000.0,,15.9087,2.1485,2.02,,0.08238341968911918,0.047410239769877044,0.1327212020033389,,,,-0.02901895315722282,,0.015178299298994209,1.825438139857713,43464000000.0,5774000000.0,-1573000000.0,321000000.0,4.3,4.3,0.73015577,54.8,31.11,25.08058,73929.12,21.9114,2.1961,2.0703
