report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-28,10702903000.0,5021509000.0,2383392000.0,,2087399000.0,2862725000.0,160837000.0,1442798000.0,1207172000.0,152789000.0,33325000.0,23455000.0,61469000.0,0.14,,14558000.0,,3023562000.0,,,1.4386,0.14,152789000.0,0.015964844287076885,0.0031136412242547653,0.027605842415165362,0.12656771363152888,0.014275472738564481,0.02989437798488386,,0.12656771363152888,1.4484830164237887,2.1068749916085983,,,,,,,,,,,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2010-06-27,10223893000.0,4586001000.0,2377400000.0,,2137004000.0,2825334000.0,322941000.0,1414912000.0,2515978000.0,371541000.0,104482000.0,47046000.0,118894000.0,0.45,,45754000.0,,3148275000.0,,,1.2083,0.45,371541000.0,0.04889181302421521,0.01021939490172677,0.04152739014411096,0.14767259491140225,0.03634046248332216,0.07029732962063119,,0.14767259491140225,1.4732190487242887,1.9289984857407252,,,,,,,,,,,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2010-09-26,10040960000.0,4498960000.0,2455891000.0,,2189950000.0,2814400000.0,587981000.0,1494301000.0,3775938000.0,523911000.0,193311000.0,70148000.0,155684000.0,0.82,,77559000.0,,3402381000.0,,,1.4232,0.82,523911000.0,0.08827187835338707,0.019252242813436165,0.051195491027659884,0.13874989472814436,0.05217738144559883,0.09368383237687469,,0.13874989472814436,1.553634101235188,1.8319054062252762,,,,,,,,,,,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2010-12-31,9430740000.0,4066626000.0,2013782000.0,,2206866000.0,2516650000.0,,1021933000.0,-2639752000.0,-487610000.0,-184573000.0,-50292000.0,-205247000.0,-0.7900000000000001,,32974000.0,,2516650000.0,2.0194,55.7408,1.6805,-0.7900000000000001,-487610000.0,-0.0836357984580849,-0.01957142281517675,0.06992058344874821,0.18471810988304962,-0.051704320127582776,-0.1032303055605189,,0.18471810988304962,1.1403728182862032,2.0193973329784454,4859336000.0,146545000.0,560631000.0,,560631000.0,90357000.0,0.6199999999999998,0.6199999999999998,4.488959761411695,6.204621667386036,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2011-03-27,9405142000.0,4170588000.0,1987331000.0,,2340248000.0,2963375000.0,,932515000.0,1224930000.0,192997000.0,119260000.0,11481000.0,63654000.0,0.51,,27704000.0,,2963375000.0,,40.9988,1.9545,0.51,192997000.0,0.05096041103336057,0.012680297649945105,0.09736066550741675,0.15755757471855536,0.02052037066532329,0.03638965288445276,,0.15755757471855536,1.266265370165897,2.098587502534807,4877094000.0,232480000.0,600839000.0,,600839000.0,78383000.0,0.9899999999999998,0.9899999999999998,4.932061667102169,7.665424900807573,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2011-06-26,9361979000.0,4000978000.0,2197232000.0,,2531396000.0,2893462000.0,,973478000.0,2730527000.0,494899000.0,309840000.0,22831000.0,165374000.0,1.31,,69267000.0,,2893462000.0,,25.7422,1.7853,1.31,494899000.0,0.12239886608021819,0.033095566653161684,0.11347260071041232,0.18124669706617075,0.05286264795082322,0.09122801002348817,,0.18124669706617075,1.14303016991415,1.8209174088125424,5091643000.0,437838000.0,724197000.0,,724197000.0,54168000.0,1.8499999999999999,1.8499999999999999,3.995407327011849,13.369461674789545,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2011-09-25,9704359000.0,4385186000.0,2441183000.0,9704359000.0,2601260000.0,2804605000.0,,1428753000.0,4127783000.0,737587000.0,493434000.0,34101000.0,215677000.0,2.09,901601000.0,106115000.0,795486000.0,2804605000.0,,18.5234,1.5878,2.09,737587000.0,0.18969038081545098,0.050846635001858445,0.11953971417586631,0.1786884145799331,0.07600574133747526,0.1364419940194585,0.19271507247352876,0.1786884145799331,1.0781717321605684,1.7963364483531141,5443488000.0,737961000.0,937873000.0,,937873000.0,18121000.0,3.1199999999999997,3.1199999999999997,2.9903888906067237,51.756139285911374,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2011-12-31,9674164000.0,4542206000.0,2698618000.0,9674164000.0,2420256000.0,2396871000.0,,1526950000.0,-2771527000.0,-595516000.0,-323420000.0,-23147000.0,-200119000.0,-1.3600000000000003,-16310000.0,-14051000.0,-30361000.0,2396871000.0,1.6828,15.2522,1.7206,-1.3600000000000003,-595516000.0,-0.13363049198101357,-0.03343131251444569,0.11669379371010999,0.21486927603447487,-0.061557360408609985,-0.12362472486193533,0.010954610941910362,0.21486927603447487,0.9903377989766372,1.6831600471055925,5311713000.0,599114000.0,829967000.0,,829967000.0,45266000.0,2.5499999999999994,2.5499999999999994,2.887911206108195,18.335328944461626,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2012-04-01,9605347000.0,4513530000.0,2583227000.0,9605347000.0,2574659000.0,2784688000.0,,1276337000.0,1429691000.0,275458000.0,172035000.0,11495000.0,93861000.0,0.74,-73616000.0,24680000.0,-98296000.0,2784688000.0,,17.5165,2.07,0.74,275458000.0,0.06681855733128154,0.01791033681552577,0.1203301972244352,0.19266960483069417,0.028677568858261965,0.05139767960536983,-0.06875331802466407,0.19266960483069417,1.0815754630030618,1.7472448220771926,5516474000.0,651889000.0,912428000.0,,912428000.0,45280000.0,2.7799999999999994,2.7799999999999994,3.051953688400619,20.150795053003534,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2012-07-01,9316784000.0,4069867000.0,2540593000.0,9316784000.0,2666387000.0,2745189000.0,,1071496000.0,3159351000.0,666971000.0,419285000.0,23090000.0,228760000.0,1.81,288242000.0,60078000.0,228164000.0,2745189000.0,,14.9674,1.8475,1.81,666971000.0,0.15724836642242856,0.04500318994193705,0.13271238301790464,0.21111012989693137,0.07158811452535553,0.12324893894126221,0.07221862971224154,0.21111012989693137,1.029553849459962,1.601935847260856,5945298000.0,761334000.0,1084500000.0,894993000.0,1084500000.0,45539000.0,3.2799999999999994,3.2799999999999994,2.5312946058091286,23.81475219043018,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2012-09-30,10015183000.0,4747696000.0,2301675000.0,10015183000.0,2703363000.0,3339604000.0,,1795141000.0,4409646000.0,884073000.0,553286000.0,34528000.0,301870000.0,2.4,712498000.0,95329000.0,617169000.0,3339604000.0,,14.6216,1.7226,2.4,884073000.0,0.20466581809398146,0.0552447219386805,0.1254717498864988,0.20048616147418635,0.08827327468704266,0.14629783680764763,0.13995885383996812,0.20048616147418635,1.235351671233201,2.062713458676833,6227161000.0,821186000.0,1230986000.0,716676000.0,1230986000.0,45966000.0,3.59,3.59,2.7129504316052335,26.78035939607536,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2012-12-31,9170773000.0,4050936000.0,1503082000.0,9170773000.0,2557624000.0,4370544000.0,294943000.0,1068138000.0,-3418182000.0,-826326000.0,-520681000.0,-23080000.0,-286904000.0,-2.229999999999999,-125666000.0,8915000.0,-134581000.0,4665487000.0,2.6953,17.7083,1.9798,-2.229999999999999,-826326000.0,-0.2035799632784178,-0.05677612999471255,0.1523268801953787,0.24174429565189917,-0.09010429109956161,-0.11440029095496386,0.039372098969569204,0.24174429565189917,1.8241488975705578,2.6950864956136793,5580506000.0,623925000.0,1000176000.0,612456000.0,1000176000.0,46033000.0,2.720000000000001,2.720000000000001,4.664666018780695,21.727369495796495,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2013-03-31,9335121000.0,4332979000.0,2227183000.0,9335121000.0,2657048000.0,3892469000.0,687705000.0,1018759000.0,1571213000.0,348306000.0,224129000.0,11391000.0,114401000.0,0.99,-108489000.0,22261000.0,-130750000.0,4580174000.0,,17.1991,2.0319,0.99,348306000.0,0.0843526349542801,0.02400922280493204,0.14264711404500854,0.22167968314926112,0.037311353543248126,0.04812702995707469,-0.08321596117140069,0.22167968314926112,1.7237829350467135,1.9454975186143213,5722028000.0,676019000.0,1073024000.0,580002000.0,1073024000.0,45929000.0,2.970000000000001,2.970000000000001,4.268473025766432,23.36266846654619,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2013-06-30,9707198000.0,4454471000.0,2096689000.0,,2821239000.0,4234352000.0,525745000.0,1300690000.0,3365520000.0,780127000.0,495868000.0,22629000.0,265015000.0,2.0,,66589000.0,,4760097000.0,,17.7737,2.1513,2.0,780127000.0,0.17576249300396032,0.05108250599194536,0.14733770710024008,0.23179984073783547,0.08036582750243686,0.10290099264826147,,0.23179984073783547,1.687236352538725,2.1245263365239193,5928197000.0,752602000.0,1186180000.0,,1186180000.0,45468000.0,3.160000000000001,3.160000000000001,4.0129634625436275,26.08823788158705,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2013-09-29,9484008000.0,4092675000.0,1981716000.0,,2881847000.0,4067733000.0,394460000.0,1029955000.0,4709238000.0,1031666000.0,658584000.0,33998000.0,343630000.0,2.0,,111690000.0,,4462193000.0,,19.654,2.437,2.0,1031666000.0,0.2285284402676478,0.06944152725303479,0.13984937690556307,0.21907280965625436,0.10877953709022599,0.14047663139089656,,0.21907280965625436,1.5483795635229767,2.065217720399896,6227789000.0,857900000.0,1333773000.0,,1333773000.0,44938000.0,2.760000000000001,2.760000000000001,3.345541557671358,29.680292847923806,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2013-12-31,9405040000.0,3988803000.0,2509586000.0,9405040000.0,3009486000.0,3416713000.0,666317000.0,1066612000.0,-3746099000.0,-1006397000.0,-644588000.0,-22762000.0,-342734000.0,-1.7100000000000004,1085582000.0,,,4083030000.0,1.5892,20.8605,2.5949,-1.7100000000000004,-1006397000.0,-0.21418541239268102,-0.0685364442894448,0.17206913111479435,0.2686520030570468,-0.10700613713498294,-0.14189562631934846,,0.2686520030570468,1.3567200511981117,1.5894267022528816,5899872000.0,733993000.0,1153702000.0,,1153702000.0,45256000.0,3.28,3.28,3.539068147580571,25.49279653526604,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2014-03-30,9729791000.0,4360471000.0,2844114000.0,,3159835000.0,3271648000.0,974153000.0,935820000.0,1726048000.0,410882000.0,265917000.0,3677000.0,142947000.0,1.0,,25881000.0,,4245801000.0,,18.8926,2.4205,1.0,410882000.0,0.08415534355433116,0.027330186229077274,0.15406118485696807,0.23804784107973823,0.042229272961772764,0.0554823380463204,,0.23804784107973823,1.3436780717980528,1.533156195567407,6054707000.0,775781000.0,1216278000.0,,1216278000.0,37542000.0,3.29,3.29,3.4908145999516558,32.39779447019338,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
2014-06-29,10076296000.0,4373698000.0,2453648000.0,,3366260000.0,3794396000.0,619622000.0,999346000.0,3726747000.0,958577000.0,620070000.0,4070000.0,337868000.0,2.0,,74523000.0,,4414018000.0,,17.773,2.4362,2.0,958577000.0,0.18420145799789678,0.061537493539292616,0.16638371212212688,0.25721547505102976,0.09513188179465946,0.12320600883413163,,0.25721547505102976,1.3112528444029874,1.7825287082743735,6415934000.0,899983000.0,1394728000.0,,1394728000.0,18983000.0,3.29,3.29,3.1647876862011803,73.4724753727019,1.2418215,31.25,17.09,4.00834,2333.212,6.888,0.7708,0.5216
