report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,9046493000.0,1853102000.0,1404444000.0,4470095000.0,4572957000.0,2298072000.0,,594216000.0,2765227000.0,1582860000.0,479231000.0,285424000.0,123911000.0,65534000.0,,185946000.0,493207000.0,65779000.0,,427428000.0,2298072000.0,,,479231000.0,0.062415631723630904,0.03155078990278332,0.10321901239934371,0.5724159354729286,0.1733062059642843,0.052974229903234325,0.06974661291634776,0.1545724817528543,0.1733062059642843,0.502535230486532,1.3194559555240366,,,,,,,,,,,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2011-12-31,9187963000.0,2093617000.0,1496306000.0,4588737000.0,4599226000.0,2297653000.0,,838762000.0,3775672000.0,2109977000.0,647756000.0,378492000.0,162073000.0,100868000.0,,185595000.0,809135000.0,105132000.0,,704003000.0,2297653000.0,,,647756000.0,0.082294716545784,0.04119433219310961,0.1002449365305037,0.5588348246351907,0.17156045334446424,0.07050050158016527,0.09392016301866395,0.18645766899243366,0.17156045334446424,0.49957384133765115,1.3991904062404348,,,,,,,,,,,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2012-03-31,8579164000.0,1533102000.0,1082056000.0,3875566000.0,4703598000.0,2047308000.0,125000000.0,219012000.0,939114000.0,553327000.0,197065000.0,132639000.0,35738000.0,23736000.0,,183113000.0,103916000.0,25334000.0,,78582000.0,2172308000.0,,,197065000.0,0.028199476230749313,0.01546059732626629,0.14123844389499038,0.589201098056253,0.20984140370604634,0.02297018683871762,0.0286602231036899,0.0836767421207649,0.20984140370604634,0.46183963850652204,1.4168416422070578,,,,,,,,,,,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2012-06-30,8482010000.0,1538807000.0,1014975000.0,3790164000.0,4691428000.0,2047280000.0,100000000.0,259968000.0,1888423000.0,1098316000.0,381760000.0,254993000.0,64975000.0,54806000.0,,182210000.0,359967000.0,49075000.0,,310892000.0,2147280000.0,,,381760000.0,0.054352960335317946,0.030062803510017083,0.13502959877103807,0.5816048628935361,0.20215809699415863,0.04500819970738068,0.0558234099189496,0.16463048797859378,0.20215809699415863,0.4577028572110666,1.5161033522993177,9368436000.0,1051548000.0,1705812000.0,5344480000.0,1520905000.0,1705812000.0,386697000.0,,,1.2588022595690498,4.411236704706786,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2012-09-30,8558035000.0,1595689000.0,1121668000.0,3943534000.0,4614336000.0,2061280000.0,140000000.0,274161000.0,2799606000.0,1576803000.0,494300000.0,320849000.0,94266000.0,70108000.0,,180559000.0,556785000.0,68713000.0,,488072000.0,2201280000.0,,,494300000.0,0.0695330812493932,0.03749096609209941,0.11460505513990182,0.5632231821191982,0.17656055887864222,0.05775858593707551,0.07252462580051458,0.1743359601315328,0.17656055887864222,0.47705238630216784,1.4226036581234376,9402815000.0,1086973000.0,1720881000.0,5338423000.0,1581549000.0,1720881000.0,357052000.0,,,1.279158756474155,4.819692929881362,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2012-12-31,8638065000.0,1625239000.0,1192351000.0,3984602000.0,4652681000.0,2060855000.0,100000000.0,255547000.0,-1828633000.0,-1093969000.0,-407888000.0,-277626000.0,-71064000.0,-47274000.0,,-366517000.0,-242676000.0,-26386000.0,,-269062000.0,2160855000.0,,,-407888000.0,-0.05967011278013687,-0.03213983687318862,0.1518216066318392,0.598244152872665,0.22305623927819304,-0.047219834534701924,-0.0598643641128483,0.14713832682665137,0.22305623927819304,0.46443222735450806,1.3630541677744221,3798510000.0,430855000.0,665237000.0,2134477000.0,608484000.0,665237000.0,123915000.0,,,3.2482483686265198,5.368494532542469,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2015-03-31,59905000.0,55169000.0,11545000.0,,-98006000.0,,,54512000.0,,,-8922000.0,-9071000.0,,,,,,123000.0,209000.0,,0.0,,,-8713000.0,0.09255555782299042,-0.15142308655371003,,,,-0.14893581504048076,0.0910352427402404,,,-0.0,4.778605456907752,,289145000.0,459250000.0,,,459459000.0,,,,0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2015-06-30,153081000.0,106175000.0,9372000.0,,139341000.0,,,63066000.0,,,-19820000.0,-20151000.0,,,,,,163000.0,418000.0,,0.0,,,-19402000.0,-0.14461644454970182,-0.13163619260391557,,,,-0.1294739386337952,-0.1422409771711126,,,0.0,11.328958600085361,,14001000.0,57670000.0,,,58297000.0,,,,0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2015-09-30,141369000.0,111381000.0,8776000.0,,129157000.0,,,60053000.0,,,-31133000.0,-31480000.0,,,,,,545000.0,643000.0,,0.0,,,-30490000.0,-0.24373436979799779,-0.22267965395525186,,,,-0.22022508470739696,-0.24104771711947476,,,0.0,12.691545123062898,,-338328000.0,-467763000.0,,,-466493000.0,,,,-0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2015-12-31,129675000.0,97950000.0,12148000.0,,-158124000.0,,,53025000.0,,,12259000.0,12729000.0,,,,,,-167000.0,-401000.0,,0.0,,,11858000.0,-0.08050011383471199,0.09816078658183922,,,,0.09453634085213032,-0.07752776302142622,,,-0.0,8.063055647020086,,-47973000.0,-47616000.0,,,-46747000.0,,,,-0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2016-03-31,115125000.0,87623000.0,13191000.0,,100432000.0,,,54099000.0,,,-16115000.0,-16087000.0,,,,,,314000.0,233000.0,,0.0,,,-15882000.0,-0.160178030906484,-0.13973507057546145,,,,-0.13997828447339847,-0.16045682650947904,,,0.0,6.642635130012888,,-54989000.0,-54809000.0,,,-53916000.0,,,,-0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2016-06-30,100486000.0,85890000.0,13917000.0,,86569000.0,,,43191000.0,,,-31548000.0,-31470000.0,,,,,,490000.0,457000.0,,0.0,,,-31091000.0,-0.36352504938257346,-0.31317795513802915,,,,-0.31395418267221303,-0.3644260647575922,,,0.0,6.1715887044621685,,-66308000.0,-66537000.0,,,-65605000.0,,,,-0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2016-09-30,85925000.0,73647000.0,11936000.0,,73989000.0,,,34332000.0,,,-45413000.0,-45289000.0,,,,,,554000.0,679000.0,,0.0,,,-44734000.0,-0.6121045020205707,-0.5270759383183008,,,,-0.528519057317428,-0.613780426820203,,,0.0,6.170157506702413,,-80117000.0,-80817000.0,,,-79849000.0,,,,-0.0,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2016-12-31,80524000.0,74768000.0,8525000.0,,62801000.0,9198000.0,,38388000.0,,,35136000.0,34991000.0,,-49000.0,,,,-758000.0,-469000.0,,9198000.0,,,34667000.0,0.5571726564863617,0.4345412547811833,,,,0.4363419601609458,0.4880067778719149,,,0.1464626359452875,8.770439882697946,,-57855000.0,-57940000.0,,,-57040000.0,,,,-0.16125525946704067,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2017-03-31,65735000.0,63782000.0,6549000.0,,50706000.0,8480000.0,,28900000.0,,,-13211000.0,-13405000.0,,,,,,262000.0,226000.0,,8480000.0,,,-12985000.0,-0.26436713603912754,-0.2039248497756142,,,,-0.2009736061458888,-0.22321157030378805,,,0.16723859109375616,9.739196823942587,,-55173000.0,-55036000.0,,,-54143000.0,,,,-0.15662227804148274,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
2017-06-30,61472000.0,59098000.0,9649000.0,,40031000.0,11792000.0,,35915000.0,,,-25118000.0,-25543000.0,,,,,,711000.0,400000.0,,11792000.0,,,-24718000.0,-0.6380804876220929,-0.4155225143154607,,,,-0.4086087975013014,-0.48468826582791424,,,0.29457170692713147,6.124779769924345,,-49246000.0,-48606000.0,,,-47770000.0,,,,-0.24684948712581117,,0.4173596,19.18,9.45,0.34312,1172.519,16.5367,0.3373,3.0241
