report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-27,3973676000.0,2079834000.0,656855000.0,2384750000.0,1588926000.0,1396980000.0,10632000.0,872275000.0,,149053000.0,102574000.0,-38714000.0,12693000.0,0.69,173029000.0,49689000.0,123340000.0,1407612000.0,,1.5373,14.931,0.69,149053000.0,0.06455555513598493,0.025813377839562158,,,0.03751010399438706,0.04974173529586476,,,0.8858889589571824,3.166351782356837,,,,,,,,,,,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2010-12-26,4093226000.0,2221049000.0,718801000.0,2477806000.0,1615420000.0,1397681000.0,14568000.0,727796000.0,,587859000.0,397752000.0,-82112000.0,109968000.0,2.74,367981000.0,112597000.0,255384000.0,1412249000.0,3.089,1.6508,16.6126,2.74,587859000.0,0.2462220351363732,0.09717323206683433,,,0.1436175280817624,0.19416224164530535,,,0.8742302311473177,3.0899358793323883,,,,,,,,,,,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2011-03-27,3940341000.0,2060781000.0,626532000.0,2409353000.0,1530988000.0,1396695000.0,37923000.0,927422000.0,,48923000.0,17196000.0,-21375000.0,5642000.0,0.12,276494000.0,22396000.0,254098000.0,1434618000.0,,1.6,17.9852,0.12,48923000.0,0.011231962628054563,0.004364089300900607,,,0.012415930499416167,0.0164967969447054,,,0.9370537195588731,3.2891871444714713,,,,,,,,,,,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2011-06-26,3940745000.0,2046105000.0,706525000.0,2472126000.0,1468619000.0,1403031000.0,12430000.0,584778000.0,,129330000.0,75247000.0,-44223000.0,545000.0,0.54,128855000.0,51116000.0,77739000.0,1415461000.0,,1.4285,16.0875,0.54,129330000.0,0.051236569865976134,0.019094612820672232,,,0.032818667536214596,0.04484272280935342,,,0.9638040907818842,2.896012172251513,,592769000.0,915165000.0,710561000.0,915165000.0,-186424000.0,4.09,4.09,1.546673004321625,4.90905140968974,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2011-09-25,4084726000.0,2210305000.0,942443000.0,2703484000.0,1381242000.0,1405071000.0,13168000.0,186962000.0,,377402000.0,246237000.0,-66702000.0,51012000.0,1.78,1046000.0,71675000.0,-70629000.0,1418239000.0,,1.113,12.202,1.78,377402000.0,0.17827216374827873,0.0602823787935837,,,0.09239346776258676,0.1348114168304768,,,1.026785313507698,2.3452930309843674,,736432000.0,1143514000.0,516592000.0,1143514000.0,-214412000.0,5.18,5.18,1.2402462934428438,5.333255601365595,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2011-12-25,4130774000.0,2253692000.0,942344000.0,2713259000.0,1417515000.0,1400872000.0,180430000.0,641688000.0,,38326000.0,46687000.0,43278000.0,43827000.0,0.3799999999999999,-10326000.0,-45785000.0,-56111000.0,1581302000.0,2.3928,0.9673,10.7565,0.3799999999999999,38326000.0,0.0329358066757671,0.01130224020970404,,,0.009278164334335405,0.012780373060443502,,,1.115545161779593,2.3915809937772194,,385367000.0,593981000.0,205097000.0,593981000.0,-89022000.0,2.82,2.82,2.66220973398139,6.672294489002718,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2012-04-01,3897137000.0,2018902000.0,725877000.0,2499744000.0,1397393000.0,1400942000.0,171177000.0,883824000.0,,15726000.0,-2579000.0,-23112000.0,-2287000.0,-0.02,284738000.0,23034000.0,261704000.0,1572119000.0,,1.1348,13.23,-0.02,15726000.0,-0.0018455795899936524,-0.0006617678567625413,,,0.004035269994357396,0.005295819649827985,,,1.1250371226991978,2.7813279660328125,,365592000.0,560784000.0,212703000.0,560784000.0,-90759000.0,2.6799999999999997,2.6799999999999997,2.8034305543667437,6.178825240472019,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2012-07-01,4014721000.0,2145826000.0,838693000.0,2615231000.0,1399490000.0,1399557000.0,220605000.0,779931000.0,,102008000.0,40848000.0,-45525000.0,13945000.0,0.31,200781000.0,50084000.0,150697000.0,1620162000.0,,1.0625,12.6126,0.31,102008000.0,0.029187775546806335,0.010174555093616717,,,0.025408490403193647,0.033781376132084096,,,1.1576802978227783,2.558535721652619,,331193000.0,533462000.0,285661000.0,533462000.0,-92061000.0,2.4499999999999997,2.4499999999999997,3.0370710566075934,5.794657889877364,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2012-09-30,4446287000.0,2618980000.0,1126619000.0,2919398000.0,1526889000.0,1398906000.0,264745000.0,696733000.0,,351630000.0,205700000.0,-68568000.0,74042000.0,1.56,143616000.0,74896000.0,68720000.0,1663651000.0,,1.194,14.3184,1.56,351630000.0,0.13471837180043866,0.046263320383951825,,,0.07908396376572183,0.11021018385602437,,,1.0895690518433232,2.324636811557412,,290656000.0,507690000.0,425010000.0,507690000.0,-93927000.0,2.23,2.23,3.2769032283480075,5.405155067233064,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2012-12-30,4325387000.0,2508202000.0,960435000.0,2818008000.0,1507379000.0,1396421000.0,224365000.0,849701000.0,,82421000.0,92030000.0,46064000.0,31703000.0,0.6999999999999997,-94339000.0,-35923000.0,-130262000.0,1620786000.0,2.6125,1.1407,13.882,0.6999999999999997,82421000.0,0.06105299330825227,0.021276708881771734,,,0.01905517356019242,0.02634803471044526,,,1.0752345627741928,2.611527068463769,,335999000.0,551785000.0,350859000.0,551785000.0,-91141000.0,2.55,2.55,2.9373505985121016,6.0541907593728395,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2013-03-31,4060645000.0,2250396000.0,741673000.0,2597557000.0,1463088000.0,1394387000.0,161968000.0,1067039000.0,,10627000.0,-6671000.0,-22979000.0,-9822000.0,-0.05,297454000.0,24201000.0,273253000.0,1556355000.0,,1.3728,16.9739,-0.05,10627000.0,-0.004559534354734643,-0.0016428424548316832,,,0.002617071918377499,0.0035195233028078358,,,1.0637466782585874,3.0342158875946676,,331907000.0,546686000.0,362408000.0,546686000.0,-91008000.0,2.52,2.52,2.8468901709573684,6.007010372714487,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2013-06-30,4178299000.0,2366202000.0,1296722000.0,2722273000.0,1456026000.0,,192918000.0,1022345000.0,,74088000.0,36480000.0,-22225000.0,14596000.0,0.0,,,,192918000.0,,1.4577,18.2039,0.0,74088000.0,0.02505449765320125,0.008730825630238526,,,0.017731617579306795,0.04493057374901755,,,0.13249626036897694,1.8247565785110456,,327539000.0,518766000.0,,518766000.0,-67708000.0,2.21,2.21,0.3718786504898162,7.661812488923022,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2013-09-29,4590145000.0,2597285000.0,1648879000.0,3019446000.0,1523430000.0,,212926000.0,588668000.0,,283421000.0,156383000.0,-86398000.0,34844000.0,1.0,47317000.0,78246000.0,-30929000.0,212926000.0,,1.4975,21.3299,1.0,283421000.0,0.10265191049145678,0.034069294107266765,,,0.06174554398608323,0.1632274717857398,,,0.13976749834255595,1.575182290513737,,278222000.0,450557000.0,,450557000.0,-85538000.0,1.6499999999999997,1.6499999999999997,0.47258393499601603,5.267331478407257,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2013-12-29,4402267000.0,2480457000.0,1363280000.0,2674479000.0,1682343000.0,959895000.0,8332000.0,682449000.0,,98957000.0,100006000.0,26017000.0,28276000.0,1.22,56361000.0,9584000.0,46777000.0,968227000.0,1.8195,1.7473,24.9218,1.22,98957000.0,0.05944447713694532,0.022716931980727204,,,0.022478645661428532,0.03733423376858563,,,0.5755229462719552,1.819477290065137,,286198000.0,467093000.0,,467093000.0,-105585000.0,2.17,2.17,2.072878420357402,4.423857555523986,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2014-03-30,4029437000.0,2142105000.0,1093721000.0,2390835000.0,1594422000.0,,12858000.0,792249000.0,,43448000.0,32087000.0,-22428000.0,-5519000.0,0.0,242041000.0,22239000.0,219802000.0,12858000.0,,1.7707,22.3266,0.0,43448000.0,0.020124534157205557,0.007963147208902881,,,0.010782647799183856,0.027032004380070678,,,0.008064364390355879,1.958547929499388,,324956000.0,499914000.0,,499914000.0,-105034000.0,2.2199999999999998,2.2199999999999998,0.025720423912913022,4.75954452843841,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2014-06-29,4138595000.0,2204205000.0,724692000.0,2642353000.0,1452048000.0,,9188000.0,586151000.0,,126012000.0,65562000.0,-45230000.0,26178000.0,0.0,109270000.0,51636000.0,57634000.0,9188000.0,,1.6551,21.3866,0.0,126012000.0,0.045151399953720535,0.015841608081969848,,,0.030448014362362105,0.08623658327607588,,,0.006327614514120746,3.0415749035452304,,354038000.0,551838000.0,293284000.0,551838000.0,-128039000.0,2.2199999999999998,2.2199999999999998,0.01664981389465749,4.309921195885629,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2014-09-28,4508802000.0,2646189000.0,1014028000.0,2966289000.0,1498564000.0,,78023000.0,452184000.0,,411826000.0,246019000.0,-69940000.0,90077000.0,1.0,26826000.0,78255000.0,-51429000.0,78023000.0,,1.6472,18.6697,1.0,411826000.0,0.16416983191909054,0.05456416138921159,,,0.09133823130844956,0.26121362157622763,,,0.05206517706284149,2.6095817866962254,,443674000.0,680243000.0,272784000.0,680243000.0,-111581000.0,2.2199999999999998,2.2199999999999998,0.11469871795814143,6.096405301977935,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2014-12-28,4532142000.0,2719100000.0,1074934000.0,3023748000.0,1465664000.0,1559895000.0,252481000.0,893167000.0,,54089000.0,72262000.0,44500000.0,15942000.0,2.0,76274000.0,-38742000.0,37532000.0,1812376000.0,2.4664,1.6425,16.8886,2.0,54089000.0,0.04930325094974019,0.01594433713683287,,,0.011934533383993706,0.016500408780856853,,,1.236556263918606,2.529550651481858,,415930000.0,635375000.0,263539000.0,635375000.0,-93098000.0,3.0,3.0,2.852450914814086,6.824797525188511,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
2015-03-29,4260842000.0,2405308000.0,820727000.0,2773101000.0,1445507000.0,,231914000.0,1081397000.0,,54205000.0,26667000.0,-24585000.0,8494000.0,0.0,315281000.0,31151000.0,284130000.0,231914000.0,,1.8086,18.9898,0.0,54205000.0,0.018448198452169377,0.006258622122106382,,,0.012721663934029941,0.03231448753771415,,,0.16043782562104508,2.93070411964027,,410510000.0,646132000.0,327867000.0,646132000.0,-95255000.0,3.0,3.0,0.35892665894894543,6.783181985197627,0.5548263,106.98,49.0,1.85667,12684.25,21.5861,2.698
