report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,150415000000.0,65984000000.0,53848000000.0,108383000000.0,41118000000.0,2027000000.0,20997000000.0,75567000000.0,3400000000.0,6358000000.0,304000000.0,76000000.0,3.27,1661000000.0,4687000000.0,2494000000.0,2193000000.0,2027000000.0,,,,3.27,3400000000.0,0.15462814339218833,0.04226972044011568,0.08413725568038959,0.04499318485582331,0.022604128577601967,0.07880403291227257,0.029020604232006034,0.04499318485582331,0.04929714480276278,1.225375129995543,,,,,,,,,,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2011-09-30,148497000000.0,,,102881000000.0,44744000000.0,,,112286000000.0,5206000000.0,8465000000.0,405000000.0,183000000.0,4.3,1668000000.0,6724000000.0,,,0.0,,3.1928,0.2113,4.3,5206000000.0,0.18918737707849098,0.057004518609803566,0.0753878488858807,0.04636374971056053,0.035057947298598624,0.1163507956374039,,0.04636374971056053,0.0,,,,,,,,,,,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2011-12-31,144603000000.0,,,105612000000.0,38120000000.0,,,150276000000.0,5656000000.0,9190000000.0,,-110000000.0,,,,,,0.0,1.2198,3.5841,0.2192,,5656000000.0,0.24108079748163694,0.06355331493814098,0.06115414304346669,0.03763741382522825,0.039113987953223656,0.1483735571878279,,0.03763741382522825,0.0,,,,,,,,,,,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2012-03-31,150194000000.0,69216000000.0,56577000000.0,110054000000.0,39256000000.0,,,37759000000.0,996000000.0,1315000000.0,110000000.0,216000000.0,,,2499000000.0,1994000000.0,505000000.0,0.0,,5.8691,0.2759,,996000000.0,0.033498063990218055,0.008755343089604113,0.034826134166688734,0.02637781720914219,0.006631423359122202,0.02537191766863664,0.013374294870097196,0.02637781720914219,0.0,1.223394665676865,375888000000.0,25328000000.0,15258000000.0,,15258000000.0,,,,0.0,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2012-06-30,151987000000.0,70233000000.0,56651000000.0,110377000000.0,40700000000.0,,,75373000000.0,2817000000.0,3161000000.0,228000000.0,457000000.0,,,6441000000.0,4059000000.0,2382000000.0,0.0,,5.1133,0.2042,,2817000000.0,0.07766584766584766,0.020797831393474443,0.04193809454313879,0.03737412601329389,0.018534479922624962,0.06921375921375922,0.03160282859910048,0.03737412601329389,0.0,1.2397486363877073,375694000000.0,22131000000.0,14675000000.0,,14675000000.0,,,,0.0,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2012-09-30,155456000000.0,72107000000.0,57623000000.0,112827000000.0,41659000000.0,,,112949000000.0,4420000000.0,4994000000.0,356000000.0,814000000.0,2.38,1675000000.0,9824000000.0,6004000000.0,3820000000.0,0.0,,6.3224,0.2396,2.38,4420000000.0,0.11987805756259151,0.032124845615479625,0.044214645547990684,0.03913270591151759,0.02843248250308769,0.10609952231210543,0.03382057388732968,0.03913270591151759,0.0,1.2513579647015949,376357000000.0,18660000000.0,13889000000.0,,13889000000.0,,,,0.0,,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2012-12-31,149422000000.0,69996000000.0,53992000000.0,112422000000.0,36244000000.0,,18422000000.0,-73825000000.0,-38596000000.0,-3282000000.0,78000000.0,-36318000000.0,,,-8159000000.0,-3989000000.0,-12148000000.0,0.0,1.2964,6.366,0.2587,,-38596000000.0,-0.09055291910385167,-0.021964637068169347,0.04445648493057907,0.5228039282086014,-0.2583019903360951,-1.0648934996137291,0.16455130375888927,0.5228039282086014,0.0,1.29641428359757,152256000000.0,6188000000.0,-30363000000.0,-5441000000.0,-30363000000.0,772000000.0,,,-0.0,-39.33031088082902,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2013-03-31,153775000000.0,72570000000.0,56539000000.0,115440000000.0,37587000000.0,6972000000.0,,36884000000.0,959000000.0,1175000000.0,91000000.0,409000000.0,0.0,1507000000.0,819000000.0,1940000000.0,-1121000000.0,6972000000.0,,6.2809,0.2509,0.0,959000000.0,0.03126080825817437,0.007641033978214924,0.03185663160177855,0.026000433792430323,0.006236384327751585,0.021522026975470725,-0.030392582149441492,0.026000433792430323,0.1854896639795674,1.2835387962291516,151381000000.0,6048000000.0,-30400000000.0,-7067000000.0,-30400000000.0,753000000.0,,,-0.2293421052631579,-40.37184594953519,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2013-06-30,163110000000.0,77745000000.0,60021000000.0,124106000000.0,38374000000.0,9961000000.0,,75959000000.0,2710000000.0,2589000000.0,152000000.0,1151000000.0,1.0,1668000000.0,5712000000.0,3833000000.0,1879000000.0,9961000000.0,,8.3222,0.3058,1.0,2710000000.0,0.06746755615781519,0.015872723928637117,0.03408417699021841,0.03567714161587172,0.01661455459505855,0.05606703217130444,0.02473702918679814,0.03567714161587172,0.25957679678949286,1.295296646173839,151967000000.0,5476000000.0,-30507000000.0,-7570000000.0,-30507000000.0,677000000.0,,,-0.32651522601370175,-45.062038404726735,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
2013-09-30,168539000000.0,81164000000.0,62563000000.0,131178000000.0,36778000000.0,11439000000.0,20355000000.0,114942000000.0,4966000000.0,4306000000.0,217000000.0,1993000000.0,1.0,1672000000.0,,5780000000.0,,11439000000.0,,9.0523,0.3228,1.0,4966000000.0,0.1170808635597368,0.025548982728033274,0.037462372326912706,0.043204398740234205,0.029464990298981246,0.10299272040981397,,0.043204398740234205,0.31102833215509273,1.2973163051643943,153960000000.0,4788000000.0,-29961000000.0,,-29961000000.0,538000000.0,,,-0.3817963352358065,-55.68959107806691,1.4010231,87.62,41.6,7.29499,66929.78,24.8348,1.2412,0.3617
