report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-09-30,17189213.0,2229815.0,10946612.0,11902320.0,4953549.0,,,,,832835.0,-9462753.0,-8581034.0,7252051.0,,,,-5167984.0,1060988.0,,-6228972.0,0.0,,,,,-9462753.0,-1.7323002154616822,-0.4992104059679754,,,-0.5505053081836847,-1.9102976472020363,,,0.0,0.20369909886273488,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2011-12-31,6880990.0,636700.0,11109427.0,11109427.0,-4021750.0,,,,,,,,,,,,-5718809.0,1199596.0,,-6918405.0,0.0,,,,,,,,,,,,,,-0.0,0.05731168673235802,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2012-03-31,7183959.0,744538.0,6755530.0,6816280.0,624191.0,,,,,,,,,,,,-744647.0,,,,0.0,,,,,,,,,,,,,,0.0,0.11021163402427345,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2012-06-30,7057322.0,779235.0,5864824.0,6917316.0,405649.0,,,,,186622.0,-1768744.0,1352402.0,2830985.0,,,,-1178376.0,,,,0.0,,,,,-1768744.0,3.3339216909199827,0.19163104645076418,,,-0.2506253788618402,-4.360281918604508,,,0.0,0.13286587969221242,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2012-09-30,4485611.0,1137083.0,3743223.0,4155948.0,692817.0,,,,,188592.0,-2073780.0,780851.0,3966577.0,,,,-796654.0,2183.0,,-798837.0,0.0,,,,,-2073780.0,1.1270667434546209,0.1740790719480579,,,-0.46231828841154526,-2.993257959894171,,,0.0,0.3037711084805794,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2021-03-31,10201112000.0,8672543000.0,7256148000.0,7344667000.0,2304408000.0,,,1983318000.0,1801112000.0,,987713000.0,771463000.0,,225203000.0,3.05,126996000.0,3411765000.0,18000.0,10922000.0,3411747000.0,0.0,1.2089,,,3.05,998635000.0,0.33477708808509604,0.07562538280140439,0.42832594530490053,0.5483906608806115,0.09682405212294502,0.42861897719501063,1.8942447776706834,0.5544546924344516,0.0,1.1951992985810103,,,,,,,,,,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2021-06-30,15790208000.0,14238055000.0,9677564000.0,11166783000.0,4623425000.0,,,4365982000.0,4029073000.0,,1862438000.0,2377812000.0,,-512265000.0,9.6,187918000.0,7394664000.0,235000.0,23534000.0,7394429000.0,0.0,,,,9.6,1885972000.0,0.514296652373511,0.15058775666539667,0.5901635438226113,0.4622497532310782,0.11794892125550215,0.4028264760431931,1.8352680629018139,0.46809079904980627,0.0,1.4712436931442665,,3151408253.0,2846308476.0,,2880764476.0,,,,0.0,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2021-09-30,18454271000.0,15869717000.0,9615159000.0,13093774000.0,5360497000.0,3382185000.0,,6352775000.0,5340981000.0,,2154246000.0,2783912000.0,,-647505000.0,11.19,209052000.0,7736711000.0,1628000.0,40633000.0,7735083000.0,3382185000.0,,,,11.19,2194879000.0,0.519338412091267,0.15085461788222357,0.5212360800384799,0.4033427566958205,0.1167342779349019,0.24640562243942993,1.4482513605646603,0.4109505351170506,0.6309461604026642,1.6504892950808199,,5933967851.0,5002323220.0,18540460163.0,5077412220.0,,,,0.6661237759419109,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2021-12-31,21274425000.0,18373863000.0,11419035000.0,14892736000.0,6381689000.0,3384795000.0,,7123478000.0,-3331722000.0,,-1927827000.0,-2309067000.0,,337394000.0,-9.339999999999996,-304001000.0,-7813109000.0,1029000.0,-11438000.0,-7814138000.0,3384795000.0,1.6091,14.986,6.9279,-9.339999999999996,-1939265000.0,-0.36182693954531475,-0.1085372225101266,0.6930551228463839,0.5786278086827172,-0.09061711421107739,-0.19739212187313265,2.3453751543496124,0.5820608682236993,0.5303917191828057,1.609055668889709,7839444000.0,3624120000.0,3076570000.0,10727121000.0,3140221000.0,,14.500000000000004,14.500000000000004,1.0778843272495788,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2022-03-31,20895194000.0,16940652000.0,10921823000.0,14399101000.0,6496093000.0,3386865000.0,,6116388000.0,1166436000.0,,-554463000.0,-429659000.0,22138000.0,-179786000.0,-1.98,217472000.0,-830114000.0,1199000.0,31580000.0,-831313000.0,3386865000.0,,17.1979,5.7837,-1.98,-522883000.0,-0.06614114052862236,-0.02056257529841551,-0.3683519713040407,-0.47534798308694176,-0.026535432023268125,-0.056102940030707406,-0.7126949099650559,-0.4482740587567599,0.5213695370432658,1.551082818317052,7204768000.0,2422998000.0,1534394000.0,6484061000.0,1618703000.0,,9.470000000000002,9.470000000000002,2.0923325650227373,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
2022-06-30,105468243000.0,102162250000.0,96194296000.0,99654854000.0,5813389000.0,3389033000.0,,5682068000.0,1974761000.0,,-1598852000.0,-1523313000.0,45794000.0,-326701000.0,-6.97,219286000.0,-3863775000.0,3741000.0,73607000.0,-3867516000.0,3389033000.0,,,1.8045,-6.97,-1525245000.0,-0.2620352775291659,-0.014443333430708616,-0.7713910696028532,-0.8096432935428641,-0.01515955850331175,-0.17374252126233725,-1.958472949384761,-0.7723694158432337,0.5829702777502074,1.0620406224502126,5150456000.0,-1478127000.0,-1926896000.0,-4777884000.0,-1792514000.0,,-7.099999999999994,-7.099999999999994,-1.8906591524529237,,3.6080282,444.645,139.36,11.66923,55516.465,44.0493,4.1222,7.7307
