report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-09-30,14158000000.0,,,7932000000.0,958000000.0,,,312000000.0,,3489000000.0,,150000000.0,,176000000.0,424.53000000000003,57024340.0,465000000.0,0.0,,18.1274,0.6788,424.53000000000003,,0.15657620041753653,0.010594716767905072,0.04299226139294927,,,,,0.0,,,,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2010-12-31,14344000000.0,,,8010000000.0,912000000.0,,,430000000.0,,4890000000.0,,162000000.0,,339000000.0,465.68,56887440.0,721000000.0,0.0,0.2029,21.8867,0.7242,465.68,,0.17763157894736842,0.011293920803123258,0.033128834355828224,,,,,0.0,,,,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2011-03-31,14553000000.0,,,8002000000.0,893000000.0,,,211000000.0,,1365000000.0,,44000000.0,,138000000.0,127.26,55971384.0,92000000.0,0.0,,24.9833,0.7877,127.26,,0.04927211646136618,0.0030234315948601664,0.03223443223443224,,,,,0.0,,,,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2011-09-30,1226000000.0,,,381000000.0,845000000.0,,,34000000.0,,3406000000.0,-67000000.0,143000000.0,,-54000000.0,,,225000000.0,0.0,,25.162,0.8113,,-67000000.0,0.16923076923076924,0.1166394779771615,0.04198473282442748,-0.019671168526130357,-0.05464926590538336,-0.07928994082840236,-0.019671168526130357,0.0,,13150000000.0,499000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2011-12-31,13390000000.0,,,7878000000.0,,,,174000000.0,,4824000000.0,358000000.0,169000000.0,,90000000.0,,,360000000.0,0.0,0.1678,24.598,0.8614,,358000000.0,,0.01262135922330097,0.03503316749585406,0.074212271973466,0.026736370425690815,,0.074212271973466,,,14485000000.0,518000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2012-03-31,1196000000.0,,,420000000.0,776000000.0,,,28000000.0,,1520000000.0,534000000.0,36000000.0,,180000000.0,,,72000000.0,0.0,,25.9748,0.8396,,534000000.0,0.04639175257731959,0.030100334448160536,0.02368421052631579,0.3513157894736842,0.44648829431438125,0.6881443298969072,0.3513157894736842,0.0,,11115000000.0,392000000.0,,,,,,,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2012-06-30,15042000000.0,,,8445000000.0,766000000.0,,,240000000.0,,2680000000.0,464000000.0,79000000.0,,148000000.0,,,191000000.0,0.0,,25.3939,0.7884,,464000000.0,0.1031331592689295,0.005251961175375615,0.029477611940298507,0.17313432835820897,0.030846961840180827,0.6057441253263708,0.17313432835820897,0.0,,12430000000.0,427000000.0,1289000000.0,1289000000.0,,,,0.0,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2012-09-30,14599000000.0,,,8538000000.0,6061000000.0,,,392000000.0,,4140000000.0,734000000.0,130000000.0,,234000000.0,,,365000000.0,0.0,,21.9994,0.6172,,734000000.0,0.02144860584062036,0.008904719501335707,0.03140096618357488,0.17729468599033815,0.050277416261387764,0.12110212836165649,0.17729468599033815,0.0,,13164000000.0,414000000.0,2090000000.0,2090000000.0,,,,0.0,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2012-12-31,15441000000.0,,,8650000000.0,642000000.0,,,400000000.0,,-2828000000.0,-833000000.0,-85000000.0,,-282000000.0,,,-51000000.0,0.0,0.1967,20.3641,0.5911,,-833000000.0,-0.13239875389408098,-0.005504824817045528,0.030056577086280057,0.29455445544554454,-0.05394728320704618,-1.2975077881619939,0.29455445544554454,0.0,,5512000000.0,160000000.0,899000000.0,899000000.0,,,,0.0,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
2013-03-31,15791000000.0,,,8774000000.0,636000000.0,,,388000000.0,,1571000000.0,436000000.0,37000000.0,,146000000.0,,,127000000.0,0.0,,24.8012,0.7178,,436000000.0,0.05817610062893082,0.0023431068330061425,0.023551877784850413,0.27753023551877787,0.027610664302450762,0.6855345911949685,0.27753023551877787,0.0,,5563000000.0,161000000.0,801000000.0,801000000.0,,,,0.0,,0.48091123,434.0,235.22,0.21517,11220.198,20.0599,5.8463,2.7587
