report_date,total_assets,total_liabilities,total_equity,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-08-31,3176452000.0,,613450000.0,,1139033000.0,-45145000.0,-86810000.0,,-5000000.0,,,-164143000.0,,2628000.0,,0.0,,65.2652,0.5005,,-42517000.0,-0.14151112560110848,-0.02732923400070267,-0.07621377080383097,-0.039634496981211256,-0.014212397983662275,-0.07359197978645367,,-0.03732727673386109,0.0,,,,,,,,,,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2010-11-30,3109749000.0,,631878000.0,,1589996000.0,-16045000.0,-69368000.0,,-7000000.0,,,-133964000.0,,3289000.0,,0.0,9.4495,,0.6258,,-12756000.0,-0.1097806855120767,-0.022306623460607272,-0.043627782711403044,-0.010091220355271335,-0.005159580403434489,-0.025392559956194074,,-0.008022661692230672,0.0,,,,,,,,,,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2011-02-28,2901246000.0,,514595000.0,,196940000.0,-47858000.0,-114526000.0,11439000.0,400000.0,,,-164899000.0,,596000.0,,0.0,,,0.7661,,-47262000.0,-0.22255560197825475,-0.03947476360156981,-0.5815273687417487,-0.2430080227480451,-0.01649567117024892,-0.09300129227839368,,-0.23998172032090992,0.0,,,,,,,,,,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2011-05-31,2860348000.0,,443452000.0,,468678000.0,-105348000.0,-183030000.0,24560000.0,100000.0,,,-271324000.0,,1160000.0,,0.0,,,0.7611,,-104188000.0,-0.41273914651416616,-0.06398871745675701,-0.39052398448401676,-0.22477692573579303,-0.03683048356353842,-0.23756347924916338,,-0.22230187890193268,0.0,3394647000.0,-453734000.0,-214396000.0,,-206723000.0,,,,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2011-08-31,2721817000.0,2721817000.0,431967000.0,,835994000.0,-103909000.0,-192679000.0,36902000.0,100000.0,-2.5,,-309939000.0,,1636000.0,,0.0,,,0.4509,-2.5,-102273000.0,-0.44605027698875144,-0.07079057849958319,-0.23047892688225036,-0.12429395426282963,-0.038176335881508566,-0.2405484678227735,,-0.12233700241867765,0.0,3091608000.0,-559603000.0,-273160000.0,,-266479000.0,,,,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2011-11-30,2512542000.0,2512542000.0,442657000.0,,-185746000.0,154041000.0,311467000.0,,-3000000.0,0.18000000000000016,,398617000.0,,-1361000.0,,0.0,13.3593,,0.4918,0.18000000000000016,152680000.0,0.7036305762701144,0.12396489292517299,-1.6768436467003327,-0.8293099178447988,0.06130882588231361,0.3479917859652056,,-0.8219827075683999,0.0,1315866000.0,-178768000.0,-103074000.0,,-101043000.0,,,,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2012-02-29,2406073000.0,2406073000.0,393868000.0,,254558000.0,-31149000.0,-45802000.0,16286000.0,400000.0,-0.59,,-109584000.0,,392000.0,,0.0,,,0.641,-0.59,-30757000.0,-0.1162876902921791,-0.01903599766091885,-0.17992756071307914,-0.12236504058014283,-0.012945991247979592,-0.07908487107355763,,-0.12082511647640223,0.0,1373484000.0,-110044000.0,-86365000.0,,-84538000.0,,,,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2012-05-31,2394005000.0,2394005000.0,369531000.0,,557410000.0,-46685000.0,-69938000.0,30755000.0,-4100000.0,-0.91,,-89881000.0,,781000.0,,0.0,,,0.398,-0.91,-45904000.0,-0.1892615233904598,-0.02921380698870721,-0.12546958253350315,-0.08375343104716457,-0.01950079469341125,-0.1263358148572109,,-0.08235230799590966,0.0,1462216000.0,3048000.0,-27702000.0,,-26254000.0,,-3.82,-3.82,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2012-08-31,2549464000.0,2549464000.0,372441000.0,,981914000.0,-35818000.0,-66677000.0,53815000.0,-14800000.0,-0.86,77107000.0,-75800000.0,,1147000.0,,0.0,,,0.5825,-0.86,-34671000.0,-0.17902701367464913,-0.026153340466858917,-0.06790513222135544,-0.03647773633943502,-0.014049227602350925,-0.09617093714172177,,-0.03530960959921134,0.0,1608136000.0,129050000.0,40389000.0,,41348000.0,,-2.1799999999999997,-2.1799999999999997,0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2012-11-30,2561698000.0,2561698000.0,376806000.0,,-233767000.0,93396000.0,123464000.0,,-1600000.0,1.5999999999999999,,309882000.0,,-698000.0,,0.0,12.9745,,0.7099,1.5999999999999999,92698000.0,0.32765932601922476,0.04819615739247952,-0.5281498243977978,-0.399526023775811,0.03645863017420477,0.2478622951863824,,-0.39654014467397025,0.0,1560115000.0,-58953000.0,-20256000.0,,-18634000.0,,-0.7600000000000002,-0.7600000000000002,-0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2013-02-28,2900637000.0,2900637000.0,473135000.0,,405219000.0,454000.0,-12458000.0,15240000.0,100000.0,-0.16,,-211032000.0,,465000.0,,0.0,,,0.9128,-0.16,919000.0,-0.02633075126549505,-0.004294918667865024,-0.030743869364467116,0.0011203818182266873,0.00015651734429368444,0.0009595569974742938,,0.0022679094514324355,0.0,1710776000.0,-25609000.0,11347000.0,,13042000.0,,-0.3300000000000003,-0.3300000000000003,0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
2013-05-31,2912121000.0,2439228000.0,470816000.0,541206000.0,929625000.0,9145000.0,-15431000.0,29747000.0,-1100000.0,,,-267600000.0,,940000.0,,0.0,,,0.96,,10085000.0,-0.032775011894243186,-0.005298886962457948,-0.016599166330509615,0.009837299986553718,0.0031403228093887584,0.01942372391762387,,0.010848460400699207,0.0,2082991000.0,28898000.0,67177000.0,,69031000.0,,,,0.0,,1.4434443,68.71,48.17,0.97541,3222.626,9.1382,1.0649,0.5442
