report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_pe,eps,roe,roa,net_margin,fcf_margin,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2010-09-30,53246776000.0,47679373000.0,5567403000.0,,1859134000.0,717132197.0,,189447000.0,413590000.0,4915000.0,0.14,719182.0,866116000.0,45951000.0,209070000.0,820165000.0,1859134000.0,,0.14,0.03402789415459955,0.0035579055528169442,,,0.333931996659843,,,,,,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2010-12-31,53819642000.0,48839100000.0,4980542000.0,,2040732000.0,863319435.0,,312347000.0,526587000.0,39964000.0,0.19,729532000.0,840823000.0,68200000.0,286186000.0,772623000.0,2040732000.0,18.9901,0.19,0.0627134556841404,0.005803587470908855,,,0.40974094787274157,,,,,,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2011-03-31,52948509000.0,47909910000.0,5038599000.0,,2051258000.0,863398578.0,,126446000.0,97547000.0,34745000.0,0.14,867237000.0,754961000.0,26587000.0,73234000.0,728374000.0,2051258000.0,14.3683,0.14,0.025095468006086613,0.0023880936855086893,,,0.4071088014743781,,,,,,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2011-06-30,53050039000.0,47797396000.0,5252643000.0,,2022946000.0,863323099.0,,272364000.0,186347000.0,83725000.0,0.3,867353000.0,1190355000.0,71827000.0,142800000.0,1118528000.0,2022946000.0,11.4158,0.3,0.05185275298549701,0.005134096131390214,,,0.385129162594907,900604000.0,3439690000.0,1224071000.0,0.77,0.77,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2011-09-30,54978707000.0,49578228000.0,5400479000.0,,2224986000.0,864074883.0,,415755000.0,270865000.0,122667000.0,0.45,867446.0,1386714000.0,102431000.0,213084000.0,1284283000.0,2224986000.0,7.7006,0.45,0.07698483782642243,0.007562109454483897,,,0.41199789870491116,1126912000.0,3903808000.0,1081346000.0,1.08,1.08,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2011-12-31,54450652000.0,49032552000.0,5418100000.0,,1441092000.0,864406152.0,,-271952000.0,-213703000.0,-76516000.0,-0.30000000000000004,-867833446.0,-1737243000.0,-57082000.0,-147013000.0,-1794325000.0,1441092000.0,8.9576,-0.30000000000000004,-0.05019324117310496,-0.004994467283881192,,,0.2659773721415256,542613000.0,1336860000.0,341056000.0,0.5900000000000001,0.5900000000000001,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2012-03-31,55876654000.0,50326826000.0,5549828000.0,,1504086000.0,864674530.0,,153270000.0,62728000.0,52177000.0,0.17,869164.0,277270000.0,29342000.0,70723000.0,247928000.0,1504086000.0,9.9601,0.17,0.02761707209664876,0.0027430060504338716,,,0.27101488550636166,569437000.0,856414000.0,306237000.0,0.62,0.62,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2012-06-30,56622959000.0,50973728000.0,5649231000.0,,1205995000.0,858401176.0,,305976000.0,121310000.0,101463000.0,0.33,868357.0,560775000.0,55477000.0,138876000.0,505298000.0,1205995000.0,9.6445,0.33,0.0541624160881366,0.005403744442250007,,,0.2134794983600423,603049000.0,243184000.0,241200000.0,0.6499999999999999,0.6499999999999999,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2012-09-30,56443000000.0,50635396000.0,5807604000.0,,1259771000.0,855485376.0,,473743000.0,174799000.0,129754000.0,0.52,866768000.0,674678000.0,82862000.0,208041000.0,591816000.0,1259771000.0,9.8693,0.52,0.08157288272409757,0.008393299434828057,,,0.21691751021591693,661037000.0,-449283000.0,145134000.0,0.72,0.72,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2012-12-31,56153185000.0,50362974000.0,5790211000.0,,589814000.0,842812709.0,,-291967000.0,-139098000.0,-99299000.0,-0.31000000000000005,-5103521.0,-510593000.0,-38040000.0,-143068000.0,-548633000.0,589814000.0,8.4005,-0.31000000000000005,-0.05042424187995912,-0.005199473547226217,,,0.10186399079411787,641022000.0,796409000.0,219739000.0,0.71,0.71,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2013-03-31,56054966000.0,50187828000.0,5867138000.0,,732705000.0,838757987.0,,151780000.0,41149000.0,52214000.0,0.17,848708000.0,211909000.0,23942000.0,67177000.0,187967000.0,732705000.0,9.5899,0.17,0.025869512528936597,0.0027076994391540617,,,0.12488286452440696,639532000.0,736448000.0,198160000.0,0.71,0.71,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2013-06-30,56113687000.0,50330172000.0,5783515000.0,,630405000.0,829674914.0,,150651000.0,37645000.0,52354000.0,0.0,843840000.0,,,,,630405000.0,10.4196,0.0,0.02604834603178171,0.002684746058479458,,,0.10900032246825676,484207000.0,,114495000.0,0.38,0.38,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2013-09-30,56648251000.0,50686672000.0,5961579000.0,,660932000.0,830144646.0,,178487000.0,38060000.0,62132000.0,0.0,841025000.0,,,,,660932000.0,10.5427,0.0,0.02993955124976118,0.0031507945408588167,,,0.11086525901946448,188951000.0,,-22244000.0,-0.14000000000000004,-0.14000000000000004,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2013-12-31,59476344000.0,53377021000.0,6099323000.0,,552143000.0,830963427.0,,157823000.0,39175000.0,49114000.0,0.5499999999999999,-1689599000.0,801336000.0,78266000.0,214368000.0,723070000.0,552143000.0,12.5228,0.5499999999999999,0.02587549470654366,0.0026535423898953843,,,0.09052529272511065,638741000.0,,156029000.0,0.72,0.72,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2014-03-31,61145753000.0,54969519000.0,6176234000.0,,1398393000.0,827771805.0,,149143000.0,34949000.0,52097000.0,0.0,842677000.0,155964000.0,10613000.0,82015000.0,145351000.0,1398393000.0,12.9538,0.0,0.024147886883819494,0.0024391391500240417,,,0.2264151584930234,636104000.0,,149829000.0,0.5499999999999999,0.5499999999999999,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2014-06-30,63797113000.0,57556322000.0,6240791000.0,,1252409000.0,817002296.0,,164619000.0,35274000.0,57475000.0,0.0,834687000.0,,,,,1252409000.0,11.9782,0.0,0.02637790626220298,0.0025803518726623255,,,0.20068113160655437,650072000.0,,147458000.0,0.5499999999999999,0.5499999999999999,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
2014-09-30,64330629000.0,58046419000.0,6284210000.0,,1530938000.0,814453953.0,,155016000.0,34725000.0,53870000.0,0.0,829623000.0,,,,,1530938000.0,12.641,0.0,0.024667539754400315,0.0024096764233410496,,,0.24361662006839363,626601000.0,,144123000.0,0.5499999999999999,0.5499999999999999,1.0442089,19.455,11.915,32.9261,30670.162,13.8716,1.1225,2.07303
