report_date,total_assets,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-09-30,4405600000.0,546700000.0,3858900000.0,1235000000.0,,,1003100000.0,651600000.0,,2.48,861000000.0,55700000.0,,805300000.0,0.0,,19.0949,5.518,2.48,1003100000.0,0.16885640985773148,0.1479026693299437,,,,0.22768748865080807,0.25994454378190673,,,0.0,,847900000.0,1307500000.0,,559900000.0,1307500000.0,3.28,3.28,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2012-12-31,4202800000.0,356700000.0,3846100000.0,879100000.0,,,-599200000.0,-369800000.0,,-1.4099999999999997,-718500000.0,-34000000.0,,-752500000.0,0.0,6.0739,18.7824,5.4603,-1.4099999999999997,-599200000.0,-0.09614934609084527,-0.08798895974112496,,,,-0.1425716189207195,-0.15579418111853566,,,0.0,,883600000.0,1364300000.0,,757900000.0,1364300000.0,3.36,3.36,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2013-03-31,4610600000.0,503600000.0,4107000000.0,1285900000.0,,,372600000.0,241900000.0,,0.0,,22800000.0,,,0.0,,20.7064,6.1462,0.0,372600000.0,0.058899439980521065,0.052466056478549426,,,,0.08081377694877022,0.09072315558802045,,,0.0,,928000000.0,1420700000.0,,,1420700000.0,2.6100000000000003,2.6100000000000003,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2013-06-30,4798900000.0,488400000.0,4310500000.0,1455900000.0,,,771400000.0,489700000.0,,1.0,,41500000.0,,,0.0,,19.7167,5.8897,1.0,771400000.0,0.11360631017283378,0.10204421846673196,,,,0.16074517076830108,0.17895835749913003,,,0.0,,1013400000.0,1547900000.0,,,1547900000.0,2.0700000000000003,2.0700000000000003,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2013-09-30,5126800000.0,586200000.0,4540600000.0,1693300000.0,,,1197300000.0,760000000.0,468600000.0,2.0,1158300000.0,74600000.0,,1083700000.0,0.0,,18.8624,5.5712,2.0,1197300000.0,0.16737876051623132,0.14824061792931262,,,,0.23353748927206056,0.263687618376426,,,0.0,,1121800000.0,1742100000.0,,,1742100000.0,1.5900000000000003,1.5900000000000003,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2013-12-31,5033100000.0,215000000.0,4818100000.0,1398000000.0,,,-703900000.0,-443900000.0,184100000.0,0.0,74900000.0,-33100000.0,,41800000.0,0.0,8.2431,20.8612,6.2164,0.0,-703900000.0,-0.09213175318071438,-0.08819614154298544,,,,-0.13985416542488724,-0.1460949336875532,,,0.0,,1047700000.0,1637400000.0,,,1637400000.0,3.0,3.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2014-03-31,5462900000.0,425700000.0,5037200000.0,1739300000.0,,,449100000.0,304300000.0,186900000.0,1.0,487100000.0,25400000.0,,461700000.0,0.0,,19.4795,5.9167,1.0,449100000.0,0.06041054554117367,0.05570301488220542,,,,0.08220908308773728,0.0891566743428889,,,0.0,,1110100000.0,1713900000.0,,,1713900000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2014-06-30,5669000000.0,395400000.0,5273600000.0,1704300000.0,,,922200000.0,610100000.0,380300000.0,2.0,725600000.0,59700000.0,,665900000.0,0.0,,18.9859,5.8596,2.0,922200000.0,0.11568947208737865,0.1076203916034574,,,,0.16267419297936145,0.1748710558252427,,,0.0,,1230500000.0,1864700000.0,,2253100000.0,1864700000.0,5.0,5.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2014-09-30,5768000000.0,540500000.0,5227500000.0,1644500000.0,,,1410900000.0,913700000.0,570600000.0,3.0,1216100000.0,82600000.0,,1133500000.0,0.0,,17.1661,5.2595,3.0,1410900000.0,0.1747871831659493,0.15840846047156726,,,,0.24460818307905688,0.26989956958393113,,,0.0,,1384200000.0,2078300000.0,,2302900000.0,2078300000.0,6.0,6.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2014-12-31,5644400000.0,249200000.0,5395200000.0,1506100000.0,,,-891300000.0,-598500000.0,-364300000.0,-2.0,-1137500000.0,-41500000.0,,-1179000000.0,0.0,7.8273,18.1125,5.5388,-2.0,-891300000.0,-0.11093193950177936,-0.1060342994826731,,,,-0.15790872369073772,-0.16520240213523132,,,0.0,,1229600000.0,1890900000.0,,1082100000.0,1890900000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2015-03-31,5962000000.0,960000000.0,5002000000.0,1810400000.0,,,477800000.0,309500000.0,195100000.0,1.0,543800000.0,41300000.0,,502500000.0,0.0,,17.0889,5.1551,1.0,477800000.0,0.06187524990003999,0.05191211003019121,,,,0.08014089231801409,0.0955217912834866,,,0.0,,1234800000.0,1919600000.0,,1122900000.0,1919600000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2015-06-30,5415500000.0,448400000.0,4967100000.0,1269200000.0,,,985600000.0,642700000.0,402700000.0,2.0,886700000.0,79900000.0,,806800000.0,0.0,,16.0476,4.8441,2.0,985600000.0,0.129391395381611,0.11867786907949404,,,,0.1819961222417136,0.1984256407159107,,,0.0,,1267400000.0,1983000000.0,,1263800000.0,1983000000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2015-09-30,5266600000.0,593000000.0,4673600000.0,1164400000.0,,,1443900000.0,919800000.0,584200000.0,3.0,1371500000.0,114600000.0,,1256900000.0,0.0,,14.4103,4.23,3.0,1443900000.0,0.1968076001369394,0.17464778035165002,,,,0.27416169824934494,0.30894813420061623,,,0.0,,1273500000.0,2016000000.0,,1387200000.0,2016000000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2015-12-31,5106900000.0,344900000.0,4762000000.0,1172300000.0,,,-1008400000.0,-649000000.0,-402600000.0,-2.0,-1295600000.0,-84500000.0,,-1380100000.0,0.0,4.6899,14.6777,4.2734,-2.0,-1008400000.0,-0.13628727425451492,-0.1270829661830073,,,,-0.19745834067633986,-0.2117597648047039,,,0.0,,1223000000.0,1898900000.0,,1186100000.0,1898900000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2016-03-31,6203900000.0,615000000.0,4763800000.0,1400400000.0,,,410900000.0,295200000.0,191600000.0,1.0,63600000.0,35200000.0,,28400000.0,0.0,,14.939,4.3644,1.0,410900000.0,0.06196733699987405,0.04758297200148294,,,,0.06623253114976063,0.08625467064108484,,,0.0,,1208700000.0,1832000000.0,,712000000.0,1832000000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2016-06-30,6581700000.0,610400000.0,4860900000.0,1382600000.0,,,694400000.0,490500000.0,313400000.0,1.0,,,,,0.0,,16.6511,4.3747,1.0,694400000.0,0.10090723940011109,0.07452481881580747,,,,0.1055046568515733,0.14285420395400028,,,0.0,,1056500000.0,1540800000.0,,,1540800000.0,3.0,3.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2016-09-30,6723500000.0,775900000.0,4833700000.0,1401000000.0,,,1170100000.0,835200000.0,497800000.0,3.0,268200000.0,112500000.0,,155700000.0,0.0,,14.5192,3.9505,3.0,1170100000.0,0.17278689202888056,0.12422101583996431,,,,0.1740313824644902,0.2420712911434305,,,0.0,,971900000.0,1267000000.0,,,1267000000.0,3.0,3.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2016-12-31,6225000000.0,529200000.0,5008600000.0,1204900000.0,,,-542000000.0,-405900000.0,-296300000.0,-1.0,-161300000.0,600000.0,,-161900000.0,0.0,5.3035,15.1951,4.3719,-1.0,-542000000.0,-0.08104061015054106,-0.06520481927710843,,,,-0.08706827309236947,-0.10821387213991934,,,0.0,,1215000000.0,1733400000.0,,,1733400000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2017-03-31,6275600000.0,816300000.0,5000200000.0,1580800000.0,,,521700000.0,385900000.0,236300000.0,1.0,188500000.0,46900000.0,,141600000.0,0.0,,12.7057,3.7779,1.0,521700000.0,0.07717691292348305,0.061492128242717825,,,,0.08313149340302123,0.10433582656693732,,,0.0,,1305700000.0,1844200000.0,,,1844200000.0,4.0,4.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2017-06-30,6532600000.0,736400000.0,5168600000.0,1542200000.0,,,1029300000.0,759800000.0,465900000.0,3.0,139200000.0,82600000.0,,56600000.0,0.0,,12.2015,3.9764,3.0,1029300000.0,0.14700305692063614,0.11630897345620426,,,,0.15756360407800876,0.19914483612583678,,,0.0,,1575000000.0,2179100000.0,,192000000.0,2179100000.0,6.0,6.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2017-09-30,7379600000.0,897800000.0,5528000000.0,1869400000.0,,,1577800000.0,1150700000.0,677500000.0,4.0,352800000.0,129100000.0,,223700000.0,0.0,,14.2409,4.6888,4.0,1577800000.0,0.20815846599131693,0.15592986069705675,,,,0.21380562632120984,0.28541968162083936,,,0.0,,1890500000.0,2586800000.0,,260000000.0,2586800000.0,7.0,7.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2017-12-31,7534700000.0,717500000.0,5824400000.0,1902700000.0,,,-1020000000.0,-798600000.0,-455800000.0,-3.0,-451000000.0,-72500000.0,,-523500000.0,0.0,6.2799,16.676,5.1448,-3.0,-1020000000.0,-0.1371128356568917,-0.10598962135187864,,,,-0.13537367114815455,-0.17512533479843417,,,0.0,,1497800000.0,2108800000.0,,-101600000.0,2108800000.0,5.0,5.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2018-03-31,7374300000.0,925900000.0,5901900000.0,1681400000.0,,,583800000.0,453700000.0,144400000.0,1.0,521000000.0,36700000.0,,484300000.0,0.0,,16.3528,5.0694,1.0,583800000.0,0.07687354919602161,0.061524483679806896,,,,0.07916683617428096,0.09891729781934631,,,0.0,,1565600000.0,2170900000.0,,241100000.0,2170900000.0,5.0,5.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2018-06-30,7882200000.0,1028400000.0,6114600000.0,1484400000.0,2673000000.0,,1178500000.0,902600000.0,313600000.0,3.0,929300000.0,78600000.0,,850700000.0,0.0,,17.1973,5.4161,3.0,1178500000.0,0.14761390769633337,0.11451117708254041,0.33767302656191545,,0.44089038533482977,0.14951409504960544,0.19273542014195533,0.3182566404788627,0.44089038533482977,0.0,,1708400000.0,2320100000.0,,1035200000.0,2320100000.0,5.0,5.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2018-09-30,8530600000.0,1209500000.0,6460500000.0,2090600000.0,4067600000.0,,1819100000.0,1485600000.0,497500000.0,5.0,1486400000.0,121500000.0,,1364900000.0,0.0,,14.5779,4.9797,5.0,1819100000.0,0.2299512421639192,0.1741495322720559,0.36522765266987905,,0.44721703215655423,0.21324408599629568,0.28157263369708224,0.33555413511653065,0.44721703215655423,0.0,,2043300000.0,2561400000.0,,2176400000.0,2561400000.0,6.0,6.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2018-12-31,7689300000.0,824700000.0,6124300000.0,1425200000.0,-1368000000.0,,-1220000000.0,-1004400000.0,-339600000.0,-2.0,-1316800000.0,-68300000.0,,-1385100000.0,0.0,4.8645,12.091,4.1353,-2.0,-1220000000.0,-0.16400241660271378,-0.13062307362178613,0.7342105263157894,,0.8918128654970761,-0.15866203685641087,-0.19920643991966427,1.0125,0.8918128654970761,0.0,,1837500000.0,2361400000.0,,1314800000.0,2361400000.0,7.0,7.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2019-03-31,8458900000.0,1261200000.0,6311000000.0,1657400000.0,1327300000.0,,532500000.0,512600000.0,181300000.0,2.09,578700000.0,47700000.0,,531000000.0,0.0,,12.8937,4.5518,2.09,532500000.0,0.08122326097290446,0.06059889583752025,0.3861975438860845,,0.40119038649890754,0.06295144758774782,0.08437648550150531,0.4000602727341219,0.40119038649890754,0.0,6699900000.0,1896400000.0,2310100000.0,,1361500000.0,2310100000.0,8.09,8.09,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2019-06-30,8912300000.0,1320900000.0,6579100000.0,1802400000.0,2722500000.0,,1147600000.0,1040100000.0,365000000.0,4.0,948800000.0,94500000.0,,854300000.0,0.0,,13.057,4.756,4.0,1147600000.0,0.15809153227645117,0.11670388115301325,0.38203856749311293,,0.42152433425160696,0.12876586290856457,0.17443115319724584,0.3137924701561065,0.42152433425160696,0.0,6749400000.0,2033900000.0,2279200000.0,,1365100000.0,2279200000.0,9.09,9.09,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2019-09-30,9397800000.0,1455100000.0,6839800000.0,2213200000.0,4149200000.0,,1806700000.0,1586000000.0,522000000.0,6.0,1500700000.0,148900000.0,,1351800000.0,0.0,,13.8879,4.9344,6.0,1806700000.0,0.23187812509137695,0.1687629019557769,0.3822423599730068,,0.4354333365468042,0.19224712166677307,0.2641451504429954,0.32579774414344936,0.4354333365468042,0.0,6831000000.0,2134300000.0,2266800000.0,,1352000000.0,2266800000.0,10.09,10.09,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2019-12-31,9330400000.0,1107300000.0,7102100000.0,1781800000.0,-2581100000.0,,-1099800000.0,-1007400000.0,-389900000.0,-4.09,-1505500000.0,-86500000.0,,-1592000000.0,0.0,4.8099,13.3586,5.0679,-4.09,-1099800000.0,-0.1418453696793906,-0.10796964760353255,0.3902987098523885,,0.42609740033319127,-0.11787276001028894,-0.15485560608834006,0.6167912905350432,0.42609740033319127,0.0,5617900000.0,2131300000.0,2387000000.0,,1145100000.0,2387000000.0,8.0,8.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2020-03-31,8636900000.0,1231900000.0,6434000000.0,1562400000.0,1462600000.0,,707200000.0,343100000.0,40300000.0,1.0,787700000.0,46000000.0,,741700000.0,0.0,,11.6159,3.9609,1.0,707200000.0,0.05332608019894312,0.03972490129560375,0.234582250786271,,0.4835224941884316,0.08188123053410368,0.10991607087348461,0.5071106249145357,0.4835224941884316,0.0,5753200000.0,1961800000.0,2561700000.0,,1355800000.0,2561700000.0,6.91,6.91,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2020-06-30,9477300000.0,1636500000.0,6750700000.0,2058100000.0,2878000000.0,,1260900000.0,946100000.0,280600000.0,3.0,1640700000.0,105300000.0,,1535400000.0,0.0,,13.7939,4.8675,3.0,1260900000.0,0.14014842905180203,0.09982801008726114,0.32873523280055594,,0.4381167477414871,0.1330442214554778,0.18678063015687263,0.5334954829742877,0.4381167477414871,0.0,5908700000.0,1867800000.0,2675000000.0,,2036900000.0,2675000000.0,5.91,5.91,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2020-09-30,10134600000.0,1665900000.0,7128500000.0,2228200000.0,4473800000.0,,1989800000.0,1589300000.0,502500000.0,6.0,1916900000.0,155400000.0,,1761500000.0,0.0,,13.6345,4.8976,6.0,1989800000.0,0.22295012976081924,0.15681921338780022,0.3552460995127185,,0.44476731190486835,0.1963372999427703,0.2791330574454654,0.39373686798694624,0.44476731190486835,0.0,6233300000.0,1871100000.0,2858100000.0,,2446600000.0,2858100000.0,5.91,5.91,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2020-12-31,10659000000.0,1390300000.0,7707000000.0,2151700000.0,-2607700000.0,,-1212200000.0,-505800000.0,-104500000.0,-0.019999999999999574,-2426400000.0,-92100000.0,,-2518500000.0,0.0,5.3743,14.4475,5.523,-0.019999999999999574,-1212200000.0,-0.06562864927987544,-0.04745285674078244,0.19396402960463244,,0.4648540859761476,-0.11372549019607843,-0.15728558453354094,0.9657936112282854,0.4648540859761476,0.0,6206700000.0,2372700000.0,2745700000.0,,1520100000.0,2745700000.0,9.98,9.98,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2021-03-31,10764400000.0,1743300000.0,8008200000.0,2830100000.0,1826800000.0,,893200000.0,749400000.0,230500000.0,3.17,994700000.0,58800000.0,,935900000.0,0.0,,14.045,5.94,3.17,893200000.0,0.09357908144152244,0.0696183716695775,0.4102255309831399,,0.48894241296255747,0.08297722121065736,0.11153567593216952,0.5123166192248741,0.48894241296255747,0.0,6570900000.0,2779000000.0,2931700000.0,,1714300000.0,2931700000.0,12.15,12.15,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2021-06-30,11279200000.0,2505800000.0,7893000000.0,3514900000.0,3756100000.0,,1851300000.0,1565100000.0,489800000.0,6.63,1802000000.0,121800000.0,,1680200000.0,0.0,,15.0117,6.339,6.63,1851300000.0,0.19828962371721778,0.13875984112348394,0.41668219695961234,,0.49287825137775887,0.1641339811334137,0.23454960091220067,0.44732568355475094,0.49287825137775887,0.0,7449000000.0,3398000000.0,3522100000.0,,1859100000.0,3522100000.0,15.780000000000001,15.780000000000001,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2021-09-30,11450700000.0,2102000000.0,8262100000.0,3418500000.0,5710200000.0,,2847500000.0,2342300000.0,717100000.0,9.94,3090700000.0,178700000.0,,2912000000.0,0.0,,14.2811,5.9973,9.94,2847500000.0,0.2834993524648697,0.20455518003266177,0.41019578998984274,,0.49866904836958426,0.24867475350851914,0.3446460343012067,0.5099646247066653,0.49866904836958426,0.0,8685400000.0,4151000000.0,4379800000.0,,3009600000.0,4379800000.0,19.72,19.72,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2021-12-31,12509000000.0,2255300000.0,9022700000.0,1523100000.0,-3621200000.0,,-1882000000.0,-1573900000.0,-541300000.0,-6.620000000000003,-2435400000.0,-120200000.0,,-2555600000.0,0.0,2.5429,14.3356,5.7606,-6.620000000000003,-1882000000.0,-0.1744378068649074,-0.12582140858581822,0.43463492764829337,,0.519717220810781,-0.15045167479414823,-0.2085850133552041,0.7057329062189329,0.519717220810781,0.0,7671900000.0,3082900000.0,3710000000.0,,2972500000.0,3710000000.0,13.119999999999996,13.119999999999996,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2022-03-31,12348000000.0,2231000000.0,9054400000.0,1997500000.0,1863000000.0,,877400000.0,567900000.0,164500000.0,2.41,1103400000.0,54900000.0,54500000.0,1048500000.0,0.0,,11.871,4.4684,2.41,931900000.0,0.06272088708252341,0.04599125364431487,0.30483091787439615,,0.47096081588835215,0.07105604146420473,0.09690316310302173,0.5628019323671497,0.5002147074610843,0.0,7708100000.0,2901400000.0,3694200000.0,,3085100000.0,3748700000.0,12.359999999999996,12.359999999999996,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2022-06-30,11768700000.0,2031100000.0,8964200000.0,2116000000.0,3376000000.0,,1546000000.0,907500000.0,265400000.0,3.88,1727000000.0,122800000.0,109200000.0,1604200000.0,0.0,,10.6474,3.5414,3.88,1655200000.0,0.10123602775484705,0.0771113207066201,0.26880924170616116,,0.45793838862559244,0.131365401446209,0.1724638004506816,0.4751777251184834,0.49028436018957344,0.0,7328000000.0,2243800000.0,3388900000.0,,3009100000.0,3552600000.0,9.609999999999996,9.609999999999996,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2022-09-30,11993200000.0,2297900000.0,8907500000.0,2366300000.0,4964200000.0,,2120600000.0,1291900000.0,399400000.0,5.0,2494600000.0,177200000.0,166000000.0,2317400000.0,0.0,,11.6605,3.4219,5.0,2286600000.0,0.14503508279539715,0.10771937431211019,0.2602433423310906,,0.42717859876717296,0.17681686288897042,0.23806904294134157,0.4668224487329278,0.4606180250594255,0.0,6582000000.0,1193400000.0,2662000000.0,,2414500000.0,2991700000.0,4.669999999999996,4.669999999999996,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2022-12-31,11643300000.0,1956400000.0,8839500000.0,1755600000.0,-3714800000.0,,-2170300000.0,-1209400000.0,-330700000.0,-5.289999999999999,-2965600000.0,-117300000.0,,-3082900000.0,0.0,2.4777,15.6436,3.7561,-5.289999999999999,-2170300000.0,-0.13681769330844504,-0.1038708957082614,0.32556261440723594,,0.5842306449876171,-0.18639904494430273,-0.2455229368176933,0.8298966296974265,0.5842306449876171,0.0,6488400000.0,1557900000.0,2373700000.0,,1887200000.0,2703400000.0,6.0,6.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
