report_date,total_assets,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,3392400000.0,385500000.0,3006900000.0,764100000.0,557100000.0,556200000.0,238700000.0,,91000000.0,0.57,256700000.0,25000000.0,,231700000.0,0.0,,26.4222,6.9621,0.57,238700000.0,,,,0.9983844911147012,0.4284688565787112,0.07036316472114137,0.07938408327513385,0.41590378747083107,0.4284688565787112,0.0,,,,,,,,,,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2010-06-30,3403000000.0,443700000.0,2959300000.0,735100000.0,1135400000.0,1133600000.0,491800000.0,,189500000.0,1.17,452200000.0,68000000.0,,384200000.0,0.0,,19.3029,5.2899,1.17,491800000.0,,,,0.9984146556279725,0.43315131231284126,0.14451954158095798,0.16618794985300578,0.338382948740532,0.43315131231284126,0.0,,,,,,,,,,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2010-09-30,3563300000.0,498900000.0,3064400000.0,810400000.0,1722400000.0,1719700000.0,753700000.0,,291200000.0,1.81,711500000.0,101400000.0,,610100000.0,0.0,,20.2718,5.6705,1.81,753700000.0,,,,0.9984324198792383,0.43758708778448674,0.21151741363342969,0.2459535308706435,0.3542150487691593,0.43758708778448674,0.0,,,,,,,,,,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2010-12-31,3642000000.0,345500000.0,3296500000.0,813100000.0,-1044200000.0,-1042300000.0,-447700000.0,672200000.0,-173900000.0,-1.02,-687600000.0,-76400000.0,,-764000000.0,0.0,6.0595,24.6211,6.9915,-1.02,-447700000.0,0.20391324131654787,0.1845689181768259,-0.643746408733959,0.9981804252058992,0.4287492817467918,-0.1229269632070291,-0.1358107083270135,0.731660601417353,0.4287492817467918,0.0,2370700000.0,,1036500000.0,2367200000.0,462000000.0,1036500000.0,2.53,2.53,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2011-03-31,3886000000.0,430100000.0,3455900000.0,1064900000.0,683200000.0,682400000.0,311500000.0,194600000.0,120800000.0,0.72,336000000.0,11700000.0,,324300000.0,0.0,,24.0997,6.9017,0.72,311500000.0,0.056309499696171765,0.050077200205867214,0.2848360655737705,0.9988290398126464,0.45594262295081966,0.08015954709212558,0.09013570994531092,0.47467798594847777,0.45594262295081966,0.0,2496800000.0,,1109300000.0,2493400000.0,554600000.0,1109300000.0,2.6799999999999997,2.6799999999999997,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2011-06-30,3882400000.0,469600000.0,3412800000.0,1022700000.0,1397700000.0,1396100000.0,638100000.0,399300000.0,,1.49,610500000.0,33000000.0,,577500000.0,0.0,,20.6228,5.9642,1.49,638100000.0,0.11700070323488045,0.10284875334844426,0.28568362309508477,0.9988552622164986,0.4565357372826787,0.1643570987018339,0.18697257383966245,0.4131787937325606,0.4565357372826787,0.0,2759100000.0,,1255600000.0,2755900000.0,747900000.0,1255600000.0,3.0,3.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2011-09-30,3839600000.0,570000000.0,3269600000.0,1001400000.0,2077900000.0,2075500000.0,933300000.0,584800000.0,,2.2,940500000.0,49500000.0,,891000000.0,0.0,,15.7737,4.4975,2.2,933300000.0,0.17885979936383656,0.15230753203458694,0.2814379902786467,0.9988449877279946,0.44915539727609605,0.24307219502031463,0.28544776119402987,0.4287983059820011,0.44915539727609605,0.0,3114600000.0,1850900000.0,1435200000.0,3111700000.0,1028800000.0,1435200000.0,3.39,3.39,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2011-12-31,3770300000.0,349600000.0,3420700000.0,897900000.0,,-1406900000.0,-656000000.0,-405500000.0,,-1.4900000000000002,-938600000.0,-11900000.0,,-950500000.0,0.0,6.8352,18.8157,5.2959,-1.4900000000000002,-656000000.0,-0.1185429882772532,-0.10755112325279155,,,,-0.17399145956555181,-0.19177361358786213,,,0.0,,773200000.0,1226900000.0,2747100000.0,842300000.0,1226900000.0,2.92,2.92,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2012-03-31,4076900000.0,446800000.0,3630100000.0,1103500000.0,,728700000.0,316200000.0,197500000.0,,0.75,265800000.0,18600000.0,,247200000.0,0.0,,21.4743,5.9663,0.75,316200000.0,0.05440621470482907,0.04844367043587039,,,,0.07755892957884668,0.08710503842869342,,,0.0,,776100000.0,1231600000.0,2793400000.0,765200000.0,1231600000.0,2.95,2.95,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
2012-06-30,4116900000.0,459100000.0,3657800000.0,972300000.0,,,644200000.0,404300000.0,,1.54,494500000.0,36600000.0,,457900000.0,0.0,,20.6613,5.7087,1.54,644200000.0,0.11053092022527203,0.09820496004275062,,,,0.15647696082003448,0.17611679151402482,,,0.0,,781100000.0,1237700000.0,,645600000.0,1237700000.0,3.0,3.0,0.0,1.5750312,118.22,77.85,2.39598,18991.97,9.0997,2.0574,2.5964
