report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-03-31,12339077000.0,10926641000.0,6573192000.0,9179654000.0,3159423000.0,1979398000.0,4482641000.0,886936000.0,-446945000.0,-1172211000.0,6300000.0,-1.9505640974440894,600960000.0,494368000.0,7706000.0,486662000.0,1979398000.0,1.7346,,,-1.9505640974440894,-446945000.0,-0.37102059458325143,-0.09499989342800924,-1.3216410203216467,-0.5039202377623639,-0.036221915140006014,-0.0869742300811801,0.5487002444370281,-0.5039202377623639,0.6265061690061762,1.6623036418227248,,,,,,,,,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2021-06-30,15484810000.0,14095982000.0,9496350000.0,12091609000.0,3393201000.0,1980455000.0,5672682000.0,2222132000.0,-498223000.0,-1240428000.0,17500000.0,-2.0456281539628614,606380000.0,1285667000.0,15358000.0,1270309000.0,1980455000.0,,,,-2.0456281539628614,-498223000.0,-0.3655627827529227,-0.08010611689778564,-0.5582152635396997,-0.22420945290378788,-0.03217495080662921,-0.09271583443376354,0.5716622594877352,-0.22420945290378788,0.5836539008446596,1.484357884871556,,,,,,,,,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2021-09-30,13582003000.0,12220917000.0,6559314000.0,9133069000.0,4448934000.0,1981496000.0,5994698000.0,4459564000.0,353750000.0,-406535000.0,34100000.0,-0.6650215683997179,611311000.0,1808845000.0,20864000.0,1787981000.0,1981496000.0,,,19.8267,-0.6650215683997179,353750000.0,-0.091378069443152,-0.029931888543979854,-0.09116025692197713,0.07932389803128737,0.02604549564596621,0.055011873233982794,0.40093179512616034,0.07932389803128737,0.44538669263243735,1.8631394990390764,,,,,,,,,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2021-12-31,13708474000.0,12386380000.0,6359282000.0,8932761000.0,4775713000.0,1982537000.0,6067438000.0,-1576872000.0,1020735000.0,2467140000.0,-6073000.0,-2.051232166018158,-1202760000.0,-1399186000.0,-18606000.0,-1417792000.0,1982537000.0,1.9478,,17.6552,-2.051232166018158,1020735000.0,0.5166013954356135,0.179971891838581,-1.564578481956684,-0.6473163325875531,0.07446014778887862,0.15103540117634004,0.8991167323663557,-0.6473163325875531,0.41512900796174307,1.9477639142280527,5991760000.0,-352034000.0,429317000.0,2127160000.0,429317000.0,-6.712445985824827,-6.712445985824827,4.617886084175563,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2022-03-31,17068442000.0,15761447000.0,9773782000.0,12331026000.0,4737416000.0,1983578000.0,6886628000.0,1508937000.0,-5131000.0,-18792000.0,10700000.0,-0.02957907428452702,635314000.0,1201992000.0,5959000.0,1196033000.0,1983578000.0,,137.7863,16.6955,-0.02957907428452702,-5131000.0,-0.00396671940990616,-0.0011009792223566743,-0.012453800258062463,-0.0034004070415133304,-0.00030061326042529247,-0.0007634287428317895,0.7926328269503631,-0.0034004070415133304,0.41870462716383783,1.612625184396378,6613761000.0,801385000.0,871131000.0,2836531000.0,871131000.0,-4.791460962665265,-4.791460962665265,2.277014593671905,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2022-06-30,19059126000.0,17825649000.0,11287165000.0,13814101000.0,5245025000.0,1984618000.0,7837992000.0,3613044000.0,363692000.0,360049000.0,15000000.0,0.5262735548448582,684148000.0,2001739000.0,11007000.0,1990732000.0,1984618000.0,,45.4135,7.6796,0.5262735548448582,363692000.0,0.06864581198373697,0.018891160066836225,0.09965253675294294,0.10066082782274448,0.019082302095069836,0.05030566516216638,0.55098470984577,0.10066082782274448,0.3783810372686498,1.5792848780008089,8004673000.0,2401862000.0,1733046000.0,3556954000.0,1733046000.0,-2.219559253857544,-2.219559253857544,1.1451617556602651,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2022-09-30,16076590000.0,14866524000.0,8015327000.0,10536454000.0,5540136000.0,1985659000.0,7523688000.0,6497454000.0,1567173000.0,1574337000.0,70600000.0,2.3057377733449913,682791000.0,2967302000.0,16606000.0,2950696000.0,1985659000.0,,41.2398,8.3656,2.3057377733449913,1567173000.0,0.28416937779144774,0.09792729677126803,0.24230059958870043,0.2411980138682013,0.09748167988360716,0.2082401925643736,0.4541311104318707,0.2411980138682013,0.3584134035698763,1.854762007838233,10042563000.0,4382734000.0,2946469000.0,4719669000.0,2946469000.0,0.751200087887165,0.751200087887165,0.6739113834219874,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2022-12-31,16038000000.0,14861000000.0,7978000000.0,10478000000.0,5560000000.0,1987000000.0,7378000000.0,-3220435000.0,-123734000.0,-22594000.0,-300000.0,0.017087501408580657,-1322253000.0,-2741033000.0,-8572000.0,-2749605000.0,1987000000.0,1.8627,28.5942,6.4447,0.017087501408580657,-123734000.0,-0.004063669064748201,-0.0014087791495198902,0.007015822396663805,0.03842151759001501,-0.007715051752088789,-0.016395123890287532,0.8537992538275109,0.03842151759001501,0.35737410071942444,1.8627475557783906,8399000000.0,1893000000.0,1802000000.0,3387856000.0,1802000000.0,2.8195197553139035,2.8195197553139035,1.102663706992231,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2023-03-31,20018000000.0,18869000000.0,12212000000.0,14727000000.0,5291000000.0,2000000000.0,8166000000.0,1818000000.0,-5000000.0,117000000.0,13400000.0,0.1746268656716418,670000000.0,1587000000.0,6000000.0,1581000000.0,2000000000.0,,38.7113,9.0189,0.1746268656716418,-5000000.0,0.022113022113022112,0.005844739734239185,0.06435643564356436,-0.0027502750275027505,-0.0002497752023179139,-0.0006857769853243725,0.8696369636963697,-0.0027502750275027505,0.378000378000378,1.5451195545365215,8708063000.0,2028792000.0,1802131000.0,3772823000.0,1802131000.0,3.0237256952700724,3.0237256952700724,1.1097972344962714,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
2023-06-30,21188000000.0,20052000000.0,13624000000.0,16129000000.0,5059000000.0,2000000000.0,7905000000.0,4302000000.0,518000000.0,767000000.0,39000000.0,1.1499250374812593,667000000.0,2496000000.0,15000000.0,2481000000.0,2000000000.0,,35.6323,9.0177,1.1499250374812593,518000000.0,0.15161099031429137,0.03619973569945252,0.1782891678289168,0.1204091120409112,0.02444780064187276,0.07338149879586343,0.5767085076708508,0.1204091120409112,0.39533504645186796,1.4718144450968877,9397019000.0,2435743000.0,1956439000.0,4263091000.0,1956439000.0,3.647377177906473,3.647377177906473,1.022265452692366,1.1950803,143.8799,99.88,3.62548,79820.664,31.7884,10.1893,6.5208
