report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,1842207000.0,1323438000.0,756060000.0,779112000.0,1063095000.0,,,229645000.0,2074617000.0,136007000.0,84012000.0,52469000.0,0.5,166575000.0,3925000.0,4368000.0,7559000.0,-443000.0,0.0,,27.0405,1.2207,0.5,143566000.0,0.07902586316368716,0.04560399564218353,0.040495185376385134,0.06555764268778286,0.07382829399736295,0.127934944666281,-0.00021353338953647829,0.06920120677696172,0.0,1.7504404412348227,,,,,,,,,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2010-06-30,1921894000.0,1410856000.0,792173000.0,817022000.0,1104872000.0,,,166125000.0,4528599000.0,292462000.0,181238000.0,112061000.0,1.09,166163000.0,9873000.0,7988000.0,14701000.0,1885000.0,0.0,,25.3388,1.0873,1.09,307163000.0,0.16403529096583133,0.09430176690285728,0.04002076580417034,0.06458112100453142,0.15217384517564445,0.2647021555438096,0.00041624352255520967,0.06782737884277235,0.0,1.7809948079523032,,,,,,,,,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2010-09-30,1982084000.0,1466940000.0,789485000.0,811504000.0,1170580000.0,,,249433000.0,6948956000.0,458795000.0,283865000.0,175916000.0,1.71,165985000.0,137136000.0,14000000.0,22113000.0,123136000.0,0.0,,31.2172,1.2947,1.71,480908000.0,0.2424994447197116,0.1432154237660967,0.040850021211819444,0.06602358685247108,0.23147101737363301,0.3919381844897401,0.01772007190720448,0.0692057914886783,0.0,1.8580973672710692,,,,,,,,,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2010-12-31,1995699000.0,1481768000.0,771607000.0,791631000.0,1204068000.0,,,398607000.0,-4277867000.0,-264404000.0,-162089000.0,-103370000.0,-0.9699999999999998,-332751000.0,193845000.0,-8638000.0,-15004000.0,185207000.0,0.0,1.9204,34.4,1.4355,-0.9699999999999998,-279408000.0,-0.13461781228302722,-0.08121916180746695,0.037890144784772414,0.06180743814616022,-0.13248691310663582,-0.21959224894275073,-0.043294239862997144,0.06531479356417579,0.0,1.9203661967815222,9274305000.0,387026000.0,622860000.0,309785000.0,652229000.0,2.33,2.33,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2011-03-31,2096334000.0,1582071000.0,851759000.0,868808000.0,1227526000.0,,,359335000.0,2365472000.0,156715000.0,97028000.0,59912000.0,0.59,165764000.0,52613000.0,5663000.0,7139000.0,46950000.0,0.0,,30.2033,1.263,0.59,163854000.0,0.0790435396073077,0.0462846092273464,0.04101845213132939,0.06625104841655281,0.07475669430539217,0.12766735694396697,0.019848047239620675,0.06926905074336115,0.0,1.8574162409789623,9565160000.0,400042000.0,643568000.0,357178000.0,672517000.0,2.4200000000000004,2.4200000000000004,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2011-06-30,2193797000.0,1676081000.0,889887000.0,905371000.0,1288426000.0,,,315897000.0,5073134000.0,336810000.0,208051000.0,129310000.0,1.26,165461000.0,78854000.0,11733000.0,15299000.0,67121000.0,0.0,,31.5442,1.3294,1.26,352109000.0,0.16147687177998582,0.09483603086338435,0.041010349815321256,0.06639091338805558,0.15352833466359922,0.2614119864082221,0.013230677525963241,0.06940660349204258,0.0,1.8834762166432368,10109695000.0,426855000.0,687916000.0,422414000.0,717463000.0,2.59,2.59,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2011-09-30,2179438000.0,1656748000.0,896709000.0,911214000.0,1268224000.0,,,382737000.0,7768062000.0,520775000.0,322398000.0,198978000.0,1.95,165094000.0,293555000.0,17402000.0,23714000.0,276153000.0,0.0,,26.6021,1.1214,1.95,544489000.0,0.2542121896447315,0.1479271261673881,0.04150301581012098,0.06704053082995476,0.23894921534817692,0.4106332950645943,0.0355497935006183,0.07009328710301231,0.0,1.8475871213515198,10928801000.0,465388000.0,749896000.0,575431000.0,781044000.0,2.83,2.83,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2011-12-31,2138041000.0,1611543000.0,876632000.0,889567000.0,1248474000.0,,,373669000.0,-4870322000.0,-321570000.0,-195865000.0,-125108000.0,-1.1799999999999997,-331578000.0,4690000.0,1134000.0,-13654000.0,3556000.0,0.0,1.8384,26.5729,1.1093,-1.1799999999999997,-335224000.0,-0.1568835234053733,-0.09160956221138884,0.04021602678426601,0.06602643521311322,-0.15040403808907313,-0.2575704419955882,-0.0007301365289605081,0.06882994594607914,0.0,1.8383346717893028,10336346000.0,431612000.0,692730000.0,393780000.0,725228000.0,2.62,2.62,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2012-03-31,2134285000.0,1601131000.0,871867000.0,886172000.0,1248113000.0,,,311365000.0,2552114000.0,169545000.0,106500000.0,63259000.0,0.65,163023000.0,77084000.0,9888000.0,8417000.0,67196000.0,0.0,,24.3649,1.0211,0.65,177962000.0,0.08532881237516154,0.04989961509357935,0.0417301108022604,0.06643316090111961,0.07943878160601794,0.13584106567273957,0.026329544840081594,0.06973121106659029,0.0,1.836439502814076,10522988000.0,441084000.0,705560000.0,414026000.0,739336000.0,2.68,2.68,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2012-06-30,2239999000.0,1707601000.0,949341000.0,961809000.0,1278190000.0,,,240627000.0,5507828000.0,354459000.0,221082000.0,134277000.0,1.36,162643000.0,110028000.0,17403000.0,17208000.0,92625000.0,0.0,,22.262,0.9189,1.36,371667000.0,0.1729648956727873,0.09869736548989531,0.04013959767806838,0.0643554954875134,0.1582406956431677,0.27731323199211383,0.016816973950530046,0.06747977605691391,0.0,1.798722482227145,10957682000.0,454115000.0,723209000.0,439530000.0,758894000.0,2.7800000000000002,2.7800000000000002,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
2012-09-30,2243267000.0,1726166000.0,938055000.0,952392000.0,1290875000.0,,,272955000.0,8388237000.0,541716000.0,337412000.0,205280000.0,2.08,162042000.0,267156000.0,28096000.0,26081000.0,239060000.0,0.0,,21.3684,0.871,2.08,567797000.0,0.2613823956618573,0.15041098540655215,0.040224423797277066,0.06458043567438546,0.24148529800509702,0.4196502372421807,0.028499433194364918,0.06768967066619601,0.0,1.8401543619510583,11577857000.0,469129000.0,744150000.0,402437000.0,782202000.0,2.91,2.91,0.0,0.9454232,203.34,84.6788,1.44558,20736.107,35.3207,10.29,1.2774
