report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,30677000000.0,3748000000.0,3108000000.0,,16955000000.0,5845000000.0,240000000.0,,3220000000.0,,1192000000.0,86000000.0,514000000.0,2.66,1495000000.0,1247000000.0,489000000.0,248000000.0,6085000000.0,,10.7737,3.0838,2.66,,0.07030374520790328,0.03885647227564625,0.3701863354037267,,,,0.07701863354037267,,0.358891182542023,1.2059202059202059,,,,,,,,,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2010-06-30,29971000000.0,5049000000.0,3402000000.0,,16830000000.0,5571000000.0,53000000.0,,5452000000.0,,1898000000.0,197000000.0,775000000.0,4.24,2892000000.0,3221000000.0,978000000.0,-329000000.0,5624000000.0,,8.8855,2.7938,4.24,,0.11277480689245395,0.06332788362083347,0.34812912692589876,,,,-0.0603448275862069,,0.33416518122400474,1.4841269841269842,,,,,,,,,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2010-09-30,31863000000.0,5950000000.0,4450000000.0,,18652000000.0,3821000000.0,1808000000.0,,7805000000.0,,3988000000.0,280000000.0,1045000000.0,8.99,4236000000.0,4793000000.0,1441000000.0,-557000000.0,5629000000.0,,6.0498,2.7475,8.99,,0.2138108513832297,0.12516084486708723,0.5109545163356822,,,,-0.07136450992953235,,0.3017906926871113,1.3370786516853932,,,,,,,,,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2010-12-31,32927000000.0,5555000000.0,4583000000.0,,19253000000.0,3819000000.0,1811000000.0,,-6537000000.0,,-2528000000.0,-200000000.0,-1099000000.0,-5.58,-3145000000.0,-2785000000.0,-978000000.0,-5930000000.0,5630000000.0,1.2121,7.4524,3.4113,-5.58,,-0.1313042123305459,-0.07677589819904637,0.3867217378002142,,,,0.9071439498240783,,0.29242196021399264,1.2120881518655902,9940000000.0,4550000000.0,,-6568000000.0,,363000000.0,10.31,10.31,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2011-03-31,34550000000.0,5599000000.0,5754000000.0,,19229000000.0,3800000000.0,3003000000.0,,2147000000.0,,416000000.0,81000000.0,191000000.0,0.97,1260000000.0,1827000000.0,506000000.0,-567000000.0,6803000000.0,,10.3831,4.4193,0.97,,0.021633990327110095,0.012040520984081041,0.19375873311597577,,,,-0.264089427107592,,0.3537885485464663,0.973062217587765,8867000000.0,3774000000.0,,-7383000000.0,,358000000.0,8.620000000000001,8.620000000000001,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2011-06-30,38537000000.0,8911000000.0,4484000000.0,,21428000000.0,5968000000.0,1962000000.0,,5367000000.0,,3159000000.0,166000000.0,1385000000.0,7.41,2810000000.0,,1056000000.0,,7930000000.0,,5.7368,3.3827,7.41,,0.1474239313048348,0.0819731686431222,0.5885969815539408,,,,,,0.37007653537427665,1.9872881355932204,8782000000.0,5035000000.0,,,,327000000.0,11.79,11.79,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2011-09-30,39866000000.0,9607000000.0,6031000000.0,39866000000.0,21102000000.0,5969000000.0,3288000000.0,,8869000000.0,,4197000000.0,270000000.0,1883000000.0,9.93,4214000000.0,,1622000000.0,,9257000000.0,,4.852,2.0984,9.93,,0.1988911003696332,0.10527768022876637,0.4732213327319878,,,,,,0.43867879821817835,1.5929364947769855,9846000000.0,5244000000.0,,,,317000000.0,12.729999999999999,12.729999999999999,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2011-12-31,41117000000.0,9305000000.0,6738000000.0,41117000000.0,21430000000.0,5969000000.0,3811000000.0,,-4929000000.0,,-3068000000.0,-165000000.0,,-7.060000000000002,-2060000000.0,,-936000000.0,,9780000000.0,1.381,5.6778,2.3106,-7.060000000000002,,-0.14316378908072794,-0.07461633874066688,0.6224386285250558,,,,,,0.4563695753616426,1.3809735826654794,11454000000.0,4704000000.0,,,,352000000.0,11.249999999999996,11.249999999999996,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2012-03-31,42605000000.0,9078000000.0,6262000000.0,42605000000.0,21956000000.0,6719000000.0,4120000000.0,5828000000.0,2497000000.0,,393000000.0,87000000.0,,0.97,1026000000.0,,680000000.0,,10839000000.0,,6.2441,2.4543,0.97,,0.017899435234104574,0.00922426945194226,0.15738886663996796,,,,,,0.4936691564948078,1.449696582561482,11804000000.0,4681000000.0,,,,358000000.0,11.249999999999996,11.249999999999996,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
2012-06-30,43470000000.0,9217000000.0,4961000000.0,43470000000.0,22225000000.0,8455000000.0,2148000000.0,6101000000.0,5056000000.0,,870000000.0,186000000.0,,2.15,2452000000.0,,1364000000.0,,10603000000.0,,9.5666,2.054,2.15,,0.0391451068616423,0.020013802622498276,0.17207278481012658,,,,,,0.4770753655793026,1.8578915541221528,11493000000.0,2392000000.0,,,,378000000.0,5.989999999999997,5.989999999999997,,0.5865347,48.17,25.89,18.2755,29754.418,11.2621,1.4798,1.7311
