report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage
2011-09-30,6066000000.0,723700000.0,436900000.0,3111100000.0,2669000000.0,1676200000.0,217100000.0,1568000000.0,461200000.0,234600000.0,97700000.0,122400000.0,2.13,109804000.0,465100000.0,284000000.0,139100000.0,181100000.0,1676200000.0,,2.13,600300000.0,0.08789808917197452,0.03867457962413452,0.14961734693877551,0.2941326530612245,0.07603033300362677,0.10614010862560987,0.11549744897959184,0.38284438775510204,0.6280254777070063,1.6564431219958802,,,,,,,,,,
2011-12-31,6173000000.0,642500000.0,437400000.0,3114300000.0,2764500000.0,1602800000.0,72400000.0,2098300000.0,611600000.0,330300000.0,129100000.0,123100000.0,3.0,109830000.0,638000000.0,495000000.0,186200000.0,143000000.0,1602800000.0,1.4689,3.0,797800000.0,0.11947911014650027,0.05350720881257087,0.157413143973693,0.29147405042177,0.0990766240077758,0.14004075744739314,0.068150407472716,0.3802125530191107,0.5797793452703924,1.468907178783722,,,,,,,,,,
2012-03-31,6254000000.0,683900000.0,446500000.0,3123800000.0,2835700000.0,1585500000.0,101800000.0,547500000.0,157800000.0,75000000.0,27200000.0,52200000.0,0.68,109996000.0,139500000.0,99400000.0,48400000.0,40100000.0,1585500000.0,1.4689,0.68,206200000.0,0.026448495962196283,0.011992324912056283,0.136986301369863,0.2882191780821918,0.02523185161496642,0.035691667420609786,0.07324200913242009,0.37662100456621006,0.5591212046408294,1.5316909294512877,,,,,,,,,,
2012-06-30,6290800000.0,627400000.0,445400000.0,3058400000.0,2937400000.0,1570700000.0,105500000.0,1092800000.0,361600000.0,195400000.0,52500000.0,105300000.0,1.77,110028000.0,310100000.0,214800000.0,97100000.0,95300000.0,1570700000.0,,1.77,458700000.0,0.06652141349492749,0.031061232275704204,0.17880673499267935,0.3308931185944363,0.057480765562408595,0.08021117543976398,0.08720717423133235,0.41974743777452417,0.5347245863688976,1.4086214638527166,5306600000.0,835300000.0,1592200000.0,459500000.0,2063000000.0,306500000.0,7.58,7.58,0.7613669413475521,5.194779771615008
2012-09-30,6424200000.0,682400000.0,488100000.0,3111000000.0,3017600000.0,1557000000.0,187000000.0,1670200000.0,542300000.0,285500000.0,76600000.0,179200000.0,2.59,110061000.0,516000000.0,319200000.0,146900000.0,196800000.0,1557000000.0,,2.59,689200000.0,0.09461161187698834,0.04444133121633822,0.17093761226200455,0.32469165369416836,0.08441518010024594,0.11854588379311852,0.11783019997605078,0.4126451921925518,0.5159729586426299,1.3980741651300963,5408800000.0,886200000.0,1673300000.0,475200000.0,2151900000.0,285400000.0,8.04,8.04,0.7235466332078628,5.862999299229152
2012-12-31,6395900000.0,522300000.0,424800000.0,2995200000.0,3096600000.0,1547600000.0,72600000.0,-1071900000.0,-345800000.0,-178600000.0,-55900000.0,-99700000.0,-1.6099999999999999,-220005000.0,-292400000.0,-93400000.0,-93600000.0,-385800000.0,1547600000.0,1.2295,-1.6099999999999999,-439400000.0,-0.057676160950720146,-0.027924138901483764,0.16662002052430264,0.32260472058960726,-0.054065885958191964,-0.07445846432108867,0.3599216344808284,0.40992629909506484,0.49977394561777433,1.2295197740112995,2238600000.0,377300000.0,715900000.0,-53600000.0,914700000.0,100400000.0,3.43,3.43,1.6919208483655843,7.1304780876494025
2013-03-31,6473500000.0,543000000.0,519400000.0,2986400000.0,3182600000.0,1431100000.0,63700000.0,552800000.0,162900000.0,103800000.0,23700000.0,54300000.0,0.94,110265000.0,125600000.0,112700000.0,53100000.0,12900000.0,1431100000.0,1.2295,0.94,216000000.0,0.03261484320995413,0.016034602610643392,0.1877713458755427,0.2946816208393632,0.025164130686645556,0.035307887378893295,0.02333574529667149,0.3907380607814761,0.4496637968956199,1.0454370427416249,2243900000.0,406100000.0,721000000.0,-80800000.0,924500000.0,96900000.0,3.69,3.69,1.5479718766901027,7.440660474716203
2013-12-31,7435400000.0,942400000.0,730600000.0,3758800000.0,3370600000.0,1856900000.0,429500000.0,2369300000.0,738600000.0,351400000.0,80600000.0,198300000.0,3.18,110340000.0,798300000.0,594800000.0,223300000.0,203500000.0,1856900000.0,1.2899,3.18,961900000.0,0.1042544354120928,0.047260402937299946,0.14831384797197483,0.31173764402988224,0.09933561072706243,0.14129124820659972,0.08589034735997975,0.40598489005191407,0.550910817065211,1.2898987133862578,3520400000.0,562100000.0,1098000000.0,27400000.0,1427700000.0,125000000.0,5.1,5.1,1.3006233802619598,8.784
2019-03-31,9637700000.0,654400000.0,480600000.0,4487700000.0,4828100000.0,2677600000.0,92700000.0,674800000.0,160300000.0,102800000.0,28200000.0,34700000.0,1.02,100915000.0,272700000.0,179900000.0,88500000.0,92800000.0,2677600000.0,1.4215,1.02,248800000.0,0.021292019635053127,0.010666445313715928,0.15234143449911083,0.237551867219917,0.016632599064092056,0.02135710193586208,0.13752222880853587,0.36870183758150565,0.55458669041652,1.361631294215564,2525000000.0,379400000.0,716000000.0,-76600000.0,987300000.0,76600000.0,3.5300000000000002,3.5300000000000002,2.712042945406665,9.347258485639687
2021-03-31,10207000000.0,723300000.0,482700000.0,5634500000.0,4245700000.0,3763500000.0,259899999.99999997,706000000.0,253000000.0,153000000.0,39000000.0,58500000.0,1.68,91286000.0,226200000.0,106000000.0,92000000.0,120200000.0,3763500000.0,1.3136,1.68,345000000.0,0.036036460418776645,0.01498971294209856,0.21671388101983002,0.358356940509915,0.02478691094347017,0.03158867302602008,0.17025495750708217,0.4886685552407932,0.8864262665755941,1.4984462399005594,4302900000.0,711000000.0,1314800000.0,429400000.0,1771700000.0,171500000.0,6.82,6.82,2.1242309646102613,7.666472303206997
