report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,21720000000.0,8508000000.0,5999000000.0,,8855000000.0,4581000000.0,1269000000.0,2159000000.0,10155000000.0,,830000000.0,334000000.0,1.09,,1319000000.0,178000000.0,402000000.0,1141000000.0,5850000000.0,,21.9838,1.9544,1.09,,0.09373235460191982,0.03821362799263352,0.08173313638601674,,,,0.11235844411619891,,0.6606437041219649,1.418236372728788,,,,,,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2010-06-30,22958000000.0,9958000000.0,7257000000.0,,8925000000.0,4586000000.0,2290000000.0,3424000000.0,15796000000.0,,1415000000.0,607000000.0,1.86,,2022000000.0,300000000.0,605000000.0,1722000000.0,6876000000.0,,17.1296,1.6188,1.86,,0.15854341736694677,0.06163428870110637,0.08957964041529501,,,,0.10901494049126362,,0.7704201680672269,1.3721923659914566,,,,,,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2010-09-30,22843000000.0,8363000000.0,5849000000.0,,9792000000.0,4586000000.0,480000000.0,1592000000.0,21039000000.0,,2164000000.0,848000000.0,2.84,,3292000000.0,524000000.0,816000000.0,2768000000.0,5066000000.0,1.4298,18.3095,1.8833,2.84,,0.22099673202614378,0.09473361642516306,0.10285659964827226,,,,0.13156518845952755,,0.5173611111111112,1.4298170627457685,,,,,,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2010-12-31,22703000000.0,8305000000.0,5600000000.0,,10170000000.0,4352000000.0,800000000.0,1493000000.0,5535000000.0,,480000000.0,222000000.0,0.63,,322000000.0,82000000.0,219000000.0,240000000.0,5152000000.0,,19.4289,1.9826,0.63,,0.0471976401179941,0.021142580275734485,0.08672086720867209,,,,0.04336043360433604,,0.5065880039331366,1.4830357142857142,52525000000.0,4889000000.0,5871000000.0,6.42,6.42,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2011-03-31,23535000000.0,8798000000.0,5934000000.0,,10645000000.0,4353000000.0,771000000.0,1593000000.0,11389000000.0,,1036000000.0,488000000.0,1.36,,1075000000.0,208000000.0,435000000.0,867000000.0,5124000000.0,,18.5919,1.9456,1.36,,0.09732268670737436,0.04401954535797748,0.09096496619545175,,,,0.07612608657476512,,0.4813527477689056,1.4826423997303673,53759000000.0,5095000000.0,5597000000.0,6.69,6.69,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2011-06-30,24104000000.0,9283000000.0,6308000000.0,,10844000000.0,4353000000.0,862000000.0,1781000000.0,17677000000.0,,1719000000.0,782000000.0,2.26,,1978000000.0,403000000.0,650000000.0,1575000000.0,5215000000.0,,17.1319,1.7978,2.26,,0.1585208410180745,0.07131596415532691,0.09724500763704248,,,,0.08909882898681903,,0.48091110291405387,1.4716233354470514,55640000000.0,5399000000.0,5450000000.0,7.09,7.09,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2011-09-30,23861000000.0,9345000000.0,6465000000.0,23861000000.0,10399000000.0,4324000000.0,877000000.0,2052000000.0,-10379000000.0,,-755000000.0,-365000000.0,-0.98,,-142000000.0,-46000000.0,-437000000.0,-188000000.0,5201000000.0,1.4455,12.4048,1.2701,-0.98,,-0.07260313491681893,-0.031641590880516324,0.07274303882840351,,,,0.01811349841025147,,0.5001442446389076,1.445475638051044,24222000000.0,2480000000.0,2494000000.0,3.27,3.27,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2011-12-31,23444000000.0,9075000000.0,6534000000.0,23444000000.0,10190000000.0,4041000000.0,1578000000.0,2076000000.0,5309000000.0,,371000000.0,172000000.0,0.5,,334000000.0,130000000.0,204000000.0,204000000.0,5619000000.0,,14.7986,1.4622,0.5,,0.036408243375858684,0.015824944548711823,0.06988133358447919,,,,0.03842531550197777,,0.5514229636898921,1.3888888888888888,23996000000.0,2371000000.0,2458000000.0,3.14,3.14,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2012-03-31,24134000000.0,9544000000.0,6925000000.0,24134000000.0,10511000000.0,4018000000.0,1828000000.0,2153000000.0,11228000000.0,,916000000.0,430000000.0,1.24,,896000000.0,287000000.0,406000000.0,609000000.0,5846000000.0,,16.332,1.6019,1.24,,0.08714679859195129,0.037954752631142785,0.08158175988599929,,,,0.05423940149625935,,0.5561792407953573,1.3781949458483755,23835000000.0,2251000000.0,2200000000.0,3.0199999999999996,3.0199999999999996,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2012-06-30,24326000000.0,10003000000.0,7396000000.0,24326000000.0,10519000000.0,3789000000.0,2060000000.0,2292000000.0,17712000000.0,,1686000000.0,798000000.0,2.28,,1742000000.0,428000000.0,617000000.0,1314000000.0,5849000000.0,,13.6108,1.373,2.28,,0.1602813955699211,0.06930855874373099,0.09518970189701897,,,,0.0741869918699187,,0.5560414488069209,1.3524878312601407,23870000000.0,2218000000.0,1939000000.0,3.04,3.04,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2012-09-30,23818000000.0,10126000000.0,7133000000.0,23818000000.0,10295000000.0,3787000000.0,1506000000.0,2367000000.0,-9837000000.0,3115000000.0,-1005000000.0,-309000000.0,-1.3499999999999996,,81000000.0,-180000000.0,-404000000.0,-99000000.0,5293000000.0,1.4196,17.7137,1.428,-1.3499999999999996,2711000000.0,-0.09762020398251578,-0.042194978587622806,0.10216529429704178,-0.31666158381620413,0.1307834410949702,0.19983320502950988,0.010064043915827997,-0.2755921520788858,0.5141330743079164,1.4195990466844246,24412000000.0,1968000000.0,2028000000.0,2.67,2.67,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2012-12-31,23771000000.0,10086000000.0,7203000000.0,23771000000.0,10478000000.0,3542000000.0,1912000000.0,2527000000.0,5553000000.0,673000000.0,454000000.0,207000000.0,0.62,,554000000.0,115000000.0,206000000.0,439000000.0,5454000000.0,,18.6839,1.5542,0.62,879000000.0,0.043328879557167396,0.01909890202347398,0.08175760849990996,0.12119575004502071,0.02831180850616297,0.04224202862164198,0.07905636592832703,0.1582928146947596,0.5205191830502004,1.400249895876718,24656000000.0,2051000000.0,2263000000.0,2.7900000000000005,2.7900000000000005,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
2013-03-31,23724000000.0,10189000000.0,6644000000.0,23724000000.0,10532000000.0,4059000000.0,1485000000.0,2615000000.0,11513000000.0,1504000000.0,1015000000.0,460000000.0,1.39,,1151000000.0,235000000.0,411000000.0,916000000.0,5544000000.0,,19.2168,1.6083,1.39,1915000000.0,0.09637295860235473,0.04278367897487776,0.08816120906801007,0.13063493442195778,0.06339571741696173,0.09355561084846976,0.07956223399635196,0.16633370971944758,0.5263957462969996,1.533564118001204,24941000000.0,2150000000.0,2570000000.0,2.9400000000000004,2.9400000000000004,1.3085577,165.15,90.0553,3.28091,74055.17,32.0446,3.6401,4.0721
