report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2012-10-31,444297000.0,394739000.0,142616000.0,444297000.0,235789000.0,174473000.0,,85934000.0,61744000.0,-3131000.0,-3515000.0,,312000.0,-0.05,,23076000.0,2053000.0,0.0,3.1282,,,-0.05,-1078000.0,-0.01490739601932236,-0.00791137459852306,-0.04090348406916936,0.7185048991086183,-0.03643493844112924,-0.007047087871401337,-0.013278821319060686,-0.012544510903716806,0.0,2.767845122566893,,,,,,,,,,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2013-01-31,490149000.0,426674000.0,168996000.0,490149000.0,243520000.0,187924000.0,,182433000.0,130625000.0,-5288000.0,-6128000.0,,824000.0,-0.09,,57583000.0,4468000.0,0.0,,,,-0.09,-820000.0,-0.025164257555847568,-0.012502320722882225,-0.03359041401500825,0.7160162909122801,-0.02898598389545751,-0.010788556132931006,-0.02171484888304862,-0.004494800830990007,0.0,2.524757982437454,,,,,,,,,,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2013-04-30,538777000.0,472724000.0,182018000.0,,263881000.0,213664000.0,,283722000.0,204224000.0,-11738000.0,-13410000.0,,1632000.0,0.0,67980000.0,72789000.0,7221000.0,0.0,,,10.4073,0.0,-4517000.0,-0.050818361306801174,-0.024889703903470266,-0.04726457588766469,0.7198031876273253,-0.04137148335342342,-0.021786379151300075,-0.04448217188808592,-0.015920513742325233,0.0,2.5971277565955013,,,,,,,,,,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2013-07-31,585606000.0,529699000.0,206102000.0,,272420000.0,310614000.0,,-155982000.0,-110242000.0,1536000.0,-6193000.0,,7822000.0,,,-38929000.0,-3850000.0,0.0,2.5701,,8.789,,-2314000.0,-0.022733279494897583,-0.010575369787877856,0.03970329909861394,0.706761036529856,-0.009847290071931377,0.0026229239454513787,0.0056383525438660894,0.014835045069302869,0.0,2.5700818041552242,396107000.0,-29246000.0,-18621000.0,286351000.0,-8729000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2013-10-31,639943000.0,552332000.0,228329000.0,,289779000.0,266182000.0,,128180000.0,94373000.0,-7011000.0,-7861000.0,,1247000.0,,,38881000.0,3146000.0,0.0,,,6.971,,-3865000.0,-0.027127569630649565,-0.012283906535425812,-0.06132782025276954,0.7362537057263223,-0.054696520518021534,-0.010955663238757202,-0.02419429979398093,-0.030152909970354188,0.0,2.4190181711477736,438353000.0,-33592000.0,-22501000.0,318980000.0,-11516000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2014-01-31,689026000.0,555287000.0,262809000.0,689026000.0,284444000.0,261867000.0,,269248000.0,197937000.0,-44167000.0,-47807000.0,,3853000.0,-0.66,,80277000.0,7082000.0,0.0,,,8.924,-0.66,-37085000.0,-0.16807174698710467,-0.06938344852008488,-0.17755749346327548,0.7351475219871643,-0.16403835868790112,-0.0641006290038402,-0.15527485199195623,-0.1377354706441645,0.0,2.112891872043956,525168000.0,-75271000.0,-61380000.0,386292000.0,-47781000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2014-04-30,880387000.0,516445000.0,435351000.0,,271693000.0,234790000.0,,419948000.0,308927000.0,-189899000.0,-194394000.0,,5125000.0,,,114556000.0,11638000.0,0.0,,,8.846,,-178261000.0,-0.7154913818169772,-0.22080516863606572,-0.46290016859230193,0.7356315543829236,-0.4521964624191567,-0.215699459442268,-0.6989469732381769,-0.4244835074818787,0.0,1.1862726857179609,661394000.0,-256255000.0,-239541000.0,490995000.0,-221525000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2014-07-31,1478466000.0,958326000.0,348171000.0,,468583000.0,653812000.0,,-219197000.0,-162686000.0,25730000.0,23610000.0,1883000.0,-5933000.0,,,-145308000.0,-2447000.0,0.0,2.7525,,10.4191,,23283000.0,0.050385950834750726,0.015969254619314883,-0.10771132816598768,0.7421908146553101,-0.11738299338038385,0.01740317328907124,0.05491022935104346,-0.10621951942772939,0.0,2.752457843990453,598179000.0,-226452000.0,-215347000.0,438551000.0,-195928000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2014-10-31,1540356000.0,933567000.0,360966000.0,,493211000.0,543747000.0,,192346000.0,138885000.0,-23763000.0,-30068000.0,5489000.0,1157000.0,,,74928000.0,6115000.0,0.0,,,12.8254,,-17648000.0,-0.060963766014951,-0.019520162871440108,-0.15632246056585528,0.7220581660133302,-0.12354299023634492,-0.015426953249768236,-0.04818019062835176,-0.09175132313643122,0.0,2.5863017569521785,662345000.0,-248659000.0,-232099000.0,483063000.0,-209711000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
2015-01-31,1672784000.0,861504000.0,415074000.0,,516061000.0,342983000.0,,410001000.0,297215000.0,-62279000.0,-73076000.0,11028000.0,454000.0,,,151754000.0,12917000.0,0.0,,,13.6374,,-49362000.0,-0.1416034151001529,-0.0436852576303934,-0.1782337116250936,0.7249128660661803,-0.15189962951309874,-0.037230748261580696,-0.12068146982624148,-0.12039482830529681,0.0,2.0755431561601063,803098000.0,-273928000.0,-250211000.0,582341000.0,-221988000.0,,,,-0.0,,0.76158255,223.61,139.5706,8.66284,133179.36,103.8922,14.8195,13.4616
