report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda
2011-09-25,4292075000.0,1453144000.0,879361000.0,1300770000.0,2991305000.0,17439000.0,212004000.0,10107787000.0,3536549000.0,547620000.0,342612000.0,3882000.0,209100000.0,1.93,177279000.0,754845000.0,287109000.0,17439000.0,1.93,834729000.0,0.11453596340058937,0.0798243273940926,0.03389584683571191,0.3498836095378741,0.05417803125451694,0.12758863719762586,0.18200950296868063,0.08258276514928539,0.005829896984760832,1.6524999402975569,,,,,,,,
2012-01-15,4528241000.0,1677087000.0,896972000.0,1345494000.0,3182747000.0,,529954000.0,3390940000.0,1178117000.0,190338000.0,118327000.0,,74390000.0,0.65,181517000.0,260896000.0,92653000.0,0.0,0.65,282991000.0,0.0371776330320946,0.026130897185021734,0.034895043852147194,0.3474308008988658,0.05613133821300288,0.04203354017597562,0.05980305691907022,0.08345503016862581,0.0,1.8697205709877232,,,,,,,,
2012-04-08,4874119000.0,1900177000.0,952223000.0,1419161000.0,3454958000.0,,175375000.0,6061222000.0,2147825000.0,379721000.0,235992000.0,,148362000.0,1.29,182841000.0,516681000.0,162509000.0,0.0,1.29,542230000.0,0.06830531659140285,0.048417365271549585,0.038934723064095,0.35435511188997865,0.06264759812460259,0.07790556611358894,0.1099061117385508,0.08945885829623135,0.0,1.9955168064623519,,,,,,,,
2012-07-01,5088886000.0,1925558000.0,957238000.0,1447581000.0,3641305000.0,,135457000.0,8788501000.0,3129194000.0,567909000.0,352841000.0,,221820000.0,1.92,183758000.0,727332000.0,234901000.0,0.0,1.92,802810000.0,0.09689960055529542,0.06933560704641448,0.040148029794842145,0.35605548659549563,0.06461955229907808,0.11159790178046826,0.1559630407230375,0.09134777364194417,0.0,2.0115770581610843,28348450000.0,1049772000.0,1685588000.0,9991685000.0,2462760000.0,5.79,5.79,0.0
2012-09-30,5294216000.0,2102631000.0,977188000.0,1491747000.0,3802469000.0,,89016000.0,-6541835000.0,-2299362000.0,-394462000.0,-241587000.0,354000.0,-158101000.0,-1.3399999999999999,-363672000.0,-585194000.0,-178513000.0,0.0,-1.3399999999999999,-572975000.0,-0.06353424577557372,-0.04563225225415812,0.036929546526318684,0.3514857834231527,0.0602983719399832,-0.07450810469387724,-0.1037383868218255,0.08758628121926035,0.0,2.1517159441172016,11698828000.0,465573000.0,743506000.0,4155774000.0,1055056000.0,2.5200000000000005,2.5200000000000005,0.0
2013-01-20,5079000000.0,1852000000.0,1002000000.0,1536000000.0,3543000000.0,,152000000.0,3856000000.0,1348000000.0,235000000.0,146000000.0,,92000000.0,0.78,187100000.0,303000000.0,102000000.0,0.0,0.78,337000000.0,0.041208015805814284,0.028745816105532587,0.037863070539419084,0.3495850622406639,0.060943983402489625,0.046268950580823,0.06632797064634491,0.08739626556016597,0.0,1.8483033932135728,12163888000.0,493246000.0,788168000.0,4325657000.0,1109065000.0,2.6500000000000004,2.6500000000000004,0.0
2013-04-14,5181000000.0,1963000000.0,1009000000.0,1549000000.0,3632000000.0,,202000000.0,6883000000.0,2449000000.0,463000000.0,288000000.0,,181000000.0,1.54,187000000.0,590000000.0,179000000.0,0.0,1.54,642000000.0,0.07929515418502203,0.055587724377533294,0.04184221996222577,0.35580415516489905,0.06726718000871713,0.08936498745415943,0.12747797356828194,0.0932732819991283,0.0,1.9454905847373638,12985666000.0,545254000.0,871447000.0,4626832000.0,1208835000.0,2.9000000000000004,2.9000000000000004,0.0
2014-01-19,5720000000.0,2075000000.0,1166000000.0,1757000000.0,3963000000.0,,271000000.0,4239000000.0,1485000000.0,255000000.0,158000000.0,,101000000.0,0.42,375800000.0,337000000.0,111000000.0,0.0,0.42,366000000.0,0.03986878627302549,0.02762237762237762,0.03727294173154046,0.3503184713375796,0.060155697098372256,0.044580419580419584,0.0643451930355791,0.08634111818825195,0.0,1.7795883361921099,8436165000.0,350413000.0,558538000.0,2982638000.0,772025000.0,1.4000000000000001,1.4000000000000001,0.0
