report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2009-03-31,7407287000.0,998998000.0,1357900000.0,5507667000.0,1674130000.0,393019000.0,71555000.0,180603707.0,1218751000.0,284706000.0,195819000.0,8512000.0,79735000.0,1.08,182150090.0,249780000.0,299560000.0,106219000.0,-49780000.0,393019000.0,,8.0929,0.9635,1.08,390925000.0,0.11696761900210856,0.026435994717094128,0.16067186816667228,0.23360473140124602,0.038435934776119784,0.13772882361165065,-0.040845094691204356,0.32075871117233956,0.2347601440748329,0.7356933500257751,,,,,,,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2010-03-31,9874564000.0,2992748000.0,1618757000.0,5887660000.0,3734582000.0,362248000.0,1879007000.0,,1240060000.0,,100269000.0,8145000.0,34286000.0,0.54,184348982.0,174110000.0,265344000.0,119186000.0,-91234000.0,362248000.0,,21.6754,2.1247,0.54,,0.026848787896476767,0.010154271115160122,0.08085818428140573,,,,-0.07357224650420141,,0.09699827182801181,1.8487938584976003,,,,,,,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2010-06-30,11688091000.0,1043844000.0,1608183000.0,8663998000.0,3032583000.0,3111079000.0,34313000.0,,2529407000.0,,166937000.0,73183000.0,59534000.0,0.81,206311383.0,505842000.0,577625000.0,251950000.0,-71783000.0,3111079000.0,,19.165,1.5993,0.81,,0.05504779259133221,0.014282657450220058,0.06599847315991456,,,,-0.028379379040225635,,1.0258842049830128,0.6490828469148101,,,,,,,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2010-09-30,11721758000.0,1000761000.0,1539864000.0,8624129000.0,3106282000.0,3140764000.0,15582000.0,,3878700000.0,,242320000.0,139613000.0,75291000.0,1.13,213638176.0,878930000.0,821908000.0,413379000.0,57022000.0,3140764000.0,,21.6425,1.664,1.13,,0.07800965913590588,0.020672667018036033,0.06247454043880682,,,,0.014701317451723516,,1.0111007307127942,0.64990219915525,8866918000.0,705345000.0,-155775000.0,229453000.0,3.56,3.56,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2010-12-31,12070610000.0,1115006000.0,1664785000.0,9134597000.0,2944477000.0,3128736000.0,32794000.0,,-2412146000.0,,-162745000.0,-15909000.0,-59824000.0,-0.8799999999999999,-387260737.0,-427570000.0,-510853000.0,-216852000.0,-938423000.0,3128736000.0,0.6697,31.7316,2.1422,-0.8799999999999999,,-0.055271275679857575,-0.013482748593484506,0.06746896746714337,,,,0.38904071312433,,1.0625778364035448,0.6697597587676487,5236021000.0,346781000.0,-1044418000.0,205032000.0,1.6,1.6,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2011-03-31,12223741000.0,1233640000.0,1636040000.0,9102392000.0,3125862000.0,3127165000.0,127695000.0,,1465377000.0,,192149000.0,66482000.0,58928000.0,0.84,228814838000.0,435244000.0,254778000.0,149062000.0,180466000.0,3127165000.0,,27.7003,2.2661,0.84,,0.06147072391551515,0.01571932847726404,0.13112598327938818,,,,0.12315329092786362,,1.0004168450174704,0.7540402435148285,5461338000.0,438661000.0,-772718000.0,263369000.0,1.9,1.9,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2011-06-30,12201118000.0,1150850000.0,1544251000.0,8987069000.0,3219178000.0,3126061000.0,26519000.0,,3053305000.0,,269533000.0,131079000.0,80328000.0,1.18,228917335.0,795483000.0,585441000.0,306862000.0,210042000.0,3126061000.0,,24.449,1.9407,1.18,,0.08372727447814318,0.02209084446195832,0.08827581915334368,,,,0.06879168638573611,,0.9710742928784926,0.7452480199138611,5985236000.0,541257000.0,-490893000.0,321265000.0,2.27,2.27,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2011-09-30,12163048000.0,1901918000.0,1302912000.0,8736305000.0,3426743000.0,3123434000.0,472523000.0,,4575034000.0,,436862000.0,189963000.0,113421000.0,1.91,229002863.0,1252404000.0,997463000.0,466612000.0,254941000.0,3123434000.0,,14.2128,1.8691,1.91,,0.12748607059239633,0.03591714839898683,0.09548825210916466,,,,0.05572439461652088,,0.9114876721131406,1.459744019550054,6681570000.0,735799000.0,-292974000.0,371615000.0,3.05,3.05,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2011-12-31,12525700000.0,1897977000.0,1388397000.0,8914815000.0,3610885000.0,3122234000.0,375736000.0,,-2976474000.0,,-266047000.0,-139180000.0,-97221000.0,-1.17,-229043754599.0,-955525000.0,-455311000.0,-304139000.0,-1410836000.0,3122234000.0,1.3674,14.0383,2.0948,-1.17,,-0.0736791672955522,-0.021240090374190664,0.08938327699150068,,,,0.4739957412697037,,0.8646727879730315,1.3670275864900312,6117242000.0,632497000.0,-765387000.0,248344000.0,2.76,2.76,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
2012-03-31,12595611000.0,1866735000.0,1399971000.0,8821499000.0,3774112000.0,3122234000.0,287313000.0,,1426770000.0,,97196000.0,58120000.0,21381000.0,0.42,230124011.0,229486000.0,306446000.0,155347000.0,-76960000.0,3122234000.0,,14.7552,1.9021,0.42,,0.025753342773081455,0.007716656222552443,0.06812310323317704,,,,-0.05394001836315594,,0.8272764560246225,1.333409763487958,6078635000.0,537544000.0,-1022813000.0,239982000.0,2.3400000000000003,2.3400000000000003,0.7156317,43.62,27.68,2.63621,5511.0654,8.7041,1.1431,2.8131
