report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2011-06-30,6997000000.0,1898000000.0,627000000.0,2163000000.0,4822000000.0,714000000.0,876000000.0,1811000000.0,,47000000.0,27000000.0,5000000.0,0.28,,118000000.0,143000000.0,,714000000.0,,1.9687,85.5771,0.28,,0.009746992948983823,0.0067171644990710305,0.025952512424075095,,,,,,0.1480713396930734,3.0271132376395533,,,,,,,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2011-09-30,7387000000.0,1688000000.0,566000000.0,2600000000.0,4776000000.0,1221000000.0,690000000.0,2708000000.0,,61000000.0,42000000.0,0.0,0.36,338000000.0,216000000.0,218000000.0,122000000.0,1221000000.0,,1.4286,77.3154,0.36,,0.01277219430485762,0.008257750101529715,0.022525849335302807,,,,0.045051698670605614,,0.2556532663316583,2.9823321554770317,,,,,,,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2011-12-31,7507000000.0,1591000000.0,568000000.0,2679000000.0,4818000000.0,1221000000.0,534000000.0,3698000000.0,,113000000.0,57000000.0,-28000000.0,0.67,393000000.0,331000000.0,305000000.0,62000000.0,1221000000.0,2.8011,1.7159,56.154,0.67,,0.023453715234537154,0.015052617556946849,0.030557057869118442,,,,0.0167658193618172,,0.2534246575342466,2.801056338028169,,,,,,,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2012-03-31,7562000000.0,1581000000.0,548000000.0,2698000000.0,4854000000.0,1220000000.0,542000000.0,958000000.0,,10000000.0,18000000.0,4000000.0,0.06,61000000.0,95000000.0,86000000.0,-34000000.0,1220000000.0,,1.8698,62.5644,0.06,,0.0020601565718994645,0.0013224014810896587,0.010438413361169102,,,,-0.03549060542797495,,0.25133910177173463,2.8850364963503647,9175000000.0,231000000.0,,144000000.0,1.37,1.37,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2012-06-30,7681000000.0,1440000000.0,611000000.0,2798000000.0,4873000000.0,1220000000.0,404000000.0,1972000000.0,71000000.0,49000000.0,35000000.0,22000000.0,0.3,231000000.0,157000000.0,175000000.0,74000000.0,1220000000.0,,1.5891,53.3262,0.3,246000000.0,0.010055407346603734,0.0063793776851972395,0.02484787018255578,0.03600405679513185,0.00924358807446947,0.011652716231741342,0.037525354969574036,0.12474645030425964,0.25035912169095015,2.3567921440261865,9336000000.0,233000000.0,224000000.0,152000000.0,1.3900000000000001,1.3900000000000001,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2012-09-30,7736000000.0,1876000000.0,613000000.0,2831000000.0,4895000000.0,1219000000.0,446000000.0,2949000000.0,91000000.0,72000000.0,53000000.0,19000000.0,0.44,366000000.0,210000000.0,263000000.0,156000000.0,1219000000.0,,1.6683,52.9954,0.44,354000000.0,0.014708886618998978,0.009307135470527405,0.024415055951169887,0.030857917938284164,0.011763185108583247,0.014883873078181224,0.052899287894201424,0.12004069175991862,0.24902962206332993,3.060358890701468,9577000000.0,244000000.0,258000000.0,163000000.0,1.4700000000000002,1.4700000000000002,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2012-12-31,7640000000.0,1758000000.0,618000000.0,2809000000.0,4821000000.0,1229000000.0,413000000.0,-1930000000.0,-67000000.0,-43000000.0,-36000000.0,-37000000.0,-0.27,-159000000.0,-161000000.0,-171000000.0,-320000000.0,1229000000.0,2.8447,1.6149,137.5124,-0.27,-238000000.0,-0.008919311346193736,-0.005628272251308901,0.02227979274611399,0.03471502590673575,-0.008769633507853402,-0.011074380165289256,0.16580310880829016,0.12331606217616581,0.2549263638249326,2.8446601941747574,3949000000.0,88000000.0,-124000000.0,70000000.0,0.53,0.53,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2013-03-31,7722000000.0,1696000000.0,583000000.0,2908000000.0,4804000000.0,1228000000.0,330000000.0,975000000.0,,8000000.0,17000000.0,-5000000.0,0.0,,43000000.0,88000000.0,,1228000000.0,,1.769,158.1677,0.0,,0.0016652789342214821,0.001036001036001036,0.008205128205128205,,,,,,0.2556203164029975,2.909090909090909,3966000000.0,86000000.0,,69000000.0,0.47,0.47,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2013-06-30,7707000000.0,1839000000.0,634000000.0,2993000000.0,4704000000.0,1265000000.0,718000000.0,2067000000.0,,120000000.0,33000000.0,50000000.0,0.0,,92000000.0,173000000.0,,1265000000.0,,1.6077,55.1277,0.0,,0.025510204081632654,0.015570260801868432,0.05805515239477504,,,,,,0.26892006802721086,2.9006309148264986,4061000000.0,157000000.0,,67000000.0,0.16999999999999998,0.16999999999999998,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
2013-09-30,7869000000.0,1756000000.0,679000000.0,3116000000.0,4743000000.0,1283000000.0,774000000.0,3093000000.0,,175000000.0,48000000.0,89000000.0,1.0,,150000000.0,254000000.0,,1283000000.0,,1.6568,45.1558,1.0,,0.036896479021716215,0.02223916634896429,0.05657937277723893,,,,,,0.2705039004849252,2.586156111929308,4205000000.0,260000000.0,,62000000.0,0.73,0.73,1.347886,180.53,120.36,0.8503,14979.552,4.5664,2.1006
